timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-16T00:25:20.958,0.0,0.0,3.15,0.20,0.00,12.72,6.65,25,0,288,6.07,27,0,11,0.0,0.0,6.3,3600,1495,901,901,1952,1564,1635,1604,901,901,901,1186,901,901,901,901
2026-02-16T00:25:22.321,0.3,0.0,3.33,0.22,0.00,13.16,6.91,26,0,288,6.25,27,0,11,0.0,0.0,6.3,3600,1867,956,901,900,901,1549,900,901,900,900,900,3219,901,900,900
2026-02-16T00:25:23.709,0.3,0.0,3.23,0.28,0.00,12.27,6.54,25,0,288,5.73,27,0,11,0.0,0.0,6.3,3600,1845,901,901,3300,1645,1538,901,901,901,900,900,900,901,901,901
2026-02-16T00:25:25.097,0.2,0.0,4.06,0.33,0.00,12.36,6.57,25,0,288,5.79,27,0,11,0.0,86.5,6.3,3600,1633,952,3283,1485,1652,1714,901,1430,901,901,897,901,901,901,901
2026-02-16T00:25:26.485,0.3,0.0,4.57,0.29,0.00,12.47,6.65,26,0,288,5.82,27,0,11,0.0,2.9,6.3,3600,1146,900,901,901,901,1564,901,901,900,901,900,3263,900,901,901
2026-02-16T00:25:27.873,0.3,0.0,3.25,0.27,0.00,12.60,6.62,25,0,288,5.98,27,0,11,0.0,0.0,6.3,3449,1337,839,1001,950,1117,900,1676,901,900,901,901,3140,900,901,901
2026-02-16T00:25:29.253,0.2,0.0,3.10,0.23,0.00,13.18,6.97,25,0,288,6.21,27,0,11,0.0,0.0,6.3,3600,1421,2983,1293,900,1588,1521,901,900,900,901,901,901,901,901,901
2026-02-16T00:25:30.641,0.3,0.0,3.34,0.27,0.00,12.54,6.65,26,0,288,5.89,27,0,11,0.0,63.5,6.3,3550,1635,922,1581,989,1614,901,901,900,901,3283,901,901,900,901,901
2026-02-16T00:25:32.025,0.2,0.0,3.20,0.26,0.00,12.40,6.57,25,0,288,5.83,27,0,11,0.0,2.9,6.3,3471,1161,900,901,1031,949,901,1670,901,901,901,2838,900,901,901,900
2026-02-16T00:25:33.413,0.3,0.0,3.09,0.23,0.00,12.49,6.59,25,0,288,5.90,27,0,11,0.0,0.0,6.3,3605,1707,980,3072,900,1728,900,900,900,900,900,900,901,901,901,901
2026-02-16T00:25:34.801,0.3,0.0,2.97,0.26,0.00,12.55,6.60,25,0,288,5.95,27,0,11,0.0,0.0,6.3,3474,3244,906,901,900,1611,1540,901,900,901,901,3284,900,901,901,901
2026-02-16T00:25:36.185,0.3,0.0,3.03,0.26,0.00,13.06,6.80,25,0,288,6.26,27,0,11,0.0,14.4,6.3,3600,1716,907,3188,901,1566,1570,901,901,901,901,901,900,901,901,900
2026-02-16T00:25:37.573,0.3,0.0,3.17,0.25,0.00,12.67,6.63,25,0,288,6.04,27,0,11,0.0,11.5,6.3,3600,1752,900,901,900,1633,901,901,1515,901,901,2789,900,901,901,900
2026-02-16T00:25:38.961,0.3,0.0,3.00,0.24,0.00,12.44,6.48,25,0,288,5.96,27,0,11,0.0,144.3,6.3,3600,1412,907,901,901,1537,1562,901,901,901,900,3351,900,901,901,901
2026-02-16T00:25:40.349,0.3,0.0,3.37,0.27,0.00,12.46,6.51,25,0,288,5.95,27,0,11,0.0,0.0,6.3,3600,1730,900,901,901,1555,1532,900,1584,901,901,3342,901,901,901,901
2026-02-16T00:25:41.737,0.3,0.0,3.52,0.25,0.00,12.53,6.57,26,0,288,5.96,27,0,11,0.0,0.0,6.3,3600,1350,3106,954,901,1607,1259,901,900,900,901,900,900,901,900,900
2026-02-16T00:25:43.125,0.3,0.0,3.05,0.26,0.00,12.82,6.74,26,0,288,6.08,27,0,11,0.0,17.3,6.3,3600,1476,3196,1441,901,1673,900,900,901,900,901,901,900,901,901,900
2026-02-16T00:25:44.513,0.3,0.0,2.99,0.26,0.00,12.63,6.70,25,0,288,5.93,27,0,11,0.0,0.0,6.3,3600,1518,3242,1211,901,1638,1521,901,901,900,901,900,900,901,901,901
2026-02-16T00:25:45.901,0.2,0.0,2.85,0.25,0.00,12.57,6.69,25,0,288,5.88,27,0,11,0.0,0.0,6.3,3600,1464,900,901,901,1608,1743,901,900,900,901,3251,901,901,900,900
2026-02-16T00:25:47.289,0.3,0.0,2.78,0.25,0.00,12.32,6.51,25,0,288,5.81,27,0,11,0.0,0.0,6.3,3399,1404,933,1539,900,1615,901,900,900,901,902,3150,901,901,901,901
2026-02-16T00:25:48.677,0.3,0.0,2.76,0.23,0.00,12.41,6.59,25,0,288,5.82,27,0,11,0.0,8.6,6.3,3595,1348,900,900,926,1696,901,1081,901,901,901,3210,901,901,900,900
2026-02-16T00:25:50.065,0.3,0.0,3.14,0.28,0.00,12.78,6.75,25,0,288,6.03,27,0,11,0.0,20.3,6.3,3595,1395,900,3231,900,1076,901,900,901,901,901,901,900,900,900,901
2026-02-16T00:25:51.449,0.2,0.0,2.68,0.23,0.00,12.23,6.51,25,0,288,5.72,27,0,11,0.0,0.0,6.3,3600,1689,945,3001,900,1680,900,900,901,901,901,900,901,900,900,901
2026-02-16T00:25:52.837,0.3,0.0,2.67,0.24,0.00,12.31,6.58,25,0,288,5.73,27,0,11,0.0,0.0,6.3,3600,1708,1581,900,901,1636,972,901,1594,900,901,3360,900,901,901,901
2026-02-16T00:25:54.221,0.3,0.0,2.93,0.27,0.00,12.49,6.67,26,0,288,5.82,27,0,11,0.0,52.0,6.3,3600,3600,1720,900,900,901,901,901,901,901,900,900,900,3299,901,901
2026-02-16T00:25:55.605,0.2,0.0,2.78,0.24,0.00,12.40,6.57,25,0,288,5.83,27,0,11,0.0,0.0,6.3,3600,1483,1695,900,3164,1615,1649,900,900,901,900,900,901,901,901,901
2026-02-16T00:25:56.993,0.3,0.0,2.95,0.24,0.00,12.68,6.74,25,0,288,5.94,27,0,11,0.0,0.0,6.3,3595,1728,1001,906,900,901,900,1423,901,901,901,901,901,3265,901,901
2026-02-16T00:25:58.373,0.3,0.0,3.04,0.24,0.00,12.74,6.93,25,0,288,5.81,27,0,11,0.0,0.0,6.3,3600,1523,1079,900,900,901,1446,901,900,1029,901,901,901,3313,901,900
2026-02-16T00:25:59.757,0.2,0.0,2.92,0.26,0.00,12.37,6.53,25,0,288,5.84,27,0,11,0.0,26.0,6.3,3600,1510,901,900,900,1130,1543,901,901,901,901,901,3174,900,900,901
2026-02-16T00:26:01.145,0.3,0.0,3.00,0.29,0.00,12.79,6.90,25,0,288,5.89,27,0,11,0.0,8.7,6.3,3600,1429,1528,900,3336,900,901,901,1554,901,901,901,901,901,900,901
