timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-16T01:24:13.946,0.0,0.0,3.44,0.34,0.00,9.34,9.34,27,0,371,0.0,0.0,10.0,1539,1669,901,1475,901,900,901,901,900,900,2550,2584,901,900,900,901
2026-02-16T01:24:15.280,0.1,0.0,2.82,0.34,0.00,9.32,9.32,27,0,371,0.0,0.0,10.0,3020,901,2583,901,900,900,1247,901,900,900,901,900,901,900,901,900
2026-02-16T01:24:16.628,0.1,0.0,2.86,0.39,0.00,9.35,9.35,27,0,371,0.0,0.0,10.0,1782,1011,901,1598,901,1518,900,1573,900,2233,901,901,901,900,901,900
2026-02-16T01:24:17.981,0.1,0.0,2.66,0.31,0.00,9.60,9.60,27,0,371,0.0,0.0,10.0,2483,1240,901,1511,901,901,900,901,900,2697,900,900,901,900,901,901
2026-02-16T01:24:19.333,0.1,0.0,2.86,0.34,0.00,9.79,9.79,27,0,371,0.0,29.6,10.0,2324,1215,900,901,901,1130,900,901,900,2427,900,900,900,901,901,901
2026-02-16T01:24:20.681,0.1,0.0,2.84,0.39,0.00,9.46,9.46,27,0,371,0.0,0.0,10.0,1033,953,1647,901,901,901,900,901,901,2113,901,900,901,901,901,901
2026-02-16T01:24:22.009,0.1,0.0,2.78,0.34,0.00,9.46,9.46,27,0,371,0.0,0.0,10.0,1436,901,900,901,900,901,900,900,901,900,2201,900,901,901,900,901
2026-02-16T01:24:23.357,0.1,0.0,3.61,0.29,0.00,9.51,9.51,27,0,371,0.0,0.0,10.0,1496,1278,2483,900,900,900,901,1450,1220,895,901,901,901,901,901,901
2026-02-16T01:24:24.705,0.1,0.0,3.10,0.37,0.00,9.47,9.47,27,0,371,0.0,0.0,10.0,2032,923,901,901,1637,901,900,901,901,900,2570,901,900,901,900,901
2026-02-16T01:24:26.057,0.1,0.0,2.91,0.37,0.00,9.66,9.66,27,0,371,0.0,26.1,10.0,2459,1119,901,901,901,901,1320,900,941,900,901,901,901,901,901,1094
