timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu_temp_c,gpu_util_pct,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-10T12:22:09.756,5.7,0.0,8.69,3.28,0.00,11.98,27,22,0.0,0.0,12.1,1026,3859,1709,1417,955,1905,1270,948,1804,2875,979,1161,1097,915,1387,1311
2026-02-10T12:22:11.101,6.8,0.0,6.39,1.44,0.00,11.90,27,29,0.0,0.0,11.9,4173,2975,1501,895,900,900,898,900,900,901,900,900,900,1829,897,900
2026-02-10T12:22:12.449,3.7,0.0,6.08,1.38,0.00,11.84,27,5,0.0,0.0,11.9,4681,1393,900,901,900,900,1432,1314,900,900,900,3651,900,1343,899,900
2026-02-10T12:22:13.793,2.7,0.0,4.53,1.08,0.00,11.44,27,7,0.0,0.0,11.9,4277,1735,1093,900,1702,900,2299,1308,900,900,901,895,900,898,900,900
2026-02-10T12:22:15.129,3.0,0.0,4.63,0.95,0.00,11.51,27,9,0.0,99.0,11.9,1344,1920,1592,901,1071,900,2335,901,900,900,901,900,900,900,953,900
2026-02-10T12:22:16.485,3.3,0.0,4.69,0.96,0.00,11.42,27,5,0.0,30.1,11.9,4523,1579,904,901,900,4900,4103,900,877,900,901,900,900,900,898,900
2026-02-10T12:22:17.853,2.8,0.0,4.84,1.24,0.00,11.47,27,7,0.0,0.0,11.9,3914,3543,1114,900,900,898,900,898,897,900,900,900,900,900,900,900
2026-02-10T12:22:19.221,3.2,0.0,6.37,1.07,0.00,11.31,27,8,0.0,8.7,11.9,3423,998,3441,949,891,900,899,898,900,1396,901,900,897,891,891,900
2026-02-10T12:22:20.573,3.1,0.0,4.59,1.10,0.00,11.41,27,7,0.0,0.0,11.9,3777,1274,4351,901,895,900,900,900,900,1367,900,900,900,900,1395,900
2026-02-10T12:22:21.893,2.5,0.0,4.85,1.30,0.00,11.17,27,7,0.0,12.1,11.9,4377,1640,901,900,897,896,895,901,900,900,900,898,900,900,899,3215
2026-02-10T12:22:23.257,3.1,0.0,4.75,1.10,0.00,11.42,27,9,0.0,230.5,12.0,3103,4331,1587,3924,935,1168,2981,905,1389,1625,4624,951,1403,4326,1531,900
2026-02-10T12:22:24.545,8.1,0.0,7.60,3.26,0.00,11.75,27,25,0.0,0.0,12.1,3856,1042,1757,2615,2246,1144,1054,1436,1373,965,942,999,1036,900,1023,1400
2026-02-10T12:22:25.837,7.5,0.0,7.42,1.62,0.00,11.71,27,21,0.0,18.7,12.0,2890,1045,900,890,1292,2327,900,897,1128,1039,900,900,901,900,900,1003
2026-02-10T12:22:27.185,4.5,0.0,4.97,1.00,0.00,11.61,27,11,0.0,0.0,11.9,2776,1282,1794,899,900,1551,900,896,900,3512,900,1149,900,896,1213,896
2026-02-10T12:22:28.477,2.7,0.0,4.55,1.01,0.00,11.15,27,8,0.0,6.2,11.9,4900,1463,900,900,900,893,898,901,900,4044,900,900,900,900,900,899
2026-02-10T12:22:29.841,2.9,0.1,4.72,1.12,0.00,11.40,27,9,0.0,142.4,11.9,2447,2623,901,897,900,900,899,901,900,1214,900,898,3271,900,1053,900
2026-02-10T12:22:31.201,3.2,0.0,4.76,1.17,0.00,11.55,27,7,0.0,0.0,11.9,2840,3541,1682,901,900,900,896,1290,1419,900,895,887,900,900,1178,894
2026-02-10T12:22:32.521,2.6,0.0,4.61,1.16,0.00,11.55,27,7,0.0,0.0,11.9,2479,1413,900,900,901,898,887,898,1261,3925,900,895,900,900,900,900
2026-02-10T12:22:33.869,2.4,0.1,4.96,1.01,0.00,11.43,27,5,0.0,298.3,11.9,1831,2500,912,900,900,897,900,900,1143,1312,900,896,3740,893,1263,1093
2026-02-10T12:22:35.173,3.9,0.0,4.85,1.23,0.00,11.43,27,9,0.0,0.0,11.9,3003,2165,1028,889,900,900,900,900,901,900,4162,900,900,900,900,900
2026-02-10T12:22:36.517,3.0,0.0,4.46,1.03,0.00,11.40,27,7,0.0,0.0,11.9,3973,1077,900,895,900,900,894,1388,900,1350,3709,883,957,900,895,900
2026-02-10T12:22:37.880,2.6,0.0,4.58,1.11,0.00,11.36,27,7,0.0,0.0,11.9,4236,1164,900,3594,899,900,900,900,900,900,896,900,900,900,1449,900
