timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu_temp_c,gpu_util_pct,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-10T12:09:29.757,3.1,0.0,7.14,1.98,0.00,11.18,27,7,0.0,0.0,12.0,4681,1204,900,900,900,900,2521,900,1261,1094,900,894,900,900,900,901
2026-02-10T12:09:31.133,2.4,0.0,4.58,1.01,0.00,11.25,27,7,0.0,0.0,12.0,2714,4857,1839,901,900,900,900,900,900,900,899,900,889,896,899,900
2026-02-10T12:09:32.509,6.3,0.1,7.17,2.81,0.00,11.94,27,23,0.0,192.2,12.2,4373,1741,1266,937,3395,920,909,1188,1380,899,1481,900,998,1181,905,1191
2026-02-10T12:09:33.881,7.0,0.0,6.15,2.01,0.00,11.95,27,25,0.0,0.0,12.2,1570,3339,1715,1379,1003,1297,900,1071,1281,1577,989,900,1307,913,1012,2694
2026-02-10T12:09:35.189,5.8,0.0,5.51,1.39,0.00,12.05,27,12,0.0,12.3,11.9,3529,964,899,900,900,896,3354,900,901,897,900,1136,900,900,900,900
2026-02-10T12:09:36.541,3.0,0.0,5.86,1.11,0.00,11.71,27,5,0.0,0.0,11.9,3309,3256,900,900,900,900,900,900,901,900,900,900,901,900,901,900
2026-02-10T12:09:37.909,2.7,0.0,5.44,1.00,0.00,11.35,27,5,0.0,0.0,12.0,4297,3528,1358,900,900,895,1536,894,900,900,896,900,900,901,900,900
2026-02-10T12:09:39.245,3.2,0.0,5.13,1.26,0.00,11.25,27,10,0.0,20.1,11.9,1166,2280,1287,1524,2814,1202,1370,1609,1407,898,900,900,900,900,900,900
2026-02-10T12:09:40.541,2.8,0.0,4.83,0.97,0.00,11.15,27,5,0.0,113.5,11.9,3804,1535,1666,899,1723,898,894,3892,900,900,900,900,901,900,900,900
2026-02-10T12:09:41.889,2.7,0.0,4.64,1.02,0.00,11.44,27,7,0.0,0.0,11.9,3704,1208,898,895,900,900,1390,4379,900,900,897,899,900,901,900,900
