timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu_temp_c,gpu_util_pct,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-10T12:11:10.883,4.3,0.0,6.96,1.77,0.00,11.46,27,5,0.0,0.0,11.8,2667,1208,1987,900,897,900,900,899,868,900,900,2156,900,900,900,895
2026-02-10T12:11:12.257,3.8,0.0,4.48,0.88,0.00,11.58,27,7,0.0,0.0,11.8,4657,1278,4292,900,900,900,900,900,895,900,900,900,900,900,900,896
2026-02-10T12:11:13.617,4.2,0.0,5.58,1.07,0.00,11.50,27,9,0.0,0.0,11.8,3583,1315,1483,1376,3760,1718,1678,4798,4736,1935,4664,4863,3475,2592,4864,3171
2026-02-10T12:11:14.933,7.4,0.0,27.78,19.85,0.00,11.54,27,7,0.0,0.0,11.9,4833,4739,4756,4791,4844,4432,4871,3582,4890,4832,4906,4837,4891,4396,4890,4810
2026-02-10T12:11:16.272,8.3,0.0,30.83,24.57,0.00,11.36,27,7,0.0,0.0,11.9,4735,4861,4739,4327,4900,3655,4220,4805,4888,4742,4662,4713,4878,3784,4837,3514
2026-02-10T12:11:17.612,8.2,0.1,31.20,25.16,0.00,11.30,27,14,0.0,166.3,12.1,4687,4245,4772,4475,4791,4217,4896,4687,4800,3694,4676,4716,4630,3844,3890,4188
2026-02-10T12:11:18.956,10.4,0.0,35.97,30.32,0.00,11.97,27,21,0.0,0.0,12.2,4857,4064,3465,4729,3718,4834,4760,4700,4656,3873,4680,4013,4818,3212,4213,4789
2026-02-10T12:11:20.296,9.9,0.0,35.06,29.42,0.00,12.01,27,16,0.0,0.0,12.0,4846,4275,4503,4692,4834,4866,4401,4831,4879,4731,3377,3972,4379,4752,4851,4734
2026-02-10T12:11:21.644,8.6,0.0,32.83,27.26,0.00,11.65,27,11,0.0,0.0,11.9,4882,4658,4777,4337,4725,4747,4894,4869,4886,3565,4713,4831,4847,3057,3026,4874
2026-02-10T12:11:22.980,7.4,0.1,31.05,25.02,0.00,11.30,27,7,0.0,115.1,11.9,4856,4335,4702,4865,3766,4880,4070,4900,4890,4686,4345,4226,4877,3689,4628,4800
2026-02-10T12:11:24.320,7.2,0.0,32.45,24.98,0.00,11.40,27,5,0.0,0.0,11.9,4852,4871,4227,4879,4770,4789,4483,4891,4882,4484,3241,4900,3674,4839,4828,4841
2026-02-10T12:11:25.641,7.7,0.0,31.76,25.52,0.00,11.59,27,7,0.0,0.0,11.9,4894,4634,4704,4577,4333,4184,4770,4858,4881,4779,4850,4890,4062,4752,4838,4894
2026-02-10T12:11:26.961,7.1,0.0,33.28,24.80,0.00,11.48,27,7,0.0,0.0,11.9,4864,4848,4888,4832,4890,4848,4896,3801,4890,4757,4077,4306,4410,4711,3841,4876
2026-02-10T12:11:28.280,7.2,0.0,32.04,25.20,0.00,11.42,27,5,0.0,31.2,11.9,4874,4776,3976,4896,4509,4769,4838,4527,4812,4726,3926,4748,4844,4736,4382,3646
2026-02-10T12:11:29.624,7.4,0.0,31.26,25.69,0.00,11.47,27,7,0.0,0.0,11.9,4888,4819,2301,4772,4893,3700,4783,4900,4890,4900,4715,4766,4326,4705,4874,4067
2026-02-10T12:11:30.900,7.3,0.0,30.43,24.88,0.00,11.62,27,7,0.0,0.0,11.9,4874,4833,4744,4900,4814,4805,4433,4068,4891,4093,4237,4896,4709,4874,4706,3459
2026-02-10T12:11:32.240,7.4,0.0,30.48,24.92,0.00,11.81,27,9,0.0,0.0,11.9,4846,4753,4185,4819,4895,4767,4900,4398,4888,4700,4299,4703,4667,4855,4716,3595
2026-02-10T12:11:33.580,9.6,0.0,35.63,29.77,0.00,12.01,27,21,0.0,149.4,12.1,4782,4638,3808,4847,4702,3993,4349,4894,4871,4277,3875,4190,4804,4816,3561,4842
2026-02-10T12:11:34.920,9.6,0.0,35.78,30.14,0.00,11.96,27,29,0.0,0.0,12.2,4849,3906,3590,2652,4900,4630,4550,4878,4860,4890,4458,4694,4822,4410,3451,4746
2026-02-10T12:11:36.260,8.8,0.0,35.64,28.86,0.00,12.05,27,9,0.0,0.0,11.9,4873,4452,4075,3297,4900,4835,4786,4900,4885,3158,4853,4333,4615,4384,4853,4130
2026-02-10T12:11:37.600,7.8,0.0,32.71,25.72,0.00,11.66,27,5,0.0,145.4,11.9,4896,4764,2712,3193,4900,4243,4689,4741,4889,4767,4900,4781,4825,4831,4317,4900
2026-02-10T12:11:38.940,7.4,0.0,30.50,24.65,0.00,11.50,27,6,0.0,0.0,11.9,4836,4768,4792,4306,4858,3956,4415,4700,4890,4844,1044,4444,4848,4799,4176,4874
2026-02-10T12:11:40.280,7.7,0.0,31.36,25.79,0.00,11.60,27,11,0.0,0.0,11.9,4841,3801,4865,4741,4856,4057,4147,4875,4700,4043,4882,4812,4165,4794,3704,3724
2026-02-10T12:11:41.617,7.7,0.0,30.95,25.13,0.00,11.49,27,7,0.0,45.6,11.9,4891,4594,4876,4837,4890,4882,4191,4810,4817,4100,2530,4820,3765,4894,4783,4735
