timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-16T04:24:26.569,0.0,0.0,3.76,0.40,0.00,14.80,8.52,26,0,288,6.28,27,0,11,0.0,0.0,5.7,3011,3061,1490,1518,902,2127,900,1721,2945,2977,901,901,901,901,3168,901
2026-02-16T04:24:27.849,0.2,0.0,3.53,0.36,0.00,14.85,8.50,26,0,288,6.35,27,0,11,0.0,0.0,5.7,3265,3104,1638,1001,906,900,900,1562,900,901,900,900,901,900,900,901
2026-02-16T04:24:29.229,0.2,0.0,3.70,0.36,0.00,14.84,8.48,26,0,288,6.36,27,0,11,0.0,80.0,5.7,3600,2085,2502,1263,900,900,901,901,3165,901,900,901,900,901,901,901
2026-02-16T04:24:30.609,0.2,0.0,3.54,0.36,0.00,14.63,8.42,26,0,288,6.21,27,0,11,0.0,0.0,5.7,3394,1747,991,1573,900,900,900,1605,1660,3212,899,901,882,900,900,901
2026-02-16T04:24:31.989,0.2,0.0,3.76,0.36,0.00,14.90,8.48,26,0,288,6.42,27,0,11,0.0,46.4,5.7,3600,3506,900,901,900,900,3206,900,1514,900,901,901,901,900,900,901
2026-02-16T04:24:33.369,0.2,0.0,3.41,0.32,0.00,15.27,8.64,26,0,288,6.63,27,0,11,0.0,0.0,5.7,3600,1412,1599,1515,900,900,3092,900,1562,901,901,901,901,900,900,901
2026-02-16T04:24:34.745,0.3,0.0,3.63,0.34,0.00,14.71,8.46,26,0,288,6.25,27,0,11,0.0,0.0,5.7,3600,2348,1155,1336,900,900,2841,900,901,901,900,900,901,901,900,900
2026-02-16T04:24:36.129,0.2,0.0,3.78,0.38,0.00,14.67,8.42,26,0,288,6.25,27,0,11,0.0,0.0,5.7,3366,1454,1616,1526,900,900,1550,2628,901,901,901,900,901,900,900,901
2026-02-16T04:24:37.505,0.2,0.0,3.62,0.34,0.00,14.76,8.47,26,0,288,6.29,27,0,11,0.0,46.4,5.7,2199,1529,1615,1368,1438,2928,900,900,901,901,901,900,901,901,900,901
2026-02-16T04:24:38.885,1.3,0.0,4.55,1.10,0.00,14.48,7.96,26,0,288,6.52,27,0,11,0.0,0.0,5.7,3600,1609,1591,901,1710,900,900,900,900,901,901,901,901,901,3214,901
2026-02-16T04:24:40.269,0.3,0.0,2.81,0.21,0.00,13.45,6.87,26,0,288,6.58,27,0,11,0.0,0.0,5.7,3364,3137,1495,909,901,900,901,1687,900,901,901,901,900,901,900,900
2026-02-16T04:24:41.653,0.3,0.0,2.70,0.20,0.00,12.74,6.42,26,0,288,6.32,27,0,11,0.0,5.8,5.7,2522,1910,1738,900,901,1484,900,901,901,901,901,900,901,900,3193,900
2026-02-16T04:24:43.037,0.3,0.0,2.64,0.18,0.00,12.50,6.30,26,0,288,6.20,27,0,11,0.0,11.6,5.7,3606,2803,3336,901,1723,900,1598,1128,901,901,901,901,901,900,901,900
2026-02-16T04:24:44.421,0.2,0.0,2.85,0.25,0.00,12.63,6.39,26,0,288,6.24,27,0,11,0.0,0.0,5.7,3563,1882,1628,1451,1664,900,1493,1684,900,3243,901,900,900,900,901,900
2026-02-16T04:24:45.809,0.3,0.0,2.63,0.19,0.00,12.60,6.36,26,0,288,6.24,27,0,11,0.0,0.0,5.7,3453,1286,3299,1422,901,900,901,1629,901,900,901,901,901,901,900,901
2026-02-16T04:24:47.193,0.2,0.0,2.64,0.21,0.00,13.36,6.70,26,0,288,6.66,27,0,11,0.0,0.0,5.7,3473,1537,1120,1644,901,900,1601,1700,901,3207,901,901,901,901,901,901
2026-02-16T04:24:48.581,0.3,0.0,2.93,0.28,0.00,12.81,6.44,26,0,288,6.37,27,0,11,0.0,25.9,5.7,3600,3156,3600,952,934,900,901,1569,900,900,901,901,901,901,901,900
2026-02-16T04:24:49.969,0.3,0.0,2.75,0.22,0.00,12.64,6.38,26,0,288,6.26,27,0,11,0.0,0.0,5.7,3598,1730,1546,1519,1686,900,901,900,901,901,901,900,900,901,3302,900
2026-02-16T04:24:51.357,0.2,0.0,2.90,0.29,0.00,12.55,6.30,26,0,288,6.25,27,0,11,0.0,0.0,5.7,3606,1462,952,900,1593,900,901,901,1657,900,901,900,901,901,3274,901
2026-02-16T04:24:52.745,0.3,0.0,2.80,0.28,0.00,12.77,6.45,26,0,288,6.32,27,0,11,0.0,0.0,5.7,3600,1914,952,901,1600,900,3302,1606,1538,901,901,900,901,901,901,900
2026-02-16T04:24:54.133,0.3,0.0,2.75,0.22,0.00,13.37,6.78,26,0,288,6.59,27,0,11,0.0,28.9,5.7,3595,1755,901,1225,1555,900,901,901,901,901,901,901,901,901,3082,901
2026-02-16T04:24:55.517,0.3,0.0,2.78,0.19,0.00,12.85,6.44,26,0,288,6.41,27,0,11,0.0,0.0,5.7,3600,1537,951,901,1557,900,900,900,901,901,900,901,900,901,3268,901
2026-02-16T04:24:56.905,0.3,0.0,2.88,0.21,0.00,12.71,6.35,26,0,288,6.36,27,0,11,0.0,98.0,5.7,3250,1992,1623,1587,1598,900,900,900,901,901,901,900,900,900,3220,901
2026-02-16T04:24:58.293,0.3,0.0,3.25,0.30,0.00,12.56,6.28,26,0,288,6.28,27,0,11,0.0,0.0,5.7,3600,3120,1745,1475,1573,900,1098,1749,901,900,901,900,901,901,900,901
2026-02-16T04:24:59.681,0.3,0.0,3.37,0.32,0.00,12.57,6.28,26,0,288,6.29,27,0,11,0.0,28.8,5.7,3600,3000,901,901,1654,900,3321,901,901,901,901,901,900,1144,974,901
2026-02-16T04:25:01.065,0.3,0.0,3.37,0.31,0.00,13.23,6.66,26,0,288,6.57,27,0,11,0.0,0.0,5.7,3595,2834,909,901,900,900,3201,901,901,901,901,900,901,901,901,900
2026-02-16T04:25:02.449,0.2,0.0,2.98,0.26,0.00,12.61,6.32,26,0,288,6.29,27,0,11,0.0,0.0,5.7,3600,2803,900,1331,1562,900,900,1468,901,901,900,901,901,901,2933,901
2026-02-16T04:25:03.837,0.3,0.0,3.14,0.27,0.00,12.63,6.39,26,0,288,6.24,27,0,11,0.0,0.0,5.7,3600,1605,900,901,1302,900,901,901,900,901,901,901,900,900,3278,900
2026-02-16T04:25:05.225,0.3,0.0,3.61,0.32,0.00,12.67,6.45,26,0,288,6.22,27,0,11,0.0,23.0,5.7,3600,3248,903,900,900,900,901,900,1433,900,901,901,900,901,3261,900
2026-02-16T04:25:06.613,0.3,0.0,3.39,0.34,0.00,12.46,6.22,26,0,288,6.24,27,0,11,0.0,0.0,5.7,3595,1549,918,1117,1550,900,3293,1558,1499,901,901,900,901,900,900,901
2026-02-16T04:25:08.001,0.3,0.0,3.31,0.33,0.00,12.88,6.43,26,0,288,6.45,27,0,11,0.0,0.0,5.7,3600,1490,941,901,1558,900,901,1499,901,901,901,901,901,901,2737,901
2026-02-16T04:25:09.381,0.2,0.0,3.44,0.35,0.00,12.75,6.63,26,0,288,6.12,27,0,11,0.0,0.0,5.7,3600,1064,900,901,1523,900,3345,1686,1390,901,901,901,900,901,901,901
2026-02-16T04:25:10.765,0.3,0.0,3.40,0.35,0.00,12.43,6.25,26,0,288,6.18,27,0,11,0.0,2.9,5.7,3585,1521,934,1738,3500,900,901,901,1468,900,901,901,901,901,3182,901
2026-02-16T04:25:12.149,0.2,0.0,3.64,0.34,0.00,12.53,6.25,26,0,288,6.28,27,0,11,0.0,8.6,5.7,3605,1450,906,901,901,900,900,901,1339,901,901,901,900,901,2892,900
2026-02-16T04:25:13.537,0.3,0.0,3.51,0.32,0.00,12.54,6.28,26,0,288,6.26,27,0,11,0.0,0.0,5.7,3595,1698,900,900,1552,900,3293,1656,1547,901,901,901,900,901,901,901
2026-02-16T04:25:14.925,0.3,0.0,3.61,0.33,0.00,12.70,6.36,26,0,288,6.34,27,0,11,0.0,0.0,5.7,3600,2743,900,900,1597,900,2851,900,901,901,901,900,901,901,901,901
2026-02-16T04:25:16.305,0.3,0.0,3.60,0.37,0.00,13.17,6.61,26,0,288,6.56,27,0,11,0.0,0.0,5.7,3600,1249,900,900,901,900,900,901,900,901,901,901,901,901,3260,900
2026-02-16T04:25:17.693,0.2,0.0,3.48,0.36,0.00,12.50,6.28,26,0,288,6.22,27,0,11,0.0,11.5,5.7,3600,3063,903,1360,1533,900,3286,901,901,901,901,900,901,900,900,901
2026-02-16T04:25:19.081,0.2,0.0,3.68,0.38,0.00,12.50,6.26,26,0,288,6.24,27,0,11,0.0,0.0,5.7,3600,1646,900,900,901,900,3295,900,901,901,901,900,900,901,901,901
2026-02-16T04:25:20.469,0.3,0.0,3.61,0.36,0.00,12.48,6.25,26,0,288,6.23,27,0,11,0.0,0.0,5.7,3245,1598,1647,1517,1663,900,901,994,901,3345,900,901,900,901,901,901
2026-02-16T04:25:21.857,0.3,0.0,3.58,0.36,0.00,12.64,6.31,26,0,288,6.33,27,0,11,0.0,2.9,5.7,3600,3094,3600,1551,914,900,1516,900,901,900,901,900,900,900,900,901
2026-02-16T04:25:23.241,0.3,0.0,3.64,0.38,0.00,13.28,6.77,26,0,288,6.51,27,0,11,0.0,75.0,5.7,3406,3182,1555,951,1556,900,1539,1602,901,913,901,901,901,901,900,901
