timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-16T04:28:00.437,0.0,0.0,3.59,0.43,0.00,13.14,6.55,26,0,288,6.59,27,0,11,2815.3,0.0,5.7,3600,2695,900,901,1561,901,900,1600,1264,900,901,2338,900,900,901,900
2026-02-16T04:28:01.813,0.3,0.0,3.61,0.32,0.00,13.14,6.84,26,0,288,6.30,27,0,11,285.6,0.0,5.7,3600,2147,1765,901,901,901,900,1718,901,901,901,3305,901,900,901,901
2026-02-16T04:28:03.197,0.3,0.0,3.29,0.35,0.00,12.69,6.41,26,0,288,6.28,27,0,11,16776.7,0.0,5.7,3600,3600,3611,3198,3607,3606,3599,3219,1368,920,3501,901,1364,2180,1781,1253
2026-02-16T04:28:04.565,1.9,0.2,11.18,1.40,0.00,12.65,6.38,26,0,288,6.27,27,0,11,2531309.9,0.0,5.8,3600,2848,3600,3452,3144,3600,1939,3600,3600,3600,3600,3600,3592,3599,3600,3600
2026-02-16T04:28:05.953,0.6,0.2,12.41,1.92,0.00,12.65,6.38,26,0,288,6.27,27,0,11,3069827.3,31.8,5.8,3600,3600,3600,3600,3069,3595,3601,3600,3600,3600,3600,3600,3600,3600,3600,3606
2026-02-16T04:28:07.341,0.6,0.0,12.42,1.92,0.00,12.82,6.43,26,0,288,6.39,27,0,11,3081293.4,0.0,5.8,3600,2826,3600,3600,3281,3588,3600,3600,3600,3600,3600,3606,3600,3600,3606,3600
2026-02-16T04:28:08.717,0.7,0.0,12.61,2.12,0.00,12.78,6.54,26,0,288,6.24,27,0,11,3078570.7,0.0,5.8,3600,3600,3600,3600,3303,3594,3600,3600,3601,3600,3593,3600,3611,3600,3600,3600
2026-02-16T04:28:10.101,0.8,0.0,12.66,2.18,0.00,12.65,6.39,26,0,288,6.26,27,0,11,3078026.0,0.0,5.8,3600,3600,3600,3594,3111,3600,3600,3600,3594,3600,3600,3600,3609,3599,3600,3594
2026-02-16T04:28:11.485,0.7,0.1,12.49,2.01,0.00,12.74,6.40,26,0,288,6.34,27,0,11,3075875.2,31.8,5.8,3600,3601,3600,3594,3227,3594,3600,3600,3600,3600,3600,3594,3600,3600,3599,3594
2026-02-16T04:28:12.869,0.8,0.0,12.46,1.98,0.00,12.70,6.44,26,0,288,6.26,27,0,11,3078182.6,0.0,5.8,3600,3600,3600,3606,3121,3606,3600,3600,3606,3607,3034,3600,3611,3600,3600,3600
2026-02-16T04:28:14.253,0.8,0.0,12.51,2.03,0.00,13.02,6.54,26,0,288,6.48,27,0,11,3078088.2,0.0,5.8,3600,3213,3597,3600,3328,3600,3600,3600,3593,3600,3600,3600,3613,3600,3605,3594
2026-02-16T04:28:15.625,0.9,0.0,12.56,2.07,0.00,13.56,6.89,26,0,288,6.67,27,0,11,3078112.5,0.0,5.8,3600,2785,3600,3607,3269,3600,3600,3600,3600,3600,3597,3594,3600,3594,3600,3600
2026-02-16T04:28:17.001,0.7,0.0,12.61,2.13,0.00,12.77,6.51,26,0,288,6.26,27,0,11,3080007.9,2.9,5.8,3600,3600,3599,3600,3079,3600,3600,3600,3600,3600,3600,3600,3588,3600,3594,3600
2026-02-16T04:28:18.377,0.7,0.1,12.40,1.92,0.00,12.77,6.49,26,0,288,6.28,27,0,11,3077317.0,8.6,5.8,3600,2763,3596,3600,3302,3600,3600,3605,3594,3600,3600,3525,3613,3600,3605,3606
2026-02-16T04:28:19.753,0.7,0.0,12.48,1.99,0.00,12.72,6.47,26,0,288,6.25,27,0,11,3074735.0,0.0,5.8,3600,3600,3600,3600,3295,3600,3600,3600,3600,3600,3600,3600,2561,3600,3606,3606
2026-02-16T04:28:21.121,0.9,0.3,12.44,1.95,0.00,12.79,6.40,26,0,288,6.39,27,0,11,3076409.3,82.2,5.8,3600,3600,3598,3600,3187,3594,3606,3606,3600,3600,3594,3600,3587,3601,3600,3594
2026-02-16T04:28:22.477,0.6,0.0,12.38,1.90,0.00,13.75,7.12,26,0,288,6.63,27,0,11,3077151.2,2.9,5.8,3600,3600,3600,3600,3600,3606,3600,3600,3600,3607,3391,3600,3600,3600,3600,3600
2026-02-16T04:28:23.857,0.6,0.1,12.56,2.08,0.00,12.96,6.56,26,0,288,6.40,27,0,11,3070236.4,26.1,5.8,3600,2696,3600,3600,3600,3600,3594,3595,3600,3600,3177,3599,3600,3600,3600,3600
2026-02-16T04:28:25.216,0.7,0.0,12.62,2.14,0.00,12.74,6.47,26,0,288,6.27,27,0,11,3073888.9,0.0,5.8,3600,3600,3600,3600,3594,3600,3596,3600,3594,3600,3112,3600,3606,3600,3600,3600
2026-02-16T04:28:26.593,0.5,0.0,12.51,2.02,0.00,12.67,6.40,26,0,288,6.27,27,0,11,3071936.3,0.0,5.8,3600,3227,3600,3600,3600,3600,3600,3606,3600,3600,3184,3605,3600,3600,3600,3594
2026-02-16T04:28:27.961,0.5,0.0,12.44,1.96,0.00,12.75,6.49,26,0,288,6.26,27,0,11,3074530.1,2.9,5.8,3600,2895,3600,3594,3593,3600,3597,3600,3600,3600,3127,3606,3600,3599,3594,3600
2026-02-16T04:28:29.337,0.7,0.0,12.47,1.99,0.00,13.31,6.68,26,0,288,6.63,27,0,11,3077106.4,17.7,5.8,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3130,3600,3600,3600,3600,3600
2026-02-16T04:28:30.725,0.8,0.1,12.56,2.08,0.00,12.90,6.56,26,0,288,6.34,27,0,11,3073515.7,8.6,5.8,3600,3600,3600,3606,3600,3600,3600,3600,3600,3600,3197,3598,3600,3600,3600,3594
2026-02-16T04:28:32.113,0.8,0.0,12.61,2.12,0.00,12.76,6.49,26,0,288,6.27,27,0,11,3077266.1,0.0,5.8,3600,3600,3392,3600,3593,3600,3600,3600,3600,3600,3148,3594,3600,3600,3595,3600
2026-02-16T04:28:33.473,0.7,0.0,12.64,2.15,0.00,12.64,6.33,26,0,288,6.31,27,0,11,3075517.4,5.9,5.8,3600,3601,3600,3594,3607,3600,3600,3600,3607,3594,3178,3607,3606,3600,3600,3600
2026-02-16T04:28:34.857,0.7,0.0,12.49,2.01,0.00,12.81,6.42,26,0,288,6.39,27,0,11,3074358.2,0.0,5.8,3601,3600,3599,3600,3600,3594,3600,3600,3600,3594,3210,3607,3600,1683,3600,3600
2026-02-16T04:28:36.237,0.9,0.0,12.53,2.04,0.00,13.19,6.58,26,0,288,6.61,27,0,11,3077468.3,0.0,5.8,3597,3479,3599,3600,3600,3605,3600,3600,3600,3593,3600,3600,3600,2963,3600,3594
2026-02-16T04:28:37.589,0.9,0.2,12.59,2.10,0.00,12.75,6.36,26,0,288,6.39,27,0,11,3070976.2,14.7,5.8,3599,3600,3600,3598,3600,3609,3600,3605,3600,3600,3600,3600,3594,3196,3600,3600
2026-02-16T04:28:38.969,0.6,0.0,12.59,2.11,0.00,12.75,6.41,26,0,288,6.34,27,0,11,3071236.1,2.9,5.8,3600,2951,3600,3600,3607,3600,3600,3606,3606,3600,3066,1691,3600,3600,3600,3600
2026-02-16T04:28:40.349,1.0,0.0,12.60,2.11,0.00,12.56,6.34,26,0,288,6.22,27,0,11,3070626.0,0.0,5.8,3600,2290,3600,3600,3600,3600,3600,3600,3600,3600,3101,3600,3607,3600,3595,3600
2026-02-16T04:28:41.729,0.5,0.0,12.56,2.08,0.00,12.64,6.41,26,0,288,6.23,27,0,11,3073996.3,5.8,5.8,3600,3600,3597,3600,3600,3600,3600,3594,3600,3600,3303,3595,3594,2359,3600,3600
2026-02-16T04:28:43.109,0.6,0.0,12.52,2.05,0.00,13.09,6.64,26,0,288,6.45,27,0,11,3072651.7,0.0,5.8,3598,3156,3600,3600,3593,3600,3600,3600,3600,3593,3596,3600,3600,3304,3600,3594
2026-02-16T04:28:44.481,0.5,0.1,12.47,1.99,0.00,13.13,6.90,26,0,288,6.23,27,0,11,3074934.9,11.6,5.8,3600,3600,3594,3594,3607,3600,3600,3606,3600,3600,3600,3600,3600,3107,3600,3600
2026-02-16T04:28:45.865,0.6,0.0,12.54,2.06,0.00,12.61,6.37,26,0,288,6.24,27,0,11,3077288.2,0.0,5.8,3600,3207,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3593,3024,3595,3600
2026-02-16T04:28:47.249,0.7,0.0,12.52,2.03,0.00,12.77,6.45,26,0,288,6.32,27,0,11,3074936.5,0.0,5.8,2446,3597,3600,3360,3606,3600,3606,3594,3586,3600,3600,3600,3600,3075,3600,3600
2026-02-16T04:28:48.605,0.7,0.2,12.54,2.05,0.00,12.61,6.34,26,0,288,6.27,27,0,11,3078068.7,20.9,5.8,3600,3600,3600,3600,3600,3600,3600,3606,3600,3600,3600,3600,3600,3267,3600,3606
