timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-16T04:26:09.744,0.0,0.0,3.40,0.35,0.00,12.34,6.19,26,0,288,6.15,27,0,11,0.0,0.0,5.7,2638,3570,1712,989,1731,900,900,1819,901,901,901,3333,3600,901,3196,901
2026-02-16T04:26:11.109,0.3,0.0,2.89,0.30,0.00,12.55,6.34,26,0,288,6.21,27,0,11,0.0,0.0,5.7,3599,1959,1559,901,901,900,3228,900,901,901,901,901,900,901,901,901
2026-02-16T04:26:12.497,0.3,0.0,3.29,0.24,0.00,12.94,6.51,26,0,288,6.43,27,0,11,0.0,0.0,5.7,3600,3601,1526,3600,3594,3600,3561,2124,1186,900,901,900,1579,2060,3192,1403
2026-02-16T04:26:13.881,2.5,0.0,10.01,1.32,0.00,13.08,6.84,26,0,288,6.24,27,0,11,0.0,1942121.9,5.8,3518,1121,1171,2162,1156,1123,1148,1164,1161,1177,1265,1145,1040,1152,3213,1343
2026-02-16T04:26:15.253,2.3,0.1,10.54,0.87,0.00,12.67,6.40,26,0,288,6.27,27,0,11,0.0,2329771.2,5.8,3586,1301,1044,1326,2245,1149,3028,1119,1077,1105,1014,1100,1173,1134,1059,1293
2026-02-16T04:26:16.653,2.1,0.0,10.62,0.85,0.00,12.67,6.35,26,0,288,6.32,27,0,11,0.0,2349990.3,5.8,3600,1495,1001,2046,2223,1353,3050,1176,1033,914,1115,1080,1210,1072,1065,1336
2026-02-16T04:26:18.041,2.4,0.0,10.64,0.88,0.00,12.52,6.26,26,0,288,6.26,27,0,11,0.0,2346281.2,5.8,2891,2202,1001,1596,1864,1268,1253,1040,930,1001,1086,1228,1244,1120,2786,1288
2026-02-16T04:26:19.433,2.1,0.0,10.66,0.84,0.00,12.82,6.39,26,0,288,6.43,27,0,11,0.0,2349705.2,5.8,2940,3021,1001,1091,1001,3100,1947,1101,1170,1081,1089,1069,1132,1001,1000,1274
2026-02-16T04:26:20.793,2.1,0.1,10.67,0.83,0.00,13.39,6.75,26,0,288,6.64,27,0,11,0.0,2279601.7,5.8,2581,2303,1017,1783,1001,1022,1065,969,900,982,1085,1010,1179,1000,937,3188
2026-02-16T04:26:22.181,2.2,0.0,10.73,0.87,0.00,12.66,6.39,26,0,288,6.27,27,0,11,0.0,2251701.5,5.8,3273,1943,1396,1085,2017,1611,1001,1029,1163,1197,1171,1075,1001,1074,1078,3145
2026-02-16T04:26:23.557,2.0,0.0,10.74,0.89,0.00,12.60,6.33,26,0,288,6.27,27,0,11,0.0,2275085.9,5.8,3485,1486,1064,1087,1035,1522,1179,1150,1032,1101,1159,1001,1274,1127,2973,1143
2026-02-16T04:26:24.957,2.0,0.2,10.54,0.87,0.00,12.71,6.37,26,0,288,6.34,27,0,11,0.0,2264176.3,5.8,3424,1686,1000,1087,1159,1156,1084,1083,1887,991,1001,1093,1143,1061,2929,1172
