timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-03-22T17:20:44.390,0.0,0.0,7.49,1.37,0.00,17.99,11.35,27,0,254,6.64,26,0,11,0.0,0.0,6.5,3600,3600,3600,3600,3600,3591,3595,3600,3600,3597,3600,3600,3600,3600,3600,3600
2026-03-22T17:20:45.720,0.2,0.0,4.09,0.43,0.00,17.95,11.35,27,0,254,6.60,26,0,11,0.0,59.5,6.5,3600,3600,3600,3605,3600,3595,3600,3605,3600,3600,3605,3598,3600,3600,3601,3600
2026-03-22T17:20:47.084,0.2,0.0,3.64,0.42,0.00,17.92,11.37,27,0,254,6.55,26,0,11,0.0,0.0,6.5,3595,3598,3600,3598,3600,3600,3595,3605,3604,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:20:48.444,0.2,0.0,4.18,0.55,0.00,17.85,11.40,27,0,254,6.45,26,0,11,0.0,0.0,6.5,3600,3594,3600,3600,3600,3600,3600,3605,3595,3600,3605,3596,3600,3600,3600,3600
2026-03-22T17:20:49.808,0.2,0.2,3.96,0.49,0.00,17.84,11.38,27,0,254,6.46,26,0,11,0.0,325.9,6.5,3600,3600,3600,3593,3600,3599,3600,3600,3600,3600,3600,3600,3600,3600,3604,3600
2026-03-22T17:20:51.168,0.2,0.0,3.78,0.53,0.00,17.85,11.24,27,0,254,6.61,26,0,11,0.0,0.0,6.5,3605,3600,3600,3598,3605,3600,3595,3605,3600,3600,3600,3605,3600,3605,3605,3600
2026-03-22T17:20:52.536,0.2,0.0,4.40,0.49,0.00,17.78,11.29,27,0,254,6.49,26,0,11,0.0,2.9,6.5,3600,3600,3600,3600,3604,3605,3600,3595,3595,3600,3600,3595,3600,3600,3595,3595
2026-03-22T17:20:53.912,0.2,0.0,3.45,0.44,0.00,17.85,11.28,27,0,254,6.57,26,0,11,0.0,0.0,6.5,3605,3600,3600,3600,3600,3600,3605,3600,3595,3600,3604,3590,3600,3600,3600,3600
2026-03-22T17:20:55.284,0.2,0.0,3.68,0.42,0.00,17.83,11.26,27,0,254,6.57,26,0,11,0.0,38.5,6.5,3597,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605
2026-03-22T17:20:56.656,0.2,0.0,3.44,0.44,0.00,17.69,11.20,27,0,254,6.49,26,0,11,0.0,14.6,6.5,3600,3600,3600,3600,3605,3595,3595,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:20:58.028,0.2,0.0,3.41,0.44,0.00,17.87,11.16,27,0,254,6.71,26,0,11,0.0,0.0,6.5,2867,3595,3600,3596,3600,3600,3600,3595,3600,3598,3605,3600,3605,3595,3600,3596
2026-03-22T17:20:59.400,0.2,0.1,3.59,0.39,0.00,17.96,11.09,27,0,254,6.87,26,0,11,0.0,20.4,6.5,3600,3600,3595,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3595,3600
2026-03-22T17:21:00.776,0.2,0.0,3.71,0.52,0.00,17.58,11.06,27,0,254,6.52,26,0,11,0.0,5.8,6.5,3600,3600,3595,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:21:02.156,0.3,0.0,3.81,0.48,0.00,17.53,11.02,27,0,254,6.51,26,0,11,0.0,0.0,6.5,3600,3599,3600,3600,3600,3600,3600,3605,3599,3600,3600,3600,3600,3596,3600,3600
2026-03-22T17:21:03.532,0.2,0.0,3.43,0.37,0.00,17.51,11.01,27,0,254,6.50,26,0,11,0.0,0.0,6.5,2885,3598,3595,3595,3600,3600,3595,3595,3600,3600,3600,3600,3605,3600,3604,3600
2026-03-22T17:21:04.908,0.3,0.1,3.83,0.42,0.00,17.51,10.92,27,0,254,6.59,26,0,11,0.0,20.4,6.5,3600,3598,3600,3595,3595,3600,3595,3596,3600,3600,3465,3600,3600,3600,3600,3600
2026-03-22T17:21:06.284,0.2,0.0,3.36,0.34,0.00,17.92,11.01,27,0,254,6.91,26,0,11,0.0,5.8,6.5,3600,3600,3600,3605,3600,3600,3595,3600,3600,3598,3605,3600,3605,3605,3596,3596
2026-03-22T17:21:07.660,0.2,0.0,3.32,0.41,0.00,17.72,11.24,27,0,254,6.48,26,0,11,0.0,8.7,6.5,3600,3600,3600,3600,3600,3605,3605,3600,3595,3600,3600,3600,3600,3600,3600,3596
2026-03-22T17:21:09.032,0.2,0.0,2.95,0.34,0.00,17.75,11.27,27,0,254,6.48,26,0,11,0.0,0.0,6.5,3600,3596,3605,3600,3600,3600,3605,3595,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:21:10.404,0.2,0.0,2.98,0.37,0.00,17.80,11.24,27,0,254,6.56,26,0,11,0.0,29.2,6.5,3600,3600,3600,3600,3605,3600,3600,3601,3600,3600,3600,3600,3600,3600,3605,3604
2026-03-22T17:21:11.776,0.3,0.0,3.26,0.31,0.00,17.69,11.23,27,0,254,6.46,26,0,11,0.0,5.8,6.5,3015,3600,3600,3600,3600,3595,3600,3600,3600,3604,3600,3600,3600,3595,3600,3600
