timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-03-22T17:41:13.102,0.0,0.0,5.81,1.24,0.00,18.97,12.57,54,0,254,6.40,31,0,11,2894.3,0.0,6.6,3589,3600,3600,3604,3600,3604,3596,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:41:14.468,0.2,0.0,3.69,0.49,0.00,18.92,12.47,54,0,254,6.45,31,0,11,0.0,0.0,6.6,3600,3600,3600,3600,3600,3600,3600,3596,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:41:15.840,15.9,1.8,21.64,13.10,0.00,18.97,12.45,54,0,254,6.52,31,0,11,279515.0,0.0,7.6,3600,3594,3600,3590,3473,3512,3522,3598,3600,3592,3591,3504,3591,3587,3588,3571
2026-03-22T17:41:16.897,24.8,0.8,30.76,20.86,0.00,18.93,12.39,53,0,254,6.54,31,0,11,25533.0,0.0,7.8,3600,3600,3600,3600,3600,3600,3586,3600,3600,3587,3600,3600,3390,3600,3600,3465
2026-03-22T17:41:18.260,25.6,1.1,31.66,21.85,0.00,18.81,12.43,53,0,257,6.38,31,0,11,71189.2,47.8,8.1,3600,3600,3478,3600,3600,3496,3600,3600,3429,3600,3600,3528,3600,3581,3600,3562
2026-03-22T17:41:19.596,24.6,1.2,30.88,20.85,0.00,18.93,12.44,53,0,257,6.49,31,0,11,77413.3,0.0,8.3,3600,3568,3565,3465,3583,3600,3368,3600,3473,3600,3447,3591,3600,3600,2401,3600
2026-03-22T17:41:20.972,22.0,0.1,26.67,17.92,0.00,19.00,12.44,52,0,257,6.56,31,0,11,3751.4,0.0,8.4,3600,3594,3592,3429,3600,3600,3535,3585,3600,3547,3506,3590,3600,3593,3600,3600
2026-03-22T17:41:22.336,22.9,1.0,29.36,19.12,0.00,34.96,28.53,54,15,920,6.43,31,0,11,467785.6,0.0,10.4,3600,3594,3600,3594,3598,3600,3588,3595,3600,3590,3600,3595,3600,3600,3584,3596
2026-03-22T17:41:23.424,26.3,0.1,30.06,22.26,0.00,58.61,51.92,56,35,938,6.69,31,0,11,0.0,101.1,10.5,3595,3600,3600,3600,3323,3588,3583,3482,3600,3600,3531,3600,3600,3600,3594,3600
2026-03-22T17:41:24.760,27.3,0.0,29.92,22.65,0.00,60.00,53.04,56,40,942,6.96,31,0,11,0.0,35.6,10.4,3594,3600,3578,3581,3600,3600,3600,3592,3595,3600,3580,3579,3600,3600,3600,3591
