timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-03-22T17:31:38.849,0.0,0.0,4.82,1.00,0.00,18.32,11.97,38,0,254,6.35,26,0,11,3582.4,0.0,6.5,3597,3600,3600,3600,3600,3600,3600,3600,3600,3605,3604,3600,3600,3600,3600,3596
2026-03-22T17:31:40.204,0.2,0.0,3.86,0.47,0.00,18.33,11.85,38,0,254,6.48,26,0,11,0.0,0.0,6.5,3600,3605,3605,3600,3600,3593,3599,3604,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:31:41.572,14.9,2.0,20.98,12.41,0.00,18.56,12.09,38,0,254,6.47,26,0,11,281380.6,0.0,7.6,3575,3598,3592,3586,3600,3594,3591,3592,3593,3580,3591,3581,3600,3593,3586,3588
2026-03-22T17:31:42.625,24.5,1.0,31.22,21.29,0.00,18.45,12.00,38,0,254,6.45,26,0,11,36481.3,0.0,7.8,3590,3594,3553,3592,3600,3287,3600,3600,3414,3600,3586,3435,3600,3593,3600,3600
2026-03-22T17:31:43.960,26.1,1.0,31.71,21.58,0.00,19.25,12.31,38,0,364,6.94,26,0,11,112277.8,57.0,8.5,3596,3592,3551,3600,3600,3537,3599,3584,3600,3539,3594,3586,3584,3593,3600,3581
2026-03-22T17:31:45.196,24.8,0.6,29.90,19.87,0.00,110.26,103.46,49,99,672,6.80,26,0,11,80828.9,0.0,9.3,3596,3600,3600,2953,3600,3600,3600,3600,3585,3600,3600,3385,3600,3361,3520,3600
2026-03-22T17:31:46.540,27.7,0.0,31.04,22.77,0.00,137.87,131.06,51,99,672,6.81,26,0,11,0.0,0.0,9.3,3591,3600,3562,3553,3601,3587,3600,3471,3600,3600,3596,3473,3580,3600,3600,3576
2026-03-22T17:31:47.800,26.8,0.0,29.20,22.00,0.00,138.25,131.36,52,99,672,6.89,26,0,11,0.0,256.5,9.3,3600,3572,3600,3490,3600,3600,3576,3543,3599,2340,3600,3356,3585,3600,3600,3543
2026-03-22T17:31:49.104,27.5,0.1,32.30,22.73,0.00,139.35,132.45,53,99,672,6.90,26,0,11,0.0,91.3,9.3,3600,3600,3586,3586,3538,3600,3600,3600,3600,3600,3600,3600,3600,3600,3590,3600
2026-03-22T17:31:50.440,27.4,0.0,29.61,22.40,0.00,139.57,132.49,53,99,672,7.08,26,0,11,0.0,11.9,9.3,3600,3600,3596,3517,3566,3600,3587,3589,3600,3600,3579,3585,3557,3588,3588,3589
2026-03-22T17:31:51.557,26.3,0.0,31.08,22.32,0.00,139.94,132.61,54,99,672,7.33,26,0,11,0.0,0.0,9.3,3600,3568,3580,3597,3600,3592,3600,3600,3600,3574,3579,3591,3600,3592,3600,3600
2026-03-22T17:31:52.629,27.3,0.0,30.68,22.69,0.00,139.55,132.62,55,99,672,6.93,26,0,11,0.0,0.0,9.3,3600,3372,3600,3600,3600,2887,3600,3589,3600,3600,3600,3600,3402,3578,3600,3587
2026-03-22T17:31:53.960,26.5,0.1,29.54,22.32,0.00,139.89,133.03,55,99,672,6.86,26,0,11,0.0,23.7,9.2,3600,3586,3578,3588,3600,3600,3591,3600,3600,3581,3586,3589,3600,3600,3589,3600
2026-03-22T17:31:55.049,27.8,0.0,29.76,22.51,0.00,140.08,133.21,55,99,672,6.87,26,0,11,0.0,7.2,9.3,3600,3600,3600,3586,3579,3573,3589,3597,3600,3600,3600,3589,3582,3577,3591,3596
2026-03-22T17:31:56.162,27.0,0.0,29.16,22.19,0.00,140.22,133.28,56,99,672,6.94,26,0,11,0.0,0.0,9.3,3600,3005,3585,3600,3599,3600,3600,3595,3600,3600,3592,3594,3330,3600,3600,3592
2026-03-22T17:31:57.520,26.8,0.0,29.48,21.45,0.00,140.38,133.44,56,99,672,6.94,26,0,11,0.0,0.0,9.3,3572,3600,3581,3569,3575,3600,3600,3586,3573,3600,3598,3551,3571,3600,3600,3600
2026-03-22T17:31:58.628,27.1,0.0,30.45,21.73,0.00,140.78,133.64,57,99,672,7.14,26,0,11,0.0,10.9,9.3,3600,3162,3600,3255,3592,3595,3469,3600,3600,2780,3600,3587,3531,3333,3600,3585
2026-03-22T17:31:59.964,26.4,0.0,29.10,21.69,0.00,140.72,133.74,57,99,672,6.98,26,0,11,0.0,29.5,9.3,3590,3600,3600,2760,3574,3555,3595,3600,3588,3600,3597,3601,3587,3600,3600,3588
2026-03-22T17:32:01.180,26.9,0.0,29.11,22.14,0.00,140.58,133.73,58,99,672,6.85,26,0,11,0.0,0.0,9.3,3587,3600,3571,3596,3593,3594,3567,3588,3582,3600,3575,3600,3598,3596,3565,3583
2026-03-22T17:32:02.273,27.8,0.1,29.62,22.37,0.00,140.58,133.70,58,99,672,6.88,26,0,11,363.9,0.0,9.3,3421,3600,3509,3600,3600,3600,3566,3588,3600,3600,3600,3397,3600,3588,3600,3591
2026-03-22T17:32:03.604,27.2,0.0,29.30,22.12,0.00,140.92,133.97,58,99,672,6.95,26,0,11,5.9,35.4,9.3,3600,3596,3597,3595,3595,3600,3591,3600,3600,3592,3596,3594,3595,3600,3591,3600
2026-03-22T17:32:04.695,27.6,0.0,29.41,22.46,0.00,141.06,134.01,59,99,672,7.05,26,0,11,0.0,0.0,9.3,3600,3600,3477,3593,3600,3600,3600,3589,3600,3600,3592,3580,3584,3600,3573,3600
