timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-03-22T17:27:47.721,0.0,0.6,5.85,1.30,0.00,18.44,11.78,44,0,254,6.66,26,0,11,2785.6,1676.5,6.5,3605,3600,3595,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605,3605
2026-03-22T17:27:49.076,0.2,0.0,3.85,0.45,0.00,18.58,11.99,44,0,254,6.59,26,0,11,0.0,0.0,6.5,3600,3600,3600,3600,3596,3600,3600,3605,3595,3600,3600,3604,3592,3600,3600,3600
2026-03-22T17:27:50.444,12.2,0.0,16.60,10.12,0.00,18.26,11.78,43,0,254,6.48,26,0,11,3745.0,0.0,6.9,3600,3600,3600,3460,3600,3600,3600,3600,3531,3600,3600,3600,3596,3589,3596,3367
2026-03-22T17:27:51.796,21.2,0.0,23.61,16.82,0.00,18.34,11.83,43,0,254,6.51,26,0,11,0.0,0.0,6.9,3560,3600,3591,3599,3600,3209,3589,3600,3276,3600,3600,3472,3511,3600,3584,3600
2026-03-22T17:27:53.124,20.4,0.0,24.42,17.14,0.00,18.38,11.89,43,0,254,6.49,26,0,11,0.0,31.0,7.0,3596,3450,3584,3600,2629,3600,3600,3600,3599,3586,3600,3600,3600,3600,3600,3600
2026-03-22T17:27:54.484,20.5,0.0,23.71,16.92,0.00,18.88,12.06,43,0,254,6.82,26,0,11,0.0,0.0,7.0,3061,2906,3585,3472,3600,3600,3577,3600,3600,3600,3590,3600,3600,3591,3443,3600
2026-03-22T17:27:55.816,21.3,0.0,24.34,17.30,0.00,18.56,11.98,43,0,254,6.58,26,0,11,0.0,24.4,7.0,3589,3600,3600,3600,3308,3481,3600,3600,3494,3600,3488,3413,3592,3583,3600,3600
2026-03-22T17:27:57.172,20.5,0.0,23.67,16.88,0.00,18.55,11.95,43,0,254,6.60,26,0,11,0.0,0.0,7.0,3594,3600,3595,3595,3582,3600,3577,3595,3595,3600,3597,3595,3585,3600,3580,3596
2026-03-22T17:27:58.249,21.3,0.2,24.77,17.37,0.00,18.59,12.05,42,0,254,6.54,26,0,11,0.0,118.2,7.0,3586,3600,3600,3586,3579,3573,3600,3587,3567,3590,3600,3588,3574,3580,3578,3591
2026-03-22T17:27:59.389,21.0,0.0,24.46,17.38,0.00,18.58,12.12,42,0,254,6.46,26,0,11,0.0,7.3,7.0,3600,3600,3600,3369,3600,3600,3600,3502,3600,3600,3600,3515,3583,3575,3599,3593
2026-03-22T17:28:00.736,20.8,0.0,24.61,17.25,0.00,18.60,11.96,42,0,254,6.64,26,0,11,0.0,0.0,7.0,3600,2904,3476,3600,3483,3581,3600,3591,3600,3506,3581,3600,3585,3600,3601,3600
2026-03-22T17:28:02.052,20.6,0.0,25.67,17.06,0.00,18.80,11.96,42,0,254,6.84,26,0,11,290.1,0.0,7.0,3600,3582,3515,3600,3575,3600,3498,3600,3600,3600,3600,3600,3571,3600,3600,2593
2026-03-22T17:28:03.436,21.1,0.1,24.19,17.16,0.00,18.40,11.85,42,0,254,6.55,26,0,11,0.0,8.7,7.0,3597,3600,3518,3572,3600,3596,3581,3593,3596,3600,3588,3573,3600,3596,3585,3595
2026-03-22T17:28:04.541,21.4,0.0,24.56,17.75,0.00,18.34,11.79,41,0,254,6.55,26,0,11,0.0,0.0,7.0,3600,3600,3600,3600,3600,3600,3485,3600,3600,3600,3501,3585,3297,3597,3441,3600
2026-03-22T17:28:05.940,20.7,0.0,24.07,17.06,0.00,18.46,11.85,41,0,254,6.61,26,0,11,0.0,5.6,7.0,3598,3581,3565,3600,3600,3575,3588,3588,3593,3581,3565,3600,3600,3555,3583,3593
2026-03-22T17:28:07.045,20.9,0.0,23.95,17.15,0.00,18.43,11.81,41,0,254,6.62,26,0,11,0.0,0.0,7.0,3590,3592,3582,3600,3563,3590,3567,3597,3600,3592,3578,3600,3560,3588,3571,3597
2026-03-22T17:28:08.147,21.2,0.0,24.56,17.46,0.00,18.47,11.80,41,0,254,6.67,26,0,11,0.0,10.9,7.0,3589,3587,2787,3600,3571,3417,3600,3600,3584,3572,3574,3600,3585,3600,3593,3589
2026-03-22T17:28:09.344,21.2,0.0,24.37,17.55,0.00,18.64,11.74,41,0,254,6.90,26,0,11,0.0,0.0,7.0,3600,3600,3563,3600,3600,3600,3595,3598,3411,3600,3584,3600,3600,3592,3600,3491
2026-03-22T17:28:10.688,21.1,0.0,24.09,17.07,0.00,18.16,11.64,40,0,254,6.52,26,0,11,0.0,5.9,7.0,3594,2806,3565,3583,3581,3600,3570,3593,3597,3598,3587,3580,3579,3600,3573,3594
2026-03-22T17:28:11.812,21.7,0.0,24.11,17.29,0.00,18.22,11.71,40,0,254,6.51,26,0,11,0.0,0.0,7.0,3600,3595,3508,3600,3600,3600,3600,3446,3600,3600,3355,3505,3600,3513,3600,3592
2026-03-22T17:28:13.164,21.0,0.1,24.35,17.30,0.00,18.31,11.74,40,0,254,6.57,26,0,11,0.0,8.9,7.0,1455,3600,3594,3482,3591,3600,3600,3600,3534,3593,3600,3600,3600,3599,3458,3600
2026-03-22T17:28:14.528,20.6,0.0,23.97,17.17,0.00,18.26,11.72,40,0,254,6.54,26,0,11,0.0,0.0,7.0,3583,3595,3597,3581,3600,3598,3596,3593,3583,3591,3595,3584,3600,3593,3593,3588
2026-03-22T17:28:15.627,21.0,0.0,24.03,17.23,0.00,18.42,11.77,40,0,254,6.65,26,0,11,0.0,0.0,7.0,3585,3591,3595,3590,3589,3565,3600,3578,3582,3586,3597,3578,3590,3570,3600,3577
2026-03-22T17:28:16.724,20.9,0.0,24.43,17.34,0.00,18.60,11.72,40,0,254,6.88,26,0,11,0.0,10.9,7.0,2646,2521,3600,3596,3424,3597,3600,3600,3600,3600,3600,3595,3600,3512,3599,3600
2026-03-22T17:28:18.048,20.8,0.1,24.50,17.45,0.00,18.19,11.76,40,0,254,6.43,26,0,11,0.0,15.4,7.0,3600,3476,3600,3590,3600,3486,3600,3600,3600,3600,3600,1848,3585,3587,3599,3600
2026-03-22T17:28:19.396,20.9,0.0,24.10,17.29,0.00,18.21,11.73,40,0,254,6.48,26,0,11,0.0,0.0,7.0,3594,3600,3600,3510,3398,3586,3600,2669,3600,3600,3333,3600,3530,3590,3600,3600
2026-03-22T17:28:20.764,21.0,0.0,24.11,17.31,0.00,18.35,11.79,39,0,254,6.56,26,0,11,0.0,0.0,7.0,3582,3596,3600,3600,3600,3596,3594,3585,3577,3596,3600,3600,3600,3597,3598,3587
2026-03-22T17:28:21.855,21.4,0.0,24.23,17.42,0.00,18.28,11.84,39,0,254,6.44,26,0,11,0.0,0.0,7.0,3600,3563,2555,3600,3600,3545,3600,3599,3600,3600,3601,2586,3590,3591,3600,3596
2026-03-22T17:28:23.148,21.4,0.0,24.49,17.19,0.00,18.63,11.77,39,0,254,6.86,26,0,11,0.0,25.0,7.0,3576,3600,3600,3600,3600,3579,3083,3592,3321,3594,3600,3600,3600,3580,3600,3282
2026-03-22T17:28:24.468,21.2,0.0,24.20,17.39,0.00,18.41,11.82,39,0,254,6.59,26,0,11,0.0,0.0,7.0,3580,3600,3369,3593,2410,3600,3599,3600,3600,3600,3599,3591,3549,3592,3601,3600
2026-03-22T17:28:25.840,20.9,0.0,24.02,17.20,0.00,18.41,11.84,39,0,254,6.57,26,0,11,0.0,0.0,7.0,3396,3600,3445,3600,3600,3600,3600,3600,3600,3600,3566,3600,3517,3585,3600,3600
2026-03-22T17:28:27.204,21.2,0.0,23.95,17.15,0.00,18.24,11.74,39,0,254,6.50,26,0,11,0.0,0.0,7.0,3595,3600,3572,3422,2510,3584,3588,3592,3591,3600,3564,3600,3590,2978,3595,3497
