timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-03-22T17:23:59.629,0.0,0.6,4.69,1.06,0.00,18.10,11.70,36,0,254,6.40,26,0,11,3635.6,0.0,6.4,3605,3600,3595,3595,3605,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:24:00.984,0.2,0.0,3.86,0.53,0.00,18.32,11.81,35,0,254,6.51,26,0,11,0.0,0.0,6.4,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3596,3600,3600,3600,3600
2026-03-22T17:24:02.364,2.8,2.0,12.00,3.97,0.00,18.18,11.69,35,0,254,6.49,26,0,11,274940.8,0.0,7.1,2326,3599,3599,3600,3600,3600,3600,3600,3601,3600,3600,3600,3600,3600,3588,3600
2026-03-22T17:24:03.720,5.0,1.6,15.14,5.65,0.00,18.18,11.71,35,0,254,6.47,26,0,11,88032.2,0.0,7.4,2653,3600,3600,3600,3600,3594,3601,3595,3601,3599,3597,3606,3600,3600,3604,3605
2026-03-22T17:24:05.076,5.6,0.9,14.78,5.38,0.00,44.26,37.31,42,100,672,6.95,26,0,11,124536.7,59.5,8.7,3590,3600,3598,3600,3600,3594,3601,3606,3600,3600,3600,3600,3600,3600,3606,3600
2026-03-22T17:24:06.400,6.4,0.0,11.75,5.30,0.00,137.81,130.95,48,100,672,6.86,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3594,3594,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:24:07.744,6.4,0.0,11.68,5.25,0.00,138.11,131.16,49,100,672,6.95,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605,3600,3600,3594,3600
2026-03-22T17:24:09.088,6.5,0.0,11.52,5.09,0.00,138.23,131.37,50,100,672,6.86,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3600,3606,3599,3600,3600,3598,3597,3600,3600,3594,3600,3606
2026-03-22T17:24:10.432,6.4,0.0,12.05,5.14,0.00,138.39,131.53,50,100,672,6.86,26,0,11,0.0,92.3,8.7,3601,3600,3600,3600,3600,3600,3599,3600,3600,3607,3600,3600,3600,3600,3600,3594
2026-03-22T17:24:11.776,6.4,0.0,11.84,5.17,0.00,138.73,131.60,51,100,672,7.13,26,0,11,0.0,6.0,8.7,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3594,3600,3600,3600,3600,3600
2026-03-22T17:24:13.116,6.4,0.0,11.58,5.15,0.00,138.59,131.74,52,100,672,6.85,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3600,3600,3606,3606,3599,3602,3597,3600,3600,3600,3594,3600
2026-03-22T17:24:14.460,6.4,0.0,11.53,5.09,0.00,138.87,131.97,52,100,672,6.90,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3606,3600,3599,3594,3600,3600,3600,3600,3600,3600,3594,3600
2026-03-22T17:24:15.804,6.4,0.1,11.89,5.19,0.00,139.13,132.20,53,100,672,6.93,26,0,11,0.0,8.9,8.7,3600,3600,3600,3600,3600,3600,3601,3600,3600,3600,3600,3600,3600,3606,3594,3600
2026-03-22T17:24:17.148,6.5,0.0,11.90,5.23,0.00,139.09,132.25,53,100,672,6.84,26,0,11,0.0,5.9,8.7,3600,3600,3600,3600,3600,3600,3600,3605,3599,3607,3597,3600,3600,3600,3600,3600
2026-03-22T17:24:18.492,6.4,0.0,11.53,5.09,0.00,140.12,133.12,54,100,672,7.00,26,0,11,0.0,0.0,8.7,2827,3600,3600,3600,3600,3600,3599,3595,3600,3594,3596,3600,3600,3606,3600,3600
2026-03-22T17:24:19.832,6.4,0.1,11.74,5.05,0.00,140.71,133.44,54,100,672,7.27,26,0,11,0.0,8.9,8.7,3292,3600,3597,3600,3600,3600,3600,3600,3600,3593,3600,3600,3600,3600,3600,3600
2026-03-22T17:24:21.176,6.4,0.0,11.53,5.07,0.00,140.47,133.54,55,100,672,6.93,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3600,3600,3600,3600,3600,3598,3600,3600,3594,3600,3594,3600
2026-03-22T17:24:22.520,6.4,0.0,11.80,5.12,0.00,140.68,133.73,55,100,672,6.95,26,0,11,0.0,6.0,8.7,3599,3600,3598,3600,3600,3600,3600,3600,3600,3596,3600,3600,3600,3600,3600,3600
2026-03-22T17:24:23.864,6.5,0.0,11.54,5.09,0.00,140.57,133.63,56,100,672,6.94,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3600,3606,3600,3600,3600,3600,3606,3600,3600,3600,3600,3600
2026-03-22T17:24:25.208,6.4,0.0,11.81,5.11,0.00,140.79,133.97,56,100,672,6.82,26,0,11,0.0,23.8,8.7,3601,3600,3600,3594,3600,3600,3600,3600,3600,3593,3606,3600,3600,3600,3594,3606
2026-03-22T17:24:26.552,6.5,0.0,11.51,5.07,0.00,141.52,134.28,56,100,672,7.24,26,0,11,0.0,0.0,8.7,2756,3600,3595,3600,3600,3600,3600,3595,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:24:27.896,6.4,0.0,11.95,5.04,0.00,141.57,134.54,57,100,672,7.03,26,0,11,0.0,68.5,8.7,3600,3600,3599,3600,3600,3600,3601,3595,3600,3600,3600,3600,3600,3600,3606,3600
2026-03-22T17:24:29.240,6.5,0.0,11.66,5.20,0.00,141.50,134.47,57,100,672,7.03,26,0,11,0.0,0.0,8.7,2916,3600,3600,3600,3600,3600,3600,3600,3599,3600,3600,3600,3600,3600,3593,3600
2026-03-22T17:24:30.584,6.4,0.1,11.84,5.15,0.00,141.54,134.63,58,100,672,6.91,26,0,11,0.0,8.9,8.7,3600,3600,3606,3600,3600,3600,3600,3600,3601,3600,3599,3600,3600,3600,3606,3600
2026-03-22T17:24:31.928,6.4,0.0,12.36,5.17,0.00,141.65,134.77,58,100,672,6.88,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3600,3600,3600,3595,3601,3600,3600,3594,3600,3600,3606,3600
2026-03-22T17:24:33.272,6.4,0.0,13.09,5.09,0.00,141.82,134.72,59,100,672,7.10,26,0,11,0.0,11.9,8.7,3600,3600,3598,3600,3594,3600,3600,3595,3600,3598,3600,3600,3600,3600,3594,3600
2026-03-22T17:24:34.612,6.4,0.0,11.61,5.17,0.00,141.56,134.67,59,100,672,6.89,26,0,11,0.0,14.9,8.7,3600,3600,3600,3600,3606,3600,3600,3600,3599,3593,3600,3594,3594,3600,3594,3600
2026-03-22T17:24:35.956,6.4,0.0,11.98,5.29,0.00,141.88,134.97,59,100,672,6.91,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3600,3600,3599,3595,3600,3598,3600,3600,3600,3602,3606,3606
2026-03-22T17:24:37.300,6.4,0.0,11.67,5.23,0.00,141.93,134.95,60,100,672,6.98,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3594,3600,3600,3600,3606,3600
2026-03-22T17:24:38.644,6.5,0.0,13.94,5.23,0.00,141.91,135.13,60,100,672,6.78,26,0,11,0.0,5.9,8.7,3600,3600,3600,3600,3600,3600,3600,3600,3600,3603,3594,3600,3600,3600,3600,3600
2026-03-22T17:24:39.988,6.5,0.1,15.19,5.72,0.00,142.35,135.34,60,100,672,7.01,26,0,11,274.6,17.9,8.7,3600,3600,3600,3600,3600,3600,3601,3600,3600,3614,3600,3600,3598,3606,3600,3600
2026-03-22T17:24:41.328,6.4,0.0,13.95,5.65,0.00,142.83,135.50,61,100,672,7.33,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3600,3600,3600,3600,3602,3600,3600,3606,3600,3600,3600,3600
2026-03-22T17:24:42.672,6.5,0.0,11.73,5.29,0.00,142.58,135.68,61,100,672,6.90,26,0,11,0.0,0.0,8.7,3598,3600,2675,3600,3600,3600,3601,3600,3594,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:24:44.016,6.4,0.0,11.81,5.13,0.00,142.78,135.84,62,100,672,6.94,26,0,11,0.0,6.0,8.7,3600,3600,2727,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3606,3600
2026-03-22T17:24:45.360,6.5,0.1,13.20,5.26,0.00,142.82,135.89,62,100,672,6.93,26,0,11,0.0,220.0,8.7,3598,3600,3600,3600,3606,3600,3600,3599,3600,3600,3600,3600,3600,3600,3600,3606
2026-03-22T17:24:46.708,6.4,0.0,13.01,5.29,0.00,143.02,136.02,62,100,672,7.00,26,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3600,3600,3600,3600,3606,3593,3600,3600,3600,3600,3606,3600
2026-03-22T17:24:48.052,6.4,0.0,11.94,5.50,0.00,143.12,135.93,63,100,672,7.19,26,0,11,0.0,0.0,8.7,3600,3600,2390,3600,3600,3600,3599,3599,3600,3600,3600,3600,3600,3594,3606,3600
2026-03-22T17:24:49.396,6.5,0.0,11.96,5.31,0.00,143.20,136.17,63,100,672,7.03,26,0,11,0.0,6.0,8.7,3598,3600,2444,3600,3600,3600,3601,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:24:50.740,6.4,0.2,12.23,5.30,0.00,143.29,136.32,63,100,672,6.97,26,0,11,0.0,122.0,8.7,3600,3600,2376,3595,3600,3600,3599,3600,3600,3600,3600,3600,3600,3600,3600,3600
