timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-03-22T17:22:05.977,0.0,0.6,5.36,0.86,0.00,17.84,11.45,27,0,254,6.39,26,0,11,2420.9,0.0,6.5,3600,3600,3600,3600,3570,3600,3595,3600,3605,3600,3590,3600,3600,3600,3600,3600
2026-03-22T17:22:07.336,0.2,0.0,4.20,0.40,0.00,17.92,11.45,27,0,254,6.47,26,0,11,0.0,0.0,6.4,3600,3600,3600,3605,3600,3600,3605,3600,3600,3600,3600,3599,3600,3600,3595,3600
2026-03-22T17:22:08.712,2.4,2.2,11.54,3.56,0.00,17.81,11.38,27,0,254,6.43,26,0,11,296856.0,0.0,7.1,3492,3590,3601,3600,3595,3606,3600,3600,3600,3589,3600,3600,3600,3600,3600,3595
2026-03-22T17:22:10.048,5.3,1.3,14.84,5.43,0.00,17.93,11.32,27,0,254,6.61,26,0,11,74821.0,0.0,7.4,3600,3271,3600,3600,3594,3600,3600,3606,3600,2634,3600,3600,3600,3600,3600,3600
2026-03-22T17:22:11.372,5.4,1.2,14.95,5.28,0.00,22.66,16.09,28,11,498,6.57,26,0,11,139314.9,61.8,8.6,3600,3577,3598,3600,3600,3600,3600,3605,3600,2298,3600,3600,3600,3600,3595,3595
2026-03-22T17:22:12.728,5.9,0.6,15.00,5.99,0.00,77.49,70.85,34,77,560,6.64,26,0,11,74993.5,0.0,10.0,3600,3600,3369,3595,3605,3600,3600,3595,3600,3600,3600,3600,3600,3600,3600,3605
2026-03-22T17:22:14.072,6.6,0.0,13.80,5.88,0.00,89.86,83.11,35,74,560,6.75,26,0,11,36.3,0.0,10.0,3600,3600,3600,3600,3600,3600,3605,3606,3600,3600,3600,3600,3606,3600,3606,3600
2026-03-22T17:22:15.416,6.0,0.4,12.66,5.44,0.00,72.15,65.45,32,0,560,6.70,26,0,11,45839.5,327.8,9.8,3510,3599,3600,3594,3595,3600,3600,3600,2617,3600,3594,3600,3600,3600,3595,3605
2026-03-22T17:22:16.760,5.4,1.2,13.90,5.85,0.00,38.15,31.50,31,0,254,6.65,26,0,11,99939.0,2592.3,7.3,2304,3600,3600,3600,3600,3600,3600,3599,3600,3601,3597,3600,3600,3600,3595,3600
2026-03-22T17:22:18.096,6.4,0.0,13.06,6.36,0.00,35.05,28.23,31,12,498,6.82,26,0,11,0.0,0.0,8.6,3600,3597,3600,3600,3600,3600,3600,3600,3595,3600,3596,3600,3605,3600,3600,3595
2026-03-22T17:22:19.440,6.6,0.0,14.90,5.93,0.00,82.82,76.11,36,77,560,6.71,26,0,11,563.2,0.0,10.0,3600,3551,3595,3600,3600,3600,3600,3600,3600,3600,3595,3600,3600,3606,3600,3595
2026-03-22T17:22:20.784,6.5,0.0,14.81,5.88,0.00,90.15,83.43,36,75,560,6.72,26,0,11,0.0,0.0,10.0,3600,3600,3600,3600,3600,3600,1540,3600,3594,3600,3595,3600,3600,3600,3600,3600
2026-03-22T17:22:22.128,6.5,0.1,12.94,5.62,0.00,67.43,60.61,33,8,254,6.82,26,0,11,0.0,119.2,6.6,3600,3600,3598,3595,3600,3600,3600,3600,3600,3600,3600,3594,3600,3600,3605,3600
2026-03-22T17:22:23.472,6.5,0.0,15.39,6.68,0.00,38.27,31.75,32,0,254,6.52,26,0,11,0.0,0.0,7.4,3600,3600,3600,3600,3598,3594,3605,3595,3595,3600,3600,3601,3600,3600,3600,3600
2026-03-22T17:22:24.812,6.4,0.1,16.03,6.29,0.00,38.99,32.06,34,71,560,6.93,26,0,11,2097.4,0.0,10.0,3600,3600,3600,3594,3600,3600,3600,3600,3595,3600,3600,3600,3600,3600,3595,3600
2026-03-22T17:22:26.156,6.6,0.0,15.50,5.99,0.00,90.70,83.96,37,75,560,6.74,26,0,11,0.0,65.5,10.0,3600,3600,3600,3600,3600,3602,3606,3600,3600,3600,3600,3600,3600,3600,3595,3600
2026-03-22T17:22:27.500,6.5,0.0,13.74,5.87,0.00,90.97,84.22,38,77,560,6.75,26,0,11,0.0,11.9,10.0,3600,3600,3600,3599,3600,3602,3600,3606,3600,3600,3600,3600,3600,3600,3595,3600
2026-03-22T17:22:28.844,6.3,0.0,12.97,5.63,0.00,45.96,39.30,33,0,254,6.66,26,0,11,0.0,14.9,7.2,2532,3600,3600,3600,3598,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:22:30.184,6.3,0.0,14.94,6.34,0.00,32.52,25.93,32,0,257,6.59,26,0,11,0.0,0.0,8.0,3600,3592,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3597,3600,3600,3595
2026-03-22T17:22:31.540,6.4,0.1,13.21,6.00,0.00,63.81,56.95,37,75,560,6.86,26,0,11,2084.7,125.4,10.0,3600,3552,3600,3601,3600,3600,3600,3600,3600,3594,3600,3600,3605,3600,3600,3600
2026-03-22T17:22:32.860,6.7,0.0,14.69,5.86,0.00,91.71,84.95,38,77,560,6.76,26,0,11,0.0,0.0,10.0,3600,3600,3600,3600,3605,3595,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:22:34.204,6.4,0.0,12.40,5.60,0.00,87.55,80.75,36,5,560,6.80,26,0,11,0.0,11.9,10.0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:22:35.548,6.4,0.0,12.79,6.05,0.00,39.14,32.35,34,0,254,6.79,26,0,11,0.0,0.0,7.3,3600,3600,3595,3600,3597,3606,3600,3600,3600,3601,3597,3600,3605,3600,3605,3595
