timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-03-22T17:43:06.412,0.0,0.0,4.81,0.70,0.00,18.54,12.21,47,0,254,6.33,29,0,11,3295.3,0.0,6.5,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3591,3600,3600,3600,3596
2026-03-22T17:43:07.756,0.3,0.1,4.17,0.53,0.00,18.59,12.20,47,0,254,6.39,29,0,11,1620.3,0.0,6.5,3600,3600,3600,3598,3600,3600,3600,3596,3595,3600,3600,3600,3596,3600,3600,3604
2026-03-22T17:43:09.128,4.5,3.8,14.49,5.71,0.00,18.62,12.23,46,0,254,6.39,29,0,11,307785.7,0.0,7.9,3599,3605,3600,3600,3600,3600,3605,3600,3600,3600,3600,3600,3599,3600,3605,3600
2026-03-22T17:43:10.464,10.2,2.3,20.72,10.94,0.00,18.69,12.25,46,0,254,6.44,29,0,11,91478.8,12.0,8.5,3600,3600,3600,3600,3600,3600,3600,3605,3600,3596,3600,3600,3600,3600,3594,3606
2026-03-22T17:43:11.796,11.0,1.3,20.60,10.42,0.00,64.45,22.93,48,1,560,41.52,37,100,429,229513.7,76.5,12.1,3600,3600,3586,3600,3600,3600,3600,3600,3600,3600,3599,3601,3600,3600,3600,3600
2026-03-22T17:43:13.104,12.7,0.1,21.57,11.76,0.00,230.54,87.58,54,72,560,142.96,42,100,429,10008.9,0.0,12.3,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-03-22T17:43:14.416,12.7,0.1,20.68,11.83,0.00,231.00,86.93,55,75,560,144.07,43,100,429,3.0,189.0,12.3,3600,3600,3600,3600,3600,3600,3595,3600,3595,3599,3600,3606,3600,3600,3600,3600
2026-03-22T17:43:15.728,11.3,1.3,18.47,10.35,0.00,200.62,56.37,50,0,560,144.25,44,100,429,145780.6,2589.8,12.1,3600,1326,3600,3600,3600,3600,3596,3595,3590,3600,3606,3600,3595,3595,3595,3600
2026-03-22T17:43:17.056,12.4,0.2,19.68,11.98,0.00,178.60,33.89,50,0,254,144.71,45,100,429,2773.7,171.9,9.7,3600,3599,3600,3600,3600,3600,3600,3600,3595,3600,3594,3600,3600,3600,3599,3601
2026-03-22T17:43:18.364,12.6,0.0,19.25,11.95,0.00,177.57,32.58,49,8,560,144.99,46,100,429,1293.2,9.0,12.1,3517,3570,3600,3600,3605,3596,3600,3600,3600,3605,3600,3601,3600,3600,3606,3600
2026-03-22T17:43:19.652,12.8,0.0,20.29,11.89,0.00,233.23,87.64,55,74,560,145.59,47,100,429,0.0,0.0,12.3,3600,3600,3599,3600,3594,3600,3600,3600,3600,3600,3597,3598,3597,3600,3595,3600
2026-03-22T17:43:20.964,12.7,0.0,19.39,11.74,0.00,233.31,87.15,55,74,560,146.16,47,100,429,0.0,0.0,12.3,3600,3600,3600,3600,3598,3600,3599,3600,3600,3600,3600,3594,3600,3600,3600,3600
2026-03-22T17:43:22.276,12.6,0.1,18.72,11.40,0.00,199.61,53.35,51,0,254,146.26,48,99,429,0.0,51.9,9.2,3600,3595,3600,3600,3600,3600,3601,3605,3595,3600,3601,3594,3600,3600,3600,3605
2026-03-22T17:43:23.584,12.6,0.0,19.41,12.37,0.00,180.98,34.07,50,0,254,146.91,49,100,429,0.0,9.2,9.8,3600,3600,3600,3600,3600,3594,3600,3599,3600,3600,3599,3601,3600,3600,3599,3600
2026-03-22T17:43:24.892,12.5,0.0,19.20,11.99,0.00,184.93,38.16,53,73,560,146.77,50,100,429,1552.5,0.0,12.3,3600,3600,3600,3600,3596,3600,3598,3600,3595,3595,3599,3606,3600,3600,3600,3605
2026-03-22T17:43:26.200,12.8,0.0,21.03,11.91,0.00,234.98,87.55,55,75,560,147.43,50,100,429,0.0,0.0,12.3,3450,3302,3600,3600,3599,3600,3594,3605,3600,3600,3599,3600,3590,3600,3600,3600
2026-03-22T17:43:27.508,12.7,0.1,18.82,11.67,0.00,235.39,87.53,56,76,560,147.86,51,100,429,0.0,134.5,12.3,3377,3600,3600,3600,3601,3601,3600,3600,3600,3595,3599,3600,3596,3600,3600,3604
2026-03-22T17:43:28.816,12.5,0.0,18.85,11.54,0.00,186.64,38.71,51,0,254,147.93,52,100,429,0.0,9.2,9.5,3600,3600,3600,3600,3600,3605,3600,3600,3595,3600,3600,3594,3600,3600,3605,3605
