timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-18T21:58:00.243,0.6,0.0,5.10,0.92,0.00,18.39,12.05,36,0,288,6.34,29,0,11,2689.2,0.0,6.5,3600,3600,3600,3600,3600,3600,3600,3604,3600,3600,3600,3600,3595,3604,3600,3600
2026-02-18T21:58:01.605,0.2,0.0,4.20,0.60,0.00,18.43,12.02,36,0,288,6.41,29,0,11,162.5,0.0,6.5,3600,3600,3600,3600,3600,3595,3600,3604,3601,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:58:02.985,8.4,1.9,18.50,9.57,0.00,18.45,12.07,36,0,288,6.38,29,0,11,270090.2,0.0,7.1,3600,3581,3594,3600,3600,3600,3595,3595,3600,2205,3600,3599,3600,3598,3600,3600
2026-02-18T21:58:04.305,13.3,1.4,24.99,14.99,0.00,18.44,12.06,36,0,288,6.38,29,0,11,71675.5,0.0,8.0,3600,3600,3600,3583,3599,3600,3600,3600,3600,2528,3595,3605,3132,3600,3600,3600
2026-02-18T21:58:05.713,13.6,1.1,25.05,15.10,0.00,19.58,12.94,36,0,303,6.64,29,0,11,119185.5,54.9,8.7,3600,3599,3586,3600,3600,3600,3600,3596,3595,2189,3605,3600,3600,3605,3600,3600
2026-02-18T21:58:07.033,14.1,0.9,24.44,15.05,0.00,67.89,61.33,43,72,594,6.56,29,0,11,130456.4,0.0,10.6,3522,3600,3573,3600,3600,3595,3335,3600,3032,3600,3600,3605,3606,3606,3600,3600
2026-02-18T21:58:08.373,14.6,0.0,24.71,15.44,0.00,91.08,84.57,45,73,594,6.51,29,0,11,39.0,102.0,10.2,3600,3600,3600,3600,3601,3599,3600,3596,3600,3600,3600,3605,3600,3600,3600,3605
2026-02-18T21:58:09.749,14.7,0.0,22.55,15.35,0.00,88.76,82.21,43,28,594,6.55,29,0,11,153.4,0.0,10.6,3600,3600,3600,3575,3600,3600,3600,3600,3280,3600,3605,3600,3594,3600,3600,3600
2026-02-18T21:58:11.077,12.8,1.4,23.57,13.83,0.00,39.17,32.71,40,0,288,6.46,29,0,11,129582.1,2371.7,8.0,3600,3600,3599,3600,3600,3595,3600,3600,3600,3600,3600,3595,3600,3605,3600,3600
2026-02-18T21:58:12.585,14.9,0.0,23.41,16.19,0.00,33.83,27.20,39,0,291,6.63,29,0,11,0.0,0.0,8.3,2374,3600,3598,3600,3600,3600,3600,3600,3595,3600,3604,3598,3595,3600,3600,3595
2026-02-18T21:58:13.909,14.9,0.0,23.18,15.79,0.00,71.95,65.12,45,73,594,6.83,29,0,11,1231.3,0.0,10.6,3496,3600,3582,3598,3605,3600,3209,3600,3352,3605,3600,2668,3600,3600,3605,3600
2026-02-18T21:58:15.270,14.4,0.1,24.55,15.13,0.00,91.76,85.24,46,72,594,6.52,29,0,11,0.0,41.7,10.7,3554,3600,3600,3600,3590,3600,3600,3600,3600,3595,3600,3600,3600,3603,3600,3600
2026-02-18T21:58:16.765,15.0,0.0,24.63,15.31,0.00,82.22,75.70,42,0,594,6.52,29,0,11,0.0,6.1,10.1,3600,3600,3594,3594,3600,3600,3600,3596,3600,3600,3600,3600,3597,3596,3600,3601
2026-02-18T21:58:18.089,14.6,0.0,24.49,15.49,0.00,39.97,33.41,41,0,288,6.56,29,0,11,0.0,0.0,8.0,3600,3600,3600,3587,3600,3600,3600,3605,3600,3595,3595,3600,3599,3600,3600,3600
2026-02-18T21:58:19.465,14.4,0.0,23.48,15.94,0.00,30.32,23.83,40,6,590,6.49,29,0,11,0.0,0.0,9.3,3600,3599,3600,3596,3600,3600,3595,3595,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:58:20.765,15.2,0.0,24.14,15.80,0.00,88.55,81.68,46,72,594,6.87,29,0,11,0.0,119.2,10.6,3600,3600,3575,3600,3600,3605,3132,3600,3600,3600,3600,3605,949,3600,3600,3600
2026-02-18T21:58:22.093,14.2,0.0,25.30,15.28,0.00,92.80,86.22,47,73,594,6.58,29,0,11,0.0,57.4,10.3,3600,3600,3600,3600,3599,3596,3600,3605,3595,3596,3605,3600,3598,3600,3600,3600
2026-02-18T21:58:23.449,14.9,0.0,23.10,15.00,0.00,70.96,64.53,43,0,288,6.43,29,0,11,0.0,5.9,7.1,2904,3600,3600,3584,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3606,3605
2026-02-18T21:58:24.773,14.2,0.0,25.35,15.32,0.00,40.07,33.73,42,0,288,6.34,29,0,11,0.0,0.0,8.3,3600,3600,3600,3534,3600,3600,3600,3600,3600,3595,3603,3600,3600,2564,3595,3600
2026-02-18T21:58:26.305,15.6,0.1,25.35,16.65,0.00,37.62,31.15,43,40,594,6.47,29,0,11,1523.0,30.0,10.3,3600,3600,3598,3586,3601,3600,3600,3605,3600,3600,3604,3600,3600,3600,3605,3605
2026-02-18T21:58:27.613,15.2,0.0,25.23,15.80,0.00,93.71,86.83,47,71,594,6.88,29,0,11,0.0,0.0,10.6,3393,3600,3600,3564,3600,3600,3261,3595,3600,3595,3600,3600,3600,3595,3606,3595
2026-02-18T21:58:28.941,14.3,0.0,22.25,15.02,0.00,93.14,86.56,48,73,594,6.58,29,0,11,0.0,5.3,10.7,3486,3600,3599,3600,3600,3600,3600,3595,3600,3600,3600,3609,3600,3600,3605,3605
2026-02-18T21:58:30.493,15.0,0.0,24.47,15.41,0.00,44.37,37.78,43,0,288,6.59,29,0,11,0.0,47.0,7.5,3600,3600,3600,3600,3600,3600,3600,3605,3600,3600,3605,3600,3595,3600,3600,3595
2026-02-18T21:58:31.841,14.9,0.0,23.83,16.06,0.00,30.14,23.72,41,0,289,6.42,29,0,11,0.0,0.0,8.5,3600,3576,3600,3548,3600,3600,3600,3605,3600,3600,3600,3600,3600,3596,3600,3595
2026-02-18T21:58:33.217,14.2,0.0,25.29,15.17,0.00,70.31,63.82,47,72,594,6.49,29,0,11,1576.3,10.9,10.7,3600,3600,3600,3573,3601,3600,3600,3600,3600,3600,3597,3605,3417,3600,3606,3595
2026-02-18T21:58:34.665,15.0,0.0,25.62,15.58,0.00,93.01,86.25,48,74,594,6.76,29,0,11,0.0,0.0,10.3,3600,3600,3600,3600,3601,3600,3600,3605,3600,3600,3604,3600,3600,3600,3600,3600
2026-02-18T21:58:36.009,15.0,0.0,23.62,15.36,0.00,89.76,83.20,48,20,594,6.56,29,0,11,0.0,103.8,10.6,3600,3600,3564,3600,2587,3600,3600,3600,3600,3597,3597,3595,3600,3600,3605,3600
2026-02-18T21:58:37.337,14.3,0.0,23.63,14.84,0.00,40.10,33.67,43,0,288,6.43,29,0,11,0.0,0.0,8.1,3600,3600,3600,3600,3600,3602,3600,3600,3600,3600,3600,3595,3254,3595,3600,3600
2026-02-18T21:58:38.869,14.7,0.0,23.45,15.91,0.00,34.31,27.90,43,10,588,6.41,29,0,11,0.0,5.9,9.3,3600,3600,3600,3598,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:58:40.193,14.9,0.0,25.60,15.50,0.00,90.97,84.49,48,72,594,6.48,29,0,11,891.3,0.0,10.7,3600,3600,3568,3600,3600,3595,3600,3600,3600,3600,3600,3605,3600,3600,3595,3600
2026-02-18T21:58:41.549,14.5,0.1,23.52,15.12,0.00,93.16,86.44,49,74,594,6.72,29,0,11,0.0,55.0,10.8,3600,3600,3599,3600,3600,3595,3600,3595,3595,3600,3600,3605,3600,3605,3600,3605
2026-02-18T21:58:43.097,14.9,0.0,23.03,15.13,0.00,58.74,52.30,45,0,288,6.44,29,0,11,0.0,49.0,7.9,3600,3600,3599,3594,3595,3600,3600,3600,3600,3600,3605,3600,3600,3600,3600,3600
2026-02-18T21:58:44.617,14.9,0.0,24.73,15.95,0.00,40.39,33.96,44,0,288,6.43,29,0,11,0.0,6.0,7.8,3600,3600,3596,3600,3604,3600,3600,3596,3595,3605,3605,3600,3602,3600,3600,3600
2026-02-18T21:58:45.949,14.9,0.1,23.71,15.81,0.00,50.62,44.19,48,71,594,6.43,29,0,11,1535.0,2588.2,10.7,3600,3600,3591,3600,3600,3600,3600,3595,3600,3605,3600,3604,3600,3600,3595,3600
2026-02-18T21:58:47.257,14.6,0.0,24.85,15.48,0.00,93.22,86.84,49,74,594,6.38,29,0,11,0.0,0.0,10.3,3298,3600,3599,3585,3600,3600,3600,3595,3600,3605,3604,3599,3605,3600,3600,3600
2026-02-18T21:58:48.613,15.1,0.0,22.78,15.71,0.00,93.33,86.75,50,74,594,6.58,29,0,11,0.0,0.0,10.7,3600,3600,3600,3574,3600,3602,3334,3595,3596,3600,3600,3600,3600,3600,3600,3601
2026-02-18T21:58:49.941,14.2,0.0,24.19,14.84,0.00,43.92,37.10,45,0,288,6.82,29,0,11,0.0,6.0,7.5,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3595,3595,3601,3600,3595,3597
2026-02-18T21:58:51.244,14.9,0.0,24.03,16.21,0.00,40.12,33.79,45,0,288,6.33,29,0,11,3.0,2618.2,8.6,3600,3595,3600,3563,3598,3600,3381,3605,3605,3600,3605,3605,3600,3600,3604,3600
2026-02-18T21:58:52.578,14.1,0.1,23.72,15.34,0.00,67.68,61.25,49,72,594,6.43,29,0,11,273.3,0.0,10.7,3600,3573,3600,3599,3600,3600,3206,3600,3605,3595,3604,3600,3600,3599,3595,3600
