timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-18T22:38:34.003,0.0,0.0,4.45,0.88,0.00,24.12,12.31,41,0,288,11.81,56,0,11,2454.3,0.0,6.4,3600,3600,3600,3600,3600,3557,3600,3604,3596,3600,3600,3591,3600,3600,3600,3600
2026-02-18T22:38:35.365,0.2,0.0,3.43,0.42,0.00,24.04,12.10,41,0,288,11.94,56,0,11,0.0,5.9,6.4,3605,3595,3600,3603,3600,3600,3601,3604,3605,3600,3600,3600,3604,3595,3600,3600
2026-02-18T22:38:36.733,5.1,3.9,14.09,6.23,0.00,24.37,12.23,41,0,288,12.14,56,0,11,308801.2,0.0,7.8,3600,3596,3600,3598,3596,3600,3600,3600,3605,3600,3600,3599,3596,3595,3600,3600
2026-02-18T22:38:38.061,10.3,2.4,21.24,11.47,0.00,23.96,12.36,41,0,288,11.60,55,0,11,92584.3,0.0,8.4,3601,3600,3600,3600,3604,3605,3599,3596,3605,3591,3600,3600,3588,3600,3605,3595
2026-02-18T22:38:39.389,10.9,1.4,21.19,11.03,0.00,65.63,21.44,42,3,594,44.19,63,99,429,227046.7,161.9,12.0,3582,3594,3593,3600,3605,3600,3600,3605,3600,3600,3600,3600,3600,3600,3595,3604
2026-02-18T22:38:40.677,12.8,0.1,21.73,12.52,0.00,250.00,88.54,49,76,594,161.46,68,100,429,13647.4,9.3,12.2,3600,3600,3600,3600,3600,3600,3600,3601,3600,3600,3600,3594,3600,3600,3600,3594
2026-02-18T22:38:41.989,12.9,0.0,22.39,12.59,0.00,251.55,88.03,50,75,594,163.52,69,100,429,0.0,3.1,12.2,3600,3600,3596,3600,3595,3600,3600,3600,3601,3595,3600,3600,3600,3600,3600,3595
2026-02-18T22:38:43.301,11.5,1.2,19.34,11.09,0.00,223.63,60.05,45,0,594,163.58,70,100,429,140716.2,2592.8,12.0,3600,3571,3600,3600,3600,3605,3108,3600,2696,3600,3600,3594,3600,3600,3600,3600
2026-02-18T22:38:44.629,12.4,0.3,19.94,12.38,0.00,198.96,34.25,44,0,288,164.71,71,99,429,7948.8,44.6,9.6,3600,3600,3355,3600,3595,3600,3600,3600,3592,3600,3600,3600,3605,3600,3600,3600
2026-02-18T22:38:45.937,12.5,0.0,21.70,12.70,0.00,195.68,30.25,44,15,592,165.43,71,99,429,918.1,9.3,11.7,3599,3597,3588,3600,3600,3600,3600,3600,3600,3600,3600,3600,3595,3605,3600,3600
2026-02-18T22:38:47.245,12.8,0.0,22.09,12.34,0.00,254.55,88.61,50,77,594,165.94,72,100,429,0.0,0.0,12.2,3600,3600,3596,3600,3595,3600,3600,3600,3600,3605,3600,3607,3600,3600,3595,3605
2026-02-18T22:38:48.553,12.8,0.0,19.17,12.37,0.00,251.95,85.88,50,75,594,166.07,73,100,429,0.0,0.0,12.2,3305,3600,3597,3600,3600,3600,3600,3600,2656,3595,3605,3594,3605,3600,3600,3600
2026-02-18T22:38:49.861,12.7,0.2,19.51,11.97,0.00,224.61,57.42,46,0,288,167.19,73,100,429,0.0,189.8,9.1,3600,3600,3600,3600,3605,3600,3600,3598,3600,3600,3600,3600,3600,3600,3595,3605
2026-02-18T22:38:51.169,12.6,0.0,19.73,12.65,0.00,201.89,33.80,45,0,288,168.09,74,100,429,0.0,9.2,9.7,2830,3600,3600,3600,3600,3606,3600,3600,3600,3605,3600,3600,3600,3600,3600,3600
2026-02-18T22:38:52.481,12.5,0.0,20.10,12.50,0.00,199.67,31.76,48,61,594,167.91,74,100,429,1563.0,0.0,12.2,3494,3600,3597,3600,3600,3600,3600,3600,3600,3595,3600,3606,3595,3600,3600,3600
2026-02-18T22:38:53.789,12.7,0.0,22.09,12.31,0.00,256.20,87.77,50,74,594,168.43,75,100,429,0.0,0.0,12.2,3600,3600,3597,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3601
2026-02-18T22:38:55.097,12.8,0.0,20.24,12.09,0.00,255.27,86.47,51,76,594,168.80,75,100,429,0.0,61.1,12.2,3600,3600,3596,3600,3600,3605,3600,3600,3600,3600,3600,3600,3598,3594,3600,3600
2026-02-18T22:38:56.409,12.5,0.0,19.03,11.74,0.00,210.90,41.60,47,0,288,169.30,76,100,429,0.0,0.0,9.3,3600,3600,3600,3600,3600,3599,3600,3600,3583,3600,3600,3600,3605,3605,3600,3600
2026-02-18T22:38:57.717,12.6,0.0,19.57,12.74,0.00,195.63,26.61,45,0,288,169.02,75,99,429,0.0,0.0,10.0,3600,3600,3600,3600,3600,3601,3600,3600,3600,3600,3595,3606,3599,3595,3600,3600
2026-02-18T22:38:59.029,12.7,0.1,20.47,12.22,0.00,224.15,54.74,50,77,594,169.41,75,100,429,2927.1,64.0,12.2,3600,3600,3600,3600,3605,3605,3600,3600,3600,3600,3600,3593,3600,3600,3600,3600
2026-02-18T22:39:00.341,12.9,0.0,21.82,12.03,0.00,255.17,85.90,51,74,594,169.27,75,100,429,0.0,54.9,12.2,3600,3600,3600,3600,3597,3594,3600,3594,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T22:39:01.653,12.7,0.0,19.38,11.94,0.00,255.17,85.95,52,75,594,169.22,76,100,429,195.5,9.0,12.2,3600,3600,3600,3600,3600,3605,3600,3600,3600,3600,3600,3600,3600,3600,3600,3599
2026-02-18T22:39:02.961,12.6,0.0,19.10,11.94,0.00,203.15,33.61,47,0,288,169.54,76,100,429,0.0,0.0,9.4,3034,3600,3600,3600,3599,3600,3600,3600,3606,3598,3595,3600,3600,3595,3600,2527
