timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-18T21:56:04.906,0.0,0.0,5.43,0.83,0.00,19.38,12.69,48,0,288,6.69,29,0,11,2288.4,0.0,6.5,3600,3600,3600,3592,3605,3605,3605,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:56:06.265,0.2,0.0,4.60,0.53,0.00,19.13,12.68,48,0,288,6.45,29,0,11,0.0,127.9,6.5,3600,3600,3600,3598,3600,3600,3600,3596,3600,3600,3600,3604,3595,3600,3600,3600
2026-02-18T21:56:07.641,9.4,0.0,17.13,10.44,0.00,18.99,12.58,47,0,288,6.41,29,0,11,3979.6,0.0,6.5,3600,3600,3590,3596,3600,3590,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605
2026-02-18T21:56:08.997,12.8,0.0,20.31,13.89,0.00,19.16,12.65,47,0,288,6.51,29,0,11,0.0,0.0,6.6,3600,3600,3556,3596,3601,3596,3600,3600,3600,3600,3600,3600,3605,3599,3605,3600
2026-02-18T21:56:10.353,14.4,0.0,22.13,15.36,0.00,19.14,12.69,47,0,288,6.45,29,0,11,3.0,6.0,6.6,2901,3600,3593,3592,3600,3600,3600,3600,3595,3600,3600,3600,3600,3600,3307,3605
2026-02-18T21:56:11.705,12.8,0.0,20.72,14.01,0.00,19.40,12.59,47,0,288,6.81,29,0,11,0.0,38.1,6.7,3600,3600,3597,3594,3600,3600,3600,3600,3600,3604,3600,3600,3600,3600,3255,3600
2026-02-18T21:56:13.053,13.5,0.0,20.74,14.47,0.00,19.14,12.69,46,0,288,6.45,29,0,11,0.0,0.0,6.7,3600,3600,3600,3599,3600,3604,3600,3595,3600,3600,3600,3600,3600,3600,3600,3601
2026-02-18T21:56:14.413,12.7,0.0,20.30,14.02,0.00,19.00,12.65,46,0,288,6.35,29,0,11,0.0,0.0,6.7,3600,3600,3600,3600,3601,3600,3600,3600,3605,3600,3605,3600,3223,3600,3605,3600
2026-02-18T21:56:15.777,12.7,0.0,20.75,13.77,0.00,18.98,12.68,46,0,288,6.30,29,0,11,0.0,12.8,6.7,3431,3600,3599,3600,3600,3600,3600,3600,3600,3596,3600,3600,2670,3600,3605,3600
2026-02-18T21:56:17.265,13.0,0.0,21.69,14.11,0.00,19.09,12.76,46,0,288,6.33,29,0,11,0.0,5.7,6.7,3600,3600,3600,3568,3600,3600,3600,3595,3600,3600,3604,3600,3600,3604,3243,3599
