timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-18T22:03:45.761,0.0,0.0,5.18,0.86,0.00,19.35,13.07,56,0,288,6.28,29,0,11,3191.9,0.0,6.5,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3601,3605,3599,3600,3600,3600
2026-02-18T22:03:47.117,0.2,0.0,5.02,0.59,0.00,19.37,12.98,55,0,288,6.39,29,0,11,160.6,0.0,6.5,3600,3600,3592,3600,3600,3599,3600,3596,3600,3600,3600,3600,3600,3596,3596,3596
2026-02-18T22:03:48.484,8.6,1.6,18.17,9.41,0.00,19.35,12.97,55,0,288,6.38,29,0,11,263250.6,0.0,7.6,3600,3573,3593,3600,1010,3600,3595,3600,3600,3600,3600,3605,3600,3278,3595,3600
2026-02-18T22:03:49.877,15.5,1.3,26.49,16.48,0.00,19.42,12.85,54,0,288,6.57,29,0,11,32370.7,0.0,7.9,3600,3597,3587,3600,992,3602,3605,3600,3600,3600,3601,3605,3595,3600,3600,3595
2026-02-18T22:03:51.237,15.0,1.5,26.02,16.22,0.00,19.23,12.75,54,0,291,6.48,29,0,11,95307.0,38.6,8.1,3600,3600,3600,3590,3600,3600,3600,3595,3600,2421,2587,3604,3600,3600,3600,3601
2026-02-18T22:03:52.593,13.2,0.7,24.01,14.05,0.00,19.27,12.83,54,0,291,6.44,29,0,11,43045.9,181.6,8.2,3600,2130,3600,3594,3600,3600,3600,3595,3600,3600,1738,3600,3600,3600,3600,3600
2026-02-18T22:03:53.957,11.3,0.3,22.51,12.62,0.00,19.33,12.90,54,0,304,6.43,29,0,11,138385.0,0.0,8.8,3600,3597,3596,3599,3595,3595,3600,3596,3602,3600,2233,3601,3595,3500,3600,3600
2026-02-18T22:03:55.373,15.4,0.9,26.31,16.03,0.00,53.79,47.35,57,38,964,6.44,29,0,11,318346.7,3.0,10.5,3600,3600,3597,3600,3600,3600,3600,3605,3600,3600,3600,3600,3600,3600,3600,3603
2026-02-18T22:03:56.728,16.5,0.0,25.96,16.92,0.00,61.41,54.80,57,42,974,6.61,29,0,11,0.0,109.4,10.4,3600,3600,3584,3600,3600,3605,3596,3600,3600,3600,3601,3595,3605,3600,3600,3600
2026-02-18T22:03:58.085,16.7,0.0,24.32,17.20,0.00,61.60,54.71,57,38,976,6.89,29,0,11,0.0,0.0,10.4,3599,3600,3600,3585,3600,3595,3600,3600,3600,3600,3599,3600,3605,3600,3600,3600
2026-02-18T22:03:59.425,16.4,0.0,24.29,16.90,0.00,61.83,55.37,58,36,976,6.46,29,0,11,0.0,0.0,10.4,3600,3600,3589,3600,3600,3595,3600,3600,3516,3605,3600,3600,3600,3600,3600,3595
2026-02-18T22:04:00.757,16.4,0.1,26.16,17.08,0.00,61.89,55.42,58,36,976,6.47,29,0,11,0.0,75.5,10.4,3600,3600,3592,3600,3600,3595,3600,3598,3600,3597,3599,3595,3600,3595,3605,3600
2026-02-18T22:04:02.141,16.4,0.0,24.72,17.05,0.00,61.96,55.42,58,37,976,6.54,29,0,11,166.7,5.7,10.5,3600,3600,3600,3597,3600,3600,3600,3596,3599,3600,1597,3600,3600,3600,3605,3595
2026-02-18T22:04:03.509,16.6,0.0,24.09,17.05,0.00,62.04,55.54,58,37,976,6.50,29,0,11,0.0,0.0,10.4,3600,3600,3587,3600,3600,3600,3605,3600,3600,3600,3600,3600,3600,3595,3600,3604
2026-02-18T22:04:04.853,16.6,0.0,24.22,17.16,0.00,62.32,55.46,58,37,976,6.86,29,0,11,0.0,0.0,10.4,3118,3600,3600,3585,3600,3605,3595,3596,3600,3600,2807,3595,3346,3600,3600,3596
2026-02-18T22:04:06.177,16.5,0.1,24.64,17.12,0.00,61.87,55.31,58,37,976,6.56,29,0,11,0.0,14.1,10.5,3599,3600,3599,3599,3600,3600,3600,3600,3309,3600,3600,3600,3600,3600,3605,3597
2026-02-18T22:04:07.601,16.7,0.0,24.13,17.05,0.00,61.64,55.17,58,39,976,6.47,29,0,11,0.0,6.0,10.4,2896,3600,3600,3583,3600,3600,3600,3600,3600,3600,3600,3601,3301,3595,3595,3600
2026-02-18T22:04:08.945,16.2,0.0,24.37,17.10,0.00,61.75,55.27,58,39,976,6.48,29,0,11,0.0,0.0,10.4,3600,3600,3593,3600,3589,3600,3600,3605,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T22:04:10.333,15.8,0.0,23.46,16.48,0.00,61.92,55.37,58,40,976,6.55,29,0,11,0.0,0.0,10.1,3600,3600,3600,3600,3600,3600,3600,3600,3595,3605,3600,3600,3600,3595,3600,3600
2026-02-18T22:04:11.693,15.0,0.0,22.50,15.31,0.00,62.05,55.33,58,41,976,6.72,29,0,11,0.0,8.8,10.4,3600,3600,3600,3547,3600,3595,3605,3600,3600,3600,3601,3607,3600,3600,3600,3600
2026-02-18T22:04:13.033,14.0,0.0,22.73,14.81,0.00,61.37,54.87,58,37,976,6.50,29,0,11,0.0,5.4,10.6,2538,3600,3600,3582,3605,3595,3600,3600,3600,3600,2198,3600,3600,3595,3600,3595
2026-02-18T22:04:14.513,14.8,0.0,23.60,15.50,0.00,61.89,55.39,58,39,976,6.50,29,0,11,0.0,0.0,10.6,3600,3600,3600,3599,3595,3595,3606,3605,3600,3605,2032,3600,3600,3600,3600,3600
2026-02-18T22:04:16.053,15.2,0.1,22.97,15.78,0.00,61.54,55.01,58,41,976,6.53,29,0,11,0.0,8.9,10.1,3600,3600,3596,3597,3600,3594,3600,3600,3595,3595,3600,3605,3600,3604,3605,3600
2026-02-18T22:04:17.417,14.9,0.0,22.06,15.12,0.00,61.87,55.29,58,41,976,6.58,29,0,11,0.0,0.0,10.5,2893,3600,3600,3574,3600,3604,3600,3600,3357,3600,2551,3610,3600,3600,3600,3595
2026-02-18T22:04:18.765,14.1,0.0,21.73,14.63,0.00,61.63,54.88,58,37,976,6.75,29,0,11,0.0,10.5,10.6,3599,3600,3599,3598,3600,3600,3595,3605,3600,3594,3600,3605,3319,3604,3600,3595
2026-02-18T22:04:20.293,15.7,0.0,23.20,16.20,0.00,62.05,55.41,58,39,976,6.64,29,0,11,0.0,0.0,10.6,3425,3600,3600,3600,3595,3595,3600,3605,3600,3605,3600,3600,3325,3595,3605,3605
2026-02-18T22:04:21.785,15.8,0.0,23.35,16.14,0.00,61.92,55.39,58,40,976,6.53,29,0,11,0.0,13.3,10.6,3600,3600,3597,3600,3600,3605,3600,3600,3600,3600,2289,3605,3207,3600,3595,3600
2026-02-18T22:04:23.289,15.5,0.0,24.92,15.88,0.00,61.79,55.26,58,42,976,6.53,29,0,11,0.0,0.0,10.1,3600,3600,3597,3600,3600,3596,3600,3600,3595,3605,3599,3600,3605,3600,3600,3595
2026-02-18T22:04:24.641,14.8,0.0,22.30,15.12,0.00,61.89,55.30,58,40,976,6.59,29,0,11,0.0,5.9,10.4,3600,3600,3561,3600,3600,3600,3605,3600,3285,3600,3600,3600,3600,3595,3600,3596
2026-02-18T22:04:25.993,14.0,0.0,21.86,14.67,0.00,62.11,55.20,58,37,976,6.91,29,0,11,0.0,39.5,10.6,2829,3600,3600,3589,3600,3600,3600,3600,3278,3600,3600,3595,3600,3605,3600,3594
2026-02-18T22:04:27.497,14.9,0.0,22.30,15.36,0.00,62.38,55.77,58,39,976,6.61,29,0,11,0.0,0.0,10.1,3600,3600,3599,3600,3600,3600,3600,3605,3605,3600,3600,3600,3600,3600,3600,3600
2026-02-18T22:04:28.877,15.1,0.0,22.60,15.64,0.00,62.12,55.55,58,39,976,6.57,29,0,11,0.0,0.0,10.2,3600,3600,3575,3600,3605,3600,3600,3600,3237,3595,3599,3600,3600,3600,3600,3596
2026-02-18T22:04:30.237,15.9,0.1,24.00,16.54,0.00,62.08,55.57,58,41,978,6.51,29,0,11,0.0,58.7,10.4,3600,3600,3572,3600,3600,3596,3600,3600,3600,3600,3601,3600,3600,3600,3600,3600
2026-02-18T22:04:31.589,14.1,0.1,21.80,14.63,0.00,61.80,55.31,58,40,978,6.49,29,0,11,0.0,8.0,10.6,2654,3600,3600,3589,3600,3600,3600,3605,3303,3600,3600,3596,2602,3600,3600,3606
2026-02-18T22:04:33.081,14.6,0.0,22.36,15.42,0.00,62.17,55.49,58,41,978,6.68,29,0,11,0.0,0.0,10.1,3600,3600,3600,3600,3600,3595,3600,3605,3600,3605,3599,3600,3600,3605,3600,3600
2026-02-18T22:04:34.457,14.9,0.0,22.27,15.32,0.00,61.81,55.24,57,37,978,6.57,29,0,11,0.0,0.0,10.3,2445,3600,3600,3552,3600,3600,3600,3600,3600,3600,3600,3597,3601,3596,3600,3600
2026-02-18T22:04:35.801,14.2,0.0,21.67,14.75,0.00,62.25,55.72,57,37,978,6.53,29,0,11,0.0,13.6,10.5,3600,3600,3591,3600,2224,3600,3600,3596,3600,3595,3600,3605,3605,3600,3600,3595
2026-02-18T22:04:37.277,16.2,0.0,24.24,17.01,0.00,62.14,55.60,58,37,978,6.54,29,0,11,0.0,0.0,10.5,3600,3600,3599,3598,3600,3600,3599,3600,3600,3604,3600,3596,3600,3600,3600,3605
2026-02-18T22:04:38.705,15.9,0.0,23.46,16.46,0.00,61.86,55.30,58,43,978,6.56,29,0,11,0.0,0.0,10.6,3600,3600,3529,3600,2208,3600,3600,3600,3600,3595,3600,3595,3006,3597,3594,3600
2026-02-18T22:04:40.245,14.8,0.0,22.12,15.17,0.00,62.32,55.54,58,43,978,6.78,29,0,11,0.0,0.0,10.1,3600,3600,3600,3600,3600,3595,3600,3596,3600,3605,3605,3595,3600,3605,3600,3600
2026-02-18T22:04:41.621,15.0,0.0,22.85,15.45,0.00,62.09,55.51,57,44,978,6.58,29,0,11,0.0,14.5,10.3,3600,3600,3557,3600,3605,3595,3601,3595,3600,3600,3600,3600,3600,3596,3600,3600
2026-02-18T22:04:42.973,14.5,0.0,21.85,14.93,0.00,62.15,55.61,57,41,978,6.54,29,0,11,0.0,0.0,10.5,3600,3600,3600,3578,1900,3600,3600,3600,3323,3600,3600,1689,3600,3600,3600,3600
2026-02-18T22:04:44.401,14.6,0.0,22.19,15.27,0.00,62.08,55.56,57,38,978,6.52,29,0,11,0.0,0.0,10.6,3600,3600,3600,3559,3600,3600,3601,3600,3600,3605,3605,3600,3600,3600,3600,3600
2026-02-18T22:04:45.957,14.6,0.0,22.39,15.26,0.00,61.96,55.43,57,43,978,6.53,29,0,11,0.0,7.8,10.6,2935,3600,3521,3600,2558,3595,3600,3600,3600,3603,3600,3595,3600,3600,3600,3594
2026-02-18T22:04:47.497,14.7,0.0,22.63,15.29,0.00,62.37,55.44,58,38,978,6.93,29,0,11,0.0,11.9,10.1,3600,3600,3600,3600,3605,3605,3600,3600,3600,3600,3605,3600,3600,3595,3600,3595
2026-02-18T22:04:48.865,14.7,0.0,24.14,15.15,0.00,61.83,55.36,57,37,978,6.47,29,0,11,0.0,0.0,10.4,3600,3600,3582,3600,3599,3600,3600,3600,3600,3600,3600,3600,3593,3595,3600,3600
2026-02-18T22:04:50.209,14.1,0.0,21.52,14.62,0.00,61.89,55.36,57,38,978,6.53,29,0,11,0.0,0.0,10.6,2213,3600,3599,3590,3600,3600,3600,3600,3600,3595,3595,3600,3600,3600,3600,3600
2026-02-18T22:04:51.673,14.9,0.0,22.53,15.38,0.00,61.69,55.22,57,43,978,6.47,29,0,11,0.0,15.1,10.1,3600,3600,3597,3600,3600,3605,3600,3600,3600,3600,3595,3595,3600,3600,3600,3600
2026-02-18T22:04:53.029,15.0,0.0,22.49,15.40,0.00,61.98,55.52,57,43,978,6.46,29,0,11,0.0,5.9,10.4,2885,3600,3600,3568,3600,3600,3600,3605,3600,3600,3600,3595,3595,3600,3600,3600
2026-02-18T22:04:54.377,14.9,0.0,22.43,15.39,0.00,62.23,55.50,57,36,978,6.73,29,0,11,0.0,0.0,10.6,3600,3600,3600,3577,3600,3600,3600,3600,3600,3604,3605,3600,3600,3600,3601,3600
2026-02-18T22:04:55.781,14.4,0.0,21.94,15.02,0.00,61.51,54.98,57,37,978,6.53,29,0,11,0.0,21.1,10.6,3601,3600,3599,3600,3600,3605,3600,3600,3600,3600,3600,3595,3605,3600,3600,3606
2026-02-18T22:04:57.285,15.0,0.0,22.76,15.38,0.00,61.99,55.46,57,40,978,6.53,29,0,11,0.0,21.1,10.1,3600,3600,3600,3600,3595,3595,3599,3596,3600,3600,3595,3600,3600,3600,3600,3605
2026-02-18T22:04:58.640,15.0,0.0,22.25,15.23,0.00,61.90,55.37,57,40,978,6.53,29,0,11,0.0,5.9,10.3,2863,3600,3600,3578,3600,3600,3601,3600,2900,3600,3600,3600,3605,3600,3600,3600
2026-02-18T22:04:59.965,14.0,0.1,21.80,14.55,0.00,61.78,55.23,57,39,978,6.55,29,0,11,0.0,59.9,10.6,3600,3600,3585,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T22:05:01.441,14.7,0.1,22.40,15.17,0.00,61.89,55.19,57,41,978,6.70,29,0,11,0.0,21.1,10.1,3600,3600,3600,3600,3605,3604,3600,3600,3600,3600,3595,1820,3600,3600,3600,3600
2026-02-18T22:05:02.793,14.8,0.0,22.05,15.11,0.00,61.93,55.33,57,41,978,6.60,29,0,11,0.0,0.0,10.4,3601,3600,3548,3600,3600,3595,3600,3604,3600,3595,3600,3606,3600,3602,3591,3595
2026-02-18T22:05:04.137,13.9,0.0,21.45,14.31,0.00,61.83,55.34,57,42,978,6.49,29,0,11,0.0,5.3,10.6,2902,3600,3600,3594,3600,3600,3600,3596,3249,3600,3595,3600,3605,3600,3586,3606
2026-02-18T22:05:05.633,14.7,0.0,22.15,15.21,0.00,61.37,54.86,57,39,978,6.51,29,0,11,0.0,0.0,10.6,3599,3600,3599,3600,3600,3597,3600,3600,3272,3595,3600,3605,3600,3595,3600,3594
2026-02-18T22:05:07.181,14.7,0.0,22.92,14.95,0.00,61.76,55.25,57,41,978,6.51,29,0,11,0.0,18.2,10.6,3494,3600,3574,3600,3600,3600,3603,3600,3600,3600,3595,3600,3600,3605,3599,3600
2026-02-18T22:05:08.705,14.7,0.0,23.55,15.24,0.00,61.79,55.13,57,41,978,6.66,29,0,11,0.0,0.0,10.1,3600,3600,3600,3594,3600,3605,3595,3600,3595,3600,3600,3600,3605,3600,3600,3605
2026-02-18T22:05:10.057,14.8,0.0,22.44,15.07,0.00,61.81,55.36,57,39,978,6.45,29,0,11,0.0,5.9,10.5,3359,3600,3600,3579,3600,3605,3600,3600,3125,3605,3600,3600,3600,3596,3600,3595
2026-02-18T22:05:11.405,14.3,0.0,23.75,14.64,0.00,61.81,55.34,57,41,978,6.47,29,0,11,0.0,8.0,10.6,2640,3600,3600,3587,3139,3600,3600,3605,3600,3591,3600,3600,3604,3594,3600,3600
2026-02-18T22:05:12.881,11.7,0.0,18.71,11.91,0.00,62.30,55.76,57,44,978,6.54,29,0,11,0.0,0.0,10.1,3600,3600,3600,3599,3600,3600,3600,3600,3600,3600,3600,3603,3595,3600,3600,3600
