timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-18T21:54:10.332,0.0,0.0,4.54,0.98,0.00,19.49,12.87,56,0,288,6.62,29,0,11,2764.7,0.0,6.4,3580,3577,3600,3600,3595,3600,3605,3600,3596,3596,3600,3600,3595,3600,3600,3600
2026-02-18T21:54:11.689,0.1,0.0,3.66,0.47,0.00,19.17,12.81,56,0,288,6.36,29,0,11,0.0,0.0,6.4,3600,3600,3600,3600,3596,3600,3600,3600,3600,3600,3600,3604,3595,3600,3600,3600
2026-02-18T21:54:13.053,2.6,2.1,12.04,4.14,0.00,19.18,12.84,55,0,288,6.34,29,0,11,278824.8,0.0,7.0,3600,3600,2527,3600,3600,3600,3606,3596,3594,3600,3599,3600,3600,3600,3600,3598
2026-02-18T21:54:14.373,5.4,1.2,15.94,6.35,0.00,19.26,12.87,55,0,288,6.39,29,0,11,33681.5,0.0,7.4,3596,3600,3600,3600,3600,3600,3600,3600,3595,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:54:15.713,4.9,1.4,15.41,6.05,0.00,19.37,12.94,55,0,291,6.43,29,0,11,92676.9,41.8,7.6,3600,3595,3600,3600,3594,3601,3600,3595,3593,3600,3600,3600,3600,3600,3600,3592
2026-02-18T21:54:17.057,2.5,0.7,8.91,2.95,0.00,19.52,12.81,54,0,291,6.71,29,0,11,41658.5,0.0,7.7,3600,3600,3600,3600,3604,3601,3600,3600,3600,1382,3600,3600,3605,3600,3600,3600
2026-02-18T21:54:18.433,2.0,0.5,8.91,2.64,0.00,21.48,14.94,55,12,626,6.54,29,0,11,214055.4,225.7,8.1,3595,3602,3600,3600,3605,3600,3594,3597,2061,3600,3594,3600,3600,3600,3601,3595
2026-02-18T21:54:19.777,5.5,0.9,15.56,5.96,0.00,54.95,48.53,57,38,964,6.42,29,0,11,251785.3,0.0,9.8,3600,3600,3600,3606,3600,3600,3600,3596,3595,3594,3600,3594,3600,3599,3600,3600
2026-02-18T21:54:21.121,6.4,0.1,13.29,6.32,0.00,60.84,54.43,58,38,976,6.41,29,0,11,0.0,104.1,9.8,3600,3600,3600,3600,3606,3600,3594,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:54:22.465,6.5,0.0,12.85,6.35,0.00,60.95,54.45,58,38,976,6.50,29,0,11,0.0,0.0,9.8,3600,3600,3600,3606,3600,3600,3596,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:54:23.809,6.4,0.0,12.79,6.29,0.00,61.18,54.58,58,41,976,6.60,29,0,11,0.0,0.0,9.8,3600,3599,3600,3600,3600,3600,3600,3600,3600,3594,3606,3598,3600,3605,3600,3594
2026-02-18T21:54:25.149,6.4,0.0,12.90,6.38,0.00,60.84,54.52,58,41,976,6.32,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3595,3595,3600,3594,3600,3600,3600,3606,3600,3600,3601,3600
2026-02-18T21:54:26.493,6.4,0.0,14.52,6.29,0.00,60.88,54.52,58,41,976,6.36,29,0,11,0.0,29.8,9.8,3600,3600,3600,3600,3600,3600,3601,3600,3600,3595,3600,3600,3600,3600,3600,3600
2026-02-18T21:54:27.837,6.4,0.0,13.64,6.32,0.00,60.87,54.49,58,40,976,6.38,29,0,11,0.0,0.0,9.8,3600,3600,3600,3606,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605,3600,3594
2026-02-18T21:54:29.181,6.5,0.1,13.13,6.41,0.00,60.91,54.46,58,36,976,6.45,29,0,11,0.0,53.5,9.8,3600,3600,3600,3600,3600,3600,3600,3594,3600,3600,3599,3600,3600,3600,3600,3600
2026-02-18T21:54:30.525,6.4,0.1,13.27,6.40,0.00,61.46,54.79,58,37,976,6.67,29,0,11,0.0,23.9,9.8,3600,3600,3593,3606,3600,3600,3600,3600,3594,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:54:31.865,6.4,0.0,12.97,6.47,0.00,61.68,54.81,58,40,976,6.87,29,0,11,0.0,6.0,9.8,3600,3601,3600,3600,3600,3600,3600,3600,3600,3600,3600,3606,3594,3595,3600,3595
2026-02-18T21:54:33.209,6.4,0.0,13.18,6.44,0.00,60.75,54.25,58,38,976,6.50,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3600,3606,3600,3594,3606,3600,3601,3600,3600,3605,3601,3605
2026-02-18T21:54:34.553,6.4,0.0,12.87,6.37,0.00,61.05,54.56,58,39,976,6.49,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3594,3600,3600,3600,3606,3600,3600,3600,3594,3600,3600,3600
2026-02-18T21:54:35.897,6.5,0.0,13.26,6.51,0.00,60.95,54.43,58,38,976,6.52,29,0,11,0.0,8.9,9.8,3600,3600,3600,3600,3600,3600,3599,3594,3606,3606,3600,3600,3594,3600,3600,3600
2026-02-18T21:54:37.241,6.5,0.0,13.32,6.48,0.00,61.03,54.58,58,39,976,6.45,29,0,11,0.0,6.0,9.8,3600,3600,3594,3606,3600,3600,3600,3606,3600,3606,3600,3600,3594,3600,3600,3600
2026-02-18T21:54:38.589,6.4,0.0,16.10,6.59,0.00,61.22,54.44,58,39,976,6.78,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3600,3600,3600,3595,3606,3600,3600,3600,3600,3600,3600,3599
2026-02-18T21:54:39.933,6.4,0.0,14.09,6.35,0.00,61.06,54.55,58,39,976,6.51,29,0,11,0.0,0.0,9.8,3600,3600,3601,3600,3600,3600,3600,3600,3600,3600,3600,3606,2125,3600,3600,3600
2026-02-18T21:54:41.277,6.4,0.1,15.14,6.35,0.00,60.89,54.49,58,39,976,6.40,29,0,11,0.0,20.8,9.8,3600,3600,3600,3594,3600,3600,3594,3600,3600,3600,3601,3595,3600,3600,3600,3600
2026-02-18T21:54:42.621,6.4,0.0,13.23,6.49,0.00,60.99,54.60,58,39,976,6.39,29,0,11,0.0,11.9,9.8,3600,3600,3600,3598,3606,3601,3600,3606,3600,3594,3600,3600,3606,3600,3600,3600
2026-02-18T21:54:43.965,6.4,0.1,13.25,6.52,0.00,61.18,54.71,57,39,976,6.47,29,0,11,0.0,166.7,9.8,3600,3600,3600,3600,3600,3600,3600,3594,3606,3600,3600,3600,3600,3513,3600,3600
2026-02-18T21:54:45.309,6.4,0.0,12.98,6.47,0.00,61.32,54.53,57,38,976,6.79,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605,3600,3600
2026-02-18T21:54:46.649,6.4,0.1,13.38,6.40,0.00,61.25,54.77,57,38,976,6.48,29,0,11,0.0,44.7,9.8,3600,3600,3600,3600,3605,3600,3600,3606,3594,3600,3600,3600,3601,3600,3600,3600
2026-02-18T21:54:47.993,6.4,0.0,13.02,6.51,0.00,61.17,54.63,58,38,976,6.54,29,0,11,0.0,5.9,9.8,3600,3599,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:54:49.337,6.4,0.0,13.13,6.39,0.00,61.04,54.56,57,38,976,6.48,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3606,3601,3600,3600,3600,3594,3600,3600,3606,3600,3600,3600
2026-02-18T21:54:50.681,6.5,0.1,13.25,6.50,0.00,61.00,54.54,57,36,976,6.46,29,0,11,0.0,8.9,9.8,3600,3600,3600,3600,3595,3600,3600,3600,3600,3600,3600,3600,3600,3600,3606,3600
2026-02-18T21:54:52.025,6.4,0.0,13.13,6.61,0.00,61.42,54.83,57,36,976,6.59,29,0,11,0.0,0.0,9.8,3600,3600,3600,3594,3600,3600,3600,3606,3600,3600,3600,3600,3600,3600,3599,3600
2026-02-18T21:54:53.365,6.4,0.0,12.95,6.44,0.00,61.51,54.77,57,38,976,6.74,29,0,11,0.0,6.0,9.8,3600,3600,3600,3600,3600,3594,3600,3606,3606,3594,3600,3600,3600,3600,3600,3600
2026-02-18T21:54:54.709,6.5,0.0,13.22,6.48,0.00,60.94,54.52,57,41,976,6.42,29,0,11,0.0,0.0,9.8,3600,3600,3600,3606,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3599,3606
2026-02-18T21:54:56.053,6.5,0.0,13.04,6.29,0.00,61.09,54.67,57,41,976,6.42,29,0,11,0.0,23.8,9.8,3600,3600,3600,3606,3600,3600,3600,3600,3594,3600,3600,3600,3594,3594,3600,3600
2026-02-18T21:54:57.397,6.4,0.0,12.57,6.06,0.00,61.18,54.69,57,41,976,6.49,29,0,11,0.0,0.0,9.8,3600,3601,3600,3600,3606,3594,3600,3600,3600,3600,3600,3594,3600,3600,3600,3600
2026-02-18T21:54:58.741,6.5,0.0,13.20,6.37,0.00,61.15,54.70,57,41,976,6.45,29,0,11,0.0,59.6,9.8,3600,3600,3600,3594,3600,3594,3594,3600,3600,3600,3594,3600,3606,3600,3600,3600
2026-02-18T21:55:00.085,6.4,0.0,14.75,6.28,0.00,61.57,54.69,57,41,976,6.88,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3600,3600,3600,3605,3594,3600,3594,3600,3600,3594,3601,3605
2026-02-18T21:55:01.429,6.5,0.1,13.18,6.21,0.00,61.24,54.68,57,41,976,6.56,29,0,11,0.0,23.8,9.8,3600,3600,3600,3600,3600,3600,3600,3598,3600,3600,3600,3600,3600,3594,3600,3600
2026-02-18T21:55:02.773,6.4,0.0,12.78,6.27,0.00,61.27,54.83,57,40,976,6.44,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3600,3600,3600,3606,3605,3600,3600,3600,3594,3600,3600,3600
2026-02-18T21:55:04.117,6.5,0.0,12.71,6.19,0.00,61.35,54.89,57,41,976,6.46,29,0,11,0.0,5.9,9.8,3600,3600,3600,3600,3594,3606,3606,3600,3600,3600,3605,3606,3594,3600,3600,3600
2026-02-18T21:55:05.461,6.4,0.1,13.20,6.38,0.00,61.55,55.00,57,41,976,6.55,29,0,11,0.0,8.9,9.8,3600,3600,3600,3606,3594,3600,3594,3600,3600,3600,3600,3600,3600,3600,3600,3606
2026-02-18T21:55:06.805,6.4,0.0,13.04,6.37,0.00,61.90,54.96,57,41,976,6.94,29,0,11,0.0,0.0,9.8,3600,3600,3600,3606,3606,3600,3600,3600,3606,3601,3600,3600,3600,3600,3600,3594
2026-02-18T21:55:08.145,6.4,0.0,12.98,6.47,0.00,61.37,54.92,57,41,976,6.45,29,0,11,0.0,0.0,9.8,3600,3601,3600,3600,3594,3594,3606,3600,3600,3600,3600,3600,3600,3594,2797,3600
2026-02-18T21:55:09.489,6.4,0.0,13.02,6.51,0.00,61.32,54.88,57,41,976,6.44,29,0,11,0.0,6.0,9.8,3600,2898,3600,3600,3600,3600,3594,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:55:10.833,6.4,0.0,13.51,6.53,0.00,60.88,54.37,57,40,976,6.51,29,0,11,0.0,8.9,9.8,3600,3600,3600,3600,3600,3600,3593,3600,3600,3600,3600,3600,3601,3597,3600,3600
2026-02-18T21:55:12.177,6.5,0.0,13.06,6.56,0.00,61.11,54.64,57,41,976,6.47,29,0,11,0.0,0.0,9.8,3600,3601,3600,3602,3600,3606,3600,3600,3594,3600,3600,3600,3600,3606,3599,3600
2026-02-18T21:55:13.521,6.4,0.0,13.11,6.59,0.00,61.03,54.40,57,39,976,6.63,29,0,11,0.0,0.0,9.8,3600,3600,3601,3600,3600,3606,3594,3605,3600,3606,3600,3600,3600,3600,3600,3595
2026-02-18T21:55:14.861,6.4,0.0,15.07,6.54,0.00,61.51,54.64,57,41,976,6.87,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3594,3600,3600,3595,3600,3606,3600,3600,3606,3606,3600,3600
2026-02-18T21:55:16.205,6.5,0.1,13.56,6.43,0.00,60.51,54.01,57,36,976,6.50,29,0,11,0.0,26.8,9.8,3600,3600,3600,3607,3606,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:55:17.549,6.4,0.0,13.04,6.52,0.00,61.34,54.88,57,36,976,6.46,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3606,3600,3594,3594,3594,3600,3600,3600,3600,3593,3600,3600
2026-02-18T21:55:18.893,6.4,0.0,13.12,6.61,0.00,61.34,54.84,57,37,976,6.50,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3606,3600,3600,3600,3594,3600,3594,3598,3594,3602,3600,3594
2026-02-18T21:55:20.237,6.5,0.0,12.94,6.42,0.00,61.29,54.94,57,36,976,6.35,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3606,3600,3600,3594,3594,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:55:21.561,6.4,0.1,13.40,6.25,0.00,61.37,54.59,57,37,976,6.78,29,0,11,0.0,21.2,9.8,3600,3600,3600,3600,3594,3594,3594,3600,3600,3595,3606,3600,3600,3606,3600,3600
2026-02-18T21:55:22.905,6.5,0.0,12.72,6.21,0.00,61.26,54.80,57,36,976,6.46,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3594,3594,3600,3600,3594,3594,3607,3600,3600,3600,3599,3594
2026-02-18T21:55:24.249,6.4,0.0,13.35,6.26,0.00,61.17,54.78,57,37,976,6.39,29,0,11,0.0,38.7,9.8,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3607,3600,3600,3600
2026-02-18T21:55:25.593,6.5,0.0,15.05,6.37,0.00,61.21,54.79,57,37,976,6.42,29,0,11,0.0,0.0,9.8,3600,3601,3601,3606,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:55:26.937,6.4,0.0,13.13,6.39,0.00,61.34,54.85,57,37,976,6.49,29,0,11,0.0,5.9,9.8,3600,3600,3600,3600,3594,3600,3594,3600,3600,3607,3600,3600,3600,3600,3600,3600
2026-02-18T21:55:28.281,6.5,0.0,13.08,6.58,0.00,61.17,54.58,57,41,976,6.59,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3606,3600,3600,3595,3600,3600,3600,3600,3600,3600,3600,3599
2026-02-18T21:55:29.621,6.4,0.1,13.58,6.38,0.00,60.96,54.64,57,41,976,6.32,29,0,11,0.0,98.2,9.8,3600,3600,3600,3600,3600,3606,3600,3600,3600,3600,3600,3600,3600,3600,3606,3600
2026-02-18T21:55:30.965,6.4,0.0,12.84,6.33,0.00,61.16,54.78,57,41,976,6.38,29,0,11,0.0,0.0,9.8,3600,3600,3600,3606,3600,3600,3600,3605,3600,3607,3600,3600,3593,3367,3600,3601
2026-02-18T21:55:32.309,6.4,0.0,13.06,6.33,0.00,61.15,54.68,57,41,976,6.47,29,0,11,0.0,6.0,9.8,3600,3600,3600,3600,3594,3600,3594,3600,3600,3600,3600,3600,3600,3594,3600,3600
2026-02-18T21:55:33.653,6.4,0.0,12.70,6.19,0.00,60.90,54.52,57,41,976,6.38,29,0,11,0.0,0.0,9.8,3600,3600,3600,3606,3606,3594,3600,3594,3600,3600,3600,3600,3600,3593,3600,3600
2026-02-18T21:55:34.997,6.4,0.1,13.09,6.10,0.00,60.62,54.10,57,36,976,6.52,29,0,11,0.0,26.9,9.8,3600,3601,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3594,3601
2026-02-18T21:55:36.337,6.4,0.0,12.69,6.18,0.00,61.45,54.68,57,36,976,6.77,29,0,11,0.0,0.0,9.8,3600,3600,3600,3600,3600,3594,3600,3600,3600,3600,3600,3600,3594,3593,3600,3599
2026-02-18T21:55:37.681,6.4,0.0,13.41,6.29,0.00,61.02,54.70,57,36,976,6.32,29,0,11,0.0,6.0,9.8,3600,3600,3600,3600,3594,3600,3600,3605,3589,3600,3600,3600,3593,3600,3600,3600
2026-02-18T21:55:39.029,6.4,0.0,15.74,6.23,0.00,61.03,54.69,57,36,976,6.34,29,0,11,0.0,0.0,9.8,3600,3600,3600,3606,3600,3600,3600,3600,3600,3593,3600,3595,3600,3600,3600,3600
