timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-18T22:44:12.027,0.0,0.0,5.31,1.08,0.00,30.76,13.20,59,0,288,17.56,60,0,11,2353.4,0.0,6.4,3600,3600,3600,3600,3600,3592,3600,3600,3601,3600,3600,3600,3600,3600,3600,3595
2026-02-18T22:44:13.377,0.2,0.0,3.25,0.40,0.00,30.83,13.27,59,0,288,17.56,60,0,11,0.0,5.9,6.4,3599,3600,3600,3600,3604,3595,3595,3595,3601,3600,3600,3600,3600,3600,3600,3596
2026-02-18T22:44:14.741,4.9,4.2,14.29,6.25,0.00,30.64,13.16,58,0,288,17.48,60,0,11,277836.8,0.0,7.7,3600,3599,3605,3598,3598,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3595
2026-02-18T22:44:16.065,10.5,1.8,21.25,11.50,0.00,49.71,32.50,68,100,748,17.21,59,0,11,55442.8,0.0,8.8,3600,3600,3600,3600,3600,3600,3600,3600,3600,3598,3601,3600,3600,3600,3600,3595
2026-02-18T22:44:17.377,11.2,1.4,21.16,11.81,0.00,187.43,170.33,73,100,748,17.10,58,0,14,92338.9,60.9,9.0,3600,3600,3600,3585,3600,3594,3600,3600,3600,3602,3599,3600,3598,3605,3605,3600
2026-02-18T22:44:18.689,8.6,0.7,18.12,8.55,0.00,186.11,169.02,73,100,748,17.09,58,0,14,42375.8,0.0,9.1,3600,3600,3600,3600,3600,3600,3600,3600,3599,3600,3600,3542,3600,3606,3600,3594
2026-02-18T22:44:20.001,8.2,0.3,17.61,8.07,0.00,187.91,169.77,74,100,748,18.14,59,1,267,109938.9,0.0,9.6,3600,3600,3600,3599,3606,3600,3606,3600,3595,3593,3600,3331,3600,3595,3600,3605
2026-02-18T22:44:21.309,11.7,0.9,21.20,11.89,0.00,223.60,170.06,75,100,748,53.54,61,39,683,353234.2,0.0,11.3,3601,3600,3600,3600,3600,3600,3600,3606,3600,3608,3600,3600,3606,3594,3600,3606
2026-02-18T22:44:22.617,12.6,0.1,19.59,12.54,0.00,245.33,169.64,75,100,748,75.69,63,38,699,0.0,110.1,11.3,3600,3600,3600,3597,3600,3605,3600,3606,3601,3608,3600,3599,3600,3600,3594,2873
2026-02-18T22:44:23.925,12.7,0.0,19.75,12.66,0.00,255.00,169.81,76,100,748,85.19,64,39,699,302.7,36.7,11.3,2971,3600,3600,3600,3600,3600,3600,3606,3600,3608,3600,3606,3600,3600,3594,3600
