timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-18T21:52:17.818,0.0,0.0,5.94,0.96,0.00,19.55,13.23,56,0,288,6.32,28,0,11,3240.7,0.0,6.4,3600,3595,3600,3600,3600,3604,3598,3600,3600,3600,3600,3605,3600,3600,3600,3600
2026-02-18T21:52:19.173,0.2,0.0,4.33,0.47,0.00,19.59,13.22,55,0,288,6.37,28,0,11,0.0,0.0,6.4,3595,3600,3600,3600,3604,3596,3600,3600,3600,3600,3600,3600,3598,3600,3600,3600
2026-02-18T21:52:20.545,2.3,2.1,12.01,3.99,0.00,19.50,13.16,55,0,288,6.34,28,0,11,276039.8,0.0,7.1,3600,3598,3600,3599,3600,3600,3600,3600,3595,3600,3600,3600,3595,3595,3600,3600
2026-02-18T21:52:21.877,4.9,1.6,15.40,5.86,0.00,19.67,13.15,55,0,288,6.52,28,0,11,89477.1,182.9,7.4,3599,3572,3600,3600,3600,3602,3600,3600,3594,3600,3594,3605,3600,3600,3600,3600
2026-02-18T21:52:23.241,5.6,0.9,15.34,5.64,0.00,45.39,38.77,61,100,706,6.62,28,0,11,124967.9,70.9,8.7,3592,3600,3600,3599,3597,3606,3594,3600,3606,3600,3600,3600,3594,3600,3600,3600
2026-02-18T21:52:24.565,6.5,0.0,13.92,5.74,0.00,143.66,137.09,66,100,706,6.57,29,0,11,6.0,0.0,8.7,3600,3600,3600,3600,3598,3598,3600,3594,3600,3607,3600,3600,3594,3606,3600,3600
2026-02-18T21:52:25.909,6.4,0.0,14.57,5.80,0.00,144.21,137.54,67,100,706,6.67,28,0,11,0.0,11.9,8.7,3600,3600,3600,3600,3598,3600,3600,3600,3600,3593,3600,3600,3607,3600,3600,3600
2026-02-18T21:52:27.253,6.5,0.0,12.39,5.63,0.00,144.29,137.66,67,100,706,6.63,28,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3606,3600,3600,3600,3600,3593,3593,3600,3600,3600,3600,3594
2026-02-18T21:52:28.597,6.4,0.1,12.87,5.74,0.00,144.61,137.86,68,100,706,6.75,28,0,11,0.0,146.0,8.7,3600,3600,3600,3600,3600,3600,3600,3600,3600,3606,3607,3600,3598,3594,3600,3600
2026-02-18T21:52:29.941,6.4,0.0,12.60,5.79,0.00,145.02,138.04,68,100,706,6.98,28,0,11,0.0,5.9,8.7,3600,3600,3599,3600,3600,3603,3600,3606,3600,3603,3600,3606,3600,3593,3600,3600
2026-02-18T21:52:31.285,6.5,0.0,12.50,5.68,0.00,145.05,138.31,68,100,706,6.74,28,0,11,0.0,0.0,8.7,3599,3600,3600,3606,3598,3600,3598,3600,3606,3593,3600,3600,3600,3600,3600,3600
2026-02-18T21:52:32.629,6.4,0.0,14.03,5.54,0.00,145.12,138.38,69,100,706,6.74,28,0,11,0.0,0.0,8.7,3600,3600,3598,3600,3601,3605,3600,3606,3600,3607,3600,3600,3600,3594,3600,3600
2026-02-18T21:52:33.973,6.4,0.0,12.74,5.84,0.00,145.37,138.54,69,100,706,6.83,28,0,11,0.0,20.9,8.6,3600,3600,3604,3600,3600,3600,3600,3606,3600,3600,3600,3600,3596,3600,3600,3594
2026-02-18T21:52:35.317,6.4,0.0,12.67,5.86,0.00,145.60,138.84,69,100,706,6.76,28,0,11,3.0,0.0,8.6,3022,3600,3600,3600,3600,3605,3600,3600,3600,3607,3599,3594,3594,3600,3600,3606
2026-02-18T21:52:36.661,6.4,0.0,12.16,5.66,0.00,146.23,139.01,70,100,706,7.22,29,0,11,0.0,0.0,8.6,3600,3600,3600,3600,3600,3600,3600,3606,3600,3607,3600,3600,3600,3600,3594,3600
2026-02-18T21:52:38.005,6.5,0.1,12.61,5.85,0.00,145.99,139.17,70,100,706,6.82,28,0,11,0.0,20.8,8.6,3600,3600,3600,3606,3600,3600,3600,3600,3600,3593,3597,3600,3594,3593,3598,3600
2026-02-18T21:52:39.349,6.5,0.0,12.58,5.87,0.00,146.20,139.41,71,100,706,6.79,28,0,11,0.0,0.0,8.6,3600,3600,3600,3606,3600,3600,3600,3600,3600,3593,3599,3600,3600,3600,3594,3600
2026-02-18T21:52:40.693,6.4,0.0,13.35,5.87,0.00,146.28,139.58,71,100,706,6.70,28,0,11,0.0,6.0,8.6,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3594,3593,3593,3600,3600
2026-02-18T21:52:42.037,6.4,0.0,13.93,5.88,0.00,146.38,139.65,71,100,706,6.73,28,0,11,0.0,0.0,8.6,3600,3600,3605,3600,3601,3600,3594,3600,3600,3600,3599,3600,3606,3594,3606,3600
2026-02-18T21:52:43.381,6.5,0.1,12.63,5.89,0.00,146.59,139.65,71,100,706,6.94,29,0,11,0.0,8.9,8.6,3600,3600,3600,3605,3600,3600,3600,3606,3253,3593,3596,3600,3600,3600,3600,3606
2026-02-18T21:52:44.725,6.3,0.0,12.44,5.94,0.00,146.53,139.75,72,100,706,6.78,28,0,11,0.0,0.0,8.6,3600,3600,3600,3600,3601,3600,3600,3600,3600,3600,3600,3600,3593,3600,3600,3594
2026-02-18T21:52:46.069,6.5,0.0,12.66,5.93,0.00,146.13,139.41,72,100,706,6.72,28,0,11,0.0,5.9,8.6,3400,3600,3600,3600,3600,3600,3600,3606,3600,3593,3596,3600,3600,3600,3594,3600
2026-02-18T21:52:47.397,6.5,0.0,12.43,5.92,0.00,146.60,139.80,72,100,706,6.80,29,0,11,0.0,0.0,8.6,3600,3600,3600,3600,3600,3600,3600,3606,3607,3607,3598,3600,3600,3600,3600,3600
2026-02-18T21:52:48.741,6.4,0.0,12.61,5.86,0.00,146.59,139.97,72,100,706,6.62,29,0,11,0.0,8.9,8.6,3600,3600,3600,3606,3599,3600,3600,3600,3600,3603,3600,3600,3600,3600,3600,3600
2026-02-18T21:52:50.085,6.5,0.0,12.34,5.84,0.00,146.93,140.07,73,100,706,6.86,29,0,11,0.0,0.0,8.6,2665,3600,3600,3600,3599,3600,3600,3600,3600,3600,3596,3600,3594,3600,3600,3600
2026-02-18T21:52:51.425,6.4,0.0,14.37,5.79,0.00,147.37,140.29,73,100,706,7.08,28,0,11,0.0,11.9,8.6,3600,3600,3600,3599,3599,3600,3600,3594,3594,3607,3600,3600,3600,3606,3600,3600
2026-02-18T21:52:52.769,6.4,0.0,12.78,5.84,0.00,147.07,140.44,73,100,706,6.63,29,0,11,0.0,0.0,8.6,3600,3600,3600,3595,3600,3600,3600,3606,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:52:54.113,6.4,0.1,13.63,5.89,0.00,147.06,140.39,73,100,706,6.67,28,0,11,0.0,14.9,8.6,2615,3600,3600,3600,3600,3600,3600,3594,3607,3607,3598,3600,3600,3593,3600,3600
2026-02-18T21:52:55.457,6.4,0.0,13.58,5.76,0.00,146.97,140.30,74,100,706,6.67,29,0,11,0.0,0.0,8.6,3600,3600,3600,3600,3600,3600,3594,3600,3607,3600,3600,3601,3600,3600,3600,3600
2026-02-18T21:52:56.801,6.4,0.0,12.49,5.76,0.00,147.06,140.51,74,100,706,6.55,28,0,11,0.0,5.9,8.6,2368,3600,3600,3600,3594,3606,3600,3600,3600,3600,3595,3600,3606,3593,3600,3594
2026-02-18T21:52:58.145,6.4,0.1,12.79,5.82,0.00,147.81,140.81,74,100,706,7.00,29,0,11,0.0,44.7,8.6,2988,3600,3600,3606,3600,3606,3594,3606,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:52:59.489,6.4,0.0,12.44,5.71,0.00,147.52,140.85,74,100,706,6.67,29,0,11,0.0,59.6,8.6,3600,3600,3600,3606,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3602
2026-02-18T21:53:00.833,6.5,0.0,12.24,5.74,0.00,147.65,140.98,74,100,706,6.67,29,0,11,0.0,0.0,8.6,3599,3600,3598,3600,3595,3606,3606,3600,3600,3600,3594,3600,3594,3593,3600,3594
2026-02-18T21:53:02.177,6.5,0.0,12.53,5.80,0.00,147.76,141.24,75,100,706,6.52,29,0,11,0.0,6.0,8.6,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3598,3600,3600,3600
2026-02-18T21:53:03.521,6.5,0.0,13.80,5.83,0.00,147.73,141.16,75,100,706,6.57,29,0,11,0.0,8.9,8.7,3600,3600,3600,3600,3600,3600,3594,3594,3600,3606,3600,3600,3600,3600,3594,3600
2026-02-18T21:53:04.865,6.4,0.0,13.06,5.68,0.00,147.87,141.13,75,100,706,6.74,28,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3600,3606,3606,3600,3593,3600,3600,3600,3600,3600,3594,3595
2026-02-18T21:53:06.209,6.5,0.0,12.87,5.80,0.00,147.85,141.28,75,100,706,6.57,29,0,11,0.0,0.0,8.7,3600,3600,3600,3599,3600,3600,3600,3600,3594,3592,3594,3593,3606,3600,3600,3600
2026-02-18T21:53:07.553,6.4,0.0,14.05,5.81,0.00,147.87,141.26,75,100,706,6.61,29,0,11,0.0,5.9,8.7,3600,3600,3600,3600,3600,3600,3606,3600,3600,3607,3600,3600,3597,3598,3600,3600
2026-02-18T21:53:08.901,6.4,0.1,12.87,5.89,0.00,148.00,141.31,76,100,706,6.69,29,0,11,0.0,184.2,8.7,3600,3600,3600,3599,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3606,3600
2026-02-18T21:53:10.245,6.5,0.0,12.44,5.93,0.00,148.22,141.58,75,100,706,6.64,29,0,11,0.0,0.0,8.7,3600,3600,3600,3600,3606,3594,3594,3600,3600,3600,3600,3593,3598,3595,3600,3600
2026-02-18T21:53:11.593,6.4,0.0,12.40,5.89,0.00,148.51,141.76,76,100,706,6.75,29,0,11,0.0,0.0,8.7,3601,3600,3600,3599,3600,3600,3606,3600,3598,3598,3600,3600,3600,3600,3600,3600
2026-02-18T21:53:12.933,6.4,0.1,12.68,5.87,0.00,148.70,141.63,76,100,706,7.07,29,0,11,0.0,20.8,8.7,3599,3600,3600,3600,3606,3600,3600,3606,3600,3600,3600,3600,3600,3600,3600,3600
