timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-18T21:47:10.833,0.0,0.0,6.79,0.96,0.00,20.34,13.62,31,0,288,6.72,28,0,11,0.0,0.0,6.7,3600,3600,3600,3596,3592,3600,3597,3592,3600,3595,3600,3579,3600,3601,3604,3596
2026-02-18T21:47:12.089,0.2,0.0,5.52,0.64,0.00,20.51,13.66,31,0,288,6.85,28,0,11,0.0,0.0,6.7,3600,3600,3600,3600,3600,3600,3600,3600,3604,3600,3600,3600,3600,3600,3600,3600
2026-02-18T21:47:13.461,0.2,0.0,5.26,0.73,0.00,20.21,13.57,31,0,288,6.64,28,0,11,0.0,23.3,6.7,3600,3600,3600,3600,3595,3600,3604,3600,3604,3600,3600,3600,3605,3600,3600,3600
2026-02-18T21:47:14.837,1.6,0.1,5.88,1.78,0.00,19.43,12.88,31,0,288,6.55,28,0,11,0.0,60.9,6.7,3600,3598,3600,3604,3599,3595,3600,3600,3595,3600,3600,3595,3600,3600,3601,3600
2026-02-18T21:47:16.213,0.3,0.0,4.63,0.56,0.00,18.52,12.02,31,0,288,6.50,28,0,11,0.0,0.0,6.7,3600,2943,3600,3604,3605,3600,3600,3600,3600,3595,3600,3600,3600,3605,3600,3600
2026-02-18T21:47:17.589,0.2,0.0,4.34,0.50,0.00,18.50,11.99,31,0,288,6.51,28,0,11,0.0,0.0,6.7,3600,3600,3600,3595,3600,3600,3605,3600,3600,3600,3605,3600,3596,3600,3600,3600
2026-02-18T21:47:18.969,0.3,0.0,4.03,0.59,0.00,18.45,11.99,31,0,288,6.46,28,0,11,0.0,5.8,6.7,3600,3600,3600,3600,3605,3596,3600,3600,3600,3600,3600,3600,3605,3595,3605,3600
2026-02-18T21:47:20.349,0.2,0.0,4.72,0.57,0.00,18.60,11.99,31,0,288,6.61,28,0,11,0.0,40.8,6.7,3600,3600,3600,3600,3600,3605,3600,3600,3600,3600,3600,3600,3600,3600,3600,3595
2026-02-18T21:47:21.721,0.2,0.0,3.77,0.55,0.00,18.78,12.01,31,0,288,6.77,28,0,11,0.0,0.0,6.7,3600,3605,3600,3600,3604,3600,3600,3600,3596,3600,3600,3600,3600,3600,3599,3600
2026-02-18T21:47:23.093,0.2,0.0,4.13,0.63,0.00,18.61,12.18,31,0,288,6.43,28,0,11,0.0,0.0,6.7,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3594,3600,3599,3595
2026-02-18T21:47:24.461,0.2,0.0,4.60,0.55,0.00,18.47,11.95,31,0,288,6.52,28,0,11,0.0,5.8,6.7,3595,3605,3600,3605,3600,3595,3600,3600,3600,3600,3605,3600,3595,3601,3600,3604
2026-02-18T21:47:25.832,0.1,0.1,4.00,0.60,0.00,18.41,11.89,31,0,288,6.52,28,0,11,0.0,23.3,6.7,3600,3600,3600,3600,3595,3600,3600,3599,3600,3600,3600,3600,3593,3600,3605,3596
2026-02-18T21:47:27.201,0.2,0.0,3.75,0.56,0.00,18.50,12.07,31,0,288,6.43,28,0,11,0.0,0.0,6.7,1928,3600,3600,3600,3605,3600,3599,3599,3600,3605,3600,3600,3594,3600,3600,3600
2026-02-18T21:47:28.565,0.1,0.1,3.99,0.58,0.00,18.83,12.03,31,0,288,6.80,28,0,11,0.0,64.1,6.7,3595,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3599,3600,3600,3600
2026-02-18T21:47:29.937,0.2,0.0,3.89,0.59,0.00,18.39,11.89,31,0,288,6.50,28,0,11,0.0,17.5,6.7,3600,3600,3605,3600,3595,3605,3595,3601,3600,3598,3600,3600,3593,3600,3605,3600
2026-02-18T21:47:31.305,0.1,0.0,3.68,0.58,0.00,18.36,11.96,31,0,288,6.40,28,0,11,0.0,26.3,6.7,3600,3600,3600,3600,3595,3600,3600,3600,3600,3600,3595,3600,3592,3600,3596,3604
2026-02-18T21:47:32.673,0.2,0.0,3.86,0.52,0.00,18.44,12.03,31,0,288,6.41,28,0,11,0.0,0.0,6.7,3600,3605,3600,3600,3604,3600,3600,3600,3600,3595,3600,3600,3594,3600,3600,3600
2026-02-18T21:47:34.041,0.2,0.0,3.81,0.59,0.00,18.51,12.04,31,0,288,6.47,28,0,11,0.0,0.0,6.7,3600,3600,3600,3600,3605,3601,3600,3600,3600,3600,3600,3600,3593,3601,3600,3600
2026-02-18T21:47:35.409,0.1,0.1,3.95,0.62,0.00,18.84,12.09,31,0,288,6.75,28,0,11,0.0,14.6,6.7,3600,3600,3605,3595,3600,3600,3600,3600,3600,3600,3600,3600,3599,3600,3595,3600
2026-02-18T21:47:36.781,0.2,0.0,3.91,0.58,0.00,18.69,12.10,31,0,288,6.59,28,0,11,0.0,0.0,6.7,3600,3605,3605,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3595
2026-02-18T21:47:38.153,0.2,0.0,3.69,0.56,0.00,18.67,12.13,31,0,288,6.54,28,0,11,0.0,0.0,6.7,3600,3600,3605,3600,3605,3600,3600,3600,3600,3600,3600,3600,3593,3596,3600,3600
2026-02-18T21:47:39.521,0.2,0.0,3.80,0.56,0.00,18.58,12.19,31,0,288,6.39,28,0,11,0.0,0.0,6.7,3594,2828,3605,3600,3600,3600,3600,3600,3600,3600,3600,3600,3595,3600,3600,3600
2026-02-18T21:47:40.889,0.2,0.1,3.82,0.56,0.00,18.53,12.12,31,0,288,6.41,28,0,11,0.0,8.8,6.7,3600,3591,3605,3595,3605,3600,3600,3600,3600,3600,3600,3600,3600,3601,3604,3605
2026-02-18T21:47:42.257,0.1,0.0,3.81,0.65,0.00,18.64,12.01,31,0,288,6.63,28,0,11,0.0,8.8,6.7,3600,3600,3595,3595,3605,3600,3600,3600,3600,3600,3600,3600,3598,3600,3600,3604
2026-02-18T21:47:43.625,0.2,0.0,3.72,0.54,0.00,18.60,12.20,31,0,288,6.40,28,0,11,0.0,0.0,6.7,3600,3600,3600,3600,3595,3600,3600,3600,3604,3605,3600,3600,3600,3600,3600,3605
2026-02-18T21:47:44.997,0.2,0.0,3.58,0.52,0.00,18.54,12.15,30,0,288,6.39,28,0,11,0.0,14.6,6.7,3594,3600,3600,3600,3600,3600,3600,3604,3600,3600,3600,3600,3594,3600,3600,3600
2026-02-18T21:47:46.365,0.2,0.0,3.70,0.54,0.00,18.50,12.07,31,0,288,6.43,28,0,11,0.0,8.8,6.7,3600,3599,3600,3600,3600,3600,3600,3600,3600,3605,3595,3600,3593,3605,3600,3604
2026-02-18T21:47:47.733,0.2,0.0,3.62,0.53,0.00,18.46,12.03,30,0,288,6.43,28,0,11,0.0,0.0,6.7,3600,3600,3600,3600,3600,3600,3600,3599,3600,3600,3605,3600,3593,3600,3600,3600
2026-02-18T21:47:49.101,0.2,0.0,3.44,0.50,0.00,18.61,12.03,31,0,288,6.58,28,0,11,0.0,0.0,6.7,3600,3600,3600,3600,3605,3600,3605,3600,3605,3595,3600,3600,3600,3604,3600,3600
2026-02-18T21:47:50.469,0.2,0.1,3.50,0.48,0.00,18.75,12.03,30,0,288,6.72,28,0,11,0.0,26.3,6.7,3600,3600,3600,3600,3600,3604,3600,3600,3600,3595,3600,3600,3600,3596,3600,3600
2026-02-18T21:47:51.841,0.2,0.0,3.43,0.50,0.00,18.49,12.06,31,0,288,6.43,28,0,11,0.0,5.8,6.7,3600,3600,3600,3600,3600,3600,3600,3600,3599,3600,3600,3600,3591,3600,3600,3605
2026-02-18T21:47:53.209,0.2,0.0,3.46,0.53,0.00,18.39,11.98,30,0,288,6.41,28,0,11,0.0,0.0,6.7,3600,3600,3600,3600,3600,3596,3600,3599,3604,3600,3600,3600,3594,3599,3604,3596
2026-02-18T21:47:54.577,0.2,0.0,3.46,0.48,0.00,18.36,11.90,30,0,288,6.46,28,0,11,0.0,0.0,6.7,3600,3595,3600,3605,3604,3595,3600,3600,3600,3605,3600,3600,3593,3600,3600,3604
2026-02-18T21:47:55.945,0.2,0.1,3.30,0.54,0.00,18.36,11.98,31,0,288,6.38,28,0,11,0.0,23.5,6.7,3600,3600,3600,3600,3600,3600,3605,3600,3600,3600,3593,3600,3600,3600,3600,3596
2026-02-18T21:47:57.309,0.3,0.0,3.77,0.56,0.00,18.49,11.78,30,0,288,6.71,28,0,11,0.0,5.9,6.7,3600,3600,3600,3600,3605,3600,3600,3599,3600,3600,3600,3600,3598,3595,3604,3600
2026-02-18T21:47:58.673,0.2,0.0,3.20,0.42,0.00,18.27,11.89,30,0,288,6.38,28,0,11,0.0,197.1,6.7,3600,3600,3605,3600,3600,3600,3600,3600,3600,3600,3600,3600,3586,3596,3600,3605
2026-02-18T21:48:00.029,0.1,0.1,3.33,0.48,0.00,18.34,12.02,30,22,288,6.32,28,0,11,0.0,84.9,6.7,3600,3600,3600,3600,3600,3600,3600,3600,3600,3599,3600,3600,3600,3600,3600,3600
2026-02-18T21:48:01.397,0.2,0.0,3.32,0.48,0.00,18.41,12.09,31,0,288,6.32,28,0,11,0.0,0.0,6.7,3605,3600,3600,3600,3600,3600,3600,3601,3600,3600,3595,3605,3600,3596,3600,3600
2026-02-18T21:48:02.765,0.2,0.0,2.97,0.29,0.00,18.32,11.99,30,0,288,6.33,28,0,11,0.0,8.8,6.7,3600,3601,3600,3600,3600,3600,3600,3600,3600,3600,3600,3595,3600,3600,3600,3600
2026-02-18T21:48:04.129,0.1,0.0,3.17,0.41,0.00,18.68,11.97,30,0,288,6.71,28,0,11,0.0,145.0,6.7,3600,3599,3595,3600,3600,3600,3605,3600,3600,3600,3600,3600,3600,3600,3604,3595
2026-02-18T21:48:05.509,0.3,0.1,3.13,0.43,0.00,18.37,11.91,30,0,288,6.46,28,0,11,0.0,20.4,6.7,3600,3600,3595,3595,3600,3600,3600,3600,3600,3604,3600,3600,3600,3600,3600,3604
2026-02-18T21:48:06.885,0.2,0.0,3.07,0.44,0.00,18.39,11.97,30,0,288,6.42,28,0,11,0.0,0.0,6.7,3605,3600,3600,3595,3600,3600,3605,3600,3600,3600,3600,3600,3595,3600,3600,3600
2026-02-18T21:48:08.257,0.2,0.0,3.60,0.46,0.00,18.44,12.04,30,0,288,6.40,28,0,11,0.0,5.8,6.7,3600,3600,3605,3600,3600,3595,3596,3601,3600,3600,3600,3605,3600,3601,3600,3596
2026-02-18T21:48:09.629,0.3,0.0,3.71,0.36,0.00,18.56,12.12,30,0,288,6.44,28,0,11,0.0,0.0,6.7,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3604,3600,3600
