timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-20T02:08:55.899,0.0,0.0,4.69,0.72,0.00,29.93,12.59,49,0,254,17.34,59,0,11,2479.0,0.0,6.9,3579,3600,3600,3600,3600,3600,3600,3600,3559,3600,3600,3600,3600,3600,3599,3600
2026-02-20T02:08:57.253,0.1,0.0,3.66,0.40,0.00,29.92,12.63,49,0,254,17.29,59,0,11,0.0,0.0,6.9,3600,3605,3600,3600,3600,3605,3600,3596,3595,3600,3600,3600,3600,3589,3600,3600
2026-02-20T02:08:58.609,9.0,3.7,16.65,7.99,0.00,29.89,12.66,49,0,254,17.23,59,0,11,309028.3,0.0,8.2,2624,3600,3593,3600,3600,3600,3595,3598,3600,3600,1938,3598,3600,3605,3600,3600
2026-02-20T02:08:59.905,10.3,2.2,21.82,11.99,0.00,29.69,12.65,49,0,254,17.04,58,0,11,105005.4,0.0,8.9,3600,3600,3600,3600,3600,3600,3606,3598,3600,3600,3594,3600,3600,3595,3600,3600
2026-02-20T02:09:01.245,10.5,1.6,20.95,11.09,0.00,35.42,18.46,50,11,498,16.96,57,0,14,142333.5,57.5,10.2,3600,3601,3600,3577,3600,3600,3600,3594,3600,3595,3600,3525,3596,3598,3600,3601
2026-02-20T02:09:02.561,12.8,1.2,20.24,10.41,0.00,85.61,68.73,56,78,560,16.88,57,0,14,115364.6,0.0,11.7,3473,3600,3600,3601,3599,3600,2938,3590,3599,3600,3600,3595,3600,3600,3600,3600
2026-02-20T02:09:03.893,8.2,0.3,18.66,8.80,0.00,106.17,87.10,57,75,560,19.07,58,17,369,206199.8,0.0,12.2,3600,3600,3599,3600,3600,3600,3600,3600,3600,3600,3600,3590,3597,3600,3600,3600
2026-02-20T02:09:05.201,12.1,0.6,22.36,12.12,0.00,133.10,77.19,54,0,560,55.91,60,39,689,207678.3,0.0,13.8,3600,3600,3600,3600,3600,3600,3584,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T02:09:06.509,11.1,1.5,20.49,11.42,0.00,98.48,34.73,52,0,254,63.75,61,41,695,146262.6,2758.4,11.0,3600,3600,3600,3600,3600,3600,3605,3600,3600,3594,3600,3600,3600,3606,3595,3600
2026-02-20T02:09:07.817,12.5,0.0,20.04,12.87,0.00,114.38,31.31,51,0,257,83.07,63,41,699,0.0,180.0,11.9,3600,2926,3597,3605,3600,3595,3600,3600,3598,3600,3600,3600,3600,3600,3595,3600
