timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-20T02:03:17.013,0.0,0.0,4.78,1.08,0.00,24.74,13.14,55,0,254,11.60,32,0,11,2057.1,0.0,7.0,3560,3600,3600,3600,3600,3599,3600,3600,3600,3595,3600,3600,3589,3567,3600,3596
2026-02-20T02:03:18.365,0.1,0.0,4.04,0.60,0.00,24.66,12.95,55,0,254,11.71,32,0,11,0.0,0.0,7.0,3600,3600,3595,3596,3600,3600,3600,3596,3600,3600,3600,3600,3600,3600,3595,3605
2026-02-20T02:03:19.729,15.9,1.7,21.95,13.22,0.00,24.61,12.87,55,0,254,11.74,32,0,11,277297.8,11.6,8.0,3600,3599,3599,3600,3596,3598,3600,3598,3599,3597,3600,3600,3598,3598,3600,3596
2026-02-20T02:03:20.807,28.8,0.9,33.66,23.64,0.00,24.63,12.87,55,0,254,11.76,32,0,11,26711.2,0.0,8.3,3596,3596,3515,3600,3594,3560,3600,3537,3600,3588,3515,2910,3589,3528,3600,3600
2026-02-20T02:03:22.109,25.4,1.1,31.91,22.13,0.00,24.58,12.87,54,0,257,11.71,32,0,11,60626.8,35.1,8.6,3600,3560,3600,3592,3052,3571,3541,3600,3600,3600,2100,2949,3580,3594,3600,3600
2026-02-20T02:03:23.405,29.0,1.1,33.38,23.25,0.00,24.51,12.86,54,0,257,11.65,32,0,11,92731.1,0.0,8.8,1315,3583,3533,3600,3528,3600,3535,3600,3587,3517,3600,3600,3589,3586,3600,1812
2026-02-20T02:03:24.769,21.2,0.1,27.64,18.64,0.00,24.50,12.77,53,0,257,11.73,32,0,11,3871.6,0.0,8.9,3585,3600,3593,3600,3580,3600,3556,3542,3586,3598,3594,3600,3570,3525,3536,3531
2026-02-20T02:03:25.889,23.3,0.9,30.63,20.35,0.00,35.38,23.63,55,0,918,11.75,32,0,11,511111.1,7.2,10.1,3570,3500,3581,3600,3594,3428,3497,3594,3596,3577,3598,3600,3599,3600,3584,3600
2026-02-20T02:03:27.157,26.7,0.4,32.81,22.86,0.00,62.48,50.55,57,39,936,11.93,32,0,11,40454.3,28.7,10.9,3600,3600,3600,2801,3477,3594,3163,3600,3600,3600,3600,3557,3395,3600,3590,3600
2026-02-20T02:03:28.488,26.6,0.0,30.25,22.95,0.00,65.33,53.39,57,38,942,11.94,32,0,11,0.0,39.2,10.9,3584,3600,3600,3600,3456,3542,3475,3584,3582,3600,3600,3600,3502,3555,3510,3587
2026-02-20T02:03:29.543,26.8,0.0,30.33,23.25,0.00,65.72,53.70,57,36,942,12.02,32,0,11,0.0,0.0,10.9,3586,3594,3600,3585,3564,3600,3565,3551,3582,3591,3600,3588,3566,3600,3563,3566
2026-02-20T02:03:30.603,27.5,0.0,29.81,22.74,0.00,65.07,52.98,57,35,942,12.09,32,0,11,0.0,0.0,10.9,3402,3580,3598,3600,3559,3600,3582,3600,3307,3600,3585,3600,3571,3600,3472,3600
2026-02-20T02:03:31.925,27.4,0.0,30.33,23.26,0.00,65.91,53.86,57,34,942,12.05,32,0,11,0.0,0.0,10.9,3600,3600,2717,3600,3600,3600,3593,3393,3600,3600,3460,3600,3600,3600,2733,3584
