timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-20T01:59:26.009,0.0,0.0,5.33,0.91,0.00,24.53,12.62,40,0,254,11.91,31,0,11,2977.8,0.0,7.0,1064,3605,3597,3600,3604,3600,3600,3600,3600,3600,3600,3600,3605,3595,3600,3600
2026-02-20T01:59:27.353,0.1,0.0,4.52,0.63,0.00,24.44,12.60,40,0,254,11.84,31,0,11,0.0,0.0,7.0,3592,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3595,3600,3595,3600,3595
2026-02-20T01:59:28.709,16.4,1.7,22.63,13.66,0.00,24.55,12.67,40,0,254,11.88,31,0,11,275142.5,0.0,8.0,3597,3600,3596,3600,3600,3596,3600,3597,3597,3599,3582,3600,3596,3598,3600,3597
2026-02-20T01:59:29.791,28.5,0.8,33.31,23.25,0.00,24.62,12.80,40,0,278,11.82,31,0,11,24145.5,14.8,8.6,3597,3587,3588,3557,3591,3600,3584,3573,3589,3589,3595,3550,3579,3600,3573,3571
2026-02-20T01:59:30.909,27.0,0.1,30.90,22.90,0.00,161.92,150.10,55,99,714,11.82,31,0,11,20507.2,255.6,8.9,3511,3497,3395,3588,3600,3600,3581,3600,3542,3577,3600,3586,3600,3486,3587,3587
2026-02-20T01:59:32.113,27.0,0.0,30.31,23.18,0.00,181.68,169.75,57,99,714,11.93,31,0,11,3.3,9.8,8.9,3453,3519,3565,3580,3600,3586,3600,3437,3475,3600,3495,3600,3600,3587,3600,3050
2026-02-20T01:59:33.433,27.6,0.0,30.02,23.14,0.00,182.14,170.12,59,99,714,12.02,31,0,11,0.0,0.0,9.0,3600,3579,3600,3560,3600,3590,3600,3568,3500,3600,3578,3600,3599,3588,3600,3591
2026-02-20T01:59:34.649,26.3,0.0,29.33,22.48,0.00,181.64,169.67,59,99,714,11.97,31,0,11,0.0,0.0,9.0,3600,3600,3582,3554,3602,3600,3533,2221,3600,3600,3600,3265,3600,3590,3601,3600
2026-02-20T01:59:35.977,26.9,0.1,30.00,22.88,0.00,181.40,169.52,60,99,714,11.88,31,0,11,0.0,42.2,9.0,3600,3518,3482,3487,3600,3600,3446,3534,3516,3360,3395,3504,3600,3600,3516,3248
2026-02-20T01:59:37.057,27.3,0.0,29.74,22.59,0.00,182.02,169.93,60,99,714,12.09,31,0,11,0.0,7.3,9.0,3559,3600,3600,3592,3600,3594,3555,3556,3579,3580,3576,3586,3600,3592,2379,3600
2026-02-20T01:59:38.297,26.3,0.0,29.64,22.54,0.00,182.13,170.02,61,99,714,12.11,31,0,11,0.0,0.0,9.0,3600,2616,3592,3600,3600,3589,3581,3600,3600,3574,3589,3599,3600,3600,3583,3523
2026-02-20T01:59:39.577,27.0,0.0,29.87,22.78,0.00,181.94,169.90,61,99,714,12.04,31,0,11,0.0,3.1,8.9,3600,3574,3586,3600,3600,3600,3600,3594,3493,3600,2701,3594,3600,3600,3600,3600
2026-02-20T01:59:40.873,27.0,0.0,32.57,23.29,0.00,181.64,169.66,62,99,714,11.98,31,0,11,0.0,0.0,9.0,3407,3408,3600,3526,3600,3594,3463,3600,3600,2957,3575,3439,3600,3600,3600,3588
2026-02-20T01:59:42.173,27.4,0.1,30.57,23.20,0.00,181.87,169.87,62,99,714,12.00,31,0,11,0.0,50.7,9.0,3600,3566,3591,3525,3600,3551,3457,3481,3600,3559,3572,3491,3600,3500,3462,3537
2026-02-20T01:59:43.269,27.6,0.1,30.87,23.44,0.00,181.74,169.84,63,99,714,11.90,31,0,11,3.7,84.0,9.0,3600,3573,3600,3600,3600,3574,3594,3397,2777,3593,3580,3600,3600,3572,3353,3328
2026-02-20T01:59:44.565,27.8,0.0,29.96,23.10,0.00,181.57,169.76,63,99,714,11.81,31,0,11,0.0,0.0,9.0,3600,3600,3600,3600,3600,3600,3600,3319,3592,3597,3600,3563,3600,3600,3582,3487
2026-02-20T01:59:45.841,26.8,0.0,32.36,23.02,0.00,181.72,169.89,64,100,714,11.83,31,0,11,304.3,0.0,9.0,3600,3575,3573,3600,3600,3600,3331,3600,3600,3600,2372,3600,3600,3595,3595,3600
2026-02-20T01:59:47.133,27.0,0.1,33.15,23.25,0.00,181.65,169.74,64,99,714,11.91,31,0,11,0.0,34.0,9.0,3600,3468,3600,3600,3599,3581,3584,3586,3415,3589,3592,3384,3600,3600,3591,3216
2026-02-20T01:59:48.437,27.2,0.0,32.08,23.24,0.00,181.75,169.84,64,99,714,11.91,31,0,11,0.0,6.1,9.0,3600,3600,3600,3349,3600,3581,3587,3588,3600,3557,3600,3600,3600,3157,3594,3600
2026-02-20T01:59:49.753,26.9,0.0,29.98,23.10,0.00,181.80,169.89,64,100,714,11.91,31,0,11,0.0,0.0,9.0,3601,3600,3577,3600,3600,3600,3600,3573,3587,3466,3574,3600,3600,3600,3014,3600
