timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-20T02:10:48.619,0.0,0.0,5.30,1.00,0.00,28.89,12.67,50,0,254,16.22,55,0,11,2437.0,0.0,6.9,3600,3600,3573,3605,3605,3600,3595,3595,3600,3600,3600,3572,3600,3600,3600,3600
2026-02-20T02:10:49.977,0.1,0.0,3.89,0.50,0.00,28.79,12.60,49,0,254,16.19,55,0,11,0.0,0.0,6.9,3591,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605,3600,3600,3600
2026-02-20T02:10:51.337,10.3,3.9,17.08,8.32,0.00,28.64,12.50,49,0,254,16.14,54,0,11,277973.8,0.0,8.2,3600,3600,3600,3595,3605,3600,3600,3600,3595,3600,3600,3600,3598,3600,3594,3598
2026-02-20T02:10:52.613,10.6,1.9,21.19,11.36,0.00,41.58,25.50,58,99,714,16.08,54,0,11,109484.7,0.0,9.3,3599,3600,3600,3594,3600,3601,3600,3600,3595,3600,3600,3600,3583,3600,3600,3600
2026-02-20T02:10:53.925,12.2,1.0,21.37,11.69,0.00,199.23,170.19,65,100,714,29.04,59,92,429,113618.3,55.0,10.6,3600,3600,3600,3600,3600,3600,3600,3606,3583,3600,3600,3600,3600,3600,3600,3600
2026-02-20T02:10:55.093,12.6,0.0,18.68,12.08,0.00,329.29,170.22,66,100,714,159.07,66,100,429,0.0,0.0,10.6,2667,3600,3606,3600,3593,2652,3597,3600,3600,3594,3600,3600,3600,3607,3600,3600
2026-02-20T02:10:56.401,12.6,0.0,18.43,11.83,0.00,330.96,169.30,66,100,714,161.66,68,100,429,0.0,0.0,10.6,3600,3600,3600,3594,3600,3600,3600,3607,3594,3600,3600,3606,3600,3600,3600,3600
2026-02-20T02:10:57.713,12.7,0.0,18.59,11.97,0.00,332.76,169.96,67,100,714,162.80,69,100,429,0.0,0.0,10.6,2383,3600,3600,3600,3600,3600,3600,3606,3583,3606,3600,3600,3600,3600,3597,3600
2026-02-20T02:10:59.021,12.7,0.0,18.75,11.92,0.00,333.47,169.85,68,100,714,163.62,70,100,429,0.0,73.4,10.6,2922,3600,3600,3600,3593,3600,3600,3600,3594,3600,3263,3600,3600,3600,3600,3600
2026-02-20T02:11:00.329,12.6,0.0,18.59,11.74,0.00,334.06,169.77,68,100,714,164.29,70,100,429,0.0,0.0,10.6,3600,3600,3600,3600,3600,3600,3607,3593,3600,3594,3600,3600,3600,3600,3598,3600
2026-02-20T02:11:01.641,12.6,0.0,18.56,11.71,0.00,334.71,169.93,69,100,714,164.78,71,100,429,301.8,0.0,10.6,3600,3600,3602,3600,3600,3600,3600,3600,3600,3606,3600,3600,3600,3600,3600,3600
2026-02-20T02:11:02.953,12.6,0.0,18.38,11.77,0.00,335.22,169.79,69,100,714,165.43,72,100,429,0.0,0.0,10.6,3600,3600,3600,3600,3592,3594,3600,3600,3582,3606,3600,3600,3600,3600,2491,3600
2026-02-20T02:11:04.261,12.7,0.1,18.56,11.67,0.00,336.14,169.80,70,100,714,166.34,72,100,429,0.0,9.2,10.6,3600,2712,3600,3600,3600,3594,3600,3600,3600,3600,3600,3600,3600,3601,3600,3600
2026-02-20T02:11:05.569,12.7,0.0,18.65,11.78,0.00,336.06,169.91,70,100,714,166.15,73,100,429,226.4,0.0,10.6,3593,2817,3600,3600,3600,3600,3600,3593,3594,3594,3600,3594,3600,3600,3594,3600
2026-02-20T02:11:06.877,12.6,0.0,20.79,11.83,0.00,336.79,169.89,71,100,714,166.90,73,100,429,0.0,0.0,10.6,3509,3600,3597,3600,3600,3599,3597,3607,3600,3599,3600,3593,3600,3600,3600,3600
2026-02-20T02:11:08.185,12.6,0.0,18.39,11.78,0.00,337.12,169.79,71,100,714,167.33,74,100,429,0.0,0.0,10.6,2613,3600,3600,3606,3600,3599,3594,3600,3606,3606,3600,3600,3600,3600,3597,3600
2026-02-20T02:11:09.493,12.7,0.1,18.96,11.87,0.00,338.35,169.86,72,100,714,168.49,74,100,429,0.0,12.2,10.6,2530,3600,3600,3594,3600,3600,3600,3600,3600,3600,3600,3606,3600,3600,3596,3600
2026-02-20T02:11:10.801,12.6,0.0,18.35,11.72,0.00,338.75,169.84,72,100,714,168.91,75,100,429,0.0,0.0,10.6,3600,3600,3600,3606,3600,3600,3594,3593,3600,3600,3600,3594,3600,3600,3597,3600
2026-02-20T02:11:12.109,12.6,0.0,18.26,11.65,0.00,338.26,169.64,72,100,714,168.62,74,100,429,0.0,0.0,10.6,3600,3600,3600,3600,3600,3600,3600,3593,3600,3600,3600,3606,3600,3600,3600,3600
2026-02-20T02:11:13.421,12.7,0.0,18.33,11.71,0.00,338.59,169.77,73,100,714,168.82,74,100,429,0.0,0.0,10.6,2427,3600,3600,3606,3608,3600,3597,3600,3600,1392,3600,3600,3600,3599,3600,3600
2026-02-20T02:11:14.729,12.7,0.1,18.81,11.70,0.00,338.90,169.75,73,100,714,169.15,75,100,429,0.0,82.6,10.6,2577,3600,3600,3600,3593,3605,3597,3600,3600,3597,3600,3600,3600,3600,3600,3600
2026-02-20T02:11:16.037,12.6,0.0,18.29,11.68,0.00,339.15,169.94,74,100,714,169.21,75,100,429,0.0,0.0,10.6,2455,3600,3600,3600,3600,3595,3600,3608,3600,3600,3600,3606,3600,3600,3598,3600
2026-02-20T02:11:17.345,12.6,0.0,18.32,11.71,0.00,339.38,169.76,74,100,714,169.62,76,100,429,0.0,0.0,10.6,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3594,3600,3600,3600,3600,3600
2026-02-20T02:11:18.657,12.7,0.1,18.34,11.68,0.00,338.87,169.76,75,100,714,169.11,76,100,429,0.0,9.0,10.6,3600,3525,3600,3600,3600,3600,3600,3600,3600,3606,3600,3600,3600,3600,3597,3600
2026-02-20T02:11:19.965,12.6,0.0,18.94,11.68,0.00,338.98,169.83,75,100,714,169.15,76,100,429,0.0,27.9,10.6,3600,2477,3600,3600,3600,3600,3600,3593,3600,3600,3600,3600,3600,3594,3600,3600
2026-02-20T02:11:21.273,12.7,0.0,18.36,11.77,0.00,339.07,169.74,76,100,714,169.33,77,100,429,0.0,0.0,10.6,3599,3600,3600,3600,3608,3600,3600,3607,3600,3600,3599,3596,3600,3606,3600,3600
2026-02-20T02:11:22.581,12.6,0.0,19.20,11.61,0.00,339.21,169.91,76,100,714,169.30,77,100,429,0.0,0.0,10.6,2534,3594,3600,3600,3600,3600,3594,3607,3600,3606,3599,3606,3600,3594,3606,3600
2026-02-20T02:11:23.889,12.6,0.1,20.01,11.76,0.00,339.19,169.78,76,100,714,169.41,77,100,429,0.0,15.3,10.6,3600,3597,3600,3600,3607,3600,3594,3607,3600,3600,3600,3600,3600,3600,3606,3600
2026-02-20T02:11:25.197,12.6,0.0,18.56,11.71,0.00,339.12,169.69,77,100,714,169.43,78,100,429,0.0,6.1,10.6,2398,3597,3600,3606,3600,3594,3600,3593,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T02:11:26.505,12.6,0.0,18.25,11.63,0.00,339.44,169.88,77,100,714,169.56,78,100,429,0.0,0.0,10.6,2488,3597,3600,3600,3592,3600,3600,3600,3600,3600,3601,3606,3600,3600,3600,3600
2026-02-20T02:11:27.813,12.6,0.0,18.28,11.68,0.00,339.04,169.69,78,100,714,169.35,78,100,429,0.0,0.0,10.6,2563,3600,3606,3594,3600,3600,3600,3607,3582,3600,2357,3600,3600,3594,3600,3600
2026-02-20T02:11:29.121,12.6,0.0,18.76,11.73,0.00,339.08,169.80,78,100,714,169.28,78,100,429,0.0,27.5,10.6,3600,3600,3594,3600,3608,3594,3606,3600,3600,3600,3597,3600,3600,3599,3600,3600
2026-02-20T02:11:30.429,12.6,0.0,18.36,11.76,0.00,339.26,169.83,78,100,714,169.43,79,100,429,0.0,0.0,10.6,3599,3600,3600,3600,3600,3600,3600,3600,3600,3600,3596,3600,3600,3600,3600,3600
2026-02-20T02:11:31.737,12.6,0.0,18.48,11.88,0.00,339.05,169.76,78,100,714,169.29,79,100,429,0.0,0.0,10.6,2517,3597,3600,3600,3592,3600,3600,3593,3594,3600,3594,3600,3600,3593,3599,3600
2026-02-20T02:11:33.045,12.6,0.0,18.58,11.96,0.00,339.10,169.82,79,100,714,169.28,79,100,429,0.0,0.0,10.6,3600,3601,3600,3600,3600,3600,3600,3592,3600,3600,3600,3594,3600,3600,3600,3600
2026-02-20T02:11:34.357,12.6,0.1,18.93,12.07,0.00,339.17,169.82,79,100,714,169.35,79,100,429,0.0,9.1,10.6,3600,3600,3600,3606,3600,3599,3600,3608,3600,3600,3597,3606,3600,3600,3600,3600
2026-02-20T02:11:35.669,12.6,0.0,18.63,12.02,0.00,338.95,169.87,79,100,714,169.08,80,100,429,0.0,0.0,10.6,3601,3600,3596,3605,3592,3600,3600,3600,3594,3600,3600,3606,3600,3606,3600,3600
2026-02-20T02:11:36.977,12.6,0.0,18.77,11.94,0.00,339.25,169.70,79,100,714,169.55,80,100,429,135.6,0.0,10.6,3600,3600,3600,3600,3600,3600,3594,3600,3600,3592,3600,3600,3600,3600,3594,3600
2026-02-20T02:11:38.285,12.6,0.1,18.74,11.88,0.00,339.52,169.81,80,100,714,169.71,80,100,429,6.2,68.3,10.6,2493,3600,3600,3600,3600,3599,3605,3607,3600,3594,3597,3600,3600,3600,3600,3600
2026-02-20T02:11:39.593,12.6,0.0,18.38,11.78,0.00,339.50,169.92,80,100,714,169.58,80,100,429,0.0,0.0,10.6,3601,3600,3600,3594,3600,3600,3600,3592,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T02:11:40.905,12.6,0.0,18.84,11.99,0.00,339.25,169.60,80,100,714,169.65,80,100,429,0.0,9.2,10.6,2480,3600,3600,3600,3607,3600,3600,3600,3600,3600,3600,3601,3600,3601,3600,3600
2026-02-20T02:11:42.213,12.6,0.0,18.41,11.80,0.00,339.40,169.75,80,100,714,169.65,81,100,429,0.0,0.0,10.6,3600,3600,3600,3606,3593,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T02:11:43.525,12.6,0.0,18.95,11.86,0.00,339.53,169.80,81,100,714,169.73,81,100,429,0.0,48.8,10.6,3600,3600,3600,3600,3600,3600,3606,3600,3600,3606,3600,3600,3600,3600,3600,3600
2026-02-20T02:11:44.837,12.6,0.0,18.61,11.77,0.00,339.36,169.68,81,100,714,169.68,81,100,429,0.0,51.9,10.6,3600,3601,3600,3600,3608,3600,3600,3600,3600,3607,3596,3600,3600,3594,3600,3600
2026-02-20T02:11:46.145,12.6,0.0,18.37,11.75,0.00,339.72,169.99,81,100,714,169.73,81,100,429,0.0,0.0,10.6,2414,3600,3600,3600,3600,3606,3594,3593,3606,3607,3597,3594,3600,3600,3600,3600
2026-02-20T02:11:47.453,12.7,0.0,18.28,11.66,0.00,339.50,169.76,81,100,714,169.74,81,100,429,0.0,0.0,10.6,3600,3600,3596,3600,3600,3607,3600,3608,3600,3594,3600,3600,3600,3601,3600,3600
2026-02-20T02:11:48.761,12.6,0.0,18.48,11.62,0.00,339.21,169.68,81,100,714,169.53,81,100,429,0.0,27.5,10.6,3601,3600,3600,3600,3608,3606,3596,3600,3606,3600,3600,3600,3600,3600,3600,3600
2026-02-20T02:11:50.069,12.6,0.0,18.42,11.65,0.00,339.42,169.77,81,100,714,169.65,82,100,429,3.1,6.1,10.6,3600,3594,3606,3600,3600,3600,3597,3600,3573,3600,3600,3600,3600,3600,3600,3600
2026-02-20T02:11:51.377,12.6,0.0,18.62,11.92,0.00,339.30,169.79,82,100,714,169.51,82,100,429,0.0,0.0,10.6,3001,3600,3600,3600,3600,3600,3600,3607,3606,3600,3600,3600,3600,3600,3597,3600
2026-02-20T02:11:52.689,12.7,0.1,18.68,11.79,0.00,339.39,169.80,82,100,714,169.59,82,100,429,198.4,21.0,10.6,2930,3600,3279,3600,3600,3606,3600,3600,3594,3600,3600,3599,3600,3600,3600,3600
2026-02-20T02:11:53.997,12.7,0.1,21.39,11.81,0.00,339.45,169.60,82,100,714,169.85,82,100,429,0.0,15.5,10.6,3600,3600,3600,3600,3608,3606,3594,3600,3600,3600,3594,3600,3600,3600,3600,3600
2026-02-20T02:11:55.309,12.6,0.0,20.63,11.67,0.00,339.47,169.87,82,100,714,169.60,82,100,429,0.0,6.1,10.6,3600,3600,3601,3600,3608,3600,3600,3608,3583,3600,3594,3600,3600,3600,3600,3600
2026-02-20T02:11:56.617,12.6,0.0,18.30,11.67,0.00,339.37,169.68,82,100,714,169.69,82,100,429,0.0,0.0,10.6,3600,3600,3600,3594,3600,3600,3600,3593,3606,3600,3600,3595,3600,3600,3600,3600
2026-02-20T02:11:57.929,12.6,0.0,18.56,11.59,0.00,339.19,169.81,82,100,714,169.38,82,100,429,0.0,155.5,10.6,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3597,3607,3594,3600,3600
2026-02-20T02:11:59.236,12.6,0.0,18.19,11.57,0.00,339.47,169.89,83,100,714,169.58,82,100,429,0.0,0.0,10.6,3599,3600,3597,3600,3600,3606,3600,3600,3593,3600,3600,3600,3607,3601,3606,3600
2026-02-20T02:12:00.545,12.6,0.0,18.23,11.61,0.00,339.55,169.75,83,100,714,169.80,82,100,429,0.0,0.0,10.6,3600,3600,3600,3601,3600,3600,3600,3600,3594,3600,3600,3600,3600,3600,3600,3600
2026-02-20T02:12:01.857,12.6,0.0,18.20,11.59,0.00,339.43,169.74,83,100,714,169.69,83,100,429,0.0,0.0,10.6,3600,3600,3593,3600,3600,3600,3600,3608,3600,3600,3600,3600,3587,3600,3606,3600
2026-02-20T02:12:03.165,12.6,0.1,18.60,11.62,0.00,339.41,169.76,83,100,714,169.65,83,100,429,0.0,24.5,10.6,3600,3600,3138,3600,3600,3607,3600,3600,3600,3600,3600,3600,3593,3593,3600,3600
2026-02-20T02:12:04.477,12.6,0.0,18.24,11.62,0.00,339.44,169.82,83,100,714,169.62,83,100,429,0.0,0.0,10.6,3600,3600,3600,3594,3600,3594,3600,3600,3600,3596,3606,3600,3600,3600,3600,3600
2026-02-20T02:12:05.785,12.7,0.0,19.83,11.76,0.00,339.19,169.80,83,100,714,169.39,83,100,429,488.9,0.0,10.6,3600,3599,3600,3600,3600,3600,3606,3591,3600,3597,3600,3606,3600,3600,3600,3600
2026-02-20T02:12:07.097,12.6,0.0,21.26,11.62,0.00,339.47,169.87,83,100,714,169.60,83,100,429,0.0,0.0,10.6,3600,3600,3600,3600,3600,3600,3600,3600,3600,3593,3601,3600,3600,3600,3600,3600
2026-02-20T02:12:08.409,12.7,0.1,19.13,11.62,0.00,339.00,169.69,83,100,714,169.31,83,100,429,0.0,21.4,10.6,3600,3594,3600,3600,3600,3600,3600,3607,3600,3600,3485,3600,3600,3606,3600,3600
2026-02-20T02:12:09.697,12.6,0.2,20.47,11.61,0.00,339.03,169.68,83,100,714,169.35,83,100,429,0.0,292.0,10.6,2675,3597,3600,3600,3600,3600,3600,3600,3600,3600,3371,3606,3600,3594,3600,3600
2026-02-20T02:12:10.985,12.6,0.0,18.48,11.61,0.00,339.22,169.92,84,100,714,169.30,83,100,429,0.0,62.1,10.6,2867,3597,3600,3600,3600,3600,3594,3606,3594,3600,3600,3600,3593,1854,3600,3600
2026-02-20T02:12:12.293,12.6,0.0,18.30,11.68,0.00,339.25,169.75,84,100,714,169.50,83,100,429,0.0,0.0,10.6,3600,3600,3606,3600,3600,3600,3600,3600,3600,3600,3594,3600,3600,3606,3600,3600
2026-02-20T02:12:13.605,12.6,0.0,18.54,11.70,0.00,339.21,169.85,84,100,714,169.36,83,100,429,0.0,18.3,10.6,3600,3600,3600,3606,3600,3606,3600,3593,3600,3600,3600,3600,3600,3606,3600,3600
2026-02-20T02:12:14.917,12.6,0.1,18.54,11.68,0.00,339.25,169.92,84,100,714,169.33,83,100,429,0.0,15.3,10.6,3600,3597,3600,3594,3600,3600,3600,3600,3594,3600,3600,3594,3600,3600,3600,3600
2026-02-20T02:12:16.225,12.6,0.0,18.51,11.89,0.00,339.04,169.74,84,100,714,169.30,83,100,429,0.0,0.0,10.6,2680,2105,3600,3600,3600,3600,3600,3600,3606,3600,3600,3600,3600,3600,3596,3600
2026-02-20T02:12:17.533,12.6,0.0,18.32,11.71,0.00,339.15,169.85,84,100,714,169.30,84,100,429,0.0,0.0,10.6,3600,3600,3600,3600,3600,3594,3600,3593,3600,3600,3600,3599,3600,3596,3600,3600
