timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-20T01:46:41.079,0.0,0.0,4.51,0.82,0.00,24.13,12.29,29,0,254,11.84,30,0,11,0.0,0.0,6.9,3584,3521,3584,3600,3600,3600,3598,3600,3596,3595,3600,3600,3600,3595,3600,3597
2026-02-20T01:46:42.349,0.2,0.0,3.98,0.47,0.00,24.09,12.28,29,0,254,11.81,30,0,11,0.0,0.0,6.9,3600,3600,3600,3600,3600,3600,3600,3600,3600,3596,3600,3600,3600,3605,3600,3600
2026-02-20T01:46:43.713,0.2,0.0,4.24,0.58,0.00,23.96,12.33,29,0,254,11.63,30,0,11,0.0,144.1,6.9,3589,3600,3600,3605,3600,3595,3600,3600,3600,3600,3600,3600,3604,3600,3600,3600
2026-02-20T01:46:45.073,0.2,0.0,4.56,0.47,0.00,23.99,12.33,29,0,254,11.66,30,0,11,0.0,432.3,6.9,3600,3600,3600,3600,3596,3600,3600,3590,3595,3600,3600,3596,3600,3604,3600,3595
2026-02-20T01:46:46.433,0.1,0.0,4.71,0.60,0.00,24.06,12.31,29,0,254,11.75,30,0,11,0.0,0.0,6.9,3600,3600,3600,3605,3600,3605,3600,3600,3595,968,3600,3605,3600,3600,3600,3593
2026-02-20T01:46:47.793,0.1,0.0,3.86,0.53,0.00,24.06,12.39,29,0,254,11.67,30,0,11,0.0,0.0,6.9,3600,3605,3600,3600,3600,3600,3600,3596,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T01:46:49.157,0.2,0.1,3.72,0.52,0.00,24.03,12.32,29,0,254,11.71,30,0,11,0.0,38.1,6.9,3600,3600,3600,3595,3600,3605,3600,3600,3600,3600,3600,3600,3605,3600,3600,3600
2026-02-20T01:46:50.521,0.2,0.0,3.82,0.55,0.00,24.10,12.38,29,0,254,11.72,30,0,11,0.0,0.0,6.9,2888,3600,3600,3600,3599,3600,3600,3597,3600,3600,3600,3600,3600,3596,3600,3593
2026-02-20T01:46:51.881,0.1,0.0,3.86,0.56,0.00,23.98,12.38,29,0,254,11.60,30,0,11,0.0,0.0,6.9,2821,3600,3600,3596,3600,3600,3600,3600,3604,3600,3600,3595,3595,3596,3600,3593
2026-02-20T01:46:53.241,0.2,0.1,3.78,0.53,0.00,23.91,12.35,29,0,254,11.56,30,0,11,0.0,14.7,6.9,2954,3595,3600,3595,3600,3600,3604,3593,3600,3600,3600,3605,3600,3600,3595,3600
2026-02-20T01:46:54.601,0.1,0.0,3.82,0.54,0.00,23.99,12.32,29,0,254,11.67,30,0,11,0.0,0.0,6.9,3595,3600,3600,3600,3600,3600,3593,3604,3595,3600,3600,3595,3600,3600,3600,3600
2026-02-20T01:46:55.961,0.1,0.0,3.71,0.48,0.00,24.00,12.29,29,0,254,11.71,30,0,11,0.0,0.0,6.9,3600,3600,3600,3604,3600,3600,3600,3600,3600,3600,3595,3600,3600,3600,3596,3600
2026-02-20T01:46:57.329,0.2,0.0,3.68,0.53,0.00,23.87,12.05,29,0,254,11.82,30,0,11,0.0,0.0,6.9,3600,3600,3600,3600,3600,3600,3600,3605,3600,3595,3595,3600,3595,3600,3600,3600
2026-02-20T01:46:58.693,0.1,0.1,3.81,0.52,0.00,23.96,12.15,29,0,254,11.81,30,0,11,0.0,8.8,6.9,3600,3595,3599,3600,3600,3600,3593,3600,3600,3605,3595,3600,3600,3600,3596,3595
2026-02-20T01:47:00.053,0.2,0.0,3.77,0.53,0.00,24.20,12.32,29,25,254,11.88,30,0,11,0.0,5.8,6.9,3600,3600,3600,3599,3600,3600,3595,3604,3600,3604,3600,3600,3595,3600,3600,3600
2026-02-20T01:47:01.421,0.1,0.0,3.74,0.55,0.00,24.27,12.30,29,0,254,11.97,30,0,11,0.0,0.0,6.9,3600,3600,3605,3600,3600,3600,3600,3605,3600,3605,3600,3600,3595,3596,3600,3600
2026-02-20T01:47:02.789,0.2,0.0,3.76,0.54,0.00,24.24,12.26,29,0,254,11.98,30,0,11,0.0,0.0,6.9,3599,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3601,3600,3600,3600
2026-02-20T01:47:04.161,0.2,0.1,3.98,0.60,0.00,23.98,12.18,29,0,254,11.80,30,0,11,0.0,14.6,6.9,3595,3600,3600,3595,3596,3599,3600,3598,3605,3600,3594,3600,3605,3600,3600,3595
2026-02-20T01:47:05.525,0.1,0.0,3.98,0.58,0.00,23.91,12.15,29,0,254,11.76,30,0,11,0.0,85.3,6.9,2865,3600,3600,3600,3600,3600,3600,3593,3600,3600,3600,3596,3600,3596,3600,3595
2026-02-20T01:47:06.885,0.1,0.2,4.30,0.64,0.00,23.87,12.14,29,0,254,11.73,30,0,11,0.0,164.6,6.9,2792,3600,3600,3600,3604,3600,3600,3600,3600,3600,3600,3600,3600,3596,3600,3591
