timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-20T12:53:48.337,0.0,0.0,5.11,0.82,0.00,23.90,12.17,36,0,254,11.73,31,0,11,1527.4,0.0,7.0,3600,3600,3600,3600,3600,3600,3600,3604,3600,3595,3565,3600,3600,3600,3604,3588
2026-02-20T12:53:49.689,0.1,0.0,4.66,0.49,0.00,23.79,12.06,36,0,254,11.73,31,0,11,0.0,0.0,7.1,3600,3600,3601,3604,3600,3600,3600,3595,3605,3600,3600,3595,3601,3593,3600,3600
2026-02-20T12:53:51.049,14.7,1.8,21.73,13.36,0.00,23.76,12.04,36,0,254,11.72,31,0,11,297143.2,0.0,8.0,3600,3600,3076,3579,3600,3600,3498,3560,3600,3593,3333,3600,3588,3600,3600,3582
2026-02-20T12:53:52.337,25.0,1.2,32.14,22.15,0.00,23.61,11.95,36,0,254,11.66,31,0,11,42203.6,0.0,8.3,3600,3600,3600,3175,3600,3577,3600,2430,3600,2041,3588,3600,3587,3600,3600,3600
2026-02-20T12:53:53.657,25.6,0.9,33.13,22.98,0.00,23.59,11.97,36,0,257,11.62,31,0,11,117238.0,66.5,9.1,3550,3568,3600,3579,3587,3596,3586,3600,3546,3561,3600,3581,3582,3592,3585,3600
2026-02-20T12:53:54.722,25.8,1.1,33.72,23.50,0.00,49.36,37.64,41,73,560,11.72,31,0,11,168172.3,181.6,11.1,3592,3535,3600,3546,3600,3595,3575,3491,3537,3539,3600,3517,3600,3595,3581,3514
2026-02-20T12:53:55.801,27.3,0.0,33.98,23.93,0.00,94.00,82.16,44,68,560,11.84,31,0,11,282.8,0.0,11.1,3600,3588,3600,3525,3589,3561,3600,3521,3600,3583,3600,3527,3579,3553,3572,3528
2026-02-20T12:53:56.876,27.4,0.0,31.38,23.94,0.00,93.80,82.00,44,69,560,11.80,31,0,11,0.0,0.0,11.1,3600,3600,3545,3593,3536,3524,3547,3547,3600,3600,3518,3576,3560,3560,3538,3578
2026-02-20T12:53:57.951,27.0,0.0,33.67,23.89,0.00,93.79,81.96,45,69,560,11.83,31,0,11,196.1,7.4,11.1,3600,3329,3600,3600,3577,2665,3600,3593,3600,3600,3589,3600,3586,3600,3232,3600
2026-02-20T12:53:59.293,25.4,1.2,30.78,21.89,0.00,44.61,32.82,40,0,254,11.79,31,0,11,150040.9,2767.7,8.2,3593,3589,3600,3569,3585,3360,3582,3600,3583,3562,3600,3570,3587,3575,3592,3600
2026-02-20T12:54:00.353,27.2,0.0,31.30,23.90,0.00,42.39,30.73,39,0,254,11.66,31,0,11,0.0,54.6,8.5,3505,3509,3570,3597,3584,3600,3553,3600,3548,3526,3572,3264,3600,3600,3556,3600
2026-02-20T12:54:01.549,26.6,0.0,30.99,23.78,0.00,35.92,24.28,40,10,558,11.64,31,0,11,0.0,0.0,10.4,3600,3310,3590,3600,3600,3588,3509,3600,3580,3600,3600,3581,3600,3600,3593,3598
2026-02-20T12:54:02.865,27.3,0.1,33.35,23.47,0.00,94.69,82.92,45,71,560,11.77,31,0,11,2204.1,0.0,11.1,3600,3600,3516,3589,3600,3592,3309,3600,3595,3596,3600,3572,3600,3600,3600,3238
2026-02-20T12:54:04.173,27.6,0.0,31.52,23.99,0.00,94.46,82.59,46,70,560,11.87,31,0,11,0.0,48.2,11.1,3553,3583,3595,3572,3600,3583,3596,3600,3564,3581,3570,3577,3600,3584,3600,3600
2026-02-20T12:54:05.270,27.4,0.0,32.33,23.84,0.00,91.79,79.93,43,9,560,11.86,31,0,11,0.0,15.0,11.1,3600,3543,3600,3589,3600,3575,3574,3557,3600,3572,3600,3585,3600,3583,3583,3542
2026-02-20T12:54:06.335,27.8,0.0,33.89,23.57,0.00,45.26,33.47,41,0,254,11.79,31,0,11,0.0,0.0,8.3,3600,3505,3600,3336,3471,3600,3482,3587,3600,3367,3593,3575,3582,3600,3576,3572
2026-02-20T12:54:07.409,26.6,0.0,33.70,24.43,0.00,45.07,33.41,41,0,254,11.66,31,0,11,0.0,3.7,8.5,3595,3583,2665,3596,3600,3600,3482,3586,1909,3555,3591,3600,3259,3600,3586,3458
2026-02-20T12:54:08.677,27.2,0.1,32.29,24.49,0.00,39.46,27.87,41,11,560,11.59,31,0,11,1607.0,113.9,11.1,3594,3587,3588,3569,3583,3600,3346,3600,3517,3587,3600,3380,3600,3600,2906,3600
2026-02-20T12:54:09.961,27.8,0.0,32.84,23.56,0.00,94.86,83.12,46,63,560,11.74,31,0,11,0.0,0.0,11.1,3575,3600,3600,3524,3600,3600,3410,2828,3590,3600,3594,3589,3239,3146,3593,3600
2026-02-20T12:54:11.281,27.2,0.0,31.47,23.66,0.00,96.07,84.22,47,69,560,11.85,31,0,11,0.0,85.2,11.1,3562,3600,3600,3600,3579,3571,3561,3569,3558,3600,3597,3600,3570,3573,3556,3565
2026-02-20T12:54:12.377,27.9,0.0,31.28,23.90,0.00,76.66,64.88,42,0,560,11.78,31,0,11,0.0,0.0,8.3,3601,3566,3600,3596,3589,3600,2359,3594,3600,3366,3600,3600,3412,3594,3564,3600
2026-02-20T12:54:13.689,26.7,0.0,31.17,23.75,0.00,45.15,33.45,42,0,254,11.70,31,0,11,0.0,21.9,8.3,3600,3587,3346,3590,3600,3418,3565,3600,3588,3587,3092,3574,3600,3473,3573,3586
2026-02-20T12:54:14.749,27.2,0.0,31.79,24.61,0.00,38.63,27.06,40,0,257,11.57,31,0,11,0.0,0.0,9.1,3122,3572,3600,3600,3599,3545,3473,3574,3593,3600,3600,3585,3600,3478,3571,3574
2026-02-20T12:54:16.005,27.9,0.0,32.05,24.31,0.00,71.87,60.23,46,72,560,11.64,31,0,11,1467.8,12.9,11.1,2698,3529,3593,3600,3581,3487,3577,3600,3594,3256,3544,3600,3600,3600,3592,3600
2026-02-20T12:54:17.349,27.6,0.0,33.29,23.84,0.00,95.59,83.66,47,70,560,11.93,31,0,11,0.0,0.0,11.1,3585,3600,3562,3582,3600,3494,3566,3591,3588,3600,3545,3562,3600,3512,3567,3600
2026-02-20T12:54:18.423,27.4,0.0,31.49,24.09,0.00,96.06,84.13,48,74,560,11.93,31,0,11,0.0,67.9,11.1,3594,3435,3564,3555,3571,3593,3600,3600,3579,3534,3555,3516,3570,3589,3600,3600
2026-02-20T12:54:19.483,27.9,0.0,31.96,23.67,0.00,64.24,52.45,43,8,254,11.79,31,0,11,0.0,60.4,7.9,3530,3587,3355,3600,3566,3408,3539,3600,3600,3597,3600,3596,3568,3600,3542,3600
2026-02-20T12:54:20.665,26.7,0.0,33.61,24.32,0.00,45.30,33.73,42,0,254,11.57,31,0,11,0.0,0.0,8.4,3585,3575,3582,3090,3600,3579,3363,3600,3536,3589,3577,3584,3600,3583,3566,3600
2026-02-20T12:54:21.801,27.0,0.0,32.01,24.55,0.00,39.61,28.13,42,0,270,11.48,31,0,11,0.0,14.0,9.6,3600,3575,3557,3589,3584,3222,3597,3597,3592,3573,3564,3572,3582,3581,3596,3594
2026-02-20T12:54:22.881,27.3,0.1,32.86,23.93,0.00,73.67,62.01,47,71,560,11.66,31,0,11,1520.3,0.0,11.1,3597,3600,3600,3485,3469,3600,3600,3125,3483,3593,3600,3600,3586,3355,3600,3569
2026-02-20T12:54:24.197,27.3,0.0,34.18,23.99,0.00,95.84,84.03,48,69,560,11.81,31,0,11,0.0,54.1,11.1,3558,3561,3588,3600,3400,3516,3600,3584,3441,3600,3593,3600,2769,3588,3598,3600
2026-02-20T12:54:25.457,27.3,0.0,31.48,23.75,0.00,96.73,84.90,48,72,560,11.83,31,0,11,0.0,0.0,11.1,3584,3589,3581,3600,3577,3600,3584,3232,3574,3569,3577,3600,3580,3600,2700,3550
2026-02-20T12:54:26.633,27.4,0.0,33.50,23.49,0.00,53.78,42.13,43,0,254,11.65,31,0,11,0.0,0.0,8.2,3540,3567,3579,3600,3595,3560,3539,3600,3545,3533,3550,3600,1867,3517,3542,3600
2026-02-20T12:54:27.705,26.7,0.0,30.90,23.46,0.00,45.40,33.90,43,0,254,11.50,31,0,11,0.0,14.6,8.5,3528,3600,3475,3512,3524,3600,3562,3588,3564,3600,3490,3537,3511,3600,3540,3591
2026-02-20T12:54:28.783,27.4,0.1,32.32,24.39,0.00,41.02,29.54,42,9,498,11.48,31,0,11,0.0,124.7,9.7,3456,3577,3539,3600,3442,3600,3573,3600,3556,3551,3416,3577,3490,3600,3579,3600
2026-02-20T12:54:29.841,27.3,0.1,32.01,23.59,0.00,75.53,63.78,48,70,560,11.75,31,0,11,1714.2,63.1,11.1,3530,3537,3587,3590,3600,3600,3557,3579,3517,3527,3590,3593,3600,3600,3568,3600
2026-02-20T12:54:30.919,27.6,0.0,33.34,24.12,0.00,96.75,84.85,49,72,560,11.90,31,0,11,0.0,0.0,11.1,3600,3600,3331,3458,3563,3502,3600,3588,3585,3600,3548,3532,3587,3555,3600,3594
2026-02-20T12:54:31.997,27.8,0.0,31.08,23.90,0.00,96.21,84.38,49,71,560,11.83,31,0,11,0.0,0.0,11.1,2788,3279,3600,3600,3429,3594,3434,3599,2875,3581,3600,3600,3434,3576,3564,3600
2026-02-20T12:54:33.317,26.7,0.0,30.94,23.34,0.00,60.99,49.18,44,0,254,11.81,31,0,11,0.0,9.1,8.0,3347,3431,3593,3600,3535,3600,3551,3574,3600,3581,3588,3600,3589,3600,3588,3600
2026-02-20T12:54:34.509,26.1,0.1,30.74,23.38,0.00,45.59,33.84,44,0,254,11.75,31,0,11,0.0,36.6,8.5,3600,3560,3600,3590,3563,3580,3587,3593,3600,3561,3600,3595,3574,3573,3584,3592
2026-02-20T12:54:35.574,27.1,0.0,32.05,24.83,0.00,34.72,23.02,43,12,498,11.70,31,0,11,0.0,0.0,9.6,3593,3599,3558,3518,3566,3571,3581,3600,3593,3589,3560,3581,3577,3571,3584,3600
2026-02-20T12:54:36.679,27.6,0.1,31.75,24.15,0.00,77.64,65.97,48,70,560,11.67,31,0,11,1139.5,3203.5,11.1,3600,3600,3600,3600,3478,3600,3582,3600,3600,3600,3600,3572,3227,3600,3569,3585
2026-02-20T12:54:37.997,26.9,0.0,33.05,23.48,0.00,95.37,83.63,49,70,560,11.74,31,0,11,0.0,0.0,11.1,3541,3600,3600,3571,3592,3600,3563,3137,3600,3600,3576,3574,3587,3600,3570,3536
2026-02-20T12:54:39.241,27.3,0.1,31.24,23.73,0.00,96.37,84.49,50,74,560,11.88,31,0,11,0.0,131.4,11.1,3600,3250,3600,3600,3282,3600,3584,3384,3585,3591,3600,3593,2924,3600,3600,3577
2026-02-20T12:54:40.557,27.2,0.0,30.92,23.56,0.00,46.34,34.53,45,0,254,11.81,31,0,11,0.0,0.0,8.2,3389,3590,3600,3594,3589,3597,3565,3600,3572,3590,3587,3583,3578,3583,3570,3600
