timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-20T13:01:25.761,0.0,0.0,6.40,1.33,0.00,24.03,12.78,48,0,254,11.25,32,0,11,3486.4,0.0,7.0,3600,3600,3600,3600,3600,3600,3595,3604,3600,3600,3600,3600,3600,3600,3600,3599
2026-02-20T13:01:27.109,0.2,0.0,3.72,0.45,0.00,24.00,12.73,48,0,254,11.27,32,0,11,0.0,0.0,7.0,3605,3600,3600,3600,3600,3600,3604,3600,3600,3600,3600,3600,3587,3600,3600,3599
2026-02-20T13:01:28.465,9.4,3.7,16.25,8.19,0.00,24.03,12.65,48,0,254,11.38,32,0,11,309732.7,0.0,8.3,3123,3600,3599,3600,3593,3600,3600,3605,3600,3600,3601,3600,3600,3600,3600,3600
2026-02-20T13:01:29.761,10.5,1.8,21.50,11.64,0.00,57.37,12.65,48,0,254,44.72,42,100,471,115095.2,0.0,9.4,3600,3600,3606,3600,3605,3600,3600,3605,3600,3600,3600,3605,3597,3600,3583,3600
2026-02-20T13:01:31.073,11.4,1.1,21.76,12.05,0.00,187.49,17.39,49,3,554,170.10,47,100,471,121280.1,134.7,10.9,3600,3600,3600,3600,3595,3600,3598,3592,3600,3600,3600,3600,3460,3600,3557,3600
2026-02-20T13:01:32.381,12.4,0.4,22.45,12.75,0.00,247.30,78.19,55,76,560,169.11,48,100,471,61275.9,0.0,12.0,3600,3600,2455,3600,3600,3600,3600,3599,3600,3599,3600,3596,3599,3600,3600,3600
2026-02-20T13:01:33.689,12.7,0.0,22.04,12.89,0.00,256.74,86.93,56,76,560,169.81,49,100,471,36.7,3.1,12.0,3600,3600,3599,3601,3600,3600,3600,3598,3600,3599,3600,3600,3598,3599,3601,3600
2026-02-20T13:01:34.997,12.2,0.4,19.52,12.20,0.00,239.84,69.68,52,0,560,170.16,50,100,471,37653.5,0.0,11.9,3584,3600,3600,3600,3606,3600,3600,3607,2582,3607,3599,3600,3598,3600,3595,3600
2026-02-20T13:01:36.305,11.7,1.1,21.35,11.85,0.00,204.02,34.23,51,0,254,169.79,50,100,471,111408.2,2687.3,9.2,3600,3605,3600,3596,3600,3600,3600,3600,3599,3600,3600,3601,3595,3595,3607,3600
2026-02-20T13:01:37.593,12.6,0.1,22.97,13.26,0.00,198.84,29.26,50,0,269,169.58,50,100,471,132.4,95.5,10.4,3600,3600,3600,3605,3600,3595,3600,3600,3529,3600,3600,3578,3595,3596,3600,3599
2026-02-20T13:01:38.909,12.7,0.0,20.55,12.64,0.00,242.27,72.34,56,77,560,169.93,51,100,471,918.1,3.1,12.0,3600,3600,3600,3600,3600,3600,3600,3601,3600,2991,3600,3599,3600,3599,3600,3600
2026-02-20T13:01:40.217,12.7,0.0,22.50,12.86,0.00,257.34,87.68,56,76,560,169.66,52,100,471,0.0,0.0,12.0,3600,3107,3600,3599,3600,3600,3600,3601,3600,3599,3600,3601,3588,3600,3591,3600
2026-02-20T13:01:41.525,12.7,0.0,20.73,12.46,0.00,247.00,77.20,53,0,560,169.80,52,100,471,0.0,61.2,11.8,3600,3600,3605,3600,3600,3600,3600,3600,3600,3601,3606,3600,3589,3602,3605,3597
2026-02-20T13:01:42.833,12.6,0.1,20.16,12.94,0.00,204.43,34.52,52,0,254,169.91,53,100,471,0.0,39.8,9.3,3600,3599,3606,3606,3600,3601,3600,3600,3600,3600,3600,3600,3600,3605,3600,3600
2026-02-20T13:01:44.141,12.5,0.0,19.91,13.06,0.00,198.25,28.46,51,3,558,169.79,54,100,471,0.0,0.0,11.0,3600,3600,3600,3600,3600,3605,3595,3600,3600,3600,3600,3600,3600,3600,3600,3599
2026-02-20T13:01:45.449,12.8,0.1,21.45,12.91,0.00,257.85,87.98,56,75,560,169.87,54,100,471,1014.5,107.0,12.0,3600,3600,3600,3602,3600,3597,3600,3600,3600,3599,3599,2673,3589,3601,3600,3600
2026-02-20T13:01:46.737,12.8,0.0,22.44,12.80,0.00,257.03,87.18,57,76,560,169.85,55,100,471,0.0,0.0,12.0,3600,3601,3600,3600,3600,3600,3600,3600,3600,3599,3589,3600,3601,3600,3600,3600
2026-02-20T13:01:48.045,12.6,0.0,20.39,12.47,0.00,231.25,61.59,53,8,254,169.66,56,100,471,0.0,76.5,8.4,3600,3600,3600,3599,3600,3596,3600,3601,3600,3600,3600,3600,3600,3600,3605,3600
2026-02-20T13:01:49.353,12.5,0.0,21.70,13.17,0.00,204.16,34.31,52,0,254,169.85,56,100,471,0.0,0.0,9.4,3600,3601,3600,3600,3600,3600,3600,3605,3595,3600,3600,3605,3600,3600,3600,3600
2026-02-20T13:01:50.661,12.6,0.1,20.76,13.22,0.00,198.61,28.92,52,36,560,169.69,57,100,471,905.1,104.0,12.0,2970,3600,3599,3601,3599,3600,3592,3600,3600,3600,3600,3600,3600,3600,3599,3600
2026-02-20T13:01:51.969,12.8,0.0,22.10,13.12,0.00,257.37,87.74,57,74,560,169.63,58,100,471,0.0,0.0,12.0,3600,3600,3600,3600,3600,3600,3600,3601,3600,3599,3600,3606,3601,3600,3598,3600
2026-02-20T13:01:53.277,12.8,0.0,19.74,12.90,0.00,257.49,87.71,57,74,560,169.78,58,100,471,0.0,9.2,12.0,3600,3600,3600,3056,3599,3600,3600,3599,3599,3600,3599,3600,3600,3600,2427,3600
2026-02-20T13:01:54.585,12.7,0.0,21.05,12.67,0.00,219.41,49.42,53,0,254,169.99,59,100,471,0.0,0.0,9.0,3600,3600,3600,3600,3600,3600,3600,3590,3600,3600,3600,3600,3600,3600,3595,3600
