timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-20T13:03:18.315,0.0,0.0,4.52,0.78,0.00,29.57,12.95,48,0,254,16.62,57,0,11,2446.2,0.0,7.0,3582,3600,3600,3605,3600,3604,3600,3600,3564,3595,3600,3604,3600,3600,3600,3596
2026-02-20T13:03:19.673,0.1,0.1,4.22,0.53,0.00,29.45,12.89,48,0,254,16.56,57,0,11,0.0,26.8,7.0,3600,3600,3600,3595,3600,3595,3600,3600,3596,3600,3601,3600,3600,3600,3600,3600
2026-02-20T13:03:21.033,9.9,3.6,16.93,8.45,0.00,29.26,12.87,48,0,254,16.39,56,0,11,303571.9,0.0,8.3,3600,3600,3600,3600,3600,3605,3600,3600,3595,3600,3600,3600,3605,3595,3599,3600
2026-02-20T13:03:22.361,10.2,2.4,21.60,11.77,0.00,29.26,12.89,48,0,254,16.37,56,0,11,93142.0,0.0,8.9,3600,3598,3600,3595,3600,3595,3600,3600,3600,3600,3595,3595,3600,3600,3600,3604
2026-02-20T13:03:23.685,11.7,1.3,22.11,11.93,0.00,65.23,20.09,50,9,560,45.14,63,100,429,226086.1,27.5,12.4,3586,3600,3595,3596,3600,3600,3601,3600,3600,3562,3600,3600,3596,3600,3572,3599
2026-02-20T13:03:24.873,12.7,0.3,22.50,12.92,0.00,242.47,81.22,55,74,560,161.25,68,100,429,14893.3,74.0,12.7,3600,2888,3597,3600,3600,3600,3600,3600,3600,3599,3600,3599,3600,3600,3600,3600
2026-02-20T13:03:26.185,12.7,0.0,20.70,12.88,0.00,249.74,86.74,56,75,560,163.00,69,100,429,6.1,3.0,12.7,3600,3382,3600,3525,3600,3599,3600,3600,3600,3597,3600,3600,3600,3600,3599,3600
2026-02-20T13:03:27.493,12.1,0.6,19.77,12.04,0.00,230.99,66.97,52,0,560,164.02,70,100,429,74528.6,0.0,12.6,3534,3600,3600,3600,3600,3594,3600,3600,2160,3600,3600,3600,3600,3600,3600,2565
2026-02-20T13:03:28.821,11.6,0.9,20.14,12.26,0.00,199.25,34.67,51,0,254,164.58,71,100,429,73498.6,2555.8,10.0,3600,3600,3600,3606,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T13:03:30.129,12.6,0.1,21.04,13.10,0.00,191.73,26.60,51,8,514,165.13,71,100,429,0.0,131.5,11.5,3600,3600,3600,3605,3600,3594,3600,3600,3600,3601,3600,3600,3600,3600,3601,3598
2026-02-20T13:03:31.437,13.0,0.1,20.77,12.95,0.00,247.02,81.37,56,73,560,165.65,72,100,429,1267.6,51.9,12.7,3600,3600,3600,3600,3600,3600,3600,3600,3601,3600,3600,3601,2441,3601,3600,3600
2026-02-20T13:03:32.749,12.8,0.0,21.56,12.86,0.00,253.37,87.11,57,74,560,166.26,72,100,429,0.0,0.0,12.7,3600,3600,2799,3599,3600,3600,3600,3601,3600,3599,3600,3599,3296,3602,3600,3600
2026-02-20T13:03:34.057,12.6,0.0,19.63,12.57,0.00,234.23,67.58,53,0,254,166.65,73,99,429,0.0,0.0,9.2,3599,3600,3600,3600,3600,3600,3600,3592,3600,3600,3605,3600,3600,3599,3600,3605
2026-02-20T13:03:35.389,12.6,0.0,20.34,13.00,0.00,199.76,32.81,51,0,254,166.95,73,99,429,0.0,58.0,10.1,3600,3601,3600,3600,3606,3600,3600,3595,3595,3600,3600,3600,3600,3601,3600,3600
2026-02-20T13:03:36.701,12.8,0.0,23.09,13.08,0.00,194.46,26.62,52,1,560,167.84,74,100,429,1308.4,0.0,12.7,3026,3600,3600,3600,3600,3600,3599,3601,3599,3600,3600,3600,3595,3600,3601,3600
2026-02-20T13:03:38.009,12.8,0.0,22.70,12.87,0.00,256.12,87.69,57,74,560,168.43,75,100,429,0.0,0.0,12.7,3600,3600,3600,3600,3600,3600,3600,3599,3600,3598,3600,3294,3600,3600,3600,3600
2026-02-20T13:03:39.321,12.8,0.0,20.75,12.76,0.00,256.83,87.74,57,74,560,169.09,75,100,429,0.0,106.8,12.7,3600,3600,3600,3600,3600,3600,3600,3591,3600,3601,3600,3600,3600,3600,3600,3601
2026-02-20T13:03:40.629,12.9,0.0,19.77,12.32,0.00,221.31,52.37,53,0,254,168.94,75,99,429,0.0,0.0,9.7,3600,3600,3600,3600,3600,3594,3600,3596,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T13:03:41.917,12.4,0.0,19.82,13.00,0.00,203.02,34.40,52,0,254,168.62,74,100,429,0.0,0.0,10.2,3600,3600,3600,3600,3600,3600,3605,3600,3594,3600,3592,3601,3595,3600,3600,3600
2026-02-20T13:03:43.205,12.7,0.0,20.00,12.98,0.00,210.18,41.24,55,75,560,168.94,75,100,429,0.0,0.0,12.7,2956,3600,3600,3600,3600,3597,3594,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T13:03:44.513,12.8,0.1,21.98,12.91,0.00,257.28,88.11,57,76,560,169.17,75,100,429,0.0,48.9,12.7,3600,3600,3600,3601,3600,3601,3595,3601,3599,3600,3600,3600,3600,3600,3600,3600
2026-02-20T13:03:45.821,12.6,0.0,19.90,12.78,0.00,256.92,87.90,57,78,560,169.02,75,100,429,0.0,9.2,12.7,3211,3600,3600,3600,3592,3600,3601,3600,3600,2922,3600,3600,3600,3600,3600,3600
2026-02-20T13:03:47.129,12.5,0.0,19.52,12.42,0.00,211.12,41.94,53,0,254,169.18,76,100,429,0.0,0.0,9.9,3600,3600,3600,3605,3600,3600,3605,3602,3596,3600,3600,3600,3600,3600,3600,3600
2026-02-20T13:03:48.437,12.6,0.0,20.08,13.21,0.00,204.00,34.77,53,0,254,169.23,76,100,429,0.0,0.0,10.6,3600,3600,3606,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3592,3600
2026-02-20T13:03:49.749,12.9,0.1,20.56,12.89,0.00,222.87,53.60,56,75,560,169.27,76,100,429,2116.1,99.2,12.8,3589,3600,3600,3600,3600,3600,3601,3600,3360,2288,3599,3600,3600,3600,3600,3600
2026-02-20T13:03:51.041,12.7,0.0,21.91,12.91,0.00,257.44,88.11,58,76,560,169.33,77,100,429,0.0,15.5,12.8,3596,2940,3600,3600,3599,3600,3600,3601,3600,3535,3600,3601,3600,3600,3600,3600
2026-02-20T13:03:52.349,12.7,0.0,19.67,12.87,0.00,257.51,88.03,58,75,560,169.48,77,100,429,0.0,0.0,12.8,3600,3600,3600,2980,3591,3599,3599,3600,3600,3600,3600,3605,3600,3600,3600,3600
2026-02-20T13:03:53.657,12.6,0.0,19.70,12.59,0.00,204.51,34.97,53,0,254,169.54,77,100,429,0.0,0.0,9.9,3600,3600,3600,3599,3600,3599,3600,3595,3600,3600,3600,3595,3600,3600,3597,3600
2026-02-20T13:03:54.965,12.6,0.2,20.35,13.17,0.00,195.48,25.77,52,0,257,169.71,78,99,429,0.0,21.0,10.8,3600,3600,3600,3600,2469,3600,3600,3600,3601,3600,3600,3600,3600,3600,3600,3600
2026-02-20T13:03:56.277,12.8,0.1,21.67,13.13,0.00,236.52,66.90,57,76,560,169.62,78,100,429,689.1,102.4,12.7,3600,3600,3600,3600,3600,3600,3600,3600,3600,3601,3600,2503,3600,3600,3601,3592
2026-02-20T13:03:57.585,12.8,0.0,20.91,12.80,0.00,257.59,87.92,58,75,560,169.67,78,100,429,0.0,0.0,12.7,3600,3600,3599,3600,3600,3600,3600,3597,3600,3600,3600,3601,3600,3600,3600,3599
2026-02-20T13:03:58.893,12.8,0.0,19.43,12.54,0.00,254.01,84.26,56,11,560,169.75,78,99,429,0.0,0.0,12.7,3600,3600,3600,3600,3600,3600,3593,3604,3600,3600,3600,3600,3600,3600,3600,3605
2026-02-20T13:04:00.201,12.5,0.0,20.03,12.81,0.00,204.51,35.04,54,0,254,169.47,79,100,429,0.0,55.1,10.0,2859,3600,3600,3600,3600,3600,3596,3606,3600,3600,3600,3595,3600,3600,3600,3600
2026-02-20T13:04:01.509,12.6,0.1,20.67,13.24,0.00,202.17,32.66,53,8,500,169.51,79,99,429,0.0,97.8,11.4,3593,3600,3600,3600,3600,3594,3600,3600,3600,3600,3600,3246,2787,3600,3600,3599
2026-02-20T13:04:02.817,13.0,0.0,21.89,13.02,0.00,252.21,82.73,58,76,560,169.48,79,100,429,0.0,0.0,12.7,2931,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3601,3601,3599,3594
2026-02-20T13:04:04.133,12.7,0.0,19.93,12.73,0.00,257.52,87.92,59,74,560,169.60,79,100,429,0.0,0.0,12.7,3027,3600,3600,3104,3600,3600,3600,3600,3599,3600,3598,3600,3600,3601,3600,3601
2026-02-20T13:04:05.441,12.6,0.0,20.39,12.39,0.00,237.32,67.90,55,0,254,169.42,79,99,429,3.0,2592.8,9.2,3583,3600,3600,3600,3600,3600,3600,3602,3600,3600,3591,3600,3600,3595,3600,3600
2026-02-20T13:04:06.753,12.5,0.1,22.88,12.96,0.00,204.66,35.13,54,0,254,169.53,80,100,429,0.0,70.4,10.1,3600,3600,3600,3600,3600,3600,3600,3600,3600,3602,3600,3594,3600,3600,3605,3600
2026-02-20T13:04:08.061,12.7,0.0,20.92,12.96,0.00,201.24,31.52,54,2,560,169.72,80,99,429,2153.0,0.0,12.7,3600,3600,3600,3600,3600,3600,3601,3600,3600,3550,3600,3600,3600,3602,3600,3599
