timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-20T12:44:19.226,0.0,0.0,4.66,0.93,0.00,23.45,11.90,29,0,254,11.55,30,0,11,2005.8,0.0,6.9,3600,3605,3600,3600,3600,3600,3600,3595,3600,3600,3600,3600,3600,3600,3598,3595
2026-02-20T12:44:20.573,0.1,0.0,4.23,0.51,0.00,23.31,11.75,29,0,254,11.56,30,0,11,0.0,0.0,6.9,3595,3600,3600,3596,3600,3600,3595,3600,3600,3600,3600,3595,3600,3600,3600,3600
2026-02-20T12:44:21.937,2.2,2.1,12.22,4.12,0.00,23.34,11.74,29,0,254,11.60,31,0,11,297872.0,0.0,7.6,3600,3600,3599,3600,3600,3600,3595,3595,3595,3600,3600,3600,3600,3600,3595,3591
2026-02-20T12:44:23.281,5.2,1.3,15.89,6.34,0.00,23.43,11.99,29,0,254,11.44,30,0,11,66122.6,0.0,7.9,3601,3600,3600,3600,3599,3600,3600,3599,3600,3600,3600,3600,3600,3595,3595,3548
2026-02-20T12:44:24.621,5.0,1.3,15.96,6.32,0.00,25.41,13.96,30,8,498,11.45,30,0,11,145855.9,54.0,9.1,3600,3600,3600,3600,3600,3597,3595,3595,3600,3600,3600,3605,3600,3600,3599,3523
2026-02-20T12:44:25.953,5.8,0.7,16.25,6.87,0.00,79.47,67.95,36,79,560,11.52,30,0,11,83221.8,0.0,10.5,3600,3600,3599,3600,3600,3600,3599,3600,3600,3601,3600,3600,3600,3596,3600,3600
2026-02-20T12:44:27.285,6.4,0.0,14.60,7.04,0.00,96.04,84.47,37,73,560,11.57,30,0,11,36.0,772.0,10.5,3600,3600,3600,3600,3600,3600,3597,3600,3600,3600,3600,3601,3600,3600,3600,3600
2026-02-20T12:44:28.617,6.3,0.1,13.38,6.44,0.00,82.42,70.75,33,0,560,11.67,30,0,11,19278.2,45.0,10.4,3600,3601,3600,3600,3600,3600,3600,3405,3600,3595,3600,3600,3600,3595,3600,3600
2026-02-20T12:44:29.969,4.9,1.4,15.05,6.69,0.00,43.37,32.13,32,0,254,11.24,30,0,11,125848.8,121.6,7.7,3597,3600,3600,3600,3600,3602,3600,3595,3600,3600,3600,3600,3605,3595,3600,3600
2026-02-20T12:44:31.301,6.3,0.0,14.44,7.56,0.00,41.64,30.39,32,0,270,11.25,30,0,11,0.0,5.9,9.0,3600,3600,3600,3600,3600,3605,3600,3600,3600,3600,3600,3600,3594,3577,3600,3600
2026-02-20T12:44:32.645,6.5,0.0,14.01,7.15,0.00,84.06,72.77,37,75,560,11.29,30,0,11,0.0,0.0,10.5,3600,3600,3600,3600,2852,3600,3600,3600,3600,3600,3601,3600,3593,3600,3599,3600
2026-02-20T12:44:33.977,6.4,0.0,16.63,7.08,0.00,95.99,84.48,38,74,560,11.51,30,0,11,0.0,0.0,10.5,3600,3130,3600,3600,3600,3600,3600,3601,3600,3600,3593,3600,3601,3599,3600,3600
2026-02-20T12:44:35.289,6.5,0.1,16.45,6.68,0.00,79.23,67.64,34,0,560,11.59,30,0,11,0.0,73.0,7.6,3597,3600,3600,3606,3600,3600,3599,3600,3605,3600,3600,3600,3600,3605,3600,3596
2026-02-20T12:44:36.625,6.3,0.0,14.87,7.40,0.00,43.95,32.43,34,0,254,11.52,30,0,11,3.0,4335.5,7.8,3600,3600,3600,3600,3600,3600,3599,3596,3595,3594,3595,3600,3600,3600,3600,3600
2026-02-20T12:44:37.957,6.3,0.0,16.55,7.25,0.00,40.55,29.27,34,15,560,11.28,30,0,11,2113.4,48.0,10.3,3600,3600,3600,3600,3600,3571,3600,3598,3600,3600,3600,3601,3600,3600,3600,3600
2026-02-20T12:44:39.293,6.5,0.0,15.20,7.14,0.00,96.77,85.47,39,74,560,11.30,30,0,11,0.0,59.9,10.5,3597,3600,3600,3599,3599,3600,3600,3600,3600,3600,3600,3600,3601,3599,3600,3600
2026-02-20T12:44:40.625,6.4,0.0,14.39,6.90,0.00,96.39,84.93,39,77,560,11.46,30,0,11,0.0,0.0,10.5,3600,3600,3600,3599,3600,3601,3600,3600,3600,3601,3600,3600,3600,3601,3602,3600
2026-02-20T12:44:41.957,6.4,0.0,13.56,6.50,0.00,64.47,52.99,35,0,254,11.48,30,0,11,0.0,6.0,7.5,3600,3600,3600,3600,3600,3605,3600,3598,3600,3600,3600,3600,3588,3605,3600,3600
2026-02-20T12:44:43.269,6.2,0.0,13.96,7.40,0.00,43.42,32.00,35,0,254,11.42,31,0,11,0.0,0.0,7.9,3598,3600,3600,3606,3600,3606,3600,3600,3600,3605,3600,3600,3595,3600,3600,3600
2026-02-20T12:44:44.605,6.4,0.1,13.98,6.98,0.00,55.40,43.96,38,76,560,11.44,30,0,11,0.0,48.0,10.5,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3599,3600,3594
2026-02-20T12:44:45.937,6.6,0.0,15.83,6.98,0.00,97.44,85.83,40,77,560,11.61,30,0,11,0.0,0.0,10.5,3600,2881,3600,3599,3600,3600,3601,3600,3601,3600,3601,3599,3600,3595,3600,3600
2026-02-20T12:44:47.273,6.8,0.0,13.69,6.92,0.00,97.06,85.48,40,77,560,11.58,30,0,11,0.0,6.0,10.5,3600,3597,3600,3599,3602,3600,3600,3601,3600,3600,3600,3599,3601,3600,3600,3595
2026-02-20T12:44:48.605,6.4,0.0,13.56,6.70,0.00,44.14,32.67,36,0,254,11.47,30,0,11,0.0,0.0,7.7,3600,3481,3600,3595,3595,3606,3606,3600,3595,3600,3600,3605,3600,3600,3599,3600
2026-02-20T12:44:49.913,6.3,0.1,14.02,7.18,0.00,35.68,24.44,34,0,257,11.24,31,0,11,0.0,21.3,8.5,3600,3600,3595,3600,3600,3605,3601,3600,3596,3600,3600,3594,3600,3600,3600,3600
2026-02-20T12:44:51.248,6.7,0.0,14.57,7.05,0.00,78.91,67.45,40,79,560,11.46,30,0,11,550.2,0.0,10.5,3600,3597,3601,3600,3600,3600,3598,3599,3398,3600,3600,3600,3600,3600,3600,3600
2026-02-20T12:44:52.561,6.5,0.0,16.43,6.87,0.00,96.97,85.37,41,73,560,11.60,30,0,11,0.0,12.4,10.5,3600,3600,3600,3601,3599,3600,3600,3601,3600,3599,3600,3600,3600,3602,3600,3600
2026-02-20T12:44:53.893,6.4,0.0,14.27,6.57,0.00,89.90,78.16,38,0,560,11.74,31,0,11,0.0,0.0,10.5,3600,3600,3600,3601,3595,3600,3601,3600,3600,3600,3599,3605,3600,3600,3599,3600
2026-02-20T12:44:55.229,6.4,0.1,16.24,6.86,0.00,43.99,32.56,37,0,254,11.43,30,0,11,3.0,65.9,7.8,3600,3230,3600,3595,3600,3600,3599,3600,3600,3600,3600,3600,3600,3605,3600,3600
2026-02-20T12:44:56.557,6.2,0.0,15.65,6.95,0.00,42.64,31.40,36,8,558,11.24,30,0,11,0.0,6.0,9.5,2346,3600,3605,3600,3600,3595,3439,3600,3594,3600,3595,3600,3601,3600,3600,3598
2026-02-20T12:44:57.889,6.5,0.0,15.80,7.03,0.00,95.96,84.64,42,75,560,11.32,30,0,11,1232.1,6.0,10.5,3600,3600,3600,3600,3600,3601,3600,3600,3600,3599,3600,3134,3600,3600,3600,3600
2026-02-20T12:44:59.221,6.5,0.0,14.21,6.84,0.00,97.00,85.46,42,73,560,11.54,30,0,11,0.0,138.2,10.5,3600,3600,3600,3600,3600,3600,2692,3601,3599,3600,3600,3600,3600,3599,3600,3600
2026-02-20T12:45:00.557,6.6,0.1,13.50,6.46,0.00,67.24,55.61,38,7,254,11.63,30,0,11,0.0,71.9,7.3,3600,3600,3600,3600,3595,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T12:45:01.869,6.2,0.0,13.86,7.28,0.00,44.29,32.75,37,0,254,11.54,31,0,11,0.0,0.0,7.9,3600,3595,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T12:45:03.201,6.3,0.0,14.34,7.15,0.00,43.77,32.36,39,60,560,11.41,30,0,11,944.8,6.0,10.5,3600,3600,3600,3600,3600,3600,3600,3599,3599,3600,3600,3600,3597,3600,3600,3600
2026-02-20T12:45:04.533,6.5,0.0,16.10,7.02,0.00,97.82,85.99,42,73,560,11.83,31,0,11,0.0,48.0,10.5,3600,3600,3600,3599,2806,3600,3599,3602,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T12:45:05.869,6.6,0.0,13.73,6.74,0.00,97.69,85.86,43,75,560,11.83,30,0,11,0.0,111.0,10.5,2953,3600,3600,3600,3437,3600,3601,3600,3600,3600,3600,3600,3601,3596,3598,3600
