timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-20T12:51:53.233,0.0,0.0,4.20,0.93,0.00,24.14,12.62,48,0,254,11.52,31,0,11,1650.7,0.0,6.9,3600,3595,3580,3571,3599,3600,967,3600,3600,3600,3600,3600,3600,3596,3600,3600
2026-02-20T12:51:54.585,0.1,0.0,4.29,0.59,0.00,24.02,12.60,48,0,254,11.42,31,0,11,3.0,0.0,7.0,3600,3600,3600,3600,3599,3600,3605,3600,3600,3595,3600,3600,3600,3600,3600,3591
2026-02-20T12:51:55.941,11.7,0.0,18.71,10.41,0.00,24.20,12.52,48,0,254,11.68,31,0,11,4301.1,5.8,7.5,1862,3600,3600,3480,3600,3600,3600,3511,3496,2890,3600,3537,3600,3600,2854,3591
2026-02-20T12:51:57.305,20.1,0.1,27.23,17.46,0.00,24.07,12.41,47,0,254,11.66,31,0,11,43.4,37.6,7.4,3600,3600,3592,2873,3600,3600,3589,3600,3600,3592,3600,3599,3600,3581,3600,3600
2026-02-20T12:51:58.633,21.0,0.0,27.97,18.14,0.00,24.04,12.43,47,0,254,11.61,31,0,11,6.1,6.1,7.5,3590,3586,3600,3505,3380,3584,3584,3583,3579,3492,3600,3589,3570,3600,3600,3500
2026-02-20T12:51:59.857,20.8,0.1,26.22,18.07,0.00,23.98,12.37,47,0,254,11.61,31,0,11,97.6,136.6,7.5,3586,3600,3600,3600,3592,3545,3576,3600,3580,3600,3600,3600,3595,3545,3581,3600
2026-02-20T12:52:00.942,20.5,0.0,25.34,18.50,0.00,23.93,12.43,47,0,254,11.50,31,0,11,0.0,0.0,7.5,3248,3600,3555,3600,3600,3600,3373,3200,3600,3600,3251,3483,3585,3594,3600,3600
2026-02-20T12:52:02.269,20.9,0.1,26.24,18.37,0.00,23.83,12.38,46,0,254,11.45,31,0,11,288.2,74.3,7.5,3590,3600,3580,3557,3554,3600,3561,3596,3584,3600,3585,3545,3556,3600,3549,3596
2026-02-20T12:52:03.359,20.7,0.0,28.38,18.54,0.00,23.79,12.39,46,0,254,11.40,31,0,11,0.0,0.0,7.5,3475,3595,2877,3600,3600,3564,3600,3516,3595,3478,3588,3600,2972,3584,2686,3496
2026-02-20T12:52:04.701,21.3,0.0,28.08,18.24,0.00,23.75,12.29,46,0,254,11.46,31,0,11,0.0,5.9,7.5,3584,3545,3584,3600,3237,3600,3589,3576,3583,3569,3600,3587,3570,3600,3594,3576
