timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-20T13:10:48.999,0.0,0.0,4.84,0.75,0.00,29.29,13.02,60,0,254,16.27,57,0,11,3567.1,0.0,6.9,2733,3600,3592,3600,3600,3595,3596,3600,3600,3600,3600,3605,3604,3601,3600,3600
2026-02-20T13:10:50.345,0.1,0.0,4.41,0.39,0.00,29.22,12.94,59,0,254,16.28,56,0,11,0.0,0.0,6.9,3600,3600,3600,3600,3600,3600,3596,3596,3600,3589,3600,3600,3600,3605,3600,3600
2026-02-20T13:10:51.701,10.4,3.9,16.60,8.44,0.00,29.23,13.02,59,0,254,16.21,56,0,11,275894.5,0.0,8.2,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3599,3595,3600,3595
2026-02-20T13:10:52.881,10.6,1.9,22.33,12.50,0.00,29.15,12.98,58,0,254,16.17,56,0,11,48970.4,0.0,8.8,3600,3597,3592,3600,3602,3600,3600,3594,3600,3600,3600,3600,3550,3600,3600,3599
2026-02-20T13:10:54.201,11.1,2.1,21.92,11.94,0.00,37.01,20.81,60,17,672,16.20,55,0,14,220437.6,77.3,10.3,3592,3600,3594,3594,3600,3600,3600,3605,3600,3600,3600,3600,3595,3600,3600,3600
2026-02-20T13:10:55.381,13.9,0.5,19.80,11.23,0.00,147.76,131.56,69,100,672,16.20,55,0,14,36051.4,0.0,10.4,3600,3600,3600,3600,3606,3600,3606,3605,3600,3600,3600,3594,3600,3600,3606,3595
2026-02-20T13:10:56.713,8.0,0.2,17.50,8.46,0.00,155.00,138.56,70,100,672,16.44,56,1,267,64562.1,0.0,10.8,3600,3600,3597,3600,3606,3605,3600,3605,3599,3600,3600,3600,3600,3601,3600,3605
2026-02-20T13:10:58.001,11.6,0.9,21.35,11.99,0.00,190.34,139.01,71,100,672,51.33,58,40,687,386896.4,0.0,12.5,3600,3480,3600,3600,3594,3600,3600,3600,3606,3299,3600,3600,3600,3600,3600,3600
2026-02-20T13:10:59.269,12.7,0.1,20.03,12.88,0.00,210.90,139.26,71,100,672,71.64,60,38,699,0.0,148.2,12.5,3600,3594,3600,3594,3600,3600,3600,3600,3600,3600,3600,3594,3600,3601,3600,3594
2026-02-20T13:11:00.577,12.5,0.0,19.91,12.70,0.00,219.26,139.28,72,100,672,79.98,61,36,699,0.0,147.0,12.5,3600,3600,3600,3596,3600,3600,3606,3594,3600,3600,3600,3597,3600,3594,3600,3606
2026-02-20T13:11:01.885,12.6,0.0,19.49,12.62,0.00,221.42,139.63,72,100,672,81.79,61,36,699,189.5,0.0,12.5,2835,3600,3600,3600,3593,3606,3600,3605,3600,3593,3600,3600,3600,3600,3600,3594
2026-02-20T13:11:03.193,12.6,0.0,21.46,12.61,0.00,221.77,139.79,73,100,672,81.98,62,36,699,0.0,0.0,12.5,3600,3600,3600,3594,3592,3595,3600,3606,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-20T13:11:04.501,12.7,0.1,19.57,12.65,0.00,222.52,140.15,73,100,672,82.37,62,36,699,0.0,27.5,12.5,3600,3600,3600,3596,3593,3600,3605,3594,3594,3600,3600,3600,3600,3600,3600,3606
2026-02-20T13:11:05.809,12.6,0.0,19.63,12.70,0.00,222.57,140.10,73,100,672,82.47,62,36,699,0.0,6.1,12.5,3600,3599,3595,3595,3600,3600,3605,3600,3600,3601,3600,3600,3600,3599,3600,3600
2026-02-20T13:11:07.121,12.8,0.0,19.44,12.76,0.00,222.90,140.17,74,100,672,82.73,62,37,699,0.0,0.0,12.5,3599,3600,3605,3600,3600,3600,3601,3600,3594,3600,3600,3595,3600,3599,3600,3600
2026-02-20T13:11:08.429,12.6,0.0,19.43,12.76,0.00,223.38,140.34,74,100,672,83.04,62,38,699,0.0,0.0,12.5,3600,3600,3595,3600,3600,3606,3595,3595,3594,3600,3600,3597,3600,3600,3594,3594
2026-02-20T13:11:09.741,12.7,0.0,19.87,12.71,0.00,223.79,140.55,74,100,672,83.24,62,37,699,0.0,27.5,12.5,3600,3600,3600,3597,3593,3594,3600,3606,3600,3601,3600,3600,3600,3600,3600,3600
2026-02-20T13:11:11.049,12.7,0.0,19.67,12.75,0.00,224.38,140.78,75,100,672,83.60,63,37,699,0.0,6.1,12.5,3600,3601,3600,3600,3600,3600,3605,3600,3600,3600,3600,3591,3600,3600,3606,3606
2026-02-20T13:11:12.357,12.6,0.0,20.21,12.79,0.00,224.65,140.88,75,100,672,83.77,63,36,699,0.0,0.0,12.5,3600,3600,3600,3596,3600,3600,3600,3600,3600,3600,3600,3606,3600,3600,3600,3600
2026-02-20T13:11:13.669,12.6,0.0,20.98,12.68,0.00,225.00,141.11,75,100,672,83.89,63,36,699,0.0,0.0,12.5,2480,3600,3600,3600,3600,3600,3600,3594,3600,3598,3600,3594,3600,3600,3594,3600
2026-02-20T13:11:14.977,12.7,0.1,19.75,12.83,0.00,225.48,141.34,75,100,672,84.14,63,37,699,0.0,9.2,12.5,3600,3601,3600,3600,3607,3606,3600,3600,3600,3593,3600,3600,3600,3594,3600,3594
2026-02-20T13:11:16.289,12.6,0.0,19.62,12.70,0.00,225.79,141.46,76,100,672,84.33,63,36,699,0.0,6.1,12.5,3150,3597,3600,3600,3600,3594,3600,3600,3593,3600,3600,3606,3600,3600,3600,3595
2026-02-20T13:11:17.597,12.6,0.0,19.38,12.71,0.00,226.05,141.51,76,100,672,84.54,63,37,699,0.0,0.0,12.5,3599,3595,3594,3600,3593,3601,3600,3600,3600,3601,3600,3600,3600,3600,3600,3600
