timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz,fan0_rpm,fan1_rpm,fan2_rpm
2026-05-31T00:30:33.846,1.2,0.0,8.67,2.47,0.00,27.36,13.67,44,13,453,13.69,38,0,15,3393.8,0.0,9.0,3600,3600,3169,3600,3568,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3602,5390,1120,578
2026-05-31T00:30:34.927,0.7,0.0,10.74,2.73,0.00,27.21,13.61,44,13,453,13.60,38,0,15,0.0,0.0,9.0,3600,2762,3470,3600,3600,3600,3468,3600,3600,3600,3600,3600,3600,3600,3600,3600,5390,1120,578
2026-05-31T00:30:36.005,1.8,0.8,13.07,4.28,0.00,27.03,13.55,44,13,453,13.48,38,0,15,195651.8,0.0,9.4,3600,1468,3464,3600,3600,3600,3600,3600,3600,3600,3600,3601,3600,3600,3600,3600,5377,1120,578
2026-05-31T00:30:37.087,5.2,1.5,17.88,8.01,0.00,27.03,13.53,44,13,453,13.50,38,0,15,181030.3,0.0,9.9,3600,1196,3138,3600,3600,3600,3600,3600,3600,3542,3600,3600,3600,3600,3600,3600,5377,1118,577
2026-05-31T00:30:38.169,5.7,1.1,18.24,8.34,0.00,27.28,13.67,43,13,453,13.61,38,0,15,130429.4,0.0,10.2,3600,3600,3263,3600,3600,3600,3600,3600,3600,3505,3600,3592,3600,3600,3600,3600,5377,1118,577
2026-05-31T00:30:39.252,6.2,0.4,18.21,8.30,0.00,27.43,13.92,43,13,470,13.51,38,0,15,74579.6,120.8,11.3,3600,3600,3264,3600,3600,3600,3373,3600,3600,2265,3600,3600,3600,3600,3600,3600,5377,1118,577
2026-05-31T00:30:40.344,5.7,1.0,17.54,7.28,0.00,48.08,34.60,45,2,453,13.48,38,0,15,166059.4,0.0,9.6,3478,3600,3308,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3599,3600,5337,1118,577
2026-05-31T00:30:41.408,6.6,0.1,18.98,9.14,0.00,47.69,34.17,46,2,453,13.52,38,0,15,0.0,235.3,10.0,3598,3600,3213,3600,3600,3600,3600,3346,3600,3420,3600,3600,3600,3600,3600,3600,5337,1118,576
2026-05-31T00:30:42.479,6.7,0.0,18.46,8.56,0.00,27.92,14.45,44,5,454,13.47,38,0,15,0.0,0.0,10.8,3600,3600,3404,3579,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1118,576
2026-05-31T00:30:43.601,6.8,0.1,18.14,7.89,0.00,41.08,27.66,45,6,453,13.42,38,0,15,11.3,124.1,9.5,3603,3600,3243,3600,3600,3600,3600,3496,3600,3600,3600,3600,3600,3600,3600,3600,5324,1117,577
2026-05-31T00:30:44.664,6.7,0.1,18.78,8.96,0.00,48.17,34.66,46,1,453,13.51,38,0,15,0.0,150.5,10.0,3458,3600,2850,3600,3600,3565,3600,3564,3600,3392,3600,3600,3605,3600,3600,3600,5390,1117,577
2026-05-31T00:30:45.728,7.1,0.1,19.36,9.42,0.00,40.53,26.95,45,6,453,13.58,38,0,15,157.5,0.0,10.8,1366,3600,3600,3472,3600,3600,3600,3600,3300,3464,3600,3533,3600,3600,3600,3600,5390,1118,576
2026-05-31T00:30:46.871,6.8,0.0,18.07,7.84,0.00,41.98,28.39,46,2,453,13.59,38,0,15,0.0,0.0,9.5,3600,3086,2376,3600,2279,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,2876,5390,1118,576
2026-05-31T00:30:47.935,6.7,0.0,18.74,8.91,0.00,48.31,34.66,46,2,453,13.65,38,0,15,0.0,0.0,10.1,3597,3600,3289,3600,3600,3600,3600,3600,2235,3600,3600,3600,3600,3600,3600,3600,5390,1118,576
2026-05-31T00:30:48.999,6.8,0.1,18.80,8.88,0.00,35.19,21.59,45,5,453,13.60,38,0,15,0.0,41.9,10.8,2331,3600,3435,3573,3600,3600,3600,3600,3600,3600,3599,3600,3600,3600,3600,2981,5377,1117,576
2026-05-31T00:30:50.144,6.9,0.1,18.17,7.93,0.00,42.49,28.89,45,2,453,13.60,38,0,15,3.8,15.0,9.5,3600,3600,3285,3600,3600,3600,3600,3505,3602,3600,3570,3600,3600,3600,3600,3600,5377,1117,577
2026-05-31T00:30:51.207,6.7,0.0,18.81,8.98,0.00,48.34,34.74,46,2,453,13.60,38,0,15,0.0,0.0,10.0,3600,3022,3373,3600,3600,3600,3600,3600,3600,2686,3600,3594,3600,3600,3600,3600,5337,1117,577
2026-05-31T00:30:52.271,6.6,0.0,18.81,8.89,0.00,29.58,16.05,44,4,453,13.53,38,0,15,0.0,0.0,10.8,3600,3226,3600,3298,3600,3600,3605,3600,3600,3593,3600,3600,3600,3600,3600,3600,5337,1118,576
2026-05-31T00:30:53.479,7.2,0.0,17.97,7.75,0.00,41.71,28.18,45,11,453,13.53,38,0,15,0.0,0.0,9.5,3605,3600,3600,3237,3600,3600,3513,3600,3600,3602,3600,3600,3600,3600,3600,3600,5337,1118,576
2026-05-31T00:30:54.545,6.7,0.1,18.56,8.74,0.00,44.67,30.99,46,1,453,13.68,38,0,15,0.0,44.7,10.0,3055,3605,3600,3493,3600,3600,3600,3600,3600,3598,3600,3456,3600,3600,3600,3600,5337,1118,575
2026-05-31T00:30:55.619,6.8,0.0,18.56,8.62,0.00,27.99,14.33,44,4,453,13.66,38,0,15,0.0,13.4,10.8,3595,3600,3600,3600,3600,3581,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1118,575
2026-05-31T00:30:56.814,7.1,0.0,17.97,7.75,0.00,41.19,27.59,46,2,453,13.60,38,0,15,0.0,0.0,9.5,3597,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1118,576
2026-05-31T00:30:57.878,6.7,0.0,18.78,8.95,0.00,48.13,34.73,46,1,453,13.40,38,0,15,0.0,0.0,10.0,3600,3600,3253,3600,3600,3600,3600,3600,3408,3600,3601,3600,3600,3600,3600,3600,5390,1118,576
2026-05-31T00:30:58.941,6.6,0.1,18.66,8.74,0.00,35.21,21.82,45,4,453,13.39,38,0,15,0.0,42.8,10.8,2270,3574,3600,3600,3600,3600,3600,3600,3600,3600,3601,3600,3600,3600,3600,3600,5390,1117,575
2026-05-31T00:31:00.155,7.2,0.0,18.19,7.98,0.00,42.13,28.68,45,1,453,13.45,38,0,15,0.0,0.0,9.5,3600,3600,3582,3399,3600,3600,2674,3600,3600,3600,3600,3597,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:31:01.219,6.6,0.0,18.89,9.06,0.00,48.35,34.73,46,1,453,13.62,38,0,15,0.0,15.0,10.0,3117,3600,3600,3371,3600,3600,2588,3600,3600,3600,3600,2195,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:31:02.281,6.7,0.1,18.83,8.91,0.00,29.97,16.17,44,5,453,13.80,38,0,15,211.9,0.0,10.7,800,1066,3600,3501,3600,3600,3600,3600,3600,3460,3600,3600,3600,3600,3600,3600,5377,1118,575
2026-05-31T00:31:03.490,7.2,0.0,18.16,7.94,0.00,41.55,27.80,45,11,453,13.75,38,0,15,0.0,0.0,9.5,3600,3600,3600,3428,3600,3600,3600,3600,3600,3600,1687,3600,3600,3600,3600,3600,5377,1118,576
2026-05-31T00:31:04.553,6.6,0.1,18.86,9.03,0.00,45.00,31.31,46,1,453,13.69,38,0,15,0.0,44.8,10.1,3600,3600,3600,3486,3600,3600,3600,3600,3600,3600,3600,3600,3601,3600,3600,3600,5324,1118,576
2026-05-31T00:31:05.626,6.6,0.0,18.71,8.78,0.00,28.06,14.36,44,4,453,13.70,38,0,15,0.0,0.0,10.8,3600,3600,3573,3400,3600,3600,3600,3600,3532,3600,1618,3600,3599,3600,3600,3600,5324,1117,577
2026-05-31T00:31:06.823,7.1,0.0,17.91,7.71,0.00,41.14,27.38,46,1,453,13.76,38,0,15,0.0,22.6,9.6,2942,1414,3600,3108,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3485,3600,5284,1118,577
2026-05-31T00:31:07.886,6.6,0.0,18.80,8.97,0.00,48.47,34.75,46,1,453,13.72,38,0,15,0.0,0.0,10.1,2283,3600,2975,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3599,3600,3600,5284,1117,576
2026-05-31T00:31:08.952,6.7,0.0,18.64,8.72,0.00,35.91,22.21,45,4,453,13.70,38,0,15,0.0,0.0,10.8,3600,3600,3423,3575,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1118,576
