timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz,fan0_rpm,fan1_rpm,fan2_rpm
2026-05-31T00:28:41.073,0.0,0.6,7.09,1.69,0.00,26.96,13.51,47,12,453,13.45,38,0,15,3328.0,0.0,9.0,3600,3600,3600,3196,3600,3260,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5390,1121,577
2026-05-31T00:28:42.156,0.8,0.0,10.47,2.59,0.00,27.16,13.54,47,12,453,13.62,38,0,15,0.0,0.0,9.0,3600,899,3600,3265,3600,3600,3600,2471,3600,3600,3600,3600,3600,3600,3600,3602,5377,1120,577
2026-05-31T00:28:43.237,1.9,0.8,12.84,4.14,0.00,27.33,13.61,47,12,453,13.72,38,0,15,201662.2,0.0,9.4,3451,3600,3600,3473,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3602,5377,1120,576
2026-05-31T00:28:44.319,5.3,1.5,17.95,8.08,0.00,27.14,13.64,47,12,453,13.50,38,0,15,174616.2,0.0,9.9,3600,1947,3576,3282,3600,3600,3600,3600,3600,3344,3600,3600,3600,3600,3600,800,5324,1118,576
2026-05-31T00:28:45.404,6.2,1.0,18.68,8.76,0.00,27.21,13.64,47,12,453,13.57,38,0,15,130263.5,0.0,10.2,3600,2733,3600,3300,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1118,577
2026-05-31T00:28:46.486,6.4,0.4,18.38,8.46,0.00,27.45,13.94,46,12,460,13.51,38,0,15,74976.2,129.2,11.2,2340,3600,3600,3481,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1118,577
2026-05-31T00:28:47.570,5.6,1.0,17.71,7.45,0.00,46.68,33.12,48,2,453,13.56,38,0,15,166390.3,0.0,9.6,2439,3600,3600,3344,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3601,5324,1118,577
2026-05-31T00:28:48.634,6.7,0.2,19.05,9.20,0.00,48.50,34.97,49,1,453,13.53,38,0,15,417.6,221.9,10.0,3600,3600,3600,3349,3583,3600,3600,3600,3600,3600,801,3600,3600,3600,3600,3600,5377,1118,577
2026-05-31T00:28:49.698,6.7,0.0,18.61,8.71,0.00,40.99,27.53,48,4,456,13.46,38,0,15,0.0,0.0,10.7,3600,3600,3574,3420,3604,3600,3600,3600,2984,3561,3600,3600,3600,3600,3600,3600,5377,1117,576
2026-05-31T00:28:50.778,6.8,0.0,18.42,8.16,0.00,42.76,29.32,49,1,453,13.44,38,0,15,0.0,0.0,9.5,3002,3600,3600,2649,3600,3600,3600,3600,3600,3600,3291,3600,3600,3600,3600,3603,5337,1117,576
2026-05-31T00:28:51.841,6.7,0.1,18.98,9.14,0.00,48.73,35.09,49,1,453,13.64,38,0,15,0.0,123.9,10.0,3600,3600,3600,3464,3600,3600,3600,3600,3600,3447,3600,3600,3600,3600,3600,3600,5337,1118,575
2026-05-31T00:28:52.907,6.7,0.0,18.79,8.87,0.00,35.47,21.96,48,4,453,13.51,38,0,15,3.4,13.4,10.7,2414,3600,3600,3329,3600,3600,3600,3600,3502,3600,3600,3510,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:28:54.098,6.9,0.0,18.11,7.90,0.00,42.33,28.74,48,1,453,13.59,38,0,15,0.0,0.0,9.4,2018,2031,3581,3398,3600,3600,3600,2241,3357,3600,3600,3600,3600,3600,3600,3600,5324,1118,576
2026-05-31T00:28:55.161,6.7,0.0,19.06,9.22,0.00,48.90,35.19,49,1,453,13.71,38,0,15,0.0,0.0,10.0,3600,3600,3583,3361,3600,3600,3600,3600,3600,3512,3600,3600,3600,3600,3600,3599,5324,1118,576
2026-05-31T00:28:56.224,6.7,0.0,18.84,8.92,0.00,30.08,16.30,47,4,453,13.78,38,0,15,0.0,0.0,10.8,3600,3600,3600,2386,3600,3600,3600,3600,3600,3529,3600,3600,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:28:57.442,7.1,0.1,18.17,7.96,0.00,41.83,28.13,49,5,453,13.70,38,0,15,0.0,64.0,9.5,3600,3600,3600,3466,3600,3600,3569,3600,3600,3600,3600,3600,3600,3600,3600,3600,5337,1118,575
2026-05-31T00:28:58.505,6.7,0.0,19.04,9.20,0.00,45.43,31.90,49,1,453,13.53,38,0,15,0.0,0.0,10.0,2008,3600,3582,3327,3600,3600,802,3600,3600,3467,3600,3600,3600,3600,3600,3600,5337,1117,576
2026-05-31T00:28:59.579,6.7,0.0,18.80,8.87,0.00,27.77,14.09,47,9,453,13.68,38,0,15,0.0,0.0,10.7,3040,1872,3600,3488,3600,3600,3600,3498,3600,3600,3600,3600,3600,3600,3600,3600,5377,1118,576
2026-05-31T00:29:00.777,6.9,0.0,18.06,7.85,0.00,43.19,29.31,48,1,453,13.88,38,0,15,0.0,0.0,9.5,3224,2723,3600,2523,3600,3600,3600,3448,3600,3600,3600,3600,3600,3600,3600,3600,5377,1118,577
2026-05-31T00:29:01.840,6.7,0.1,18.98,9.16,0.00,49.02,35.24,49,1,453,13.78,38,0,15,240.8,0.0,10.0,2096,3600,3584,3360,3600,3600,3533,3600,3600,3600,3600,3600,3600,3600,3532,3600,5324,1118,577
2026-05-31T00:29:02.903,6.6,0.1,18.87,8.95,0.00,38.14,24.49,47,4,453,13.65,38,0,15,0.0,52.4,10.7,2895,3600,3576,3390,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1117,576
2026-05-31T00:29:04.049,6.8,0.0,18.21,7.98,0.00,41.34,27.67,48,1,453,13.67,38,0,15,0.0,0.0,9.5,2293,3600,1646,3600,3600,3600,3600,3600,3600,3600,2701,3600,3600,3600,3600,3603,5324,1118,576
2026-05-31T00:29:05.114,6.7,0.0,19.00,9.17,0.00,48.84,35.11,49,1,453,13.73,38,0,15,0.0,0.0,10.0,3600,3600,3357,3600,800,3600,3600,1350,3600,3600,3600,3600,3600,3600,3600,3600,5324,1118,576
2026-05-31T00:29:06.177,6.7,0.0,18.87,8.94,0.00,32.45,18.77,47,5,453,13.68,38,0,15,0.0,0.0,10.8,3600,3600,3256,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1118,576
2026-05-31T00:29:07.391,6.9,0.1,18.01,7.79,0.00,42.34,28.71,48,6,453,13.63,38,0,15,0.0,45.1,9.5,3357,3600,3483,3600,3571,3600,3600,3470,3600,3600,3600,3600,3600,3600,3600,3602,5324,1118,576
2026-05-31T00:29:08.455,6.7,0.0,18.82,9.00,0.00,47.23,33.59,49,1,453,13.64,38,0,15,0.0,14.9,10.0,3598,3600,3399,3582,3600,3600,3600,3600,3600,3600,3320,3600,3600,3600,3600,3600,5272,1118,576
2026-05-31T00:29:09.528,6.7,0.0,18.78,8.84,0.00,27.91,14.20,47,5,453,13.71,38,0,15,0.0,0.0,10.8,3483,3600,3348,3600,3600,3600,3600,3566,3604,3600,3600,3600,3600,3600,3600,3600,5272,1118,575
2026-05-31T00:29:10.730,7.0,0.0,17.98,7.78,0.00,41.42,27.68,48,7,453,13.74,38,0,15,0.0,0.0,9.5,3157,3594,2673,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3604,3600,3599,5377,1117,575
2026-05-31T00:29:11.794,6.7,0.0,18.84,9.00,0.00,48.74,34.97,49,1,453,13.77,38,0,15,0.0,0.0,10.0,3600,3600,3601,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1118,575
2026-05-31T00:29:12.856,6.6,0.1,18.70,8.77,0.00,38.02,24.33,47,5,453,13.69,38,0,15,0.0,38.2,10.7,3349,3600,2574,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1117,575
2026-05-31T00:29:14.009,6.8,0.0,18.05,7.82,0.00,42.11,28.40,48,1,453,13.71,38,0,15,0.0,22.6,9.5,2907,3600,3332,3600,3547,3600,3600,3600,3311,3600,3600,3600,3600,3600,3600,3600,5324,1118,576
2026-05-31T00:29:15.072,6.7,0.0,18.83,9.02,0.00,48.42,34.87,48,1,453,13.55,38,0,15,0.0,0.0,10.0,3292,3600,3184,3600,3500,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1117,576
2026-05-31T00:29:16.135,6.7,0.0,18.76,8.82,0.00,32.52,18.86,47,5,453,13.66,38,0,15,0.0,0.0,10.7,2965,2372,3294,3578,3600,3600,3600,3549,2138,3600,3600,3600,3600,3600,3600,3600,5324,1117,576
2026-05-31T00:29:17.303,6.9,0.0,18.16,7.92,0.00,41.93,28.16,48,7,453,13.77,38,0,15,0.0,0.0,9.5,3495,3600,3233,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5390,1118,576
2026-05-31T00:29:18.366,6.7,0.1,19.08,9.25,0.00,47.45,33.68,48,1,453,13.77,38,0,15,0.0,41.0,10.0,3600,3600,3413,3580,3600,3583,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5390,1118,576
2026-05-31T00:29:19.439,6.7,0.0,18.80,8.87,0.00,28.07,14.35,47,4,453,13.72,38,0,15,0.0,10.0,10.8,2724,3600,3246,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1118,576
2026-05-31T00:29:20.637,7.0,0.0,18.13,7.90,0.00,41.38,27.80,48,10,453,13.58,38,0,15,0.0,0.0,9.5,3600,3600,3459,3600,3600,3600,3600,3600,3600,3600,3600,3600,3607,3600,3600,3605,5377,1118,577
2026-05-31T00:29:21.702,6.7,0.0,19.05,9.21,0.00,48.41,34.80,48,1,453,13.61,38,0,15,0.0,0.0,10.0,3600,3534,3600,3600,3600,3600,3527,3600,3600,3600,3600,3596,3599,3600,3600,3600,5324,1118,577
2026-05-31T00:29:22.765,6.7,0.0,18.85,8.93,0.00,39.87,26.26,47,5,453,13.61,38,0,15,0.0,33.9,10.8,3600,1442,3397,3576,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3319,3600,5324,1118,575
2026-05-31T00:29:23.946,7.0,0.1,18.31,8.10,0.00,40.95,27.35,48,1,453,13.60,38,0,15,0.0,41.4,9.5,3600,3600,2867,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:29:25.010,6.6,0.0,18.94,9.10,0.00,48.53,34.87,48,1,453,13.66,38,0,15,0.0,15.0,10.0,2964,3600,3600,3600,3600,3600,3600,3502,3600,3600,3600,3600,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:29:26.073,6.7,0.0,18.72,8.81,0.00,34.53,20.80,47,5,453,13.73,38,0,15,0.0,0.0,10.8,2661,1426,3483,3600,3600,3600,3600,3600,2003,3600,3600,3600,3599,3600,3600,3600,5324,1118,575
2026-05-31T00:29:27.278,7.2,0.0,18.23,8.03,0.00,42.56,28.89,48,5,453,13.67,38,0,15,0.0,0.0,9.5,3600,3600,3405,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1118,576
2026-05-31T00:29:28.342,6.7,0.1,19.00,9.16,0.00,48.57,34.91,48,1,453,13.66,38,0,15,0.0,56.0,10.0,3600,3368,3470,3600,3600,3600,3600,3600,3600,3600,800,3600,3600,3600,3600,3600,5377,1118,576
2026-05-31T00:29:29.413,6.7,0.0,18.93,8.99,0.00,28.02,14.35,47,4,453,13.67,38,0,15,0.0,0.0,10.8,3600,3600,3547,3600,3260,3602,3600,3600,3600,3600,3600,3600,3600,3600,3600,2688,5377,1118,575
2026-05-31T00:29:30.612,6.9,0.0,18.10,7.89,0.00,41.82,28.09,48,10,453,13.73,38,0,15,0.0,18.8,9.5,3349,3600,3436,3579,3600,3600,3600,3600,3600,3600,3600,3600,3602,3600,3600,3600,5390,1118,575
2026-05-31T00:29:31.675,6.7,0.0,18.93,9.10,0.00,48.63,34.82,48,1,453,13.81,38,0,15,0.0,0.0,10.0,3601,3600,2773,3600,3600,3600,800,3600,3536,3600,3600,3600,3600,3600,3600,3600,5390,1118,576
2026-05-31T00:29:32.739,6.7,0.0,18.72,8.79,0.00,40.00,26.27,47,4,453,13.73,38,0,15,0.0,0.0,10.7,3254,2707,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3602,3600,3600,3600,5377,1117,576
2026-05-31T00:29:33.888,6.9,0.1,18.27,8.03,0.00,42.03,28.47,48,1,453,13.56,38,0,15,0.0,48.9,9.5,3355,3533,3470,3600,3277,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1117,577
2026-05-31T00:29:34.952,6.6,0.0,18.98,9.15,0.00,48.42,34.82,48,1,453,13.60,38,0,15,0.0,0.0,10.0,3598,3600,2940,3600,3600,3600,3600,3600,3600,3525,3600,3600,3601,3600,3600,3600,5390,1117,577
2026-05-31T00:29:36.017,6.7,0.0,18.93,9.00,0.00,32.83,19.28,47,4,453,13.55,38,0,15,0.0,6.7,10.7,3345,3600,3600,3600,3600,3600,3600,3600,3600,3541,3502,3044,3600,3600,3600,3600,5390,1118,576
2026-05-31T00:29:37.211,6.9,0.0,17.97,7.77,0.00,41.71,28.14,48,19,453,13.57,38,0,15,0.0,0.0,9.5,3073,3600,3322,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1117,576
2026-05-31T00:29:38.274,6.7,0.1,18.82,9.00,0.00,48.24,34.72,48,1,453,13.52,38,0,15,0.0,60.2,10.0,3600,3600,3304,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1118,576
2026-05-31T00:29:39.338,6.7,0.0,18.69,8.76,0.00,28.52,15.07,47,4,453,13.45,38,0,15,0.0,0.0,10.7,800,3342,3373,3581,3600,3600,3600,3600,3600,3411,3600,3600,3603,3600,3600,3600,5377,1118,576
2026-05-31T00:29:40.541,7.2,0.0,17.96,7.74,0.00,40.84,27.35,48,10,453,13.49,38,0,15,0.0,0.0,9.6,3600,3600,3228,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1118,576
2026-05-31T00:29:41.604,6.8,0.0,18.61,8.78,0.00,48.31,34.78,48,1,453,13.53,38,0,15,0.0,0.0,10.1,3600,3600,2471,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5337,1118,576
2026-05-31T00:29:42.669,6.7,0.0,18.71,8.79,0.00,41.68,28.20,47,6,453,13.48,38,0,15,0.0,7.0,10.8,3413,3595,3159,3600,3600,3600,3600,3600,3605,3600,3600,3600,3600,3600,3600,3602,5337,1118,575
2026-05-31T00:29:43.817,6.8,0.1,18.20,7.98,0.00,41.69,28.12,48,7,453,13.57,38,0,15,0.0,41.3,9.5,3321,3600,3501,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3465,3600,3600,5324,1118,575
2026-05-31T00:29:44.880,6.7,0.0,18.90,9.06,0.00,48.46,34.90,48,2,453,13.56,38,0,15,0.0,7.5,10.1,3600,3600,3220,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3601,5324,1118,575
2026-05-31T00:29:45.944,7.2,0.0,19.43,9.49,0.00,36.38,22.75,47,6,453,13.63,38,0,15,0.0,0.0,10.8,3602,3600,3259,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3541,3600,3600,5390,1117,575
2026-05-31T00:29:47.089,6.8,0.0,18.17,7.93,0.00,42.01,28.42,48,2,453,13.59,38,0,15,0.0,0.0,9.5,3600,3600,3236,3600,3536,3600,3600,799,3600,3600,3600,3600,3600,3600,3600,3600,5390,1118,577
2026-05-31T00:29:48.152,6.7,0.0,18.84,9.01,0.00,48.48,34.99,48,2,453,13.49,38,0,15,0.0,11.3,10.1,3601,3600,2314,3600,3600,3600,3600,3600,3600,3600,3600,3600,3601,3600,3600,3600,5324,1118,577
2026-05-31T00:29:49.216,6.6,0.1,18.71,8.78,0.00,30.86,17.27,46,6,453,13.59,38,0,15,0.0,46.6,10.8,3600,3600,3139,3600,3600,3574,3600,3600,3600,3600,3600,3600,3598,3600,3600,3600,5324,1117,576
2026-05-31T00:29:50.418,7.0,0.0,18.10,7.89,0.00,41.47,28.01,48,5,453,13.46,38,0,15,0.0,0.0,9.5,3600,3600,3348,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1118,576
2026-05-31T00:29:51.481,6.7,0.0,18.92,9.08,0.00,45.72,32.22,48,2,453,13.50,38,0,15,0.0,7.5,10.0,3600,3600,3360,3583,3600,3234,3600,3600,3600,3600,3600,3600,3601,3600,3600,3600,5324,1118,576
2026-05-31T00:29:52.552,6.7,0.0,18.85,8.92,0.00,27.99,14.38,46,6,453,13.61,38,0,15,0.0,0.0,10.7,3353,3600,3385,3600,3600,3600,3600,3570,3600,3600,3600,3600,3599,3600,800,3600,5324,1117,577
