timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz,fan0_rpm,fan1_rpm,fan2_rpm
2026-05-31T00:09:42.385,0.6,0.0,7.16,1.96,0.00,22.91,10.32,33,13,454,12.59,34,0,15,3263.2,0.0,9.0,3600,3600,3600,3600,3600,3600,801,3600,3600,3410,3600,3600,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:09:43.471,0.8,0.0,10.65,2.72,0.00,22.80,10.21,33,13,454,12.59,34,0,15,0.0,0.0,9.0,3600,3600,3600,3600,3207,2182,3600,3600,3600,3228,3600,3600,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:09:44.553,1.9,0.9,12.57,4.16,0.00,22.92,10.12,32,13,454,12.80,34,0,15,218128.9,0.0,9.4,3600,3341,3600,3600,3600,3600,3600,3600,3600,3600,2507,3600,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:09:45.637,5.4,1.5,17.98,8.18,0.00,22.92,10.20,32,12,454,12.72,34,0,15,158235.4,0.0,9.9,1804,3600,3600,3600,3600,3600,3600,3174,3600,2835,3606,3600,3600,3600,3600,3600,5324,1117,575
2026-05-31T00:09:46.720,6.0,1.1,18.98,9.30,0.00,22.79,10.17,32,13,454,12.62,34,0,15,66266.3,3.7,9.9,3044,3600,3600,3600,3600,3600,3604,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1117,575
2026-05-31T00:09:47.803,5.6,1.1,18.30,8.50,0.00,22.52,9.93,32,13,454,12.59,34,0,15,114965.2,1263.2,10.2,3244,3600,3600,3600,3600,3600,3542,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1117,575
2026-05-31T00:09:48.887,1.9,0.1,13.32,5.15,0.00,22.78,10.19,32,13,454,12.59,34,0,15,1981.1,0.0,10.3,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3599,3600,3458,5324,1117,575
2026-05-31T00:09:49.969,1.0,0.1,12.99,4.39,0.00,22.82,10.18,32,13,454,12.64,34,0,15,11.1,7549.8,10.3,2960,3600,3600,3600,3583,3438,3600,800,3600,3600,3600,3600,3599,3600,3600,3600,5337,1117,575
2026-05-31T00:09:51.053,1.0,0.0,15.09,5.68,0.00,22.97,10.28,33,13,454,12.69,34,0,15,0.0,0.0,10.3,799,3600,3600,3600,3600,3600,3600,3510,3600,3600,3520,3600,3600,3600,3600,799,5337,1117,575
2026-05-31T00:09:52.136,1.2,0.2,13.24,4.21,0.00,22.97,10.26,32,13,454,12.71,34,0,15,3323.4,0.0,10.3,2122,3600,3600,3600,3600,3600,2018,3600,3600,3428,3324,3600,3601,3600,3600,3600,5337,1117,575
2026-05-31T00:09:53.219,1.1,0.1,13.61,4.18,0.00,22.87,10.18,32,13,454,12.69,34,0,15,0.0,317.6,10.4,3490,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605,2913,3599,3600,3600,3600,5337,1118,575
2026-05-31T00:09:54.303,0.9,0.0,12.79,4.12,0.00,22.92,10.21,33,13,454,12.71,34,0,15,247.4,103.4,10.4,3514,800,3600,3600,3292,3575,3600,3600,3600,3135,3600,3600,800,1927,3600,3600,5324,1117,575
2026-05-31T00:09:55.385,5.0,0.3,16.80,6.95,0.00,27.05,14.46,33,13,677,12.59,34,0,15,27826.2,0.0,11.3,3274,3600,3600,3600,3600,3600,3600,3600,2911,3600,3600,3600,3601,3600,3600,3600,5324,1118,575
2026-05-31T00:09:56.449,5.7,0.9,17.77,7.64,0.00,45.97,33.36,34,2,454,12.61,34,0,15,161567.9,0.0,9.9,3600,3600,3600,3600,3528,3600,3600,3520,3600,2857,3600,3600,3602,3600,3383,3600,5324,1117,575
2026-05-31T00:09:57.512,6.7,0.0,19.01,9.27,0.00,40.14,27.49,34,2,454,12.65,34,0,15,0.0,0.0,10.2,3423,3600,3600,3600,3600,3600,3600,3600,3600,3600,2465,3594,2828,3600,3600,3600,5324,1116,575
2026-05-31T00:09:58.584,6.6,0.1,18.28,8.46,0.00,24.47,11.92,33,5,456,12.55,34,0,15,0.0,151.7,10.9,3084,3600,3600,3600,3600,3600,3600,3454,3600,3600,3600,3600,3599,3600,3600,3600,5324,1116,575
2026-05-31T00:09:59.665,6.8,0.0,18.47,8.25,0.00,42.89,30.24,34,11,454,12.65,34,0,15,0.0,0.0,9.7,3277,3600,3600,3600,3600,1925,1726,3600,3600,3500,3600,3543,3600,3600,1336,3600,5324,1116,575
