timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz,fan0_rpm,fan1_rpm,fan2_rpm
2026-05-31T00:17:15.708,0.6,0.0,7.79,2.12,0.00,23.04,9.78,49,13,453,13.26,37,0,15,3333.9,0.0,9.0,3600,3600,3474,3600,3600,3600,3600,3570,3600,3600,3600,3600,3600,3600,3600,3600,5324,1120,575
2026-05-31T00:17:16.790,0.7,0.0,10.49,2.58,0.00,22.94,9.78,49,14,453,13.16,37,0,15,0.0,0.0,9.0,3600,3600,3600,3467,1208,3537,3575,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1120,575
2026-05-31T00:17:17.949,4.4,0.0,14.60,6.34,0.00,22.89,9.77,49,13,453,13.12,37,0,15,2546.2,6.2,9.0,3600,3600,3366,3600,3600,3600,3600,3291,2628,3600,3600,3600,3600,3600,3600,3600,5324,1119,575
2026-05-31T00:17:19.160,9.3,0.1,21.11,11.40,0.00,22.88,9.66,49,13,453,13.22,37,0,15,0.0,30.7,9.0,3605,3600,3175,3600,3600,3181,3600,3341,3600,3600,3600,3600,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:17:20.512,10.2,0.0,22.05,12.23,0.00,23.09,9.87,48,13,453,13.22,37,0,15,0.0,0.0,9.0,3600,3600,3600,2957,3600,3600,3600,3600,3199,3600,3600,3600,3600,3600,3600,3600,5390,1118,575
2026-05-31T00:17:21.798,9.8,0.0,21.49,11.84,0.00,23.20,9.93,48,13,453,13.27,37,0,15,0.0,6.2,9.0,3600,3600,3600,2885,3600,3600,3600,3600,3600,3600,3339,3600,3600,3600,3600,3600,5390,1117,575
2026-05-31T00:17:23.035,9.8,0.0,21.62,11.78,0.00,23.12,9.87,48,13,453,13.25,37,0,15,0.0,0.0,9.0,1817,3600,3600,2463,3600,3600,3600,3600,3600,3600,3600,3598,3600,3600,3600,3600,5390,1118,576
2026-05-31T00:17:24.345,10.0,0.0,21.52,11.92,0.00,23.07,9.94,48,13,453,13.13,37,0,15,0.0,22.1,9.0,1089,3600,2847,3600,3600,3600,3600,3600,3600,3600,802,3600,3600,3600,3600,3600,5337,1118,576
2026-05-31T00:17:25.574,9.5,0.1,21.06,11.39,0.00,22.86,9.88,48,13,453,12.98,37,0,15,0.0,15.3,9.0,3600,3600,3600,3031,3600,3267,3600,3564,3600,3600,3600,3600,3600,3600,3600,3335,5337,1118,576
2026-05-31T00:17:26.878,9.7,0.0,21.03,11.46,0.00,23.08,9.85,47,13,453,13.23,37,0,15,0.0,6.5,9.1,2978,3600,3600,3600,3600,3600,3600,3573,3600,3600,3601,3600,3600,3601,3600,3502,5337,1117,576
2026-05-31T00:17:28.128,10.1,0.0,21.76,11.96,0.00,22.96,9.74,47,13,453,13.22,37,0,15,0.0,0.0,9.0,800,3600,3600,3057,3600,3600,3600,3493,3600,3600,3600,3600,3600,3599,3600,3600,5337,1118,576
2026-05-31T00:17:29.287,10.3,0.0,22.15,12.30,0.00,22.99,9.81,47,13,453,13.18,37,0,15,0.0,0.0,9.0,800,3600,3574,3310,3562,3600,2147,3600,3600,3600,3600,3600,3600,3603,3600,3600,5324,1117,576
2026-05-31T00:17:30.424,9.2,0.1,20.59,11.41,0.00,23.04,9.73,47,13,453,13.31,37,0,15,0.0,15.5,9.0,3595,3600,3600,3050,3600,3600,3600,3600,2739,3600,3600,3600,3600,3602,3600,3372,5324,1117,576
2026-05-31T00:17:31.803,11.3,0.0,23.16,12.91,0.00,23.03,9.75,47,13,453,13.28,37,0,15,0.0,0.0,9.0,2473,3600,3600,3255,1221,3600,3600,3604,3600,3600,3600,3488,3600,3600,3600,3600,5377,1118,576
2026-05-31T00:17:32.997,9.6,0.0,21.12,11.49,0.00,22.96,9.80,47,13,453,13.16,37,0,15,0.0,6.2,9.0,3600,3600,2266,3600,3595,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1117,576
2026-05-31T00:17:34.341,10.2,0.0,21.68,11.98,0.00,23.29,10.14,47,13,453,13.15,37,0,15,0.0,0.0,9.0,3600,3600,2736,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3043,5324,1117,576
2026-05-31T00:17:35.479,9.3,0.0,20.77,11.04,0.00,23.15,10.00,46,13,453,13.15,37,0,15,0.0,9.2,9.0,3472,3600,3412,3574,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,2021,5272,1117,576
