timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz,fan0_rpm,fan1_rpm,fan2_rpm
2026-05-31T00:15:20.927,1.2,0.0,7.42,2.08,0.00,23.53,10.44,59,12,453,13.09,36,0,15,3364.3,0.0,8.9,3600,3600,1250,3600,3574,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1120,576
2026-05-31T00:15:22.008,0.8,0.0,10.20,2.64,0.00,23.68,10.37,59,14,453,13.31,36,0,15,0.0,0.0,9.0,3600,3600,3600,1264,3600,3574,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1121,576
2026-05-31T00:15:23.089,1.7,1.0,12.51,4.04,0.00,23.54,10.22,59,12,453,13.32,36,0,15,238111.4,0.0,9.4,3531,3600,3600,3600,3600,3600,3486,3600,3600,2433,3600,3600,3600,3600,3600,3600,5377,1120,576
2026-05-31T00:15:24.171,12.0,1.0,20.78,11.00,0.00,23.44,10.16,58,13,453,13.28,36,0,15,101321.5,0.0,9.8,3017,3600,3600,3600,3579,3600,3600,3569,3595,2313,3600,3599,3598,3600,3600,3600,5377,1118,576
2026-05-31T00:15:25.256,5.3,1.3,17.80,8.12,0.00,23.88,10.68,58,12,453,13.20,36,0,15,56148.0,0.0,10.0,1669,3600,3600,3600,3600,3600,3272,3521,1888,800,3017,3600,3600,3600,3599,3600,5377,1118,575
2026-05-31T00:15:26.336,5.9,1.0,18.03,8.16,0.00,23.48,10.26,58,13,453,13.22,36,0,15,117169.4,114.5,10.2,3600,3600,3600,3600,3600,3600,3600,3468,3600,3600,3600,3600,3599,3600,3600,3600,5337,1118,575
2026-05-31T00:15:27.420,10.1,0.6,16.33,8.05,0.00,24.16,10.90,57,13,456,13.26,36,0,15,43726.1,0.0,10.4,3600,3600,3600,3600,3600,3600,3606,3600,3600,2403,3600,3600,3600,3600,3600,3600,5337,1118,576
2026-05-31T00:15:28.503,0.7,0.0,10.33,2.80,0.00,23.33,10.16,57,13,456,13.17,36,0,15,0.0,14.8,10.4,3600,3438,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1120,576
2026-05-31T00:15:29.587,0.9,0.0,11.31,3.38,0.00,23.36,10.18,57,13,456,13.18,37,0,15,0.0,0.0,10.4,3370,3600,3600,3600,3600,3600,3606,3600,3600,3600,3600,3514,3600,3600,3600,801,5377,1120,576
2026-05-31T00:15:30.670,0.9,0.0,10.81,2.92,0.00,23.29,10.20,56,13,456,13.09,36,0,15,0.0,0.0,10.5,3600,3600,3600,3480,3600,3600,2239,3600,3600,3550,3600,800,3600,3600,3600,3600,5324,1120,576
2026-05-31T00:15:31.753,1.9,0.2,12.86,4.65,0.00,23.30,10.17,56,13,456,13.13,36,0,15,3691.6,3846.6,10.5,3600,3600,3600,3600,3600,3575,3600,3600,2008,3600,2375,3600,3600,3600,3600,3600,5324,1120,576
2026-05-31T00:15:32.836,1.1,0.3,10.56,3.27,0.00,23.26,10.05,56,13,456,13.21,36,0,15,9162.4,0.0,10.5,3600,3600,3600,3600,3600,3070,3600,3600,2170,3600,3233,3600,3600,3600,3600,3600,5337,1120,576
2026-05-31T00:15:33.920,1.0,0.1,12.55,3.99,0.00,23.35,10.13,56,13,456,13.22,36,0,15,746.8,0.0,10.5,3600,3600,3600,3600,2228,3600,1712,3516,3600,3469,3600,3600,3600,3302,3600,3600,5337,1120,576
2026-05-31T00:15:35.001,1.0,0.0,14.20,4.62,0.00,23.36,10.07,55,13,456,13.29,36,0,15,0.0,0.0,10.6,3413,3600,3600,3600,3424,3600,3600,3592,3376,799,3600,3600,3600,3600,3600,3600,5377,1120,576
2026-05-31T00:15:36.084,1.1,0.0,14.21,4.61,0.00,23.42,10.04,55,13,456,13.38,37,0,15,0.0,0.0,10.7,3600,3600,3600,3600,3600,3600,3600,3600,3600,2314,3600,3600,3600,3600,3600,3600,5377,1120,575
2026-05-31T00:15:37.167,1.0,0.1,14.07,4.49,0.00,23.42,10.08,55,13,456,13.34,36,0,15,0.0,111.1,10.8,3023,3600,3600,3600,3538,1227,3600,3579,3600,3598,3600,3600,3600,3194,3600,3600,5324,1119,575
2026-05-31T00:15:38.247,1.0,0.0,14.21,4.62,0.00,23.09,9.98,55,13,456,13.11,36,0,15,0.0,0.0,10.9,1031,3600,3207,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3513,3600,3600,5324,1119,576
2026-05-31T00:15:39.327,1.0,0.0,14.44,4.86,0.00,23.16,10.09,55,13,456,13.07,36,0,15,0.0,0.0,10.9,800,3600,2382,3600,3600,3600,3600,1921,3600,3600,3600,3600,3600,3600,3600,3600,5324,1119,576
2026-05-31T00:15:40.405,1.0,0.0,14.19,4.60,0.00,23.31,10.04,54,13,456,13.27,37,0,15,0.0,0.0,10.9,3142,2270,3600,3600,3600,3600,3141,3600,2907,3600,3600,3600,3601,3600,3600,3282,5324,1120,576
2026-05-31T00:15:41.486,1.0,0.0,14.35,4.75,0.00,23.50,10.16,54,13,456,13.34,37,0,15,0.0,0.0,10.9,3106,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3339,3600,3258,3600,5324,1119,576
2026-05-31T00:15:42.568,0.9,0.1,14.28,4.70,0.00,23.29,10.03,54,13,456,13.26,36,0,15,0.0,22.2,10.9,3600,1596,3460,3600,3600,3600,3600,3600,3600,3600,3600,3600,3601,3595,3600,3600,5377,1119,576
2026-05-31T00:15:43.651,1.1,0.1,14.69,5.10,0.00,23.17,10.07,54,13,456,13.10,36,0,15,7.4,84.8,11.0,3600,3414,3600,3600,3600,1176,2995,3600,3600,3600,3600,3600,3600,3600,3552,2286,5377,1118,576
2026-05-31T00:15:44.737,1.2,0.0,14.82,5.21,0.00,23.11,9.99,54,13,456,13.12,37,0,15,0.0,0.0,11.0,3600,3079,3600,3600,3472,3570,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1119,575
2026-05-31T00:15:45.820,1.2,0.1,14.51,4.91,0.00,23.10,9.99,54,13,456,13.11,37,0,15,166.3,0.0,11.0,3427,3600,3600,3600,3600,2716,3600,3600,3600,3600,3598,3600,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:15:46.903,1.5,0.0,15.43,5.82,0.00,23.10,10.03,53,13,456,13.07,36,0,15,0.0,0.0,11.0,1653,3600,3600,3600,3600,3600,802,3199,3600,3600,3600,3600,2190,3600,3600,1004,5337,1119,575
2026-05-31T00:15:47.986,1.1,0.0,14.45,4.86,0.00,23.49,10.41,53,13,456,13.08,36,0,15,0.0,0.0,11.0,3600,3600,3600,3600,3600,3600,3600,3151,3382,3600,3600,3600,3600,3600,3600,3600,5337,1119,575
2026-05-31T00:15:49.068,1.2,0.1,14.33,4.74,0.00,23.02,9.96,53,13,456,13.06,37,0,15,0.0,22.2,11.1,3220,3600,3532,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,800,5272,1118,575
2026-05-31T00:15:50.151,1.2,0.0,14.46,4.87,0.00,22.79,9.87,53,13,456,12.92,36,0,15,0.0,0.0,11.1,3440,3433,3600,3600,3600,3492,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5272,1118,575
2026-05-31T00:15:51.233,1.2,0.0,14.24,4.64,0.00,22.81,9.98,53,13,456,12.83,37,0,15,0.0,0.0,11.1,3600,2516,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3462,3479,5337,1118,575
2026-05-31T00:15:52.317,1.0,0.0,14.33,4.74,0.00,23.15,10.15,52,13,456,13.00,37,0,15,0.0,0.0,11.1,2829,3600,3600,3600,3600,3600,3116,3446,3600,3600,3600,3600,3600,3600,3600,3600,5337,1118,575
2026-05-31T00:15:53.397,1.0,0.0,14.20,4.61,0.00,23.05,10.03,52,13,456,13.02,36,0,15,0.0,0.0,11.1,800,3600,3600,3600,3600,3600,3600,3600,800,2508,3600,3600,3602,3600,3600,3600,5377,1118,575
2026-05-31T00:15:54.478,1.2,0.1,14.68,5.08,0.00,23.01,9.99,52,13,456,13.02,37,0,15,0.0,26.0,11.1,3595,3250,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5377,1118,575
2026-05-31T00:15:55.555,1.1,0.0,14.37,4.77,0.00,23.07,10.01,52,13,456,13.06,37,0,15,0.0,0.0,11.2,3334,3600,3600,3600,3600,3573,3600,2436,3600,3600,3600,3600,3601,3600,3600,3600,5324,1119,575
2026-05-31T00:15:56.636,1.0,0.0,14.21,4.62,0.00,22.99,9.88,52,13,456,13.11,36,0,15,0.0,0.0,11.2,1019,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3291,3600,3600,3600,5324,1119,575
2026-05-31T00:15:57.718,1.0,0.0,14.27,4.68,0.00,22.83,9.91,52,13,456,12.92,37,0,15,0.0,0.0,11.4,3600,3600,3600,3600,3579,3600,2261,3600,3600,2295,3600,3600,3600,3600,3600,3600,5337,1119,575
2026-05-31T00:15:58.803,1.3,0.0,14.10,4.51,0.00,22.69,9.83,52,13,456,12.86,37,0,15,0.0,0.0,11.4,3600,3600,3600,3600,3600,3600,3600,3600,3419,3600,3600,3600,3602,3565,3600,3600,5337,1119,575
2026-05-31T00:15:59.888,1.2,0.1,14.17,4.57,0.00,22.86,9.71,51,13,456,13.15,36,0,15,0.0,29.6,11.5,1074,3600,3600,3600,2854,3600,3600,3524,3276,3600,3600,3600,2635,3600,3600,3041,5324,1118,575
