timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz,fan0_rpm,fan1_rpm,fan2_rpm
2026-05-31T00:11:34.930,0.6,0.0,7.13,2.02,0.00,23.23,10.30,35,13,454,12.93,35,0,15,3349.9,0.0,8.9,1403,3600,3600,3600,3600,3578,3600,3349,3600,3601,3600,3600,3600,3600,3600,3600,5324,1118,575
2026-05-31T00:11:36.012,0.8,0.0,10.46,2.68,0.00,23.38,10.38,35,13,454,13.00,35,0,15,0.0,0.0,8.9,3600,3600,3600,3600,3600,3576,3600,3600,3600,3600,3600,1249,3600,2548,3600,3600,5324,1118,575
2026-05-31T00:11:37.091,1.6,1.0,12.70,3.98,0.00,23.15,10.19,35,13,454,12.96,35,0,15,238473.1,0.0,9.4,2411,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5324,1117,575
2026-05-31T00:11:38.172,12.1,1.0,20.80,11.02,0.00,23.17,10.31,35,13,454,12.86,35,0,15,101527.1,0.0,9.8,2961,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,801,3600,3598,3600,3600,5324,1117,575
2026-05-31T00:11:39.254,6.5,0.2,16.96,7.31,0.00,109.25,96.38,42,60,917,12.87,35,0,15,27005.3,0.0,10.4,3533,3600,3600,3600,3600,3600,3600,3600,3600,3000,3309,3512,3600,3600,3594,3600,5324,1117,575
2026-05-31T00:11:40.321,6.6,0.1,17.50,8.01,0.00,182.60,169.63,52,100,917,12.97,35,0,15,0.0,37.5,10.4,3375,3600,3600,3600,3600,3600,3606,3600,3600,1818,2440,1401,3600,3601,3600,3600,5324,1116,567
2026-05-31T00:11:41.386,6.6,0.0,17.51,8.00,0.00,182.66,169.85,53,100,917,12.81,35,0,15,0.0,0.0,10.5,2908,3600,3593,3600,3600,3600,3600,3600,3600,3600,3581,1885,3600,3600,3600,3600,5377,1114,567
2026-05-31T00:11:42.451,6.6,0.0,17.45,7.96,0.00,182.74,169.88,54,100,917,12.86,35,0,15,0.0,3.8,10.5,3600,3600,2835,3600,3600,3600,3600,3600,3600,1821,3600,3600,3600,3600,3600,3600,5377,1115,564
2026-05-31T00:11:43.514,6.7,0.1,17.48,7.99,0.00,182.55,169.57,54,100,917,12.98,35,0,15,417.5,0.0,10.5,2482,3600,3600,3600,3600,3600,3578,3517,824,798,3600,3600,3600,3600,3600,3600,5324,1115,564
2026-05-31T00:11:44.579,6.5,0.0,17.31,7.81,0.00,182.38,169.30,55,100,917,13.08,35,0,15,0.0,0.0,10.5,2120,3600,3600,3600,3600,3600,3600,3600,3600,2311,3600,3358,3600,3600,3600,3600,5324,1115,565
2026-05-31T00:11:45.643,6.7,0.1,17.45,7.97,0.00,182.74,169.54,55,99,917,13.20,35,0,15,0.0,45.1,10.5,2541,3600,3600,3600,3600,3599,3600,2989,3589,3578,2293,3600,3600,3600,3600,3600,5272,1115,565
2026-05-31T00:11:46.707,7.1,0.0,18.07,8.55,0.00,182.91,169.68,55,93,917,13.23,35,0,15,0.0,0.0,10.5,3521,3600,3600,3600,3600,3600,2801,3600,3600,2240,3600,3600,3600,3600,3600,3600,5272,1114,564
