timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-22T01:22:02.994,0.0,0.0,4.87,0.79,0.00,24.00,11.97,36,0,254,12.03,32,0,11,2789.1,244.3,7.1,3600,3596,3600,3595,3600,3600,3600,3605,3600,3597,3600,3565,3600,3600,3596,3600
2026-02-22T01:22:04.349,0.2,0.0,3.85,0.46,0.00,23.92,11.94,36,0,254,11.98,32,0,11,0.0,0.0,7.0,2942,3595,3600,3600,3600,3600,3600,3604,3600,3598,3605,3595,3600,3600,3600,3595
2026-02-22T01:22:05.713,14.5,2.3,21.74,13.18,0.00,23.94,11.81,36,0,254,12.13,32,0,11,301125.7,87.0,7.9,3572,3593,3590,3600,3580,3600,3600,3592,3586,3592,3588,3586,3586,3600,3600,3594
2026-02-22T01:22:06.837,25.1,1.2,32.18,22.17,0.00,23.90,11.89,36,0,254,12.01,32,0,11,41283.6,0.0,8.3,3523,3600,3600,3587,3561,3572,3595,3579,3567,3600,3600,3559,3576,3578,3577,3592
2026-02-22T01:22:07.921,25.4,1.2,33.08,22.92,0.00,23.97,11.93,36,0,254,12.04,32,0,11,135794.4,61.8,9.0,3594,3580,3592,3600,3574,3571,3552,3600,3592,3571,3592,3600,3578,3559,3562,3574
2026-02-22T01:22:09.021,25.7,1.0,32.58,22.41,0.00,31.11,19.05,38,1,560,12.06,31,0,11,157891.0,0.0,10.8,3579,3579,3597,3594,3588,3600,3589,3600,3547,3572,3600,3591,3578,3600,3592,3574
2026-02-22T01:22:10.098,27.2,0.2,32.06,23.33,0.00,83.00,70.80,43,67,560,12.20,32,0,11,22228.6,0.0,11.1,3568,3600,3393,3591,3516,3600,3540,3600,3577,3600,3586,3573,3584,3600,3570,3600
2026-02-22T01:22:11.197,27.0,0.0,33.59,23.41,0.00,94.39,82.18,44,70,560,12.21,32,0,11,43.8,0.0,11.1,3574,3600,3528,3523,3586,3493,3533,3600,3587,3600,3547,3494,3560,3462,3521,3600
2026-02-22T01:22:12.271,28.2,0.0,33.93,23.72,0.00,94.76,82.62,44,73,560,12.14,32,0,11,0.0,18.9,11.1,3583,3600,3553,3600,3557,3543,3497,3528,3559,3600,3564,3600,3556,3537,3529,3538
2026-02-22T01:22:13.333,25.3,1.5,31.97,21.61,0.00,59.66,47.53,40,0,560,12.13,32,0,11,181448.3,3213.3,8.4,3600,3586,3586,3600,3594,3593,3598,3593,3600,3600,3558,3600,3582,3591,3592,3590
2026-02-22T01:22:14.410,26.5,0.2,30.83,22.95,0.00,44.57,32.51,39,0,254,12.06,32,0,11,0.0,87.3,8.3,3600,3190,3449,3600,3600,3306,3600,3600,3600,3533,3267,3582,3600,3580,3600,3600
2026-02-22T01:22:15.681,27.0,0.0,30.46,23.32,0.00,41.08,29.10,38,0,257,11.98,32,0,11,0.0,0.0,9.1,3471,3484,3584,3600,3449,3600,3569,3600,3470,3497,3570,3589,3423,3600,3600,3600
2026-02-22T01:22:16.759,27.2,0.1,31.34,23.77,0.00,54.40,42.41,43,70,560,11.99,31,0,11,2099.5,0.0,11.1,3570,3600,3600,3543,3575,3480,3600,3600,3491,3594,3593,3511,3600,3592,3584,3534
2026-02-22T01:22:18.001,27.4,0.1,32.77,23.47,0.00,94.82,82.51,45,67,560,12.31,32,0,11,0.0,60.9,11.1,3559,3551,3568,3600,3600,3570,3551,3595,3520,3557,3569,3600,3600,3582,3539,3588
2026-02-22T01:22:19.106,28.2,0.0,31.43,23.84,0.00,95.37,82.98,45,72,560,12.39,32,0,11,0.0,0.0,11.1,3593,3600,3544,3600,3594,3599,3384,3600,3581,3477,3600,3600,3587,3488,3555,3600
2026-02-22T01:22:20.449,26.9,0.0,30.98,23.08,0.00,68.66,56.40,41,7,254,12.26,31,0,11,0.0,0.0,7.6,3600,3560,3600,3600,3600,3599,3589,3600,3600,3479,3573,3600,3599,3600,3600,3600
2026-02-22T01:22:21.753,26.9,0.0,32.17,23.25,0.00,45.15,32.97,40,0,254,12.18,32,0,11,0.0,0.0,8.5,3582,3573,3600,3593,3590,3595,3600,3591,3030,3571,3587,3587,3585,3582,3600,3595
2026-02-22T01:22:22.837,27.1,0.0,31.09,23.90,0.00,40.80,28.57,39,0,269,12.23,32,0,11,0.0,0.0,9.6,3592,3582,3592,3593,3581,2579,3587,3600,3560,3581,3598,3595,3600,3592,3600,3599
2026-02-22T01:22:24.017,27.2,0.1,31.30,23.53,0.00,76.16,63.95,45,69,560,12.21,32,0,11,2608.3,57.7,11.2,3593,3363,3593,3494,3600,3483,3600,3598,3561,3600,3600,3600,3600,3595,3600,3499
2026-02-22T01:22:25.321,27.3,0.0,32.80,23.26,0.00,95.38,83.08,46,70,560,12.30,31,0,11,0.0,0.0,11.2,3600,3536,3567,3594,3600,3595,3473,3563,3600,3600,3589,3593,3600,3068,3582,3575
2026-02-22T01:22:26.577,27.3,0.0,33.18,23.01,0.00,96.49,84.18,47,71,560,12.31,32,0,11,180.7,0.0,11.1,3600,3543,3523,3549,3600,3527,3600,3546,3581,3594,3551,3439,3600,3477,3600,3573
2026-02-22T01:22:27.637,26.7,0.0,32.57,22.91,0.00,55.02,42.85,42,0,254,12.17,31,0,11,0.0,0.0,8.2,3374,3600,3583,3565,3153,3600,3594,3600,3600,3600,3588,3572,2776,3578,3583,3600
2026-02-22T01:22:28.841,27.2,0.1,30.88,23.49,0.00,45.34,33.30,41,0,254,12.04,32,0,11,0.0,39.0,8.6,2886,3576,3576,3427,3587,3600,3579,3600,3554,3586,3576,3587,3600,3600,3579,3600
2026-02-22T01:22:30.041,27.6,0.0,31.22,23.97,0.00,36.41,24.31,41,3,558,12.10,32,0,11,0.0,0.0,10.4,3587,3582,3587,3581,3576,3596,3600,3600,3589,3594,3594,3587,3575,3580,3594,3600
2026-02-22T01:22:31.078,28.1,0.0,33.26,23.90,0.00,83.55,71.42,46,71,560,12.13,31,0,11,723.5,7.5,11.1,3597,3591,3600,3348,3551,3561,3600,3600,3600,3085,3600,3583,3600,3576,3600,3579
2026-02-22T01:22:32.361,27.3,0.0,31.56,23.52,0.00,96.49,84.22,47,69,560,12.27,32,0,11,0.0,156.4,11.1,3491,3600,3538,3545,3588,3555,3600,3543,3512,3600,3551,3542,3564,3550,3600,3544
2026-02-22T01:22:33.469,26.2,0.0,30.73,23.24,0.00,96.87,84.61,47,70,560,12.26,32,0,11,0.0,76.8,11.1,3582,3600,3469,3581,3599,3576,3590,3582,3600,3600,3574,3580,3592,3035,3596,3600
2026-02-22T01:22:34.685,27.2,0.0,30.43,23.04,0.00,48.73,36.47,42,0,254,12.26,32,0,11,0.0,0.0,8.2,3081,3600,3555,3600,3364,3574,3471,3600,3600,3600,3591,3332,3566,3589,3545,3600
2026-02-22T01:22:35.909,27.1,0.0,30.83,23.72,0.00,45.70,33.57,42,0,254,12.13,32,0,11,0.0,0.0,8.6,3600,3454,3594,3588,3600,3600,3591,3600,3600,3600,3600,3575,3575,3581,3587,3600
2026-02-22T01:22:37.161,26.4,0.1,31.32,23.59,0.00,39.95,27.84,44,42,560,12.11,32,0,11,1653.8,16.2,11.1,3596,3470,3600,3580,3600,3569,3558,3541,3591,3512,3600,3587,3600,3560,3549,3530
2026-02-22T01:22:38.202,28.0,0.1,32.70,23.79,0.00,97.26,85.06,47,72,560,12.20,32,0,11,0.0,70.3,11.1,3590,3531,3580,3589,3600,3600,3595,3600,3418,3595,3597,3571,3599,3554,3600,3577
2026-02-22T01:22:39.517,27.0,0.0,31.22,23.07,0.00,96.36,83.99,48,70,560,12.37,32,0,11,0.0,0.0,11.1,3600,3590,3527,3571,3600,3577,3531,3560,3600,3563,3490,3576,3600,3586,3511,3559
2026-02-22T01:22:40.594,27.1,0.0,33.16,23.26,0.00,87.79,75.48,45,0,560,12.31,32,0,11,0.0,0.0,11.1,3578,3600,3540,3572,3600,3589,3590,3600,3574,3600,3561,3572,3600,3592,3588,3600
2026-02-22T01:22:41.667,27.0,0.0,30.74,23.17,0.00,45.94,33.72,43,0,254,12.22,31,0,11,0.0,0.0,8.3,3526,3584,3566,3584,3600,3598,3544,3600,3450,3590,3578,3586,3600,3597,3516,3600
2026-02-22T01:22:42.739,27.2,0.0,31.10,23.71,0.00,45.74,33.66,43,0,254,12.08,32,0,11,0.0,116.4,8.6,3600,3536,3591,3469,3574,3486,3572,3600,3600,3537,3578,3490,3580,3478,3559,3600
2026-02-22T01:22:43.841,26.6,0.2,31.49,23.81,0.00,38.91,26.79,42,1,560,12.12,32,0,11,1057.5,56.7,10.9,3600,3489,3589,3600,3550,3460,3514,3593,3600,3506,3584,3600,3585,3507,3487,3535
2026-02-22T01:22:44.899,27.8,0.0,31.90,23.87,0.00,92.09,79.84,47,69,560,12.25,32,0,11,0.0,74.5,11.1,3563,3535,3454,3491,3554,3600,3499,3600,3553,3447,3500,3518,3579,3600,3586,3600
2026-02-22T01:22:45.974,26.4,0.0,33.14,23.46,0.00,96.45,84.15,48,71,560,12.30,32,0,11,0.0,0.0,11.1,3425,2801,3565,3588,3600,3600,3599,3559,3567,3580,3575,3410,3593,3600,3598,3600
2026-02-22T01:22:47.197,27.0,0.0,30.08,22.91,0.00,96.56,84.21,49,73,560,12.35,32,0,11,0.0,0.0,11.1,3600,2872,3600,2775,3520,3600,3591,3380,3577,3577,3600,3600,3600,3589,3592,3572
2026-02-22T01:22:48.505,27.0,0.1,30.50,22.65,0.00,45.98,33.77,44,0,254,12.21,32,0,11,3.1,2640.4,8.3,3586,3566,3590,3597,3600,3600,3577,3591,3583,3574,3592,3594,3600,3600,3573,3594
2026-02-22T01:22:49.559,27.2,0.0,31.16,24.05,0.00,45.86,33.61,44,0,254,12.25,31,0,11,0.0,0.0,8.6,3600,3600,3600,3600,3600,3487,3581,3592,3140,3600,3580,3600,3600,3573,3600,3600
2026-02-22T01:22:50.865,26.7,0.0,31.35,23.84,0.00,41.47,29.19,45,37,560,12.28,32,0,11,193.9,0.0,11.1,3575,3600,3600,3582,3600,3591,3586,3582,2976,3600,3600,3300,3600,3579,3592,2579
2026-02-22T01:22:52.101,28.0,0.0,33.57,23.90,0.00,96.31,84.05,48,65,560,12.26,31,0,11,0.0,0.0,11.1,3566,3529,3600,3589,3226,3556,3569,3600,3071,3600,3600,3572,3580,3094,3350,3600
2026-02-22T01:22:53.301,27.6,0.1,31.12,23.65,0.00,97.19,84.64,49,70,560,12.55,32,0,11,0.0,69.8,11.1,3504,3559,3580,3600,3600,3600,3555,3573,3568,3365,3594,3600,3560,3600,3553,3600
2026-02-22T01:22:54.465,27.8,0.0,30.77,23.43,0.00,84.20,71.73,45,0,560,12.47,32,0,11,0.0,0.0,11.0,3600,3564,2690,3600,3600,3600,3600,3461,3600,3600,3600,3583,3600,3600,3509,3591
2026-02-22T01:22:55.809,26.7,0.0,30.16,22.80,0.00,46.13,33.87,44,0,254,12.26,31,0,11,0.0,58.9,8.4,3600,3561,3597,3533,3587,3590,3527,3600,3600,3515,3522,3531,3583,3580,3456,3600
2026-02-22T01:22:56.886,26.7,0.0,30.69,23.46,0.00,40.17,27.97,43,0,257,12.20,32,0,11,0.0,0.0,9.1,3600,3600,3002,3485,3593,3600,3563,3600,3600,3574,3568,3118,3600,3600,3580,3600
2026-02-22T01:22:58.173,27.7,0.1,32.33,24.56,0.00,68.13,56.00,49,71,560,12.13,31,0,11,931.7,2695.7,11.1,3450,1771,3600,3600,3193,3576,3600,3574,3370,3583,3600,3568,3572,3455,3600,2709
2026-02-22T01:22:59.469,27.2,0.0,32.81,23.45,0.00,96.63,84.32,49,72,560,12.31,32,0,11,0.0,0.0,11.1,3594,3553,3578,3584,3600,3600,3579,3553,3600,3480,3571,3574,3600,3600,3584,3389
2026-02-22T01:23:00.601,27.5,0.0,30.78,23.60,0.00,97.32,84.99,50,72,560,12.33,32,0,11,0.0,0.0,11.1,3577,3539,3600,3600,3590,3600,3584,3559,3552,3600,3596,3572,3595,3600,3528,3484
2026-02-22T01:23:01.873,26.9,0.0,30.11,22.73,0.00,59.03,46.67,45,0,254,12.36,31,0,11,0.0,0.0,8.1,3600,3347,3584,3589,3600,3588,3600,3579,3600,3583,3596,3586,3584,3588,3600,3583
2026-02-22T01:23:02.985,27.7,0.1,31.32,23.93,0.00,46.03,33.96,45,0,254,12.07,32,0,11,3.6,3048.3,8.5,3570,3430,3348,3584,3600,3471,3600,3600,3201,3585,3267,3600,3600,3600,3600,3600
2026-02-22T01:23:04.309,26.1,0.1,31.31,23.83,0.00,41.76,29.73,44,10,558,12.03,32,0,11,1338.3,21.2,10.5,3572,3368,3592,3536,3518,3591,3592,3597,3600,3338,3585,3600,3162,3585,3600,3500
2026-02-22T01:23:05.609,27.8,0.0,32.17,23.91,0.00,96.83,84.65,50,72,560,12.18,32,0,11,761.4,0.0,11.2,3600,3582,3597,3581,3600,3589,3600,3586,3600,3582,3594,3580,3600,3594,3600,3577
2026-02-22T01:23:06.707,27.1,0.0,32.35,23.34,0.00,96.96,84.62,50,71,560,12.34,32,0,11,0.0,0.0,11.1,3555,3600,3570,3570,3579,3600,3573,3566,3551,3600,3570,3596,3587,3600,3570,3535
2026-02-22T01:23:07.783,27.3,0.1,30.61,23.35,0.00,94.27,82.04,50,72,560,12.23,32,0,11,7.4,3156.7,11.2,3600,3600,3600,3600,3600,3600,3583,3595,3593,3302,3548,3578,3487,3600,3600,3600
2026-02-22T01:23:09.085,26.9,0.0,32.02,22.47,0.00,45.20,33.07,45,0,254,12.13,32,0,11,0.0,69.9,8.3,3577,3583,3600,3570,3571,3600,3592,3577,3580,3579,3600,3574,3571,3595,3577,3581
2026-02-22T01:23:10.119,27.3,0.0,33.57,23.45,0.00,45.30,33.22,45,0,254,12.08,31,0,11,0.0,0.0,8.6,3494,3600,3600,3571,3591,3600,3522,3279,3590,3600,3600,3498,3572,3600,3575,3503
2026-02-22T01:23:11.333,26.9,0.0,31.24,23.34,0.00,43.51,31.42,45,12,560,12.09,32,0,11,0.0,0.0,11.1,2822,3557,3591,3600,3532,3589,3600,3469,3585,3580,2846,3600,3600,3358,3590,3398
2026-02-22T01:23:12.621,26.8,0.0,33.50,23.46,0.00,97.49,85.26,50,71,560,12.23,32,0,11,0.0,0.0,11.1,3564,3530,3496,3598,3600,3073,3173,3592,3600,3407,3553,3600,3600,3569,3558,3590
2026-02-22T01:23:13.925,27.2,0.2,32.37,23.22,0.00,94.27,81.97,51,70,560,12.30,32,0,11,3.1,250.9,11.1,3515,3265,3569,3551,3600,3590,3587,3600,3597,3478,3552,3455,3600,3583,3586,3600
2026-02-22T01:23:14.987,27.8,0.0,32.04,23.01,0.00,79.05,66.81,47,0,560,12.24,32,0,11,0.0,0.0,11.0,3594,3488,3600,3600,3600,3595,3589,3600,3591,3482,2423,3590,3600,1792,3600,3600
2026-02-22T01:23:16.265,27.1,0.0,33.54,23.35,0.00,45.22,33.15,46,0,254,12.07,32,0,11,0.0,0.0,8.4,3559,3600,3600,3585,3600,3600,3600,3600,2945,3591,3573,3589,3305,3600,3589,3600
2026-02-22T01:23:17.541,27.3,0.0,34.07,23.90,0.00,34.69,22.74,44,0,257,11.95,31,0,11,0.0,0.0,9.4,3583,3600,3597,3591,3592,3600,3600,3600,3582,3600,3600,3591,3592,3491,3586,3600
2026-02-22T01:23:18.661,27.2,0.1,32.07,23.94,0.00,67.13,55.10,50,71,560,12.03,32,0,11,3.6,3203.8,11.1,3554,3600,3600,3600,3504,3535,3515,3501,3548,3600,3562,3600,3403,3542,3507,3538
2026-02-22T01:23:19.739,26.8,0.0,33.55,23.37,0.00,94.48,82.33,50,70,560,12.15,32,0,11,0.0,0.0,11.1,3589,3588,3593,3600,3600,3582,3536,3600,3600,3600,3470,3222,3600,3583,3600,3600
2026-02-22T01:23:21.085,26.5,0.0,32.60,23.46,0.00,94.50,82.26,51,71,560,12.24,32,0,11,0.0,187.3,11.1,3597,3458,3600,3592,3600,3600,3600,3600,3574,3387,3573,3600,3600,3600,3600,3600
2026-02-22T01:23:22.421,26.8,0.0,32.06,22.95,0.00,55.07,42.95,46,0,254,12.12,32,0,11,0.0,0.0,8.1,3600,3600,2464,3600,3600,3600,3600,3594,3600,3600,3486,3600,3600,3589,3600,3555
2026-02-22T01:23:23.621,27.5,0.0,31.81,23.72,0.00,45.22,33.21,46,0,254,12.01,32,0,11,3.2,2802.2,8.5,3560,3600,3592,3600,3556,3561,3600,3586,3553,3600,3592,3600,3563,3558,3600,3586
2026-02-22T01:23:24.715,26.7,0.0,31.05,23.78,0.00,37.38,25.42,46,5,558,11.96,32,0,11,0.0,0.0,10.2,3275,3582,2182,3296,3600,3592,3600,3517,3475,3572,3586,3573,3600,3600,3600,3600
2026-02-22T01:23:26.005,27.7,0.0,34.13,23.92,0.00,92.52,80.58,50,69,560,11.94,32,0,11,0.0,0.0,11.1,3591,3600,3600,3587,3600,3600,3600,3594,3311,3485,3592,3286,3600,3600,3587,3581
2026-02-22T01:23:27.345,27.2,0.0,32.40,23.53,0.00,94.50,82.44,51,71,560,12.06,32,0,11,0.0,0.0,11.1,3568,3550,3600,3600,3522,3600,3247,3477,3596,3455,3592,3600,3600,3600,3555,3361
