timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-22T01:31:31.422,0.0,0.6,4.52,0.99,0.00,28.62,12.55,49,0,254,16.07,54,0,11,2923.3,0.0,6.9,3600,3600,3600,3600,3598,3600,3600,3600,3600,3605,3600,3600,3596,3600,3600,3595
2026-02-22T01:31:32.769,0.1,0.0,3.98,0.55,0.00,28.60,12.56,48,0,254,16.04,53,0,11,0.0,0.0,6.9,3600,3600,3588,3600,3600,3596,3600,3600,3600,3600,3600,3600,3600,3604,3600,3600
2026-02-22T01:31:34.125,9.5,4.0,16.45,7.84,0.00,28.59,12.54,48,0,254,16.05,53,0,11,277917.3,0.0,8.2,3600,3600,3600,3600,3600,3599,3600,3600,3600,3600,3600,3597,3600,3600,3600,3595
2026-02-22T01:31:35.183,11.0,2.0,22.05,12.28,0.00,28.39,12.54,48,0,254,15.85,53,0,11,49827.0,0.0,8.7,3600,3600,3595,3595,3600,3599,3600,3600,3600,3600,3600,3599,3605,3600,3600,3595
2026-02-22T01:31:36.501,11.2,2.0,21.44,11.47,0.00,32.55,16.67,49,0,550,15.88,53,0,14,193018.1,63.9,9.8,3600,3588,3600,3600,3590,3600,3600,3600,3600,3554,3600,3600,3600,3600,3570,3600
2026-02-22T01:31:37.637,14.9,0.8,21.25,11.56,0.00,126.96,111.26,60,100,672,15.70,52,0,14,70471.5,95.1,10.4,3600,3606,3600,3605,3600,3599,3606,3600,3593,3600,3594,3600,3600,3602,3600,3605
2026-02-22T01:31:38.973,7.5,0.2,17.16,7.54,0.00,150.66,134.96,61,100,672,15.70,52,0,14,24715.8,0.0,10.6,2710,3607,3600,3600,3600,3600,3606,3600,3594,3600,3591,3600,3600,3598,3600,3594
2026-02-22T01:31:40.285,11.2,1.0,20.93,10.86,0.00,183.11,135.17,62,100,672,47.94,55,39,683,422877.4,0.0,12.6,3593,3600,3594,3604,3600,3601,3600,3594,3594,3600,3594,3600,3595,3600,3600,3595
2026-02-22T01:31:41.573,12.6,0.1,21.87,12.17,0.00,197.62,135.46,62,100,672,62.16,57,36,699,217.6,71.5,12.6,3600,3600,3600,3600,3600,3600,3594,3600,3600,3593,3600,3600,3595,3600,3606,3600
2026-02-22T01:31:42.881,12.6,0.1,22.02,12.34,0.00,206.70,135.73,63,100,672,70.97,58,37,699,693.9,33.6,12.6,3600,3600,3601,3606,3600,3600,3606,3600,3600,3607,3600,3597,3594,3600,3600,3600
2026-02-22T01:31:44.189,12.6,0.0,21.91,12.21,0.00,213.73,135.95,64,100,672,77.78,58,36,699,0.0,0.0,12.6,2432,3600,3600,3597,3594,3601,3600,3600,3600,3606,3600,3601,3594,3600,3600,3594
2026-02-22T01:31:45.497,12.7,0.0,19.86,12.41,0.00,216.15,136.11,64,100,672,80.04,59,36,699,3.1,198.6,12.6,3600,3600,3600,3600,3600,3600,3593,3606,3593,3600,3607,3606,3600,3600,3600,3600
2026-02-22T01:31:46.809,12.6,0.0,19.10,12.44,0.00,216.46,136.28,64,100,672,80.18,59,36,699,0.0,0.0,12.6,3600,3600,3600,3606,3600,3600,3600,3606,3600,3600,3600,3595,3606,3600,3600,3595
2026-02-22T01:31:48.101,12.6,0.1,19.52,12.51,0.00,216.51,136.26,65,100,672,80.25,59,38,699,0.0,74.3,12.6,3600,3600,3600,3593,3600,3600,3600,3605,3600,3594,3600,3600,3594,3600,3600,3600
2026-02-22T01:31:49.413,12.6,0.0,19.19,12.54,0.00,217.00,136.40,65,100,672,80.60,59,38,699,0.0,0.0,12.6,3600,3600,3600,3600,3594,3600,3595,3600,3599,3600,3600,3600,3597,3600,3600,3600
2026-02-22T01:31:50.721,12.6,0.0,19.19,12.54,0.00,217.30,136.62,66,100,672,80.68,60,38,699,0.0,0.0,12.6,3600,3594,3600,3606,3600,3594,3599,3594,3599,3600,3606,3596,3605,3600,3600,3594
2026-02-22T01:31:52.029,12.6,0.0,18.98,12.29,0.00,217.34,136.74,66,100,672,80.60,60,37,699,0.0,0.0,12.6,3599,3600,3600,3594,3600,3600,3594,3600,2799,3600,3600,3597,3594,3600,3606,3600
2026-02-22T01:31:53.341,12.6,0.1,19.36,12.44,0.00,217.82,136.87,66,100,672,80.95,60,40,699,0.0,9.1,12.6,3599,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3606,3600,3600,3600,3594
2026-02-22T01:31:54.653,12.7,0.0,19.08,12.41,0.00,218.23,137.12,67,100,672,81.11,60,39,699,0.0,0.0,12.6,3600,3600,3600,3595,3594,3600,3594,3606,3600,3600,3600,3597,3600,3600,3600,3600
2026-02-22T01:31:55.965,12.6,0.0,19.91,12.37,0.00,218.78,137.40,67,100,672,81.38,60,37,699,0.0,48.8,12.6,3600,3600,3600,3604,3606,3606,3600,3600,1952,3600,3600,3593,3600,3600,3600,3600
2026-02-22T01:31:57.273,12.6,0.0,21.90,12.22,0.00,218.77,137.45,68,100,672,81.32,61,37,699,0.0,0.0,12.6,3600,3600,3600,3596,3600,3600,3600,3600,3600,3600,3600,3606,3600,3600,3600,3600
2026-02-22T01:31:58.581,12.6,0.1,20.00,12.25,0.00,219.21,137.67,68,100,672,81.54,61,35,699,0.0,24.5,12.6,3600,3600,2555,3600,3600,3600,3600,3606,3600,3594,3600,3594,3600,3600,3600,3600
2026-02-22T01:31:59.869,12.6,0.0,18.91,12.23,0.00,219.62,137.89,68,100,672,81.73,61,36,699,0.0,0.0,12.6,2464,3600,3594,3600,3606,3600,3600,3600,3600,3600,3600,3600,3600,3600,3594,3600
2026-02-22T01:32:01.177,12.6,0.0,19.18,12.29,0.00,219.63,137.91,69,100,672,81.72,61,36,699,0.0,9.2,12.6,3600,3600,1296,3600,3600,3600,3601,3594,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-22T01:32:02.465,12.6,0.1,19.20,11.99,0.00,220.04,138.12,69,100,672,81.92,61,35,699,87.0,28.0,12.6,2803,3600,3600,3600,3600,3600,3601,3600,3600,3600,3590,3600,3600,3600,3600,3595
2026-02-22T01:32:03.773,12.6,0.0,19.17,12.10,0.00,220.37,138.30,70,100,672,82.07,61,36,699,0.0,21.4,12.6,3600,3600,2668,3600,3597,3600,3599,3606,3600,3600,3600,3600,3600,3600,3599,3594
2026-02-22T01:32:05.061,12.6,0.0,18.85,12.19,0.00,220.43,138.19,70,100,672,82.24,61,35,699,0.0,0.0,12.6,2505,3600,3600,3594,3600,3600,3600,3606,3600,3594,3597,3594,3600,3595,3600,3600
2026-02-22T01:32:06.369,12.6,0.0,18.89,12.22,0.00,220.65,138.32,70,100,672,82.33,62,36,699,0.0,0.0,12.6,2884,3600,3599,3600,3600,3600,3600,3600,3600,3600,3596,3600,3600,3595,3600,3606
2026-02-22T01:32:07.677,12.6,0.0,19.34,12.20,0.00,220.79,138.67,71,100,672,82.12,62,40,699,0.0,55.9,12.6,3600,3600,3604,3606,3594,3600,3600,3600,3587,3606,3597,3600,3600,3600,3600,3600
2026-02-22T01:32:08.985,12.6,0.0,19.04,12.39,0.00,220.96,138.84,71,100,672,82.12,62,40,699,0.0,0.0,12.6,3600,3600,3600,3600,3600,3600,3600,3594,3600,3607,3600,3594,3600,3600,3600,3600
2026-02-22T01:32:10.297,12.6,0.0,19.82,12.51,0.00,221.19,138.93,71,100,672,82.26,62,40,699,0.0,0.0,12.6,3600,3600,3600,3600,3606,3600,3594,3597,3597,3600,3600,3600,3594,3600,3600,3606
