timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-22T01:50:54.579,0.0,0.0,5.32,1.30,0.00,28.97,12.23,49,0,254,16.74,57,0,11,3080.5,0.0,6.9,3600,3600,3600,3600,3600,3596,3600,3600,3595,3600,3592,3600,3600,3604,3600,3600
2026-02-22T01:50:55.925,0.2,0.0,3.74,0.50,0.00,28.93,12.23,49,0,254,16.70,57,0,11,0.0,0.0,6.9,3590,3600,3600,3601,3600,3600,3600,3605,3600,3600,3604,3600,3596,3600,3600,3599
2026-02-22T01:50:57.281,8.7,3.8,16.33,7.81,0.00,28.85,12.22,49,0,254,16.63,56,0,11,308157.2,0.0,8.2,3600,3600,3600,3597,3605,3599,3600,3600,3595,3600,2851,2996,3606,3600,3600,3600
2026-02-22T01:50:58.585,10.9,2.0,21.85,11.99,0.00,28.78,12.23,48,0,254,16.55,56,0,11,99117.2,0.0,8.8,3598,3596,2967,3600,3595,3600,3600,3595,3600,3600,3600,3605,3600,3595,3600,3600
2026-02-22T01:50:59.925,10.2,1.8,21.04,11.07,0.00,33.12,16.59,49,2,498,16.53,55,0,14,149122.2,53.9,10.2,3600,3594,3600,3600,3600,3600,3600,3600,3594,1719,3600,3600,3600,3600,3600,3583
2026-02-22T01:51:01.249,12.8,1.1,20.21,10.35,0.00,87.97,71.45,56,79,560,16.52,55,0,14,111664.3,0.0,11.7,2929,3601,3600,3600,3600,3599,3600,3600,3600,3600,3601,3600,2957,3600,3600,3598
2026-02-22T01:51:02.581,8.1,0.4,18.42,8.57,0.00,105.33,86.49,56,73,560,18.84,56,6,309,175498.3,3.0,12.2,3600,3558,2616,3600,3600,3600,2868,3600,3599,3600,3600,2098,3594,3601,3600,3599
2026-02-22T01:51:03.869,12.2,0.6,21.67,11.78,0.00,127.28,73.96,54,0,560,53.32,58,37,689,238866.5,0.0,13.8,2983,3600,3600,3574,3595,3600,3600,3600,3600,3600,3605,2744,3600,3597,3606,3600
2026-02-22T01:51:05.177,11.2,1.5,21.19,11.47,0.00,95.80,34.07,52,0,254,61.73,59,36,699,148411.5,2771.9,11.1,3600,3600,3600,3600,3600,3600,3601,3604,3600,3600,3600,3600,3599,3600,3600,3600
2026-02-22T01:51:06.485,12.4,0.0,20.86,12.89,0.00,95.82,32.70,51,0,257,63.12,59,38,699,0.0,0.0,11.9,3600,3600,3600,3600,3595,3595,3599,3600,3600,3600,3600,3600,3600,3600,3605,3600
2026-02-22T01:51:07.793,12.8,0.0,20.48,12.76,0.00,134.19,69.02,56,79,560,65.17,59,37,699,921.2,30.6,13.9,3600,3600,3600,3600,3600,3600,3600,3596,3600,3600,3600,3600,3600,3600,3600,3599
2026-02-22T01:51:09.101,12.7,0.0,21.57,12.57,0.00,156.09,86.89,57,75,560,69.20,60,36,701,0.0,0.0,13.9,3156,3600,3600,3600,3600,3600,3600,3599,3599,3600,3600,3600,3600,3600,3600,3596
2026-02-22T01:51:10.409,12.7,0.1,19.63,12.42,0.00,153.32,81.10,54,0,560,72.22,60,37,701,0.0,55.1,13.8,3142,3591,3600,3600,3600,3600,3600,3604,3600,3600,3600,3605,3600,3604,3600,3600
2026-02-22T01:51:11.717,12.6,0.0,19.68,12.63,0.00,101.86,34.43,52,0,254,67.43,59,39,701,0.0,0.0,11.1,3600,3600,3600,3600,3595,3605,3595,3604,3600,3595,3600,3600,3600,3600,3601,3600
