timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-22T01:49:01.974,0.0,0.0,5.09,0.81,0.00,24.47,12.45,48,0,254,12.02,33,0,11,3028.1,0.0,7.0,3394,3600,3600,3600,3595,3600,3600,3598,3600,3600,3600,3600,3600,3596,3600,3600
2026-02-22T01:49:03.325,0.2,0.0,3.72,0.39,0.00,24.51,12.50,48,0,254,12.01,33,0,11,0.0,5.8,7.0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3595,3605,3600
2026-02-22T01:49:04.697,9.5,3.7,16.80,8.08,0.00,24.24,12.24,48,0,254,12.00,33,0,11,308541.0,0.0,8.3,3600,3600,3600,3600,3600,3600,3600,3597,3600,3600,3606,3594,3600,3600,3600,3600
2026-02-22T01:49:06.021,9.9,2.4,21.65,11.78,0.00,23.99,12.10,48,0,254,11.89,33,0,11,93468.9,0.0,8.9,3600,3600,3600,3600,3595,3600,3605,3600,3598,3601,3593,3605,3600,3600,3600,3600
2026-02-22T01:49:07.341,11.5,1.3,21.96,11.74,0.00,49.52,20.37,50,1,560,29.15,38,100,429,223837.8,52.0,12.4,3587,3601,3600,3600,3599,3600,3588,3600,3548,3591,3600,3586,3585,3596,3600,3600
2026-02-22T01:49:08.517,12.9,0.2,22.20,12.67,0.00,228.25,83.84,55,75,560,144.41,45,100,429,18474.2,0.0,12.8,3600,3600,3600,3600,3599,3600,3599,3600,3600,3600,3600,2883,3600,3599,3597,3602
2026-02-22T01:49:09.829,12.6,0.0,20.43,12.58,0.00,231.61,86.42,56,75,560,145.19,47,100,429,3.0,3.0,12.8,3600,3600,3598,3600,3601,2685,3597,3600,3600,3600,3600,3600,3600,3599,3600,3600
2026-02-22T01:49:11.141,12.3,0.5,19.58,11.86,0.00,210.19,64.32,52,0,560,145.87,48,100,429,74366.7,0.0,12.7,3599,3600,3600,3600,3600,3600,3599,3600,3395,3600,3605,3600,3600,3596,3600,3587
2026-02-22T01:49:12.469,11.6,1.0,20.94,11.81,0.00,180.49,33.86,51,0,254,146.63,49,100,429,73501.8,2726.4,10.0,3600,3600,3600,3606,3600,3598,3594,3600,3600,3605,3600,3600,3600,3600,3600,3600
2026-02-22T01:49:13.757,12.5,0.0,21.27,13.02,0.00,178.73,31.61,51,10,500,147.12,49,99,429,0.0,0.0,11.4,3600,3592,3600,3600,3600,3605,3600,3605,3594,3600,3600,3595,3605,3495,3600,3599
2026-02-22T01:49:15.069,12.7,0.0,20.08,12.89,0.00,227.30,79.63,56,77,560,147.67,50,100,429,195.1,0.0,12.7,3600,3600,2601,2824,3600,3599,3600,3591,3599,3600,3599,3600,3600,3600,3600,3601
2026-02-22T01:49:16.381,12.9,0.0,22.20,12.73,0.00,235.49,86.82,57,76,560,148.67,51,100,429,0.0,64.1,12.7,3600,3600,3600,3600,3600,3599,3600,3599,3601,3600,3600,3600,3600,3601,3601,3600
2026-02-22T01:49:17.689,12.8,0.0,19.92,12.40,0.00,217.50,68.49,53,0,254,149.01,51,99,429,0.0,75.3,9.2,3601,3600,3601,3600,3598,3595,3600,3600,3600,3595,3593,3600,3600,3600,3595,3600
2026-02-22T01:49:19.017,12.7,0.0,19.87,12.93,0.00,183.96,34.36,52,0,254,149.60,52,100,429,0.0,0.0,10.1,3600,3600,3600,3600,3600,3600,3595,3596,3600,3606,3600,3600,3600,3600,3600,3600
2026-02-22T01:49:20.325,12.5,0.0,20.19,12.96,0.00,181.41,31.20,51,9,560,150.21,52,100,429,1011.1,0.0,12.6,3600,3582,3600,3600,3599,3599,3600,3600,3602,3599,3600,3600,3600,3600,3600,3600
2026-02-22T01:49:21.633,12.8,0.0,20.79,12.86,0.00,238.32,87.61,56,73,560,150.71,53,100,429,0.0,0.0,12.7,3600,3600,3600,3600,3599,3600,3600,3600,3600,3591,3600,3600,3601,3600,3600,3600
2026-02-22T01:49:22.941,12.8,0.0,20.77,12.59,0.00,238.53,87.35,57,74,560,151.18,54,100,429,0.0,134.6,12.7,3600,3599,3600,2800,3602,3600,3600,3600,3600,3600,3600,3600,3595,3601,3600,3600
2026-02-22T01:49:24.249,12.6,0.0,19.36,12.21,0.00,204.70,53.18,53,0,254,151.52,54,99,429,0.0,0.0,9.7,3599,3593,3599,3600,3600,3604,3600,3594,3600,3589,3600,3600,3605,3600,3600,3600
2026-02-22T01:49:25.537,12.4,0.0,19.64,12.76,0.00,184.36,32.21,51,0,254,152.15,55,100,429,0.0,0.0,10.2,3600,1134,3600,3600,3597,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-22T01:49:26.849,12.6,0.0,20.02,12.73,0.00,188.80,36.40,55,77,560,152.40,56,100,429,195.0,0.0,12.7,3600,3600,3600,3601,3600,3600,3594,3600,3599,3600,3600,3600,3600,3600,3600,3600
2026-02-22T01:49:28.161,12.9,0.0,21.60,12.63,0.00,240.63,87.85,57,74,560,152.78,56,100,429,0.0,51.9,12.7,3600,3600,3599,3600,3600,3600,3600,3601,3600,3599,3601,3600,3600,3600,3601,3587
2026-02-22T01:49:29.469,13.0,0.0,20.00,12.71,0.00,241.17,87.86,57,76,560,153.31,57,100,429,0.0,0.0,12.7,3600,3600,3600,3397,3600,3601,3600,3599,3600,3600,3600,2966,3600,3600,3600,3600
2026-02-22T01:49:30.785,12.6,0.0,19.50,12.34,0.00,196.96,43.31,53,0,254,153.65,58,100,429,0.0,0.0,9.8,3600,3600,3600,3605,3605,3600,3601,3600,3600,3600,3600,3601,3596,3605,3600,3600
2026-02-22T01:49:32.093,12.5,0.1,21.45,13.02,0.00,181.01,26.80,51,0,254,154.21,58,100,429,0.0,91.3,10.6,3600,3600,3600,3606,3590,3600,3595,3605,3600,3600,3600,3600,3605,3600,3600,3599
2026-02-22T01:49:33.409,12.7,0.0,21.03,12.70,0.00,211.39,56.71,56,74,560,154.68,59,100,429,1561.9,12.2,12.7,3600,3600,3481,3600,3600,3600,3600,3599,3598,3600,3600,3600,3600,3599,3601,3593
2026-02-22T01:49:34.717,12.9,0.0,21.88,12.67,0.00,242.91,87.61,57,73,560,155.30,59,100,429,0.0,0.0,12.7,3600,3600,3600,3602,3600,3600,3601,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-22T01:49:36.029,12.7,0.0,19.32,12.47,0.00,243.61,87.82,58,75,560,155.79,60,100,429,0.0,0.0,12.7,3600,3600,3600,3601,3600,3595,3600,3600,3600,3600,3600,3599,3600,3596,3600,3599
2026-02-22T01:49:37.337,12.6,0.1,20.00,12.36,0.00,190.79,34.60,53,0,254,156.19,61,100,429,0.0,110.3,9.9,3600,3600,3600,3600,3600,3600,3605,3600,3600,3594,3600,3600,3600,3600,2139,3600
2026-02-22T01:49:38.645,12.6,0.0,20.09,12.93,0.00,187.60,31.08,52,0,257,156.52,61,99,429,3.0,3.0,11.0,3600,3600,3602,3594,3600,3595,3600,3595,3594,3595,3513,3600,3599,3596,3600,3600
