timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-22T01:35:41.989,0.0,0.0,4.81,0.96,0.00,25.69,11.95,40,0,254,13.74,41,0,11,2451.6,0.0,6.9,3600,3600,3600,3600,3589,3599,3600,3600,3600,3600,3595,3600,3605,3600,3604,3596
2026-02-22T01:35:43.349,0.2,0.0,3.93,0.50,0.00,25.74,11.94,40,0,254,13.80,41,0,11,0.0,0.0,6.9,3600,3605,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-22T01:35:44.709,2.3,2.2,11.74,3.77,0.00,25.74,11.90,40,0,254,13.84,41,0,11,298891.6,0.0,7.6,3600,3600,3553,3600,3597,3600,3600,3438,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-22T01:35:46.009,5.0,1.3,15.38,5.80,0.00,25.70,11.90,40,0,254,13.80,41,0,11,46760.9,103.0,7.9,3600,3606,3493,3600,3596,3600,3600,3600,3600,3600,3600,3600,3599,3600,3594,3605
2026-02-22T01:35:47.349,5.1,1.2,15.48,5.85,0.00,27.27,13.38,41,11,498,13.89,41,0,11,163072.5,0.0,9.0,3599,3600,3600,3600,3600,3595,3601,3600,3600,3600,3528,3605,3601,3605,3589,3600
2026-02-22T01:35:48.685,6.0,0.7,15.77,6.31,0.00,86.55,72.75,48,77,560,13.80,41,0,11,85667.0,0.0,10.5,3600,3600,3600,3601,2180,3601,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-22T01:35:50.017,6.4,0.0,14.31,6.64,0.00,101.28,87.57,49,75,560,13.71,41,0,11,39.0,772.0,10.5,3600,3600,3600,3600,3599,3600,3600,3600,3600,3600,3597,3602,3600,3600,3600,3600
2026-02-22T01:35:51.349,6.3,0.2,13.67,6.09,0.00,89.13,75.61,46,0,560,13.52,41,0,11,23013.2,78.2,10.4,3600,3600,3599,3600,3600,3606,3600,3599,3605,3600,3600,3600,3600,3082,3600,3600
2026-02-22T01:35:52.709,5.1,1.3,13.97,6.08,0.00,46.72,33.26,44,0,254,13.46,41,0,11,121225.5,0.0,7.7,3600,3600,3600,3600,3601,3597,3600,3604,3600,3600,959,3600,3600,1914,3600,3600
2026-02-22T01:35:54.037,6.3,0.0,13.65,6.93,0.00,39.82,26.35,43,0,270,13.47,41,0,11,0.0,0.0,9.0,3600,3600,3600,3600,3600,3600,3572,3600,3600,3600,3600,3605,3600,3600,3600,3600
2026-02-22T01:35:55.385,6.5,0.0,13.69,6.57,0.00,90.65,77.10,50,75,560,13.55,41,0,11,1211.7,0.0,10.5,3600,3600,3600,3602,3600,3600,3600,3600,3599,3600,3600,3541,3601,3600,3601,3600
2026-02-22T01:35:56.717,6.4,0.0,15.06,6.34,0.00,100.82,87.33,51,72,560,13.49,41,0,11,0.0,103.7,10.5,3600,3600,3600,3601,3593,3600,3600,3600,3599,3600,3600,2951,3601,3599,3600,3600
2026-02-22T01:35:58.049,6.4,0.0,12.68,5.87,0.00,81.18,67.63,46,0,560,13.55,40,0,11,0.0,0.0,7.2,3600,3600,3082,3600,3594,3594,3600,3548,3598,3600,3600,3600,3600,3600,3600,3600
2026-02-22T01:35:59.381,6.3,0.0,13.31,6.63,0.00,47.33,33.72,45,0,254,13.61,40,0,11,0.0,0.0,7.8,3600,3600,3600,3600,3606,3595,3600,3600,3594,3595,3600,3600,3594,3600,3600,3600
2026-02-22T01:36:00.717,6.3,0.0,13.42,6.56,0.00,40.28,26.67,45,6,560,13.61,40,0,11,2112.9,0.0,10.3,3600,3600,3600,3599,3595,3600,3600,3601,3601,3600,3601,3601,3601,3600,3601,3600
2026-02-22T01:36:02.049,6.6,0.1,15.02,6.63,0.00,101.95,88.42,51,74,560,13.53,40,0,11,171.4,53.2,10.5,3600,3600,3601,3600,3595,3600,3600,3600,3029,3598,3600,3600,3599,3599,3600,3600
2026-02-22T01:36:03.381,6.4,0.0,13.92,6.38,0.00,101.45,87.96,51,77,560,13.49,40,0,11,0.0,0.0,10.5,3600,3599,3600,2847,3601,3599,3601,3600,3600,3599,3600,3600,3599,3599,3594,3600
2026-02-22T01:36:04.713,6.4,0.0,12.72,5.83,0.00,66.21,52.70,47,0,254,13.51,40,0,11,0.0,0.0,7.4,3600,3600,3601,3600,3598,3600,3600,3600,3594,3595,3600,3600,3600,3595,3600,3600
