timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-22T01:45:13.570,0.0,0.0,5.73,1.11,0.00,24.74,12.29,42,0,254,12.45,33,0,11,3018.0,0.0,7.0,3600,3605,3600,3600,3600,3595,3600,3601,3600,3600,3600,3600,3600,3596,3600,3596
2026-02-22T01:45:14.917,0.1,0.0,4.17,0.52,0.00,24.53,12.16,41,0,254,12.37,33,0,11,0.0,0.0,7.0,3600,3600,3600,3596,3604,3595,3600,3600,3600,3600,3600,3604,3596,3598,3600,3600
2026-02-22T01:45:16.281,17.4,1.7,22.95,13.90,0.00,24.37,12.17,41,0,254,12.20,33,0,11,278463.4,0.0,8.2,3576,3600,3562,3578,3589,3582,3577,3600,3578,3600,3556,3563,3552,3594,3572,3592
2026-02-22T01:45:17.357,25.5,0.9,32.35,22.26,0.00,24.40,12.17,41,0,254,12.23,33,0,11,38836.7,161.9,8.3,3600,3575,3600,3600,3475,3600,3600,3600,3589,3600,3596,3600,3600,3574,3582,3327
2026-02-22T01:45:18.701,26.3,1.0,32.75,22.55,0.00,25.50,13.19,41,3,386,12.31,33,0,11,114386.9,0.0,9.0,3597,3582,3452,3588,3586,3574,3336,3588,3563,3534,3516,3517,3591,3598,3573,3591
2026-02-22T01:45:19.853,25.9,0.5,31.18,22.82,0.00,107.14,94.80,53,99,672,12.34,33,0,11,85008.4,0.0,9.8,3505,3600,3345,3600,3532,3571,3600,3600,3547,3600,3580,3553,3537,3509,3600,3484
2026-02-22T01:45:21.213,26.6,0.0,30.02,22.99,0.00,144.76,132.54,55,99,672,12.22,33,0,11,0.0,0.0,9.7,3573,3600,3600,2388,3569,3578,3575,3598,3584,3600,3567,3574,3337,3600,3582,3600
2026-02-22T01:45:22.445,27.9,0.1,30.92,23.37,0.00,145.36,133.09,56,99,672,12.27,33,0,11,0.0,35.9,9.8,3526,3600,3600,3559,3600,3594,3332,3600,3600,3600,3600,3600,3569,3584,3286,3219
2026-02-22T01:45:23.745,27.3,0.0,29.98,22.99,0.00,145.68,133.31,57,99,672,12.37,33,0,11,0.0,0.0,9.7,3600,3600,3594,3493,3584,3573,3548,3554,3600,3600,3587,3576,3567,3571,3553,3555
2026-02-22T01:45:24.825,27.4,0.0,30.23,23.15,0.00,145.90,133.52,57,99,672,12.38,33,0,11,0.0,0.0,9.8,3489,3600,3600,3417,3600,2665,3444,3583,3600,3600,3600,3600,3600,3577,3587,3591
2026-02-22T01:45:26.137,27.2,0.0,30.33,23.30,0.00,145.97,133.59,58,99,672,12.38,33,0,11,0.0,0.0,9.8,3600,3600,3585,3600,3600,3559,3584,3583,3600,3600,3587,3600,3600,3578,3562,3582
2026-02-22T01:45:27.211,27.5,0.1,31.09,23.50,0.00,146.08,133.72,58,99,672,12.36,33,0,11,0.0,34.0,9.8,3594,3600,3600,3531,3600,3590,3600,2799,3590,3600,3525,3590,3600,3586,3582,3600
2026-02-22T01:45:28.529,26.5,0.0,29.86,22.83,0.00,146.55,134.07,58,99,672,12.48,33,0,11,0.0,0.0,9.8,2772,3600,3593,3600,3580,3440,3404,3600,3312,3600,3495,3585,3600,3580,3600,3600
2026-02-22T01:45:29.869,27.4,0.0,30.42,23.38,0.00,146.85,134.21,59,99,672,12.64,33,0,11,0.0,0.0,9.8,3480,3600,1994,3355,3587,3600,3593,3600,3595,3600,3582,3600,3600,3600,3600,3436
2026-02-22T01:45:31.161,27.2,0.0,30.04,23.03,0.00,146.89,134.33,59,99,672,12.56,33,0,11,0.0,0.0,9.7,3536,3600,3177,3600,3574,3600,3374,3306,3484,3600,3451,3600,3583,3600,3344,3031
2026-02-22T01:45:32.216,27.3,0.0,30.71,23.36,0.00,146.82,134.30,60,99,672,12.52,33,0,11,0.0,14.8,9.8,3215,3600,3590,3501,3600,3600,3600,3600,3600,3600,3568,3574,3600,3600,3600,3512
2026-02-22T01:45:33.557,26.9,0.0,29.94,22.68,0.00,146.94,134.37,60,99,672,12.57,33,0,11,0.0,0.0,9.8,3535,3600,3568,3600,3592,3558,3575,3588,3500,3600,3578,3600,3600,3566,3598,3587
2026-02-22T01:45:34.651,26.6,0.0,29.68,22.65,0.00,147.20,134.57,60,99,672,12.63,33,0,11,0.0,0.0,9.8,3600,3600,3600,3590,3586,3584,3441,3600,3600,3600,3599,3600,3573,3595,3526,3600
2026-02-22T01:45:35.929,27.9,0.0,30.19,23.14,0.00,147.25,134.66,61,99,672,12.59,33,0,11,0.0,0.0,9.8,3595,3600,3600,3600,3600,3575,3566,1791,3294,3569,3600,3600,3592,1427,3592,2828
2026-02-22T01:45:37.201,27.3,0.0,30.10,22.80,0.00,147.23,134.72,61,99,672,12.51,33,0,11,0.0,9.3,9.8,3593,3595,3600,3567,3574,3570,3559,3600,3593,3587,3600,3566,3567,3570,3556,3600
2026-02-22T01:45:38.283,28.0,0.0,30.38,23.33,0.00,147.42,134.86,62,99,672,12.56,33,0,11,0.0,0.0,9.8,3600,3370,3600,3600,3600,3600,3600,3600,3600,3310,3600,3462,3519,3600,3587,3600
2026-02-22T01:45:39.637,26.8,0.0,29.92,22.90,0.00,147.60,134.97,62,99,672,12.63,33,0,11,0.0,0.0,9.8,3555,3555,3600,3557,3600,3587,3600,3558,3321,3529,3600,3566,3600,3572,3600,3556
2026-02-22T01:45:40.692,27.9,0.0,30.89,23.84,0.00,147.76,135.12,62,99,672,12.64,33,0,11,0.0,0.0,9.8,3348,3589,3600,3562,2535,3600,3582,3585,3550,3193,3600,3584,3512,3600,3599,3582
2026-02-22T01:45:42.017,26.8,0.0,30.38,23.10,0.00,147.86,135.30,63,99,672,12.56,33,0,11,0.0,21.4,9.8,3513,3600,3600,3595,3470,3600,3579,3415,3600,3539,3600,3600,3590,3600,3600,3596
2026-02-22T01:45:43.349,27.0,0.0,29.92,22.90,0.00,147.85,135.41,63,99,672,12.44,33,0,11,0.0,0.0,9.7,3600,3505,3600,3528,3567,3485,3600,3582,3600,3471,3600,3476,3543,3535,3600,3575
2026-02-22T01:45:44.430,27.0,0.1,31.80,23.51,0.00,148.21,135.69,64,99,672,12.52,33,0,11,259.3,14.6,9.8,3591,3579,3600,3600,3594,3050,3139,3600,3600,1651,3600,3600,3584,3474,3591,3308
2026-02-22T01:45:45.713,26.5,0.0,31.91,22.97,0.00,148.30,135.82,64,99,672,12.48,33,0,11,75.9,0.0,9.8,3528,3600,3600,3600,3600,3600,3600,3562,3589,3570,3600,3600,3600,3308,3585,3478
2026-02-22T01:45:47.013,27.4,0.2,32.70,23.43,0.00,148.46,135.98,64,99,672,12.48,33,0,11,46.0,101.2,9.8,3583,3592,3600,3597,3600,3469,3600,3456,3575,3488,3600,3591,3600,3600,3600,3571
2026-02-22T01:45:48.301,27.3,0.0,33.13,23.31,0.00,148.40,135.87,65,99,672,12.53,33,0,11,475.2,0.0,9.8,3402,3589,3600,3600,3585,3600,3600,3584,3552,3600,3600,3600,3600,3572,2556,3600
2026-02-22T01:45:49.605,26.9,0.0,30.52,23.25,0.00,148.60,136.06,65,99,672,12.54,33,0,11,0.0,3.1,9.8,3600,3481,3600,3600,3600,3600,3473,3591,3492,3346,3600,3592,3600,3251,3483,3600
2026-02-22T01:45:50.909,27.4,0.0,32.07,23.25,0.00,148.77,136.23,65,99,672,12.54,33,0,11,9.2,0.0,9.8,3600,3562,3478,3600,3600,3600,3546,3514,3593,3600,3088,3600,3591,3600,3600,3600
2026-02-22T01:45:52.229,26.9,0.0,31.64,23.31,0.00,149.01,136.49,66,99,672,12.52,33,0,11,0.0,63.9,9.8,3459,3595,3600,3600,3600,3584,3461,3585,3600,2950,3544,3600,3588,3451,3565,3600
2026-02-22T01:45:53.513,27.9,0.0,30.86,23.10,0.00,149.16,136.65,66,99,672,12.51,33,0,11,0.0,158.9,9.8,3600,3497,3600,3273,3584,3579,3581,3600,3600,3577,3600,3571,3600,3564,3579,3569
2026-02-22T01:45:54.745,26.9,0.0,32.09,23.03,0.00,149.19,136.75,67,99,672,12.44,33,0,11,0.0,0.0,9.8,3588,3590,3600,3600,3571,3399,3486,3480,3574,3582,3600,3600,3600,3459,3469,3466
2026-02-22T01:45:55.819,27.4,0.0,30.80,23.75,0.00,149.22,136.73,67,99,672,12.49,33,0,11,0.0,0.0,9.8,3477,3600,3600,3594,3480,3476,3593,3600,2829,3600,3600,3600,3592,3344,3600,3600
