timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu0_power_w,gpu0_temp_c,gpu0_util_pct,gpu0_mem_used_mb,gpu1_power_w,gpu1_temp_c,gpu1_util_pct,gpu1_mem_used_mb,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-22T01:34:20.530,0.0,0.0,5.59,0.97,0.00,27.15,12.39,48,0,254,14.76,47,0,11,0.0,26.9,6.9,3388,3600,3600,3600,3600,3595,3600,3604,3527,3598,3600,3600,3600,3600,3604,3576
2026-02-22T01:34:21.797,0.2,0.0,4.24,0.43,0.00,27.22,12.34,47,0,254,14.88,47,0,11,0.0,0.0,6.9,3605,3600,3600,3600,3600,3600,3605,3600,3600,3600,3600,3595,3600,3600,3600,3605
2026-02-22T01:34:23.161,0.2,0.0,4.17,0.38,0.00,27.26,12.39,47,0,254,14.87,47,0,11,0.0,29.4,6.9,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605,3600,3589,3600,3605,3605
2026-02-22T01:34:24.521,0.1,0.0,3.81,0.51,0.00,27.08,12.35,47,0,254,14.73,47,0,11,0.0,0.0,6.9,3600,3600,3600,3589,3600,3600,3600,3600,3595,3600,3600,3600,3600,3595,3600,3595
2026-02-22T01:34:25.881,0.1,0.0,4.05,0.48,0.00,26.94,12.31,47,0,254,14.63,47,0,11,0.0,29.0,6.9,3600,3600,3600,3550,3600,3604,3600,3600,3600,3600,3600,3600,3604,3600,3595,3600
2026-02-22T01:34:27.237,0.2,0.0,4.20,0.59,0.00,26.73,12.38,47,0,254,14.35,47,0,11,0.0,0.0,6.9,3600,3600,3600,3599,3590,3600,3600,3600,3595,3600,3600,3600,3600,3600,3600,3600
2026-02-22T01:34:28.593,0.1,0.0,4.72,0.54,0.00,26.78,12.50,46,0,254,14.28,47,0,11,0.0,0.0,6.9,3595,3600,3600,3600,3595,3600,3605,3600,3600,3600,3600,3583,3600,3600,3595,3600
2026-02-22T01:34:29.953,0.1,0.0,4.06,0.44,0.00,26.70,12.36,46,0,254,14.34,46,0,11,0.0,0.0,6.9,3600,3600,3600,3597,3600,3600,3601,3600,3600,3600,3600,3600,3605,3600,3604,3600
2026-02-22T01:34:31.317,0.2,0.1,4.19,0.59,0.00,26.76,12.30,46,0,254,14.46,46,0,11,0.0,282.5,6.9,3600,3600,3600,3600,3605,3600,3600,3600,3600,3600,3600,3599,3588,3600,3600,3600
2026-02-22T01:34:32.673,0.1,0.0,4.42,0.55,0.00,26.62,12.18,46,0,254,14.44,46,0,11,0.0,0.0,6.9,3595,3600,3600,3586,3600,3600,3600,3596,3600,3600,3600,3600,3600,3596,3600,3595
2026-02-22T01:34:34.029,0.1,0.0,4.36,0.49,0.00,26.55,12.12,46,0,254,14.43,46,0,11,0.0,0.0,6.9,3600,3600,3600,3596,3600,3600,3595,3600,3600,3600,3600,3596,3595,3604,3596,3605
2026-02-22T01:34:35.385,0.1,0.0,3.80,0.50,0.00,26.42,12.18,46,0,254,14.24,46,0,11,0.0,0.0,6.9,3600,3600,3600,3595,3600,1376,3600,3596,3600,3600,3600,3593,3600,3600,3600,3600
2026-02-22T01:34:36.745,0.1,0.1,3.72,0.51,0.00,26.69,12.30,46,0,254,14.39,46,0,11,0.0,150.2,6.9,3600,3600,3600,3585,3600,3600,3600,3596,3596,3605,3600,3600,3600,3600,3600,3595
2026-02-22T01:34:38.109,0.1,0.0,3.72,0.53,0.00,26.66,12.27,46,0,254,14.39,46,0,11,0.0,0.0,6.9,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3593,3595,3596,3604,3600
2026-02-22T01:34:39.469,0.1,0.0,3.63,0.49,0.00,26.68,12.24,45,0,254,14.44,46,0,11,0.0,0.0,6.9,1325,3600,3600,3600,3599,3595,3596,3600,3600,3600,3600,3583,3595,3600,3600,3595
2026-02-22T01:34:40.825,0.1,0.1,4.04,0.56,0.00,26.54,12.06,45,0,254,14.48,45,0,11,0.0,17.7,6.9,3600,3600,3600,3600,3600,3605,3600,3600,3600,3595,3600,3596,3600,3596,3600,3600
2026-02-22T01:34:42.185,0.1,0.0,4.42,0.49,0.00,26.49,12.07,45,0,254,14.42,45,0,11,0.0,0.0,6.9,3600,3600,3600,3601,3600,3605,3600,3596,3595,3600,3600,3594,3596,3600,3600,3600
2026-02-22T01:34:43.541,0.1,0.0,3.67,0.52,0.00,26.52,12.20,45,0,254,14.32,45,0,11,0.0,0.0,6.9,3601,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605,3600,3596,3604,3600,3605
2026-02-22T01:34:44.905,0.2,0.0,3.81,0.53,0.00,26.68,12.22,45,0,254,14.46,45,0,11,0.0,0.0,6.9,2838,3600,3600,3600,3595,3600,3600,3600,3600,3605,3600,3600,3600,3600,3605,3600
2026-02-22T01:34:46.265,0.1,0.0,3.92,0.55,0.00,26.79,12.31,45,0,254,14.48,45,0,11,0.0,20.6,6.9,3589,3502,3595,3600,3600,3600,3600,3600,3600,3600,3595,3600,3600,3466,3600,3600
2026-02-22T01:34:47.621,0.1,0.0,3.76,0.59,0.00,26.79,12.36,45,0,254,14.43,45,0,11,0.0,0.0,6.9,3586,3600,3595,3600,3600,3600,3600,3600,3597,3600,3595,3604,3600,3600,3595,3600
2026-02-22T01:34:48.981,0.1,0.0,3.52,0.47,0.00,26.71,12.25,44,0,254,14.46,45,0,11,0.0,0.0,6.9,3533,3600,3600,3600,3595,3600,3600,3590,3605,3600,3600,3600,3596,3605,3600,3600
2026-02-22T01:34:50.341,0.1,0.0,3.45,0.49,0.00,26.48,12.07,44,0,254,14.41,45,0,11,0.0,0.0,6.9,2784,3600,3600,3600,3600,3600,3600,3598,3600,3600,3600,3596,3600,3600,3600,3600
2026-02-22T01:34:51.705,0.2,0.1,3.21,0.44,0.00,26.44,12.10,44,0,254,14.34,45,0,11,0.0,11.8,6.9,3600,3595,3600,3600,3596,3605,3600,3600,3600,3600,3600,3600,3600,3596,3600,3600
2026-02-22T01:34:53.069,0.1,0.0,2.90,0.34,0.00,26.50,12.04,44,0,254,14.46,45,0,11,0.0,29.4,6.9,3600,3600,3600,3600,3600,3605,3600,3600,3600,3600,3595,3595,3596,3600,3600,3589
2026-02-22T01:34:54.429,0.2,0.0,2.99,0.38,0.00,26.60,12.15,44,0,254,14.45,44,0,11,0.0,0.0,6.9,3600,3600,3600,3600,3600,3600,3600,3589,3600,3600,3600,3600,3600,3600,3600,3596
2026-02-22T01:34:55.789,0.1,0.1,3.01,0.39,0.00,26.58,12.19,44,0,254,14.39,44,0,11,0.0,17.6,6.9,3600,3600,3600,3600,3605,3600,3600,3588,3600,3600,3600,3600,3604,3600,3596,3604
2026-02-22T01:34:57.149,0.1,0.0,2.93,0.29,0.00,26.46,12.13,44,0,254,14.33,44,0,11,2.9,5.9,6.9,3600,3600,3600,3600,3601,3600,3600,3600,3596,3595,3600,3605,3600,3600,3600,3600
2026-02-22T01:34:58.509,0.1,0.0,3.04,0.33,0.00,26.62,12.30,43,0,254,14.32,44,0,11,0.0,0.0,6.9,3600,3600,3600,3595,3600,3600,3600,3600,3602,3605,3595,3600,3596,3600,3600,3600
2026-02-22T01:34:59.873,0.2,0.0,3.16,0.33,0.00,26.44,12.18,44,0,254,14.26,44,0,11,0.0,0.0,6.9,3591,3600,3600,3600,3601,3600,3600,3600,3596,3600,3605,3595,3600,3595,3596,3600
2026-02-22T01:35:01.233,0.1,0.1,3.51,0.41,0.00,26.46,12.33,43,0,254,14.13,44,0,11,0.0,43.8,6.9,3600,3594,3600,3605,3600,3600,3599,3600,3600,3600,3600,3604,3601,3600,3600,3600
2026-02-22T01:35:02.601,0.2,0.0,3.21,0.32,0.00,26.49,12.29,43,0,254,14.20,44,0,11,0.0,0.0,6.9,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605,3595,3600,3605,3600
2026-02-22T01:35:03.969,0.2,0.0,3.38,0.39,0.00,26.27,12.10,43,0,254,14.17,44,0,11,0.0,0.0,6.9,3600,3600,3600,3600,3600,3600,3605,3600,3600,3600,3600,3600,3600,3600,3600,3600
2026-02-22T01:35:05.337,0.2,0.0,3.46,0.39,0.00,26.19,11.94,43,0,254,14.25,44,0,11,0.0,0.0,6.9,3599,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,2581,3600,3600,3604
2026-02-22T01:35:06.709,0.2,0.1,3.40,0.43,0.00,26.17,11.96,43,0,254,14.21,44,0,11,0.0,11.7,6.9,3600,3600,3600,3595,3601,3600,3600,3600,3600,3600,3600,3595,3600,3595,3600,3600
2026-02-22T01:35:08.073,0.2,0.0,3.16,0.38,0.00,26.22,12.01,43,0,254,14.21,43,0,11,0.0,0.0,6.9,3593,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3604,3600,3600,3600
2026-02-22T01:35:09.433,0.1,0.0,3.31,0.38,0.00,26.30,12.04,43,0,254,14.26,43,0,11,0.0,0.0,6.9,3590,3600,3600,3595,3596,3600,3600,3596,3600,3600,3600,3600,3600,3600,3600,3596
2026-02-22T01:35:10.793,0.2,0.1,3.65,0.42,0.00,26.35,12.09,42,0,254,14.26,43,0,11,0.0,44.1,6.9,3600,3600,3600,3600,3600,3600,3589,3596,3595,3604,3600,3600,3600,3604,3600,3600
2026-02-22T01:35:12.153,0.1,0.0,3.42,0.43,0.00,26.37,12.12,42,0,254,14.25,43,0,11,0.0,0.0,6.9,3481,3600,3600,3600,3605,3601,3600,3600,3600,3600,3595,3600,3600,3596,3605,3599
2026-02-22T01:35:13.521,0.2,0.0,3.74,0.45,0.00,26.27,12.18,42,0,254,14.09,43,0,11,0.0,0.0,6.9,3600,3600,3600,3600,3601,3600,3600,3600,3600,3600,3600,3605,3600,3600,3600,3604
2026-02-22T01:35:14.885,0.1,0.0,4.45,0.41,0.00,26.36,12.20,42,0,254,14.16,43,0,11,0.0,0.0,6.9,2901,3600,3600,3600,3599,3595,3600,3593,3600,3600,3600,3600,3600,3595,3600,3600
