timestamp,node_id,power1_w,power2_w,power3_w,current1_a,current2_a,current3_a,current4_a,voltage_v,pf1,pf2
2026-03-22T17:20:34.181,11,54.12,0.00,0.00,0.337,0.002,0.002,0.002,241.36,0.26,0.25
2026-03-22T17:20:37.385,11,51.10,0.00,0.00,0.325,0.002,0.002,0.002,241.90,0.25,0.26
2026-03-22T17:20:40.588,11,53.35,0.00,0.00,0.335,0.002,0.002,0.002,241.74,0.26,0.25
2026-03-22T17:20:43.792,11,53.88,0.00,0.00,0.335,0.002,0.002,0.003,242.18,0.25,0.26
2026-03-22T17:20:46.996,11,50.38,0.00,0.00,0.322,0.002,0.002,0.002,241.00,0.25,0.24
2026-03-22T17:20:50.199,11,53.22,0.00,0.00,0.333,0.002,0.003,0.003,240.95,0.25,0.26
2026-03-22T17:20:53.403,11,51.25,0.00,0.00,0.325,0.002,0.002,0.002,240.93,0.26,0.25
2026-03-22T17:20:56.608,11,50.91,0.00,0.00,0.324,0.002,0.002,0.003,240.67,0.26,0.26
2026-03-22T17:20:59.812,11,55.55,0.00,0.00,0.342,0.002,0.002,0.002,241.02,0.25,0.25
2026-03-22T17:21:03.015,11,53.06,0.00,0.00,0.332,0.002,0.002,0.002,240.74,0.25,0.25
2026-03-22T17:21:06.219,11,53.21,0.00,0.00,0.333,0.002,0.002,0.002,240.89,0.27,0.26
2026-03-22T17:21:09.423,11,53.58,0.00,0.00,0.335,0.003,0.002,0.002,240.89,0.26,0.25
2026-03-22T17:21:12.627,11,52.25,0.00,0.00,0.329,0.002,0.002,0.002,241.23,0.27,0.26
2026-03-22T17:21:15.830,11,53.28,0.00,0.00,0.333,0.002,0.002,0.002,240.96,0.26,0.25
2026-03-22T17:21:19.035,11,56.37,0.00,0.00,0.345,0.002,0.002,0.002,240.62,0.26,0.25
2026-03-22T17:21:22.239,11,51.40,0.00,0.00,0.326,0.002,0.002,0.003,241.03,0.26,0.25
2026-03-22T17:21:25.442,11,50.82,0.00,0.00,0.324,0.002,0.002,0.002,241.05,0.26,0.25
2026-03-22T17:21:28.646,11,55.17,0.00,0.00,0.341,0.002,0.002,0.003,241.93,0.24,0.25
2026-03-22T17:21:31.850,11,51.37,0.00,0.00,0.326,0.002,0.002,0.003,241.74,0.25,0.25
2026-03-22T17:21:35.053,11,52.94,0.00,0.00,0.332,0.002,0.003,0.003,241.30,0.25,0.26
2026-03-22T17:21:38.257,11,53.28,0.00,0.00,0.334,0.002,0.002,0.002,241.23,0.25,0.26
2026-03-22T17:21:41.461,11,51.34,0.00,0.00,0.326,0.002,0.002,0.002,241.09,0.25,0.26
2026-03-22T17:21:44.665,11,51.67,0.00,0.00,0.327,0.002,0.002,0.002,241.25,0.26,0.26
2026-03-22T17:21:47.869,11,50.83,0.00,0.00,0.324,0.002,0.002,0.002,241.04,0.26,0.26
