timestamp,node_id,power1_w,power2_w,power3_w,current1_a,current2_a,current3_a,current4_a,voltage_v,pf1,pf2
2026-02-16T00:51:18.344,11,47.80,0.00,0.00,0.321,0.002,0.002,0.002,244.49,0.25,0.26
2026-02-16T00:51:21.547,11,48.68,0.00,0.00,0.327,0.002,0.002,0.002,244.54,0.25,0.25
2026-02-16T00:51:24.751,11,57.07,0.00,0.00,0.361,0.001,0.002,0.002,244.34,0.25,0.26
2026-02-16T00:51:27.955,11,46.08,0.00,0.00,0.315,0.002,0.002,0.002,244.20,0.26,0.25
2026-02-16T00:51:31.158,11,45.57,0.00,0.00,0.314,0.002,0.002,0.002,244.31,0.25,0.26
2026-02-16T00:51:34.363,11,48.46,0.00,0.00,0.325,0.002,0.002,0.002,244.35,0.26,0.26
2026-02-16T00:51:37.566,11,46.00,0.00,0.00,0.316,0.002,0.002,0.002,244.58,0.26,0.26
2026-02-16T00:51:40.770,11,45.98,0.00,0.00,0.316,0.002,0.002,0.002,244.21,0.26,0.26
2026-02-16T00:51:43.974,11,46.73,0.00,0.00,0.318,0.002,0.002,0.002,244.11,0.24,0.25
2026-02-16T00:51:47.178,11,46.31,0.00,0.00,0.316,0.002,0.002,0.002,244.19,0.25,0.25
2026-02-16T00:51:50.382,11,46.69,0.00,0.00,0.316,0.002,0.002,0.002,244.48,0.24,0.25
2026-02-16T00:51:53.585,11,46.16,0.00,0.00,0.317,0.002,0.002,0.002,244.31,0.23,0.25
2026-02-16T00:51:56.789,11,45.85,0.00,0.00,0.316,0.002,0.002,0.002,244.29,0.24,0.25
2026-02-16T00:51:59.994,11,46.18,0.00,0.00,0.316,0.002,0.002,0.002,244.56,0.25,0.26
2026-02-16T00:52:03.197,11,46.20,0.00,0.00,0.315,0.002,0.002,0.002,244.47,0.25,0.25
2026-02-16T00:52:06.401,11,46.32,0.00,0.00,0.317,0.002,0.002,0.002,244.42,0.25,0.25
2026-02-16T00:52:09.605,11,45.88,0.00,0.00,0.315,0.002,0.002,0.002,244.41,0.25,0.25
2026-02-16T00:52:12.809,11,46.44,0.00,0.00,0.317,0.002,0.002,0.002,244.35,0.24,0.25
2026-02-16T00:52:16.012,11,46.27,0.00,0.00,0.316,0.002,0.002,0.002,244.38,0.24,0.25
2026-02-16T00:52:19.216,11,46.84,0.00,0.00,0.318,0.002,0.002,0.003,244.56,0.25,0.25
2026-02-16T00:52:22.420,11,46.87,0.00,0.00,0.319,0.002,0.002,0.002,244.41,0.26,0.25
2026-02-16T00:52:25.624,11,47.79,0.00,0.00,0.322,0.002,0.002,0.002,244.54,0.26,0.25
2026-02-16T00:52:28.829,11,46.88,0.00,0.00,0.319,0.002,0.002,0.002,244.38,0.27,0.25
2026-02-16T00:52:32.032,11,47.88,0.00,0.00,0.323,0.002,0.002,0.002,244.35,0.25,0.26
2026-02-16T00:52:35.236,11,45.87,0.00,0.00,0.315,0.002,0.002,0.002,244.47,0.27,0.25
2026-02-16T00:52:38.440,11,45.99,0.00,0.00,0.316,0.002,0.002,0.002,244.67,0.26,0.25
2026-02-16T00:52:41.643,11,49.94,0.00,0.00,0.332,0.002,0.002,0.002,244.31,0.25,0.25
2026-02-16T00:52:44.847,11,46.53,0.00,0.00,0.317,0.002,0.002,0.002,244.42,0.25,0.24
2026-02-16T00:52:48.052,11,46.04,0.00,0.00,0.315,0.002,0.002,0.002,244.61,0.27,0.25
2026-02-16T00:52:51.255,11,48.14,0.00,0.00,0.325,0.002,0.002,0.002,244.22,0.26,0.24
2026-02-16T00:52:54.459,11,46.60,0.00,0.00,0.317,0.002,0.002,0.002,244.44,0.25,0.25
2026-02-16T00:52:57.663,11,46.39,0.00,0.00,0.319,0.002,0.002,0.002,244.34,0.25,0.26
2026-02-16T00:53:00.867,11,48.80,0.00,0.00,0.327,0.002,0.002,0.002,244.44,0.25,0.25
2026-02-16T00:53:04.070,11,70.05,0.00,0.00,0.412,0.002,0.002,0.002,244.40,0.24,0.26
2026-02-16T00:53:07.275,11,53.34,0.00,0.00,0.346,0.002,0.002,0.002,244.36,0.26,0.26
2026-02-16T00:53:10.479,11,51.01,0.00,0.00,0.335,0.002,0.002,0.002,244.02,0.26,0.26
2026-02-16T00:53:13.682,11,43.36,0.00,0.00,0.306,0.002,0.003,0.002,244.25,0.27,0.26
2026-02-16T00:53:16.886,11,43.00,0.00,0.00,0.303,0.002,0.002,0.002,244.69,0.27,0.25
2026-02-16T00:53:20.090,11,46.58,0.00,0.00,0.322,0.002,0.002,0.002,244.23,0.26,0.26
2026-02-16T00:53:23.294,11,45.13,0.00,0.00,0.311,0.002,0.002,0.002,244.49,0.26,0.26
2026-02-16T00:53:26.497,11,42.67,0.00,0.00,0.305,0.002,0.002,0.002,244.36,0.28,0.25
2026-02-16T00:53:29.702,11,43.71,0.00,0.00,0.308,0.002,0.002,0.002,244.52,0.26,0.25
2026-02-16T00:53:32.906,11,43.08,0.00,0.00,0.305,0.002,0.002,0.002,244.45,0.26,0.24
2026-02-16T00:53:36.110,11,42.96,0.00,0.00,0.303,0.002,0.002,0.002,244.83,0.26,0.26
2026-02-16T00:53:39.313,11,43.57,0.00,0.00,0.307,0.002,0.002,0.002,244.45,0.25,0.26
2026-02-16T00:53:42.517,11,44.97,0.00,0.00,0.313,0.002,0.002,0.002,244.70,0.26,0.25
2026-02-16T00:53:45.721,11,43.92,0.00,0.00,0.306,0.002,0.002,0.002,244.63,0.25,0.25
2026-02-16T00:53:48.924,11,42.80,0.00,0.00,0.304,0.002,0.002,0.002,244.60,0.25,0.26
2026-02-16T00:53:52.129,11,45.69,0.00,0.00,0.314,0.002,0.002,0.002,244.66,0.26,0.26
2026-02-16T00:53:55.333,11,42.31,0.00,0.00,0.302,0.002,0.002,0.002,244.59,0.24,0.25
2026-02-16T00:53:58.536,11,42.47,0.00,0.00,0.302,0.002,0.002,0.002,244.83,0.26,0.26
2026-02-16T00:54:01.740,11,45.32,0.00,0.00,0.312,0.002,0.002,0.002,244.45,0.26,0.25
2026-02-16T00:54:04.944,11,42.54,0.00,0.00,0.302,0.002,0.002,0.002,244.33,0.25,0.25
2026-02-16T00:54:08.148,11,43.38,0.00,0.00,0.306,0.002,0.002,0.002,244.46,0.25,0.25
2026-02-16T00:54:11.351,11,45.13,0.00,0.00,0.315,0.002,0.002,0.002,244.43,0.24,0.26
2026-02-16T00:54:14.556,11,44.86,0.00,0.00,0.311,0.002,0.002,0.002,244.36,0.25,0.28
2026-02-16T00:54:17.759,11,44.40,0.00,0.00,0.309,0.002,0.002,0.002,244.42,0.26,0.26
2026-02-16T00:54:20.963,11,45.77,0.00,0.00,0.316,0.002,0.002,0.002,244.50,0.25,0.25
2026-02-16T00:54:24.167,11,42.62,0.00,0.00,0.303,0.002,0.002,0.002,244.65,0.25,0.26
2026-02-16T00:54:27.371,11,43.11,0.00,0.00,0.303,0.002,0.002,0.002,244.34,0.25,0.26
2026-02-16T00:54:30.575,11,43.26,0.00,0.00,0.304,0.002,0.002,0.002,244.35,0.27,0.26
2026-02-16T00:54:33.778,11,45.63,0.00,0.00,0.315,0.002,0.002,0.002,244.52,0.24,0.26
2026-02-16T00:54:36.982,11,43.06,0.00,0.00,0.304,0.002,0.002,0.002,244.29,0.26,0.24
2026-02-16T00:54:40.187,11,43.09,0.00,0.00,0.305,0.002,0.002,0.002,244.68,0.28,0.25
2026-02-16T00:54:43.390,11,45.87,0.00,0.00,0.314,0.002,0.002,0.002,244.54,0.26,0.26
2026-02-16T00:54:46.594,11,42.54,0.00,0.00,0.304,0.002,0.002,0.002,244.46,0.26,0.25
2026-02-16T00:54:49.798,11,44.70,0.00,0.00,0.309,0.002,0.002,0.002,244.43,0.25,0.25
2026-02-16T00:54:53.002,11,46.08,0.00,0.00,0.316,0.002,0.002,0.002,244.62,0.26,0.26
2026-02-16T00:54:56.206,11,43.61,0.00,0.00,0.305,0.002,0.002,0.002,244.67,0.27,0.25
2026-02-16T00:54:59.409,11,42.52,0.00,0.00,0.304,0.002,0.002,0.002,244.35,0.26,0.26
2026-02-16T00:55:02.614,11,63.61,0.00,0.00,0.385,0.002,0.002,0.002,244.31,0.26,0.27
2026-02-16T00:55:05.817,11,46.93,0.00,0.00,0.319,0.002,0.002,0.002,244.64,0.26,0.25
2026-02-16T00:55:09.021,11,46.04,0.00,0.00,0.315,0.002,0.002,0.002,244.47,0.26,0.26
2026-02-16T00:55:12.225,11,48.20,0.00,0.00,0.325,0.002,0.002,0.002,244.24,0.26,0.26
2026-02-16T00:55:15.429,11,48.03,0.00,0.00,0.324,0.002,0.002,0.002,244.41,0.29,0.25
2026-02-16T00:55:18.632,11,45.82,0.00,0.00,0.314,0.002,0.003,0.002,244.74,0.26,0.25
2026-02-16T00:55:21.836,11,49.43,0.00,0.00,0.329,0.002,0.002,0.002,244.38,0.27,0.26
2026-02-16T00:55:25.041,11,46.05,0.00,0.00,0.315,0.001,0.002,0.002,244.25,0.27,0.26
2026-02-16T00:55:28.244,11,47.96,0.00,0.00,0.321,0.002,0.003,0.002,244.45,0.26,0.26
2026-02-16T00:55:31.449,11,47.25,0.00,0.00,0.319,0.002,0.002,0.002,244.42,0.27,0.26
2026-02-16T00:55:34.652,11,44.68,0.00,0.00,0.312,0.002,0.002,0.002,244.59,0.26,0.26
2026-02-16T00:55:37.856,11,43.10,0.00,0.00,0.304,0.002,0.002,0.002,244.71,0.27,0.27
2026-02-16T00:55:41.060,11,43.55,0.00,0.00,0.306,0.002,0.002,0.002,244.53,0.26,0.26
2026-02-16T00:55:44.263,11,46.74,0.00,0.00,0.319,0.002,0.002,0.002,244.59,0.26,0.25
2026-02-16T00:55:47.467,11,45.61,0.00,0.00,0.314,0.002,0.002,0.002,244.28,0.26,0.27
2026-02-16T00:55:50.672,11,42.33,0.00,0.00,0.302,0.002,0.002,0.002,244.41,0.28,0.27
2026-02-16T00:55:53.875,11,44.65,0.00,0.00,0.310,0.002,0.002,0.002,244.53,0.27,0.25
2026-02-16T00:55:57.079,11,42.97,0.00,0.00,0.304,0.002,0.002,0.002,244.30,0.27,0.26
2026-02-16T00:56:00.283,11,42.96,0.00,0.00,0.303,0.002,0.002,0.002,244.56,0.25,0.25
2026-02-16T00:56:03.487,11,45.32,0.00,0.00,0.313,0.002,0.002,0.002,244.25,0.28,0.26
2026-02-16T00:56:06.690,11,42.88,0.00,0.00,0.303,0.002,0.002,0.002,244.36,0.26,0.25
2026-02-16T00:56:09.895,11,47.65,0.00,0.00,0.322,0.001,0.002,0.002,244.51,0.25,0.25
2026-02-16T00:56:13.098,11,50.12,0.00,0.00,0.333,0.002,0.002,0.002,244.50,0.27,0.25
2026-02-16T00:56:16.302,11,49.45,0.00,0.00,0.329,0.002,0.002,0.002,244.47,0.27,0.26
2026-02-16T00:56:19.506,11,45.45,0.00,0.00,0.313,0.002,0.002,0.002,244.52,0.26,0.25
2026-02-16T00:56:22.710,11,45.84,0.00,0.00,0.314,0.002,0.002,0.002,244.24,0.27,0.26
2026-02-16T00:56:25.914,11,47.05,0.00,0.00,0.320,0.002,0.002,0.002,244.30,0.27,0.26
2026-02-16T00:56:29.118,11,45.50,0.00,0.00,0.313,0.002,0.002,0.002,244.78,0.28,0.26
2026-02-16T00:56:32.322,11,45.99,0.00,0.00,0.316,0.002,0.002,0.002,244.48,0.27,0.24
2026-02-16T00:56:35.525,11,48.24,0.00,0.00,0.325,0.002,0.002,0.002,244.63,0.26,0.26
2026-02-16T00:56:38.730,11,55.61,0.00,0.00,0.355,0.002,0.002,0.002,244.44,0.26,0.26
2026-02-16T00:56:41.933,11,43.45,0.00,0.00,0.306,0.002,0.002,0.002,244.60,0.26,0.27
2026-02-16T00:56:45.137,11,48.15,0.00,0.00,0.324,0.002,0.002,0.002,244.68,0.26,0.24
2026-02-16T00:56:48.341,11,43.39,0.00,0.00,0.306,0.002,0.002,0.002,244.55,0.26,0.26
2026-02-16T00:56:51.545,11,43.34,0.00,0.00,0.305,0.002,0.002,0.002,244.51,0.25,0.26
2026-02-16T00:56:54.749,11,45.85,0.00,0.00,0.316,0.002,0.002,0.002,244.56,0.26,0.25
2026-02-16T00:56:57.953,11,43.29,0.00,0.00,0.305,0.002,0.002,0.002,244.77,0.26,0.26
2026-02-16T00:57:01.156,11,43.61,0.00,0.00,0.306,0.002,0.002,0.002,244.93,0.25,0.26
2026-02-16T00:57:04.360,11,43.74,0.00,0.00,0.306,0.002,0.002,0.002,244.56,0.25,0.27
2026-02-16T00:57:07.564,11,42.85,0.00,0.00,0.303,0.002,0.002,0.002,244.35,0.26,0.26
2026-02-16T00:57:10.768,11,42.59,0.00,0.00,0.304,0.002,0.002,0.002,244.38,0.27,0.27
2026-02-16T00:57:13.971,11,43.99,0.00,0.00,0.308,0.002,0.002,0.002,244.59,0.24,0.25
2026-02-16T00:57:17.175,11,45.86,0.00,0.00,0.315,0.002,0.002,0.002,244.30,0.27,0.27
2026-02-16T00:57:20.380,11,43.38,0.00,0.00,0.306,0.002,0.002,0.002,244.45,0.26,0.26
2026-02-16T00:57:23.583,11,42.89,0.00,0.00,0.305,0.002,0.002,0.002,244.48,0.25,0.26
2026-02-16T00:57:26.787,11,44.95,0.00,0.00,0.311,0.002,0.002,0.002,244.43,0.26,0.26
2026-02-16T00:57:29.991,11,43.26,0.00,0.00,0.305,0.002,0.002,0.002,244.50,0.25,0.25
2026-02-16T00:57:33.195,11,47.64,0.00,0.00,0.323,0.002,0.002,0.002,244.34,0.26,0.25
2026-02-16T00:57:36.398,11,46.04,0.00,0.00,0.316,0.002,0.002,0.002,244.18,0.26,0.25
2026-02-16T00:57:39.603,11,45.41,0.00,0.00,0.314,0.002,0.002,0.002,244.75,0.25,0.26
2026-02-16T00:57:42.806,11,46.57,0.00,0.00,0.316,0.002,0.002,0.002,244.59,0.26,0.27
2026-02-16T00:57:46.010,11,45.81,0.00,0.00,0.316,0.002,0.002,0.002,244.56,0.25,0.25
2026-02-16T00:57:49.214,11,45.84,0.00,0.00,0.314,0.002,0.002,0.002,244.61,0.26,0.26
