timestamp,node_id,power1_w,power2_w,power3_w,current1_a,current2_a,current3_a,current4_a,voltage_v,pf1,pf2
2026-02-16T01:23:04.637,11,35.82,0.00,0.00,0.277,0.002,0.002,0.002,245.67,0.28,0.25
2026-02-16T01:23:07.841,11,33.25,0.00,0.00,0.270,0.002,0.002,0.002,245.34,0.28,0.25
2026-02-16T01:23:11.045,11,33.46,0.00,0.00,0.270,0.002,0.002,0.002,245.34,0.27,0.25
2026-02-16T01:23:14.249,11,44.60,0.00,0.00,0.310,0.002,0.002,0.002,245.45,0.28,0.25
2026-02-16T01:23:17.453,11,33.28,0.00,0.00,0.269,0.002,0.002,0.002,245.33,0.26,0.25
2026-02-16T01:23:20.657,11,35.08,0.00,0.00,0.277,0.002,0.002,0.002,245.56,0.27,0.25
2026-02-16T01:23:23.861,11,36.29,0.00,0.00,0.280,0.002,0.002,0.002,245.38,0.27,0.27
2026-02-16T01:23:27.065,11,32.83,0.00,0.00,0.267,0.002,0.002,0.002,245.43,0.27,0.25
2026-02-16T01:23:30.268,11,32.63,0.00,0.00,0.268,0.002,0.002,0.002,245.49,0.28,0.25
2026-02-16T01:23:33.473,11,34.96,0.00,0.00,0.276,0.002,0.002,0.002,245.44,0.28,0.25
2026-02-16T01:23:36.676,11,35.99,0.00,0.00,0.280,0.002,0.002,0.002,245.62,0.28,0.25
2026-02-16T01:23:39.880,11,33.15,0.00,0.00,0.270,0.002,0.002,0.002,245.50,0.26,0.26
2026-02-16T01:23:43.084,11,33.25,0.00,0.00,0.270,0.002,0.002,0.002,245.49,0.28,0.26
2026-02-16T01:23:46.287,11,32.65,0.00,0.00,0.268,0.002,0.002,0.002,245.55,0.26,0.25
2026-02-16T01:23:49.491,11,34.02,0.00,0.00,0.271,0.002,0.002,0.002,245.39,0.29,0.26
2026-02-16T01:23:52.695,11,33.78,0.00,0.00,0.272,0.002,0.002,0.002,245.38,0.27,0.26
2026-02-16T01:23:55.899,11,34.68,0.00,0.00,0.275,0.002,0.002,0.002,245.53,0.28,0.26
2026-02-16T01:23:59.103,11,32.79,0.00,0.00,0.269,0.002,0.002,0.002,245.37,0.29,0.25
2026-02-16T01:24:02.307,11,33.24,0.00,0.00,0.270,0.002,0.002,0.002,245.48,0.28,0.26
2026-02-16T01:24:05.511,11,34.05,0.00,0.00,0.270,0.002,0.002,0.002,245.75,0.27,0.26
2026-02-16T01:24:08.714,11,33.16,0.00,0.00,0.269,0.002,0.002,0.002,245.51,0.28,0.26
2026-02-16T01:24:11.918,11,33.63,0.00,0.00,0.270,0.002,0.002,0.002,245.61,0.27,0.26
2026-02-16T01:24:15.122,11,32.75,0.00,0.00,0.268,0.002,0.002,0.002,245.43,0.27,0.25
2026-02-16T01:24:18.327,11,33.62,0.00,0.00,0.271,0.002,0.002,0.002,245.42,0.28,0.26
2026-02-16T01:24:21.530,11,34.85,0.00,0.00,0.276,0.002,0.002,0.002,245.38,0.27,0.26
2026-02-16T01:24:24.734,11,33.22,0.00,0.00,0.271,0.002,0.002,0.002,245.52,0.27,0.27
2026-02-16T01:24:27.938,11,33.98,0.00,0.00,0.272,0.002,0.002,0.002,245.40,0.28,0.27
2026-02-16T01:24:31.141,11,33.61,0.00,0.00,0.269,0.002,0.002,0.002,245.70,0.27,0.26
2026-02-16T01:24:34.345,11,34.39,0.00,0.00,0.273,0.002,0.002,0.002,245.41,0.28,0.26
2026-02-16T01:24:37.549,11,35.78,0.00,0.00,0.278,0.002,0.002,0.002,245.59,0.27,0.26
2026-02-16T01:24:40.753,11,33.54,0.00,0.00,0.270,0.002,0.002,0.002,245.67,0.28,0.26
2026-02-16T01:24:43.957,11,33.03,0.00,0.00,0.269,0.002,0.002,0.002,245.39,0.27,0.26
2026-02-16T01:24:47.161,11,36.10,0.00,0.00,0.280,0.002,0.002,0.002,245.60,0.26,0.26
2026-02-16T01:24:50.365,11,35.18,0.00,0.00,0.276,0.002,0.002,0.002,245.62,0.28,0.25
2026-02-16T01:24:53.569,11,34.08,0.00,0.00,0.272,0.002,0.002,0.002,245.50,0.27,0.26
2026-02-16T01:24:56.772,11,34.17,0.00,0.00,0.272,0.002,0.002,0.002,245.90,0.26,0.27
2026-02-16T01:24:59.976,11,33.17,0.00,0.00,0.270,0.002,0.002,0.002,245.33,0.26,0.27
2026-02-16T01:25:03.180,11,36.78,0.00,0.00,0.281,0.002,0.002,0.002,245.54,0.25,0.26
2026-02-16T01:25:06.384,11,33.17,0.00,0.00,0.270,0.002,0.002,0.002,245.45,0.28,0.25
2026-02-16T01:25:09.588,11,33.69,0.00,0.00,0.271,0.002,0.002,0.002,245.47,0.27,0.26
2026-02-16T01:25:12.792,11,34.23,0.00,0.00,0.273,0.002,0.002,0.002,245.51,0.26,0.26
2026-02-16T01:25:15.996,11,33.75,0.00,0.00,0.272,0.002,0.002,0.002,245.53,0.27,0.25
2026-02-16T01:25:19.199,11,33.40,0.00,0.00,0.270,0.002,0.002,0.002,245.33,0.28,0.26
2026-02-16T01:25:22.404,11,35.87,0.00,0.00,0.279,0.002,0.002,0.002,245.57,0.27,0.26
2026-02-16T01:25:25.608,11,33.01,0.00,0.00,0.270,0.002,0.002,0.002,245.63,0.27,0.25
2026-02-16T01:25:28.811,11,33.95,0.00,0.00,0.273,0.002,0.002,0.002,245.61,0.26,0.26
2026-02-16T01:25:32.015,11,33.22,0.00,0.00,0.271,0.002,0.002,0.002,245.50,0.27,0.25
2026-02-16T01:25:35.219,11,33.03,0.00,0.00,0.270,0.002,0.002,0.002,245.65,0.27,0.27
2026-02-16T01:25:38.423,11,35.50,0.00,0.00,0.279,0.002,0.002,0.002,245.63,0.28,0.25
2026-02-16T01:25:41.626,11,33.47,0.00,0.00,0.269,0.002,0.002,0.002,245.56,0.26,0.25
2026-02-16T01:25:44.830,11,33.42,0.00,0.00,0.270,0.002,0.002,0.002,245.61,0.26,0.26
2026-02-16T01:25:48.035,11,33.88,0.00,0.00,0.272,0.002,0.002,0.002,245.64,0.27,0.24
2026-02-16T01:25:51.239,11,34.30,0.00,0.00,0.274,0.002,0.002,0.002,245.70,0.26,0.26
2026-02-16T01:25:54.442,11,43.06,0.00,0.00,0.304,0.002,0.002,0.002,245.53,0.27,0.25
2026-02-16T01:25:57.646,11,37.98,0.00,0.00,0.286,0.002,0.002,0.002,245.81,0.27,0.26
2026-02-16T01:26:00.850,11,33.63,0.00,0.00,0.271,0.002,0.002,0.002,245.65,0.25,0.24
2026-02-16T01:26:04.054,11,33.27,0.00,0.00,0.271,0.002,0.002,0.002,245.57,0.25,0.26
2026-02-16T01:26:07.258,11,29.79,0.00,0.00,0.260,0.002,0.002,0.002,245.28,0.26,0.27
2026-02-16T01:26:10.461,11,29.60,0.00,0.00,0.258,0.002,0.002,0.002,245.59,0.26,0.26
2026-02-16T01:26:13.666,11,33.39,0.00,0.00,0.269,0.002,0.002,0.002,245.45,0.26,0.27
2026-02-16T01:26:16.869,11,30.37,0.00,0.00,0.261,0.002,0.002,0.002,245.28,0.25,0.24
2026-02-16T01:26:20.073,11,30.84,0.00,0.00,0.261,0.002,0.002,0.002,245.49,0.25,0.25
2026-02-16T01:26:23.277,11,32.00,0.00,0.00,0.266,0.002,0.002,0.002,245.46,0.25,0.25
2026-02-16T01:26:26.480,11,29.36,0.00,0.00,0.255,0.002,0.002,0.002,245.42,0.27,0.25
2026-02-16T01:26:29.684,11,30.16,0.00,0.00,0.259,0.002,0.002,0.002,245.45,0.26,0.26
2026-02-16T01:26:32.888,11,30.84,0.00,0.00,0.262,0.002,0.002,0.002,245.20,0.27,0.25
2026-02-16T01:26:36.092,11,29.81,0.00,0.00,0.259,0.002,0.002,0.002,245.59,0.26,0.26
2026-02-16T01:26:39.297,11,31.39,0.00,0.00,0.264,0.002,0.002,0.002,245.41,0.27,0.26
2026-02-16T01:26:42.500,11,30.17,0.00,0.00,0.260,0.002,0.002,0.002,245.46,0.26,0.26
2026-02-16T01:26:45.704,11,30.00,0.00,0.00,0.259,0.002,0.002,0.002,245.52,0.27,0.26
2026-02-16T01:26:48.908,11,31.71,0.00,0.00,0.265,0.002,0.002,0.002,245.49,0.26,0.26
2026-02-16T01:26:52.111,11,30.07,0.00,0.00,0.258,0.002,0.002,0.002,245.61,0.27,0.25
2026-02-16T01:26:55.315,11,29.55,0.00,0.00,0.257,0.002,0.002,0.002,245.23,0.27,0.26
2026-02-16T01:26:58.519,11,31.31,0.00,0.00,0.264,0.002,0.002,0.002,245.23,0.26,0.26
2026-02-16T01:27:01.724,11,32.55,0.00,0.00,0.268,0.002,0.002,0.002,245.54,0.26,0.26
2026-02-16T01:27:04.927,11,30.35,0.00,0.00,0.261,0.002,0.002,0.002,245.37,0.25,0.26
2026-02-16T01:27:08.131,11,32.95,0.00,0.00,0.270,0.002,0.002,0.002,245.46,0.26,0.26
2026-02-16T01:27:11.335,11,29.90,0.00,0.00,0.258,0.002,0.002,0.002,245.44,0.27,0.26
2026-02-16T01:27:14.538,11,30.10,0.00,0.00,0.259,0.002,0.002,0.002,245.37,0.26,0.26
2026-02-16T01:27:17.742,11,31.01,0.00,0.00,0.262,0.002,0.002,0.002,245.62,0.26,0.26
2026-02-16T01:27:20.946,11,29.55,0.00,0.00,0.258,0.002,0.002,0.002,245.64,0.26,0.25
2026-02-16T01:27:24.150,11,31.66,0.00,0.00,0.265,0.002,0.002,0.002,245.59,0.26,0.26
2026-02-16T01:27:27.354,11,29.42,0.00,0.00,0.257,0.002,0.002,0.002,245.71,0.27,0.26
2026-02-16T01:27:30.558,11,30.28,0.00,0.00,0.260,0.002,0.002,0.002,245.49,0.27,0.25
2026-02-16T01:27:33.762,11,33.70,0.00,0.00,0.272,0.002,0.002,0.002,245.52,0.26,0.25
