timestamp,node_id,power1_w,power2_w,power3_w,current1_a,current2_a,current3_a,current4_a,voltage_v,pf1,pf2
2026-02-16T02:29:33.443,11,32.42,0.00,0.00,0.267,0.002,0.002,0.002,245.87,0.27,0.30
2026-02-16T02:29:36.647,11,30.50,0.00,0.00,0.260,0.002,0.002,0.002,246.00,0.27,0.31
2026-02-16T02:29:39.851,11,31.56,0.00,0.00,0.264,0.002,0.002,0.002,245.88,0.26,0.32
2026-02-16T02:29:43.056,11,30.16,0.00,0.00,0.260,0.002,0.002,0.001,246.02,0.26,0.32
2026-02-16T02:29:46.259,11,31.78,0.00,0.00,0.265,0.002,0.002,0.002,246.56,0.24,0.32
2026-02-16T02:29:49.463,11,31.61,0.00,0.00,0.264,0.002,0.002,0.002,246.08,0.26,0.30
2026-02-16T02:29:52.667,11,32.09,0.00,0.00,0.265,0.002,0.002,0.002,245.94,0.24,0.31
2026-02-16T02:29:55.871,11,29.99,0.00,0.00,0.260,0.002,0.002,0.002,246.21,0.27,0.31
2026-02-16T02:29:59.075,11,29.40,0.00,0.00,0.257,0.002,0.002,0.002,246.15,0.27,0.31
2026-02-16T02:30:02.278,11,29.16,0.00,0.00,0.256,0.001,0.002,0.002,246.19,0.25,0.31
2026-02-16T02:30:05.483,11,29.88,0.00,0.00,0.258,0.002,0.002,0.002,246.56,0.26,0.32
2026-02-16T02:30:08.686,11,29.83,0.00,0.00,0.259,0.002,0.002,0.002,246.08,0.25,0.32
2026-02-16T02:30:11.890,11,29.61,0.00,0.00,0.259,0.002,0.002,0.002,246.15,0.25,0.31
2026-02-16T02:30:15.094,11,29.55,0.00,0.00,0.258,0.002,0.002,0.002,245.98,0.26,0.32
2026-02-16T02:30:18.298,11,29.88,0.00,0.00,0.258,0.002,0.002,0.002,246.21,0.27,0.31
2026-02-16T02:30:21.501,11,29.65,0.00,0.00,0.257,0.002,0.002,0.002,246.29,0.26,0.31
2026-02-16T02:30:24.705,11,30.02,0.00,0.00,0.260,0.002,0.002,0.002,245.96,0.24,0.32
2026-02-16T02:30:27.909,11,30.17,0.00,0.00,0.258,0.002,0.002,0.002,246.32,0.25,0.31
2026-02-16T02:30:31.114,11,30.17,0.00,0.00,0.259,0.001,0.002,0.002,246.24,0.24,0.31
2026-02-16T02:30:34.317,11,29.28,0.00,0.00,0.257,0.002,0.002,0.002,246.14,0.25,0.31
2026-02-16T02:30:37.521,11,29.51,0.00,0.00,0.258,0.002,0.002,0.002,246.10,0.25,0.33
2026-02-16T02:30:40.725,11,29.26,0.00,0.00,0.255,0.002,0.002,0.002,246.25,0.25,0.32
2026-02-16T02:30:43.928,11,29.32,0.00,0.00,0.256,0.002,0.002,0.002,246.14,0.25,0.32
2026-02-16T02:30:47.132,11,30.29,0.00,0.00,0.259,0.002,0.002,0.002,245.93,0.27,0.32
2026-02-16T02:30:50.336,11,30.08,0.00,0.00,0.258,0.002,0.002,0.002,246.37,0.26,0.32
2026-02-16T02:30:53.541,11,33.62,0.00,0.00,0.272,0.002,0.002,0.002,246.09,0.25,0.33
2026-02-16T02:30:56.744,11,30.67,0.00,0.00,0.261,0.002,0.002,0.002,246.05,0.26,0.32
2026-02-16T02:30:59.948,11,30.88,0.00,0.00,0.261,0.002,0.002,0.002,246.48,0.26,0.31
2026-02-16T02:31:03.152,11,31.01,0.00,0.00,0.263,0.002,0.002,0.002,246.22,0.25,0.31
2026-02-16T02:31:06.356,11,29.80,0.00,0.00,0.258,0.002,0.002,0.002,246.38,0.26,0.31
2026-02-16T02:31:09.559,11,29.35,0.00,0.00,0.256,0.002,0.002,0.002,246.53,0.26,0.30
2026-02-16T02:31:12.764,11,31.53,0.00,0.00,0.263,0.002,0.002,0.002,246.46,0.25,0.30
2026-02-16T02:31:15.967,11,29.75,0.00,0.00,0.257,0.002,0.002,0.002,246.22,0.25,0.32
2026-02-16T02:31:19.171,11,29.26,0.00,0.00,0.258,0.002,0.002,0.002,246.50,0.26,0.32
2026-02-16T02:31:22.375,11,31.46,0.00,0.00,0.263,0.002,0.002,0.002,246.29,0.27,0.31
2026-02-16T02:31:25.579,11,29.39,0.00,0.00,0.257,0.002,0.002,0.002,246.44,0.26,0.31
2026-02-16T02:31:28.782,11,30.09,0.00,0.00,0.259,0.002,0.002,0.002,245.90,0.26,0.32
2026-02-16T02:31:31.986,11,31.25,0.00,0.00,0.262,0.002,0.002,0.002,246.41,0.26,0.31
2026-02-16T02:31:35.190,11,29.06,0.00,0.00,0.256,0.002,0.002,0.002,246.24,0.28,0.31
2026-02-16T02:31:38.394,11,31.04,0.00,0.00,0.262,0.002,0.002,0.002,246.03,0.27,0.32
2026-02-16T02:31:41.598,11,30.29,0.00,0.00,0.259,0.002,0.002,0.002,246.44,0.27,0.32
2026-02-16T02:31:44.802,11,30.03,0.00,0.00,0.259,0.002,0.002,0.002,246.41,0.26,0.31
2026-02-16T02:31:48.006,11,32.46,0.00,0.00,0.268,0.002,0.002,0.002,246.47,0.26,0.32
2026-02-16T02:31:51.209,11,29.90,0.00,0.00,0.258,0.001,0.002,0.002,246.45,0.25,0.31
2026-02-16T02:31:54.413,11,29.48,0.00,0.00,0.256,0.002,0.002,0.002,246.30,0.26,0.30
2026-02-16T02:31:57.618,11,32.56,0.00,0.00,0.266,0.002,0.002,0.002,246.55,0.27,0.32
2026-02-16T02:32:00.822,11,30.73,0.00,0.00,0.261,0.002,0.002,0.002,246.48,0.26,0.31
2026-02-16T02:32:04.026,11,29.57,0.00,0.00,0.257,0.002,0.002,0.002,246.33,0.26,0.31
2026-02-16T02:32:07.229,11,31.76,0.00,0.00,0.266,0.002,0.002,0.002,246.49,0.27,0.31
2026-02-16T02:32:10.433,11,29.40,0.00,0.00,0.257,0.002,0.002,0.002,246.30,0.26,0.30
2026-02-16T02:32:13.637,11,34.78,0.00,0.00,0.275,0.002,0.002,0.002,246.41,0.28,0.31
2026-02-16T02:32:16.840,11,38.86,0.00,0.00,0.288,0.002,0.002,0.002,246.20,0.28,0.31
2026-02-16T02:32:20.045,11,32.99,0.00,0.00,0.267,0.002,0.002,0.002,246.40,0.28,0.30
