round	experiment	type	workload_A	workload_B	duration_s	wall_power_W	cpu_power_W	gpu0_power_W	gpu1_power_W	gpu_total_W	gpu0_util_pct	gpu1_util_pct	memory_power_W	memory_power_note	gpu_note
fixed	baseline	idle	-	-	37.2	45.16	3.77	6.47	6.23	12.70	0.0	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
fixed	A1_yolo_nano	solo	A1(YOLO_Nano)	-	67.1	100.24	15.00	36.61	6.47	43.08	13.2	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
fixed	A2_yolo_medium	solo	A2(YOLO_Medium)	-	68.4	123.49	14.44	58.66	6.49	65.15	37.7	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
fixed	B1_nodejs_light	solo	B1(Node_Light)	-	69.0	46.87	5.81	6.45	6.42	12.87	0.0	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
fixed	B2_nodejs_heavy	solo	B2(Node_Heavy)	-	68.3	64.29	16.70	6.47	6.39	12.86	0.0	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
fixed	A1B1_concurrent	concurrent	A1(YOLO_Nano)	B1(Node_Light)	67.1	97.80	15.65	36.70	6.42	43.12	12.2	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
fixed	A1B2_concurrent	concurrent	A1(YOLO_Nano)	B2(Node_Heavy)	68.6	112.09	23.95	36.54	6.45	42.99	11.6	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
fixed	A2B1_concurrent	concurrent	A2(YOLO_Medium)	B1(Node_Light)	67.2	127.99	15.68	59.40	6.44	65.84	38.2	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
fixed	A2B2_concurrent	concurrent	A2(YOLO_Medium)	B2(Node_Heavy)	68.7	136.90	24.22	58.81	6.45	65.26	38.2	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
free	baseline	idle	-	-	38.6	51.94	4.02	11.94	6.33	18.27	0.0	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
free	A1_yolo_nano	solo	A1(YOLO_Nano)	-	68.2	127.88	31.74	39.94	6.52	46.46	15.6	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
free	A2_yolo_medium	solo	A2(YOLO_Medium)	-	68.4	156.65	31.31	65.32	6.50	71.82	50.7	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
free	B1_nodejs_light	solo	B1(Node_Light)	-	69.2	56.34	6.37	12.05	6.45	18.50	0.0	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
free	B2_nodejs_heavy	solo	B2(Node_Heavy)	-	68.8	99.48	36.02	11.82	6.40	18.22	0.0	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
free	A1B1_concurrent	concurrent	A1(YOLO_Nano)	B1(Node_Light)	67.1	129.13	34.29	40.16	6.46	46.62	15.9	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
free	A1B2_concurrent	concurrent	A1(YOLO_Nano)	B2(Node_Heavy)	67.8	166.51	58.00	39.12	6.41	45.53	13.7	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
free	A2B1_concurrent	concurrent	A2(YOLO_Medium)	B1(Node_Light)	68.2	164.25	33.89	63.91	6.53	70.44	43.7	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
free	A2B2_concurrent	concurrent	A2(YOLO_Medium)	B2(Node_Heavy)	68.2	191.53	60.00	63.94	6.46	70.40	46.1	0.0	6.4	calculated:0.2W/GB×32GB	2cards(RTX3060×2),GPU0=YOLO,GPU1=Node.js
