round	experiment	type	workload	cgroup	cpu_util_pct	gpu_util_pct	gpu_power_W	cpu_alloc_cores	gpu_alloc	gpu_alloc_cards	mem_alloc_GB	mem_used_MB	io_read_MB	io_write_MB	io_total_MB	duration_s
fixed	A1_yolo_nano	solo	A1(YOLO_Nano)	yolo.slice	100.6	13.2	36.61	2	GPU0	1	4.0	1583.4	20.9	32.3	53.2	67.1
fixed	A2_yolo_medium	solo	A2(YOLO_Medium)	yolo.slice	100.5	37.7	58.66	2	GPU0	1	4.0	1824.5	8.6	23.2	31.8	68.4
fixed	B1_nodejs_light	solo	B1(Node_Light)	nodejs.slice	17.0	0.0	6.42	2	GPU1(idle)	0	4.0	17.3	0.0	0.1	0.1	69.0
fixed	B2_nodejs_heavy	solo	B2(Node_Heavy)	nodejs.slice	139.1	0.0	6.39	2	GPU1(idle)	0	4.0	180.8	0.0	0.1	0.1	68.3
fixed	A1B1_concurrent	concurrent	A1(YOLO_Nano)	yolo.slice	100.8	12.2	36.70	2	GPU0	1	4.0	1748.6	3.0	28.3	31.3	67.1
fixed	A1B1_concurrent	concurrent	B1(Node_Light)	nodejs.slice	18.1	0.0	6.42	2	GPU1(idle)	0	4.0	56.8	0.0	0.1	0.1	67.1
fixed	A1B2_concurrent	concurrent	A1(YOLO_Nano)	yolo.slice	100.8	11.6	36.54	2	GPU0	1	4.0	1871.8	1.6	28.3	29.9	68.6
fixed	A1B2_concurrent	concurrent	B2(Node_Heavy)	nodejs.slice	137.3	0.0	6.45	2	GPU1(idle)	0	4.0	180.5	0.0	0.1	0.1	68.6
fixed	A2B1_concurrent	concurrent	A2(YOLO_Medium)	yolo.slice	100.5	38.2	59.40	2	GPU0	1	4.0	1993.9	0.0	23.2	23.2	67.2
fixed	A2B1_concurrent	concurrent	B1(Node_Light)	nodejs.slice	18.1	0.0	6.44	2	GPU1(idle)	0	4.0	56.7	0.0	0.1	0.1	67.2
fixed	A2B2_concurrent	concurrent	A2(YOLO_Medium)	yolo.slice	100.6	38.2	58.81	2	GPU0	1	4.0	2062.8	3.5	23.2	26.7	68.7
fixed	A2B2_concurrent	concurrent	B2(Node_Heavy)	nodejs.slice	140.6	0.0	6.45	2	GPU1(idle)	0	4.0	181.9	0.0	0.1	0.1	68.7
free	A1_yolo_nano	solo	A1(YOLO_Nano)	yolo.slice	100.6	15.6	39.94	2	GPU0	1	4.0	1972.8	3.2	36.2	39.4	68.2
free	A2_yolo_medium	solo	A2(YOLO_Medium)	yolo.slice	100.6	50.7	65.32	2	GPU0	1	4.0	2225.0	0.0	26.5	26.5	68.4
free	B1_nodejs_light	solo	B1(Node_Light)	nodejs.slice	16.3	0.0	6.45	2	GPU1(idle)	0	4.0	16.7	0.0	0.1	0.1	69.2
free	B2_nodejs_heavy	solo	B2(Node_Heavy)	nodejs.slice	137.1	0.0	6.40	2	GPU1(idle)	0	4.0	173.7	0.0	0.1	0.1	68.8
free	A1B1_concurrent	concurrent	A1(YOLO_Nano)	yolo.slice	100.7	15.9	40.16	2	GPU0	1	4.0	2112.4	0.0	35.9	35.9	67.1
free	A1B1_concurrent	concurrent	B1(Node_Light)	nodejs.slice	14.8	0.0	6.46	2	GPU1(idle)	0	4.0	57.1	0.0	0.1	0.1	67.1
free	A1B2_concurrent	concurrent	A1(YOLO_Nano)	yolo.slice	100.4	13.7	39.12	2	GPU0	1	4.0	2176.1	0.0	33.6	33.6	67.8
free	A1B2_concurrent	concurrent	B2(Node_Heavy)	nodejs.slice	132.3	0.0	6.41	2	GPU1(idle)	0	4.0	176.4	0.0	0.1	0.1	67.8
free	A2B1_concurrent	concurrent	A2(YOLO_Medium)	yolo.slice	100.6	43.7	63.91	2	GPU0	1	4.0	2438.7	0.0	26.5	26.5	68.2
free	A2B1_concurrent	concurrent	B1(Node_Light)	nodejs.slice	14.7	0.0	6.53	2	GPU1(idle)	0	4.0	56.4	0.0	0.1	0.1	68.2
free	A2B2_concurrent	concurrent	A2(YOLO_Medium)	yolo.slice	100.5	46.1	63.94	2	GPU0	1	4.0	2468.1	0.0	26.5	26.5	68.2
free	A2B2_concurrent	concurrent	B2(Node_Heavy)	nodejs.slice	139.9	0.0	6.46	2	GPU1(idle)	0	4.0	175.2	0.0	0.1	0.1	68.2
