Section,Config,Wall (W),CPU/RAPL (W),GPU/nvidia-smi (W),GPU0 (W),GPU1 (W),RAPL DRAM (W),Memory (W),Others (W),Others %,비고
,,,,,,,,,,
===== 1. Per-Config Idle 측정값 =====,,,,,,,,,,
Raw,A (2GPU+2DIMM),44.49,3.50,12.69,6.77,5.92,0.000,0.95,28.30,63.6%,Others = Wall - CPU - GPU
Raw,B (2GPU+1DIMM),44.64,3.58,13.60,7.14,6.46,0.000,-,27.46,61.5%,
Raw,C (1GPU+1DIMM),31.16,2.69,7.31,7.31,-,0.000,-,21.16,67.9%,최소 구성 (baseline)
Raw,D (1GPU+2DIMM),30.83,2.55,7.02,7.02,-,0.000,-,21.26,65.9%,재실험 결과 (GPU0 안정화)
,,,,,,,,,,
===== 2. 컴포넌트 분리 (Cross-Validation) =====,,,,,,,,,,
항목,산출식,Wall delta (W),CPU delta (W),GPU delta (W),,결과 (W),,비고,,
Memory/DIMM 경로1,A - B,-0.15,-0.07,-0.92,,+0.84,,순수 메모리 = Wall차 - CPU차 - GPU차,,
Memory/DIMM 경로2,D - C,-0.33,-0.14,-0.29,,+0.11,,교차검증,,
Memory/DIMM 평균,mean(경로1+경로2),,,,, +0.47,,편차 0.74W → 평균 채택,,
GPU wall/card 경로1,B - C,+13.48,+0.89,+6.29,,+12.60,,GPU 카드 1장의 전체 wall 영향,,
GPU wall/card 경로2,A - D,+13.66,+0.95,+5.67,,+12.71,,교차검증,,
GPU wall/card 평균,mean(경로1+경로2),,,,, +12.65,,편차 0.12W (1%) → 매우 일관,,
GPU hidden overhead,GPU_wall - nvidia-smi,,,,, 6.3~7.0,,PCIe + VRM + 팬 (nvidia-smi 미포함분),,
,,,,,,,,,,
===== 3. Superposition 검증 (가산성) =====,,,,,,,,,,
검증항목,산출식,측정 (W),예측 (W),오차 (W),,오차 %,,비고,,
Config A 예측,C + GPU_wall + MEM,44.49,44.29,+0.21,,0.5%,,31.16 + 12.65 + 0.47 = 44.29,,
Closure test,A - B - D + C,-,-,+0.18,,~0,,재실험 전 -2.19W → 재실험 후 0.18W,,
Memory 경로 일관성,|A-B| vs |D-C|,-0.15,-0.33,0.18,,,,두 경로 동일 방향 (DIMM 추가 시 wall 미미),,
GPU 경로 일관성,|B-C| vs |A-D|,13.48,13.66,0.18,,,,편차 1% → 분리 신뢰도 높음,,
,,,,,,,,,,
===== 4. RAPL DRAM 한계 =====,,,,,,,,,,
항목,Config A,Config B,Config C,Config D,,비고,,,,
RAPL DRAM 보고값,0.000 W,0.000 W,0.000 W,0.000 W,,i7-11700KF는 RAPL DRAM 미지원,,,,
물리분리 실측,0.47 W/DIMM,,,,,물리 분리가 유일한 측정 방법,,,,
교수님 질문,DRAM이 10-20%여야 하는데 1-2%는 너무 작다,,,,,"RAPL=0이므로 센서 한계. 물리분리 결과 0.47W/DIMM (전체 2.1%)",,,,
,,,,,,,,,,
===== 5. fio Storage 에너지 실험 (Phase 2.1) =====,,,,,,,,,,
,,,,,,,,,,
--- 5a. 실험 환경 ---,,,,,,,,,,
항목,값,,,,,비고,,,,
SSD,Samsung SSD 980 500GB (PCIe 3.0 x4),,,,,데이터시트: Read 3500 / Write 3000 MB/s,,,,
fio 설정,"bs=1M / iodepth=32 / direct=1 / libaio / 60s",,,,,Sequential only (교수님: SSD이므로 random 불필요),,,,
CPU 환경,no_turbo=1 / governor=powersave / max 3600MHz,,,,,Component isolation과 동일 환경 보장,,,,
Config,A (2GPU+2DIMM),,,,,동시실행 실험과 동일 구성,,,,
측정도구,"RPICT(wall) + RAPL(CPU) + nvidia-smi(GPU) 동시 수집",,,,,,,,,
,,,,,,,,,,
--- 5b. 측정값 ---,,,,,,,,,,
구간,RPICT Wall (W),RAPL pkg (W),GPU total (W),CPU %,io throughput,,Max Freq,,비고,
Idle,43.60 ± 1.60,3.24 ± 0.35,12.73 ± 0.27,0.3%,-,,3600 MHz,,n=27 (RPICT) / n=31 (Host),
seq_write,57.06 ± 1.55,10.70 ± 0.11,12.82,2.1%,2266 MB/s,,3600 MHz,,n=19 (RPICT) / n=40 (Host),
seq_read,61.84 ± 0.86,12.53 ± 0.07,12.86,0.7%,3002 MB/s,,3613 MHz,,n=19 (RPICT) / n=40 (Host),
,,,,,,,,,,
--- 5c. Storage 에너지 분리 ---,,,,,,,,,,
Delta 항목,seq_write,seq_read,,,,산출식,,,,
dWall (RPICT),+13.46 W,+18.24 W,,,,Active_wall - Idle_wall,,,,
dCPU (RAPL),+7.47 W,+9.29 W,,,,Active_RAPL - Idle_RAPL,,,,
dGPU (nvidia-smi),+0.10 W,+0.13 W,,,,Active_GPU - Idle_GPU (≈0),,,,
Storage residual (AC wall),5.90 W,8.82 W,,,,= dWall - dCPU - dGPU,,,,
Storage residual (DC @ PSU 78%),4.60 W,6.88 W,,,,AC × PSU효율,,,,
fio Throughput,2266 MB/s,3002 MB/s,,,,,,,,
Storage rate (AC),0.0026 W/(MB/s),0.0029 W/(MB/s),,,,= Storage_residual / Throughput,,,,
Storage rate (DC),0.0020 W/(MB/s),0.0023 W/(MB/s),,,,,,,,
,,,,,,,,,,
--- 5d. seq_read 유효성 검증 (v2 → v3 수정) ---,,,,,,,,,,
항목,v2 (무효),v3 (유효),Samsung 980 스펙,,비고,,,,,
Throughput,17740 MB/s,3002 MB/s,3500 MB/s,,v2: sparse file → RAM에서 읽음 / v3: 실제 SSD,,,,,
disk_util,0.52%,99.88%,~100%,,v3에서 정상화,,,,,
read_ios,0,455208,-,,v2: 디스크 읽기 전무 → v3: 정상,,,,,
CPU freq,4800+ MHz,3613 MHz,- (base 3600),,v2: turbo ON 미제어 → v3: no_turbo=1,,,,,
수정사항,(1) create_only=1 제거 → 실제 데이터 기록,(2) write→read 순서 변경,(3) page cache drop 추가,,(4) no_turbo=1 강제,,,,,
,,,,,,,,,,
--- 5e. 3회 실험 일관성 (seq_write) ---,,,,,,,,,,
항목,v1 (turbo ON),v2 (no_turbo),v3 (no_turbo+fix),,비고,,,,,
Throughput,2318 MB/s,2227 MB/s,2266 MB/s,,편차 < 4%,,,,,
dWall (RPICT),+10.5 W,+12.5 W,+13.5 W,,RPICT 측정 노이즈 ± 2W,,,,,
dCPU (RAPL),+6.9 W,+7.1 W,+7.5 W,,RAPL 안정 (편차 < 0.6W),,,,,
Storage residual (AC),6.0 W,5.5 W,5.9 W,,3회 평균 5.8W,,,,,
Storage DC (PSU 78%),4.2 W,4.3 W,4.6 W,,3회 평균 4.4W,,,,,
Samsung 980 Active (DS),3.9 W,3.9 W,3.9 W,,측정값 4.4W ≈ DS 3.9W + 컨트롤러/PCIe overhead,,,,,
,,,,,,,,,,
--- 5f. 최종 Storage Energy Parameter ---,,,,,,,,,,
Parameter,값,단위,비고,,,,,,산출,
Storage rate (AC wall 평균),0.0028,W/(MB/s),Read+Write 평균,,,,,,mean(0.0026; 0.0029),
Storage rate (DC 평균),0.0022,W/(MB/s),PSU 78% 보정,,,,,,mean(0.0020; 0.0023),
Storage idle power,~0,W,데이터시트 0.03W (무시 가능),,,,,,Others에 포함,
Storage active range,4.6 ~ 6.9,W (DC),throughput에 비례,,,,,,Write 4.6W / Read 6.9W,
Attribution 공식,Storage_power(t) = rate × IO_throughput(t),,동시실행 실험에 적용 예정,,,,,,율 기반 비례 분배,
,,,,,,,,,,
===== 6. GPU 2장 문제 해결 =====,,,,,,,,,,
항목,이전,현재,비고,,,,,,,
GPU 감지,1장만 nvidia-smi 표시,2장 모두 활성화,vfio unbind 완료,,,,,,,
GPU0 idle (nvidia-smi),~7W,6.77W (A) / 7.02W (D),Display 연결 여부 ± 0.5W,,,,,,,
GPU1 idle (nvidia-smi),-,5.92W (A) / 6.46W (B),Display 미연결 시 더 낮음,,,,,,,
GPU wall 영향 (카드당),-,12.65W,nvidia-smi 값의 약 1.8배,,,,,,,
GPU hidden overhead,-,~6.3 W/card,= 12.65 - nvidia-smi ≈ PCIe+VRM+팬,,,,,,,
,,,,,,,,,,
===== 7. CPU idle 비선형성 =====,,,,,,,,,,
Config,CPU %,RAPL pkg (W),RAPL core (W),Avg Freq (MHz),,비고,,,,
A (2GPU),0.27%,3.50,0.33,1378,,2GPU → Xorg GPU 관리 overhead,,,,
B (2GPU),0.30%,3.58,0.37,1371,,,,,,
C (1GPU),0.16%,2.69,0.30,1310,,1GPU → overhead 적음,,,,
D (1GPU),0.15%,2.55,0.28,1307,,,,,,
2GPU vs 1GPU 차이,,+0.92W,,+67MHz,,GPU 개수에 따른 CPU idle 전력 차이,,,,
,,,,,,,,,,
===== 8. Config D 재현성 =====,,,,,,,,,,
Config D,Run1,Run2,Run3,평균,,비고,,,,
GPU0 (이전),9.53W,9.39W,8.03W,8.98W,,P-state 미안정화 / warm-up 부족,,,,
GPU0 (재실험),7.15W,6.99W,6.91W,7.02W,,안정화 확인 / Config C(7.31W)와 일관,,,,
RAPL (재실험),2.66W,2.56W,2.44W,2.55W,,Run간 편차 0.22W → 안정적,,,,
,,,,,,,,,,
===== 9. Others 분해 최종 결론 (Config A 기준 44.49W) =====,,,,,,,,,,
,,,,,,,,,,
--- 9a. 분해 전: 센서 직접 측정만 ---,,,,,,,,,,
컴포넌트,전력 (W),비율 (%),측정방법,,,비고,,,,
CPU,3.50,7.9%,RAPL package,,,직접 측정,,,,
GPU (chip),12.69,28.5%,nvidia-smi,,,GPU 칩 전력만,,,,
Unknown Others,28.30,63.6%,-,,,미분리 → 논문에 사용 불가,,,,
합계,44.49,100%,,,,,,,,
,,,,,,,,,,
--- 9b. 분해 후: 물리 분리 + fio 실측 + 추정 ---,,,,,,,,,,
#,컴포넌트,전력 (W),비율 (%),측정방법,신뢰도,출처,비고,,,
1,CPU (RAPL),3.50,7.9%,RAPL package,직접측정,센서,idle 기준,,
2,GPU chip × 2장,12.69,28.5%,nvidia-smi,직접측정,센서,6.77 + 5.92,,
3,GPU hidden (2nd card),6.67,15.0%,물리분리,실측,B-C / A-D 평균,PCIe+VRM+팬,,
4,GPU hidden (1st card),~5.5,~12.4%,추정,추정,Config C 잔여 역산,Display 연결 → overhead 상이 가능,,
5,Memory (2 DIMM × 0.47W),0.95,2.1%,물리분리,실측,A-B / D-C 평균,RAPL DRAM=0 → 물리분리 필수,,
6,Storage (idle),~0.03,~0.1%,fio 실험 + 데이터시트,실측,Phase 2.1 fio v3,idle 시 무시 가능 (active: 4.6~6.9W DC),,
7,PSU 변환손실,~11.0,~24.7%,효율곡선 추정,추정,"1000W 80+Gold, 4.4% load ≈ 75%",저부하 시 효율 급감,,
8,Chipset+Fan+기타,~4.15,~9.3%,잔여,잔여,44.49 - 위 합산,칩셋/VRM/쿨링팬/USB/NIC,,
,합계,~44.49,~100%,,,,,,,
,,,,,,,,,,
--- 9c. Others 분해 진행도 ---,,,,,,,,,,
단계,분해 항목,분해량 (W),잔여 Others (W),누적 분해율 (%),방법,비고,,,,
0,분해 전 (센서만),-,28.30,0%,Wall - CPU - GPU,기존 Others,,,,
