round	experiment	type	concurrent_type	workload_A	workload_B	duration_s	wall_power_W	cpu_power_W	gpu0_power_W	gpu1_power_W	gpu_total_W	gpu0_util_pct	gpu1_util_pct	memory_power_W	others_W	component_sum_W	memory_power_note	others_note	gpu_note
fixed	baseline	idle	-	-	-	36.9	51.56	3.60	12.03	6.49	18.52	0.8	0.0	6.4	23.04	28.52	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	idle: GPU0+GPU1_idle
fixed	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	68.4	120.89	14.54	59.68	6.63	66.31	39.3	0.0	6.4	33.64	87.25	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: A2(YOLO_Medium)→GPU0, GPU1_idle
fixed	PT_pytorch_gemm	solo	-	PT(PyTorch_GEMM)	-	67.2	250.79	12.74	169.84	6.50	176.34	100.0	0.0	6.4	55.30	195.48	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: PT(PyTorch_GEMM)→GPU0, GPU1_idle
fixed	RN_resnet18	solo	-	RN(ResNet18)	-	67.2	218.21	12.92	141.04	6.75	147.79	100.0	0.0	6.4	51.11	167.11	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: RN(ResNet18)→GPU0, GPU1_idle
fixed	GPT_gpt2	solo	-	GPT(GPT-2)	-	67.2	119.05	13.37	54.66	6.53	61.19	39.0	0.0	6.4	38.09	80.96	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: GPT(GPT-2)→GPU0, GPU1_idle
fixed	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	69.1	77.90	21.11	12.39	6.43	18.82	0.0	0.0	6.4	31.57	46.33	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_CPU: B2(Node_Heavy)→CPU_only, GPU0+GPU1_idle
fixed	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	69.5	133.84	24.24	58.60	6.54	65.14	36.9	0.0	6.4	38.06	95.78	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	PTB2_concurrent	concurrent	ai_b2	PT(PyTorch_GEMM)	B2(Node_Heavy)	67.9	267.13	23.48	169.72	6.55	176.27	100.0	0.0	6.4	60.98	206.15	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: PT(PyTorch_GEMM)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	67.9	234.01	23.45	140.79	6.75	147.54	99.3	0.0	6.4	56.63	177.39	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	67.9	134.40	22.82	55.35	6.58	61.93	39.6	0.0	6.4	43.24	91.15	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
