run	ratio	experiment	type	concurrent_type	workload_A	workload_B	ai_cores	nonai_cores	ai_mem_GB	nonai_mem_GB	duration_s	wall_power_W	cpu_power_W	gpu0_power_W	gpu1_power_W	gpu_total_W	gpu0_util_pct	gpu1_util_pct	memory_power_W	others_W	component_sum_W	memory_power_note	others_note	ratio_note	gpu_note
asym_run1	-	baseline	idle	-	-	-	-	-	-	-	38.4	53.25	3.25	11.17	6.55	17.73	0.0	0.0	6.4	25.87	27.38	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	-	idle: GPU0+GPU1_idle
asym_run1	1to1	solo_yolo_1to1	solo	-	A2(YOLO_Medium)	-	2	-	4	-	68.4	122.44	13.57	58.25	6.74	64.99	38.4	0.0	6.4	37.48	84.96	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0-1/4GB | NonAI=cpuset2-3/4GB	Solo_AI: A2(YOLO_Medium)→GPU0, GPU1_idle
asym_run1	1to1	solo_resnet_1to1	solo	-	RN(ResNet18)	-	2	-	4	-	67.1	213.24	12.26	136.17	6.94	143.11	100.0	0.0	6.4	51.47	161.77	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0-1/4GB | NonAI=cpuset2-3/4GB	Solo_AI: RN(ResNet18)→GPU0, GPU1_idle
asym_run1	1to1	solo_gpt2_1to1	solo	-	GPT(GPT-2)	-	2	-	4	-	67.2	120.28	12.86	54.53	6.76	61.29	40.0	0.0	6.4	39.73	80.55	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0-1/4GB | NonAI=cpuset2-3/4GB	Solo_AI: GPT(GPT-2)→GPU0, GPU1_idle
asym_run1	1to1	solo_nodejs_1to1	solo	-	B2(Node_Heavy)	-	-	2	-	4	67.7	85.79	24.60	11.62	6.61	18.23	0.0	0.0	6.4	36.55	49.23	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0-1/4GB | NonAI=cpuset2-3/4GB	Solo_CPU: B2(Node_Heavy)→CPU_only, GPU0+GPU1_idle
asym_run1	1to1	yolo_nodejs_1to1	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	2	2	4	4	68.4	147.59	30.91	56.97	6.74	63.71	34.3	0.0	6.4	46.57	101.02	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0-1/4GB | NonAI=cpuset2-3/4GB	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
asym_run1	2to1	yolo_nodejs_2to1	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	3	1	6	2	68.7	153.24	30.80	57.19	8.15	65.34	37.5	0.0	6.4	50.70	102.54	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0-2/6GB | NonAI=cpuset3/2GB	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
asym_run1	1to2	yolo_nodejs_1to2	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	1	3	2	6	68.3	153.12	30.57	56.36	8.55	64.91	34.3	0.0	6.4	51.24	101.88	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0/2GB | NonAI=cpuset1-3/6GB	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
asym_run1	1to1	resnet_nodejs_1to1	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	2	2	4	4	68.8	240.14	29.66	136.15	6.99	143.15	99.0	0.0	6.4	60.93	179.20	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0-1/4GB | NonAI=cpuset2-3/4GB	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
asym_run1	2to1	resnet_nodejs_2to1	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	3	1	6	2	68.0	242.82	29.62	138.06	7.12	145.18	99.0	0.0	6.4	61.62	181.20	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0-2/6GB | NonAI=cpuset3/2GB	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
asym_run1	1to2	resnet_nodejs_1to2	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	1	3	2	6	68.6	243.55	29.55	138.27	7.15	145.42	99.0	0.0	6.4	62.18	181.37	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0/2GB | NonAI=cpuset1-3/6GB	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
asym_run1	1to1	gpt2_nodejs_1to1	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	2	2	4	4	68.7	144.53	30.04	52.87	6.76	59.63	36.6	0.0	6.4	48.45	96.08	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0-1/4GB | NonAI=cpuset2-3/4GB	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
asym_run1	2to1	gpt2_nodejs_2to1	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	3	1	6	2	69.0	144.94	29.79	53.02	6.63	59.64	35.9	0.0	6.4	49.11	95.84	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0-2/6GB | NonAI=cpuset3/2GB	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
asym_run1	1to2	gpt2_nodejs_1to2	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	1	3	2	6	69.1	143.59	29.59	52.22	6.75	58.97	34.3	0.0	6.4	48.63	94.96	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI=cpuset0/2GB | NonAI=cpuset1-3/6GB	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
