round	experiment	type	concurrent_type	workload_A	workload_B	duration_s	wall_power_W	cpu_power_W	gpu0_power_W	gpu1_power_W	gpu_total_W	gpu0_util_pct	gpu1_util_pct	memory_power_W	others_W	component_sum_W	memory_power_note	others_note	gpu_note
fixed	baseline	idle	-	-	-	38.1	61.15	3.50	12.16	14.32	26.48	0.0	0.0	6.4	24.77	36.38	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	idle: GPU0+GPU1_idle
fixed	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	67.9	132.75	14.09	60.56	13.33	73.89	37.0	0.0	6.4	38.37	94.38	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: A2(YOLO_Medium)→GPU0, GPU1_idle
fixed	RN_resnet18	solo	-	RN(ResNet18)	-	68.0	223.54	12.47	138.70	12.80	151.50	100.0	0.0	6.4	53.17	170.37	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: RN(ResNet18)→GPU0, GPU1_idle
fixed	GPT_gpt2	solo	-	GPT(GPT-2)	-	67.9	127.07	13.16	54.96	12.71	67.67	39.1	0.0	6.4	39.84	87.23	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: GPT(GPT-2)→GPU0, GPU1_idle
fixed	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	69.4	92.83	25.32	12.09	12.41	24.50	0.0	0.0	6.4	36.62	56.22	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_CPU: B2(Node_Heavy)→CPU_only, GPU0+GPU1_idle
fixed	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	68.6	157.03	31.49	57.32	12.50	69.82	34.9	0.0	6.4	49.32	107.71	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	67.7	248.76	30.61	137.50	12.54	150.04	99.0	0.0	6.4	61.71	187.05	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	68.9	151.38	30.52	53.27	12.34	65.61	36.8	0.0	6.4	48.85	102.53	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	68.0	320.18	20.64	60.56	160.88	221.44	38.1	99.8	6.4	71.69	248.48	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, RN(ResNet18)→GPU1
fixed	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	68.0	217.41	20.76	60.27	75.30	135.57	36.9	39.0	6.4	54.68	162.73	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, GPT(GPT-2)→GPU1
fixed	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	68.0	312.92	19.32	140.05	77.49	217.54	100.0	38.4	6.4	69.65	243.26	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: RN(ResNet18)→GPU0, GPT(GPT-2)→GPU1
