round	experiment	type	concurrent_type	workload_A	workload_B	duration_s	wall_power_W	cpu_power_W	gpu0_power_W	gpu1_power_W	gpu_total_W	gpu0_util_pct	gpu1_util_pct	memory_power_W	others_W	component_sum_W	memory_power_note	others_note	gpu_note
fixed	baseline	idle	-	-	-	38.1	58.16	3.38	11.75	11.44	23.19	0.0	0.0	6.4	25.20	32.97	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	idle: GPU0+GPU1_idle
fixed	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	67.9	131.51	14.67	58.97	11.57	70.54	37.9	0.0	6.4	39.90	91.61	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: A2(YOLO_Medium)→GPU0, GPU1_idle
fixed	PT_pytorch_gemm	solo	-	PT(PyTorch_GEMM)	-	67.9	258.23	12.61	169.82	11.50	181.32	100.0	0.0	6.4	57.90	200.33	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: PT(PyTorch_GEMM)→GPU0, GPU1_idle
fixed	RN_resnet18	solo	-	RN(ResNet18)	-	68.0	224.46	13.24	140.43	11.62	152.05	100.0	0.0	6.4	52.78	171.69	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: RN(ResNet18)→GPU0, GPU1_idle
fixed	GPT_gpt2	solo	-	GPT(GPT-2)	-	67.9	127.29	13.90	55.94	11.62	67.56	40.8	0.0	6.4	39.43	87.86	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_AI: GPT(GPT-2)→GPU0, GPU1_idle
fixed	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	68.9	92.20	25.42	12.05	11.43	23.48	0.0	0.0	6.4	36.90	55.30	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	Solo_CPU: B2(Node_Heavy)→CPU_only, GPU0+GPU1_idle
fixed	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	67.2	152.01	32.27	56.99	11.67	68.66	32.6	0.0	6.4	44.68	107.33	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	PTB2_concurrent	concurrent	ai_b2	PT(PyTorch_GEMM)	B2(Node_Heavy)	67.4	285.44	31.10	169.80	11.50	181.30	99.1	0.0	6.4	66.64	218.80	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: PT(PyTorch_GEMM)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	69.3	251.77	31.30	140.46	11.86	152.32	99.0	0.0	6.4	61.75	190.02	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	66.9	150.31	31.36	53.73	11.58	65.31	36.7	0.0	6.4	47.24	103.07	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed	A2PT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	PT(PyTorch_GEMM)	67.8	328.69	20.84	60.69	169.80	230.49	38.2	100.0	6.4	70.96	257.73	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, PT(PyTorch_GEMM)→GPU1
fixed	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	68.0	329.14	20.69	60.91	169.29	230.20	37.3	99.7	6.4	71.85	257.29	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, RN(ResNet18)→GPU1
fixed	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	68.0	214.01	20.82	60.60	70.87	131.47	35.7	37.0	6.4	55.32	158.69	calculated:0.2W/GB×32GB	wall-(cpu+gpu0+gpu1+memory):PSU_loss+VRM+fans+motherboard	AI+AI: A2(YOLO_Medium)→GPU0, GPT(GPT-2)→GPU1
