run	ratio	experiment	type	concurrent_type	workload	co_workload	cgroup	cpu_util_pct	gpu_util_pct	gpu_power_W	gpu0_util_pct	gpu0_power_W	gpu1_util_pct	gpu1_power_W	cpu_alloc_cores	gpu_alloc	mem_alloc_GB	mem_used_MB	io_read_MB	io_write_MB	io_total_MB	duration_s
asym_run1	1to1	solo_yolo_1to1	solo	-	A2(YOLO_Medium)	-	yolo.slice	100.6	38.4	58.25	38.4	58.25	0.0	6.74	2	GPU0	4	1765.1	14.8	19.9	34.7	68.4
asym_run1	1to1	solo_resnet_1to1	solo	-	RN(ResNet18)	-	yolo.slice	100.0	100.0	136.17	100.0	136.17	0.0	6.94	2	GPU0	4	1278.2	0.0	0.0	0.0	67.1
asym_run1	1to1	solo_gpt2_1to1	solo	-	GPT(GPT-2)	-	yolo.slice	100.0	40.0	54.53	40.0	54.53	0.0	6.76	2	GPU0	4	2198.6	0.0	0.0	0.0	67.2
asym_run1	1to1	solo_nodejs_1to1	solo	-	B2(Node_Heavy)	-	nodejs.slice	0.0	0.0	0.00	0.0	11.62	0.0	6.61	2	none	4	0.0	0.0	0.0	0.0	67.7
asym_run1	1to1	yolo_nodejs_1to1	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	yolo.slice	100.5	34.3	56.97	34.3	56.97	0.0	6.74	2	GPU0	4	1764.5	14.7	19.9	34.6	68.4
asym_run1	1to1	yolo_nodejs_1to1	concurrent	ai_b2	B2(Node_Heavy)	A2(YOLO_Medium)	nodejs.slice	0.0	0.0	0.00	34.3	56.97	0.0	6.74	2	none	4	0.0	0.0	0.0	0.0	68.4
asym_run1	2to1	yolo_nodejs_2to1	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	yolo.slice	100.1	37.5	57.19	37.5	57.19	0.0	8.15	3	GPU0	6	1766.0	14.2	19.9	34.1	68.7
asym_run1	2to1	yolo_nodejs_2to1	concurrent	ai_b2	B2(Node_Heavy)	A2(YOLO_Medium)	nodejs.slice	0.0	0.0	0.00	37.5	57.19	0.0	8.15	1	none	2	0.1	0.0	0.0	0.0	68.7
asym_run1	1to2	yolo_nodejs_1to2	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	yolo.slice	99.6	34.3	56.36	34.3	56.36	0.0	8.55	1	GPU0	2	1750.0	10.2	19.9	30.1	68.3
asym_run1	1to2	yolo_nodejs_1to2	concurrent	ai_b2	B2(Node_Heavy)	A2(YOLO_Medium)	nodejs.slice	0.0	0.0	0.00	34.3	56.36	0.0	8.55	3	none	6	0.1	0.0	0.0	0.0	68.3
asym_run1	1to1	resnet_nodejs_1to1	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	yolo.slice	100.0	99.0	136.15	99.0	136.15	0.0	6.99	2	GPU0	4	1275.2	0.0	0.0	0.0	68.8
asym_run1	1to1	resnet_nodejs_1to1	concurrent	ai_b2	B2(Node_Heavy)	RN(ResNet18)	nodejs.slice	0.0	0.0	0.00	99.0	136.15	0.0	6.99	2	none	4	0.0	0.0	0.0	0.0	68.8
asym_run1	2to1	resnet_nodejs_2to1	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	yolo.slice	100.0	99.0	138.06	99.0	138.06	0.0	7.12	3	GPU0	6	1275.5	0.0	0.0	0.0	68.0
asym_run1	2to1	resnet_nodejs_2to1	concurrent	ai_b2	B2(Node_Heavy)	RN(ResNet18)	nodejs.slice	0.0	0.0	0.00	99.0	138.06	0.0	7.12	1	none	2	0.1	0.0	0.0	0.0	68.0
asym_run1	1to2	resnet_nodejs_1to2	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	yolo.slice	100.0	99.0	138.27	99.0	138.27	0.0	7.15	1	GPU0	2	1277.9	0.0	0.0	0.0	68.6
asym_run1	1to2	resnet_nodejs_1to2	concurrent	ai_b2	B2(Node_Heavy)	RN(ResNet18)	nodejs.slice	0.0	0.0	0.00	99.0	138.27	0.0	7.15	3	none	6	0.1	0.0	0.0	0.0	68.6
asym_run1	1to1	gpt2_nodejs_1to1	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	yolo.slice	100.0	36.6	52.87	36.6	52.87	0.0	6.76	2	GPU0	4	2191.8	0.0	0.0	0.0	68.7
asym_run1	1to1	gpt2_nodejs_1to1	concurrent	ai_b2	B2(Node_Heavy)	GPT(GPT-2)	nodejs.slice	0.0	0.0	0.00	36.6	52.87	0.0	6.76	2	none	4	0.0	0.0	0.0	0.0	68.7
asym_run1	2to1	gpt2_nodejs_2to1	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	yolo.slice	100.0	35.9	53.02	35.9	53.02	0.0	6.63	3	GPU0	6	2208.2	0.0	0.0	0.0	69.0
asym_run1	2to1	gpt2_nodejs_2to1	concurrent	ai_b2	B2(Node_Heavy)	GPT(GPT-2)	nodejs.slice	0.0	0.0	0.00	35.9	53.02	0.0	6.63	1	none	2	0.1	0.0	0.0	0.0	69.0
asym_run1	1to2	gpt2_nodejs_1to2	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	yolo.slice	100.0	34.3	52.22	34.3	52.22	0.0	6.75	1	GPU0	2	2192.0	0.0	0.0	0.0	69.1
asym_run1	1to2	gpt2_nodejs_1to2	concurrent	ai_b2	B2(Node_Heavy)	GPT(GPT-2)	nodejs.slice	0.0	0.0	0.00	34.3	52.22	0.0	6.75	3	none	6	0.1	0.0	0.0	0.0	69.1
asym_run1	1to1	yolo_resnet_1to1	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	yolo.slice	100.6	38.6	60.12	38.6	60.12	99.8	155.91	2	GPU0	4	1354.0	9.0	23.2	32.3	68.1
asym_run1	1to1	yolo_resnet_1to1	concurrent	ai_ai	RN(ResNet18)	A2(YOLO_Medium)	nodejs.slice	100.1	99.8	155.91	38.6	60.12	99.8	155.91	2	GPU1	4	1082.0	0.0	0.0	0.0	68.1
asym_run1	2to1	yolo_resnet_2to1	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	yolo.slice	100.5	37.4	60.28	37.4	60.28	99.8	158.20	3	GPU0	6	1360.7	14.4	19.9	34.3	68.0
asym_run1	2to1	yolo_resnet_2to1	concurrent	ai_ai	RN(ResNet18)	A2(YOLO_Medium)	nodejs.slice	100.0	99.8	158.20	37.4	60.28	99.8	158.20	1	GPU1	2	1077.8	0.0	0.0	0.0	68.0
asym_run1	1to2	yolo_resnet_1to2	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	yolo.slice	99.6	38.2	60.45	38.2	60.45	99.8	158.85	1	GPU0	2	1346.0	10.6	23.2	33.8	68.1
asym_run1	1to2	yolo_resnet_1to2	concurrent	ai_ai	RN(ResNet18)	A2(YOLO_Medium)	nodejs.slice	100.0	99.8	158.85	38.2	60.45	99.8	158.85	3	GPU1	6	1074.8	0.0	0.0	0.0	68.1
