round	experiment	type	concurrent_type	workload_A	workload_B	duration_s	wall_power_W	cpu_power_W	gpu0_power_W	gpu1_power_W	gpu_total_W	gpu0_util_pct	gpu1_util_pct	memory_power_W	memory_power_note	gpu_note
fixed_run2	baseline	idle	-	-	-	38.2	59.24	3.74	12.24	11.89	24.13	0.9	0.0	6.4	calculated:0.2W/GB×32GB	idle: GPU0+GPU1_idle
fixed_run2	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	67.8	58.16	14.64	58.82	12.03	70.85	37.6	0.0	6.4	calculated:0.2W/GB×32GB	Solo_AI: A2(YOLO_Medium)→GPU0, GPU1_idle
fixed_run2	PT_pytorch_gemm	solo	-	PT(PyTorch_GEMM)	-	67.9	57.46	12.80	169.81	11.91	181.72	100.0	0.0	6.4	calculated:0.2W/GB×32GB	Solo_AI: PT(PyTorch_GEMM)→GPU0, GPU1_idle
fixed_run2	RN_resnet18	solo	-	RN(ResNet18)	-	67.9	57.93	13.16	140.84	11.88	152.72	100.0	0.0	6.4	calculated:0.2W/GB×32GB	Solo_AI: RN(ResNet18)→GPU0, GPU1_idle
fixed_run2	GPT_gpt2	solo	-	GPT(GPT-2)	-	67.9	57.92	13.74	55.24	11.84	67.08	40.9	0.0	6.4	calculated:0.2W/GB×32GB	Solo_AI: GPT(GPT-2)→GPU0, GPU1_idle
fixed_run2	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	68.7	89.08	25.49	12.44	11.77	24.21	0.2	0.0	6.4	calculated:0.2W/GB×32GB	Solo_CPU: B2(Node_Heavy)→CPU_only, GPU0+GPU1_idle
fixed_run2	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	69.0	89.44	31.98	57.72	11.99	69.71	35.5	0.0	6.4	calculated:0.2W/GB×32GB	AI+B2: A2(YOLO_Medium)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed_run2	PTB2_concurrent	concurrent	ai_b2	PT(PyTorch_GEMM)	B2(Node_Heavy)	68.5	89.45	30.63	169.80	11.91	181.71	99.1	0.0	6.4	calculated:0.2W/GB×32GB	AI+B2: PT(PyTorch_GEMM)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed_run2	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	68.7	89.61	31.15	140.33	11.93	152.26	99.0	0.0	6.4	calculated:0.2W/GB×32GB	AI+B2: RN(ResNet18)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed_run2	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	68.4	89.51	30.57	53.47	11.97	65.44	36.3	0.0	6.4	calculated:0.2W/GB×32GB	AI+B2: GPT(GPT-2)→GPU0, B2(Node_Heavy)→CPU_only(GPU1_idle)
fixed_run2	A2PT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	PT(PyTorch_GEMM)	68.0	57.69	20.40	60.74	169.78	230.52	37.7	100.0	6.4	calculated:0.2W/GB×32GB	AI+AI: A2(YOLO_Medium)→GPU0, PT(PyTorch_GEMM)→GPU1
fixed_run2	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	67.9	57.80	20.77	60.39	169.33	229.72	38.4	99.8	6.4	calculated:0.2W/GB×32GB	AI+AI: A2(YOLO_Medium)→GPU0, RN(ResNet18)→GPU1
fixed_run2	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	67.9	57.76	20.91	60.39	85.25	145.64	36.5	39.1	6.4	calculated:0.2W/GB×32GB	AI+AI: A2(YOLO_Medium)→GPU0, GPT(GPT-2)→GPU1
fixed_run2	PTRN_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	RN(ResNet18)	68.0	57.76	18.81	169.79	169.22	339.01	100.0	100.0	6.4	calculated:0.2W/GB×32GB	AI+AI: PT(PyTorch_GEMM)→GPU0, RN(ResNet18)→GPU1
fixed_run2	PTGPT_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	GPT(GPT-2)	68.0	57.62	19.10	169.81	86.95	256.76	100.0	40.0	6.4	calculated:0.2W/GB×32GB	AI+AI: PT(PyTorch_GEMM)→GPU0, GPT(GPT-2)→GPU1
fixed_run2	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	69.1	57.84	19.51	142.63	86.09	228.72	100.0	39.9	6.4	calculated:0.2W/GB×32GB	AI+AI: RN(ResNet18)→GPU0, GPT(GPT-2)→GPU1
