round	experiment	type	concurrent_type	workload	cgroup	cpu_util_pct	gpu_util_pct	gpu_power_W	cpu_alloc_cores	gpu_alloc	gpu_alloc_cards	mem_alloc_GB	mem_used_MB	io_read_MB	io_write_MB	io_total_MB	duration_s
fixed_run2	A2_yolo_medium	solo	-	A2(YOLO_Medium)	yolo.slice	101.1	37.6	58.82	2	GPU0	1	4.0	1791.6	0.0	0.0	0.0	67.8
fixed_run2	PT_pytorch_gemm	solo	-	PT(PyTorch_GEMM)	yolo.slice	100.0	100.0	169.81	2	GPU0	1	4.0	788.5	0.0	0.0	0.0	67.9
fixed_run2	RN_resnet18	solo	-	RN(ResNet18)	yolo.slice	100.0	100.0	140.84	2	GPU0	1	4.0	1279.8	0.0	0.0	0.0	67.9
fixed_run2	GPT_gpt2	solo	-	GPT(GPT-2)	yolo.slice	100.0	40.9	55.24	2	GPU0	1	4.0	2210.5	0.0	0.0	0.0	67.9
fixed_run2	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	nodejs.slice	0.0	0.0	11.77	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	68.7
fixed_run2	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	yolo.slice	100.9	35.5	57.72	2	GPU0	1	4.0	1774.1	0.0	0.0	0.0	69.0
fixed_run2	A2B2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	nodejs.slice	0.0	0.0	11.99	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	69.0
fixed_run2	PTB2_concurrent	concurrent	ai_b2	PT(PyTorch_GEMM)	yolo.slice	100.0	99.1	169.80	2	GPU0	1	4.0	788.5	0.0	0.0	0.0	68.5
fixed_run2	PTB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	nodejs.slice	0.0	0.0	11.91	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	68.5
fixed_run2	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	yolo.slice	100.0	99.0	140.33	2	GPU0	1	4.0	1279.1	0.0	0.0	0.0	68.7
fixed_run2	RNB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	nodejs.slice	0.0	0.0	11.93	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	68.7
fixed_run2	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	yolo.slice	100.0	36.3	53.47	2	GPU0	1	4.0	2195.4	0.0	0.0	0.0	68.4
fixed_run2	GPTB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	nodejs.slice	0.0	0.0	11.97	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	68.4
fixed_run2	A2PT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	yolo.slice	100.8	37.7	60.74	2	GPU0	1	4.0	1491.6	0.0	0.0	0.0	68.0
fixed_run2	A2PT_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	nodejs.slice	100.1	100.0	169.78	2	GPU1	1	4.0	647.7	0.0	0.0	0.0	68.0
fixed_run2	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	yolo.slice	100.8	38.4	60.39	2	GPU0	1	4.0	1356.6	0.0	0.0	0.0	67.9
fixed_run2	A2RN_concurrent	concurrent	ai_ai	RN(ResNet18)	nodejs.slice	100.1	99.8	169.33	2	GPU1	1	4.0	1094.1	0.0	0.0	0.0	67.9
fixed_run2	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	yolo.slice	100.9	36.5	60.39	2	GPU0	1	4.0	1521.8	0.0	0.0	0.0	67.9
fixed_run2	A2GPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	nodejs.slice	100.0	39.1	85.25	2	GPU1	1	4.0	1865.6	0.0	0.0	0.0	67.9
fixed_run2	PTRN_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	yolo.slice	100.0	100.0	169.79	2	GPU0	1	4.0	607.5	0.0	0.0	0.0	68.0
fixed_run2	PTRN_concurrent	concurrent	ai_ai	RN(ResNet18)	nodejs.slice	100.0	100.0	169.22	2	GPU1	1	4.0	1043.0	0.0	0.0	0.0	68.0
fixed_run2	PTGPT_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	yolo.slice	100.1	100.0	169.81	2	GPU0	1	4.0	596.0	0.0	0.0	0.0	68.0
fixed_run2	PTGPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	nodejs.slice	100.1	40.0	86.95	2	GPU1	1	4.0	1986.8	0.0	0.0	0.0	68.0
fixed_run2	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	yolo.slice	100.1	100.0	142.63	2	GPU0	1	4.0	1085.4	0.0	0.0	0.0	69.1
fixed_run2	RNGPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	nodejs.slice	100.0	39.9	86.09	2	GPU1	1	4.0	1855.0	0.0	0.0	0.0	69.1
